Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-11-2023,821.94,830.27,775.34,784.96,17947726,,0.0,0.0
07-11-2023,784.56,808.66,765.43,792.35,4204640,,0.0,0.0
08-11-2023,797.01,805.78,785.36,793.83,933907,,0.0,0.0
09-11-2023,796.16,797.75,771.38,778.52,631244,,0.0,0.0
10-11-2023,778.32,791.9,774.45,782.88,1114462,,0.0,0.0
13-11-2023,788.18,789.17,775.54,779.16,373643,,0.0,0.0
15-11-2023,783.28,792.1,773.61,780.75,774158,,0.0,0.0
16-11-2023,783.18,791.21,776.29,784.12,746640,,0.0,0.0
17-11-2023,781.84,789.13,774.85,778.52,563132,,0.0,0.0
20-11-2023,779.21,791.21,776.53,779.36,609852,,0.0,0.0
21-11-2023,783.28,788.03,777.33,778.42,299524,,0.0,0.0
22-11-2023,778.47,784.96,761.56,764.04,466979,,0.0,0.0
23-11-2023,763.35,782.14,760.62,769.25,351451,,0.0,0.0
24-11-2023,773.21,778.17,768.75,774.45,262392,,0.0,0.0
28-11-2023,778.12,820.6,765.73,813.61,2567328,,0.0,0.0
29-11-2023,815.0,821.84,799.59,811.98,1052971,,0.0,0.0
30-11-2023,811.93,817.93,795.17,797.9,535170,,0.0,0.0
01-12-2023,801.07,817.88,783.28,788.88,816026,,0.0,0.0
04-12-2023,794.18,796.07,778.07,784.37,372333,,0.0,0.0
05-12-2023,787.19,797.11,779.21,783.32,284190,,0.0,0.0
06-12-2023,784.27,815.2,768.4,803.01,1489364,,0.0,0.0
07-12-2023,804.0,817.23,795.67,803.65,624841,,0.0,0.0
08-12-2023,810.05,812.87,785.56,806.48,356149,,0.0,0.0
11-12-2023,810.09,810.44,773.41,781.44,611130,,0.0,0.0
12-12-2023,783.28,789.08,774.75,777.82,273718,,0.0,0.0
13-12-2023,778.42,790.22,771.48,785.41,261339,,0.0,0.0
14-12-2023,791.21,791.21,776.53,778.32,239820,,0.0,0.0
15-12-2023,779.01,789.13,773.96,784.71,298580,,0.0,0.0
18-12-2023,783.52,795.67,778.66,792.99,274429,,0.0,0.0
19-12-2023,793.19,801.07,779.51,780.9,138489,,0.0,0.0
20-12-2023,787.24,788.23,753.53,755.91,258476,,0.0,0.0
21-12-2023,748.57,773.26,742.18,768.5,225567,,0.0,0.0
22-12-2023,768.4,777.82,756.26,762.65,262414,,0.0,0.0
26-12-2023,774.2,774.2,756.26,758.98,218564,,0.0,0.0
27-12-2023,763.4,773.31,759.53,772.02,248384,,0.0,0.0
28-12-2023,781.29,790.12,776.38,787.74,419921,,0.0,0.0
29-12-2023,789.17,790.12,774.35,780.45,172720,,0.0,0.0
01-01-2024,788.28,792.6,778.57,789.82,194900,,0.0,0.0
02-01-2024,785.26,804.1,785.26,799.68,586064,,0.0,0.0
03-01-2024,799.78,827.89,792.2,821.2,930425,,0.0,0.0
04-01-2024,821.94,867.55,821.89,863.78,1616636,,0.0,0.0
05-01-2024,863.78,874.44,847.47,849.95,1237562,,0.0,0.0
08-01-2024,850.5,889.66,843.11,870.18,872714,,0.0,0.0
09-01-2024,880.74,898.24,865.57,873.75,390764,,0.0,0.0
10-01-2024,871.42,885.4,859.97,880.04,181628,,0.0,0.0
11-01-2024,881.43,912.17,854.76,873.4,870172,,0.0,0.0
12-01-2024,882.57,900.92,875.53,892.88,239803,,0.0,0.0
15-01-2024,892.88,892.88,892.88,892.88,0,,0.0,0.0
16-01-2024,894.52,899.28,869.53,887.48,179316,,0.0,0.0
