Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,416.3,421.25,406.38,413.57,403018,,0.0,0.0
09-08-2021,406.38,419.81,406.38,416.64,129985,,0.0,0.0
10-08-2021,421.2,428.09,408.42,423.33,402425,,0.0,0.0
11-08-2021,421.25,422.24,396.47,411.29,288955,,0.0,0.0
12-08-2021,421.25,422.24,405.69,406.68,199684,,0.0,0.0
13-08-2021,412.33,414.76,397.51,406.09,245449,,0.0,0.0
16-08-2021,404.5,418.58,400.44,404.65,345319,,0.0,0.0
17-08-2021,410.35,410.35,400.49,407.67,227673,,0.0,0.0
18-08-2021,408.37,409.36,401.43,405.0,108077,,0.0,0.0
20-08-2021,403.66,404.8,397.46,400.04,188118,,0.0,0.0
23-08-2021,399.45,404.35,380.02,392.26,141449,,0.0,0.0
24-08-2021,392.26,405.94,378.18,397.86,236144,,0.0,0.0
25-08-2021,397.86,402.37,389.29,394.59,57022,,0.0,0.0
26-08-2021,389.04,393.1,384.83,390.13,113828,,0.0,0.0
27-08-2021,390.13,394.04,384.83,391.66,64565,,0.0,0.0
30-08-2021,380.71,382.6,338.79,378.18,1354682,,0.0,0.0
31-08-2021,383.55,405.66,381.41,400.05,542048,,1.0,0.0
01-09-2021,407.45,408.45,390.21,395.48,248410,,0.0,0.0
02-09-2021,395.53,397.66,391.1,395.48,131025,,0.0,0.0
03-09-2021,393.24,401.49,391.6,393.94,293274,,0.0,0.0
06-09-2021,393.94,404.67,390.66,392.54,426582,,0.0,0.0
07-09-2021,397.41,417.19,389.12,412.57,1440235,,0.0,0.0
08-09-2021,415.9,423.15,405.46,417.09,605460,,0.0,0.0
09-09-2021,416.59,416.89,405.46,408.64,323384,,0.0,0.0
13-09-2021,402.63,412.87,398.56,409.49,271628,,0.0,0.0
14-09-2021,413.07,416.84,408.69,412.62,289711,,0.0,0.0
15-09-2021,412.42,420.77,412.42,417.59,241868,,0.0,0.0
16-09-2021,417.59,420.32,414.41,415.75,140037,,0.0,0.0
17-09-2021,419.38,422.36,405.51,415.65,184411,,0.0,0.0
20-09-2021,415.65,427.82,406.46,414.95,413408,,0.0,0.0
21-09-2021,414.95,414.95,405.12,412.12,209203,,0.0,0.0
22-09-2021,414.41,428.32,412.12,427.28,316079,,0.0,0.0
23-09-2021,434.28,435.77,416.0,433.49,483436,,0.0,0.0
24-09-2021,437.27,447.2,428.72,442.13,616093,,0.0,0.0
27-09-2021,452.07,470.9,445.51,459.28,649154,,0.0,0.0
28-09-2021,463.9,485.31,456.4,462.26,1141470,,0.0,0.0
29-09-2021,461.91,467.08,449.69,463.8,243663,,0.0,0.0
30-09-2021,463.8,476.02,457.19,469.71,243112,,0.0,0.0
01-10-2021,468.77,481.99,464.94,471.9,331342,,0.0,0.0
04-10-2021,475.48,490.93,475.48,479.15,343010,,0.0,0.0
05-10-2021,480.99,482.98,469.41,477.12,138577,,0.0,0.0
06-10-2021,481.84,481.99,471.55,477.51,123092,,0.0,0.0
07-10-2021,481.99,502.26,475.63,480.35,461468,,0.0,0.0
08-10-2021,483.92,501.76,480.0,496.54,251110,,0.0,0.0
11-10-2021,494.9,506.23,482.48,502.06,257305,,0.0,0.0
12-10-2021,501.86,514.78,495.15,508.97,189953,,0.0,0.0
13-10-2021,508.97,513.79,508.07,511.9,225070,,0.0,0.0
14-10-2021,513.79,531.67,512.54,525.61,205368,,0.0,0.0
18-10-2021,532.67,558.95,531.53,547.48,386912,,0.0,0.0
19-10-2021,556.67,568.35,547.43,556.77,436290,,0.0,0.0
20-10-2021,565.91,565.91,510.36,556.62,611238,,0.0,0.0
21-10-2021,548.07,555.28,519.95,532.97,467600,,0.0,0.0
22-10-2021,535.65,540.57,528.1,536.69,198269,,0.0,0.0
25-10-2021,544.59,555.43,521.49,540.57,199181,,0.0,0.0
26-10-2021,545.79,551.55,533.41,547.28,159041,,0.0,0.0
27-10-2021,551.55,566.46,534.71,546.68,517718,,0.0,0.0
28-10-2021,546.68,546.68,534.66,542.85,212417,,0.0,0.0
29-10-2021,540.62,542.41,522.28,536.74,138007,,0.0,0.0
01-11-2021,539.48,602.78,539.48,569.64,993510,,0.0,0.0
02-11-2021,566.46,596.27,558.56,591.2,743399,,0.0,0.0
03-11-2021,602.13,611.18,592.39,602.68,561671,,0.0,0.0
04-11-2021,616.15,650.93,612.17,640.3,526951,,0.0,0.0
08-11-2021,650.93,670.01,646.46,658.88,985728,,0.0,0.0
09-11-2021,657.69,677.71,647.25,655.5,502324,,0.0,0.0
10-11-2021,646.95,650.83,634.03,637.96,254788,,0.0,0.0
11-11-2021,637.02,678.75,634.03,670.36,460546,,0.0,0.0
12-11-2021,670.8,682.98,670.8,675.18,320920,,0.0,0.0
15-11-2021,681.74,702.61,671.8,692.32,414732,,0.0,0.0
16-11-2021,678.75,701.07,678.75,694.85,252732,,0.0,0.0
17-11-2021,694.85,708.47,680.99,696.34,272715,,0.0,0.0
18-11-2021,696.34,697.54,659.23,669.66,165345,,0.0,0.0
22-11-2021,670.31,673.04,617.34,626.13,221848,,0.0,0.0
23-11-2021,611.18,656.39,602.93,643.62,290739,,0.0,0.0
24-11-2021,648.34,662.21,645.51,647.75,115017,,0.0,0.0
25-11-2021,649.93,652.02,636.17,642.58,90297,,0.0,0.0
26-11-2021,636.02,655.9,627.08,634.43,176090,,0.0,0.0
29-11-2021,607.55,621.12,572.77,582.56,277680,,0.0,0.0
30-11-2021,574.31,610.18,558.31,597.86,647716,,0.0,0.0
01-12-2021,610.43,617.14,572.92,577.98,388184,,0.0,0.0
02-12-2021,583.5,602.93,578.38,592.64,280784,,0.0,0.0
03-12-2021,597.46,631.05,582.46,622.56,743003,,0.0,0.0
06-12-2021,627.53,636.47,616.15,623.45,328879,,0.0,0.0
07-12-2021,632.05,665.84,627.13,634.68,683894,,0.0,0.0
08-12-2021,640.0,667.82,619.87,631.0,256360,,0.0,0.0
09-12-2021,633.54,636.27,624.1,631.6,117638,,0.0,0.0
10-12-2021,631.05,640.15,629.46,634.28,86369,,0.0,0.0
13-12-2021,640.99,640.99,615.15,618.23,223064,,0.0,0.0
14-12-2021,616.15,624.1,610.73,616.69,76692,,0.0,0.0
15-12-2021,619.57,638.01,607.65,618.13,267826,,0.0,0.0
16-12-2021,616.15,618.08,600.25,606.85,129208,,0.0,0.0
17-12-2021,591.8,600.05,569.44,573.66,369958,,0.0,0.0
20-12-2021,555.53,562.33,541.61,545.99,190575,,0.0,0.0
21-12-2021,550.46,590.21,550.06,578.28,362486,,0.0,0.0
22-12-2021,574.41,578.28,559.5,573.36,291242,,0.0,0.0
23-12-2021,578.28,601.24,576.39,579.67,312580,,0.0,0.0
24-12-2021,591.3,591.3,569.44,579.03,149842,,0.0,0.0
27-12-2021,586.33,587.33,568.1,577.69,87234,,0.0,0.0
28-12-2021,580.62,631.05,579.48,602.43,241197,,0.0,0.0
29-12-2021,592.59,612.57,591.6,597.91,129038,,0.0,0.0
30-12-2021,594.28,600.2,583.4,590.51,152175,,0.0,0.0
31-12-2021,591.3,598.71,584.25,594.18,84174,,0.0,0.0
03-01-2022,599.25,616.15,596.62,602.03,236451,,0.0,0.0
04-01-2022,612.17,626.08,606.75,617.44,570240,,0.0,0.0
05-01-2022,618.63,640.99,611.18,635.67,315445,,0.0,0.0
06-01-2022,635.03,636.42,620.32,628.32,172504,,0.0,0.0
07-01-2022,627.08,638.56,614.95,618.63,163622,,0.0,0.0
10-01-2022,623.6,648.94,621.66,640.84,353236,,0.0,0.0
11-01-2022,641.84,653.46,631.95,636.62,296301,,0.0,0.0
12-01-2022,640.99,655.4,638.31,644.62,226383,,0.0,0.0
13-01-2022,649.79,650.93,636.67,644.67,102354,,0.0,0.0
14-01-2022,650.63,650.68,640.39,644.47,57376,,0.0,0.0
17-01-2022,636.22,653.21,636.22,648.1,162906,,0.0,0.0
18-01-2022,654.11,654.11,624.64,632.34,153540,,0.0,0.0
19-01-2022,638.01,649.93,627.28,646.31,110968,,0.0,0.0
20-01-2022,644.02,649.14,635.13,643.13,88824,,0.0,0.0
21-01-2022,631.05,639.2,616.15,622.66,98127,,0.0,0.0
24-01-2022,621.51,622.11,587.67,606.41,240095,,0.0,0.0
25-01-2022,588.47,615.7,578.08,612.17,89555,,0.0,0.0
27-01-2022,593.29,609.34,588.57,603.23,95783,,0.0,0.0
28-01-2022,603.23,624.3,586.38,594.53,372749,,0.0,0.0
31-01-2022,582.66,594.63,574.95,585.74,263447,,0.0,0.0
01-02-2022,586.98,612.07,586.98,598.16,201793,,0.0,0.0
02-02-2022,604.12,609.24,589.76,603.43,133010,,0.0,0.0
03-02-2022,609.84,640.99,603.48,633.44,257029,,0.0,0.0
04-02-2022,640.99,655.45,634.83,638.01,296842,,0.0,0.0
07-02-2022,640.89,641.24,620.32,632.39,114344,,0.0,0.0
08-02-2022,639.0,645.12,622.31,634.68,228050,,0.0,0.0
09-02-2022,637.36,644.87,628.22,635.28,129229,,0.0,0.0
10-02-2022,640.89,643.97,626.68,632.44,83347,,0.0,0.0
11-02-2022,629.07,637.02,620.42,626.68,75488,,0.0,0.0
14-02-2022,614.16,614.85,562.08,576.79,140283,,0.0,0.0
15-02-2022,581.36,596.17,572.87,590.36,136569,,0.0,0.0
16-02-2022,600.74,612.02,591.3,599.85,129745,,0.0,0.0
17-02-2022,603.33,610.08,591.3,597.46,158297,,0.0,0.0
18-02-2022,596.27,604.52,591.6,595.97,62209,,0.0,0.0
21-02-2022,596.27,603.18,577.59,590.66,158081,,0.0,0.0
22-02-2022,586.33,596.12,578.58,591.1,186940,,0.0,0.0
23-02-2022,596.27,609.54,596.27,600.94,153586,,0.0,0.0
24-02-2022,596.27,600.25,572.87,580.82,260550,,0.0,0.0
25-02-2022,587.67,609.19,587.67,600.34,164645,,0.0,0.0
28-02-2022,604.22,604.22,584.49,589.76,201455,,0.0,0.0
02-03-2022,592.3,594.68,587.13,591.25,179897,,0.0,0.0
03-03-2022,605.21,627.08,588.22,593.34,333655,,0.0,0.0
04-03-2022,593.34,598.16,582.66,586.28,247562,,0.0,0.0
07-03-2022,584.35,594.63,561.19,584.74,224912,,0.0,0.0
08-03-2022,594.28,600.54,587.38,595.92,217508,,0.0,0.0
09-03-2022,602.93,609.14,593.94,596.17,189498,,0.0,0.0
10-03-2022,616.15,620.12,589.26,596.12,298979,,0.0,0.0
11-03-2022,596.12,618.73,595.28,603.28,286640,,0.0,0.0
14-03-2022,602.23,617.49,602.23,614.85,173360,,0.0,0.0
15-03-2022,619.57,673.79,619.53,653.16,2434828,,0.0,0.0
16-03-2022,665.64,671.45,644.12,649.69,906312,,0.0,0.0
17-03-2022,662.26,697.64,657.44,670.46,3648825,,0.0,0.0
21-03-2022,689.69,695.65,673.79,687.75,609223,,0.0,0.0
22-03-2022,695.25,731.43,690.53,706.08,2205424,,0.0,0.0
23-03-2022,709.66,744.34,706.58,715.23,1440078,,0.0,0.0
24-03-2022,716.52,717.51,687.5,694.7,453618,,0.0,0.0
25-03-2022,695.55,705.49,659.87,664.79,418369,,0.0,0.0
28-03-2022,665.84,679.25,665.84,676.42,296755,,0.0,0.0
29-03-2022,680.94,685.71,661.86,680.29,221058,,0.0,0.0
30-03-2022,685.71,697.64,674.18,690.88,226544,,0.0,0.0
31-03-2022,696.94,722.78,693.07,711.85,525081,,0.0,0.0
01-04-2022,715.43,718.21,700.27,705.24,195453,,0.0,0.0
04-04-2022,712.94,720.05,691.97,694.85,281834,,0.0,0.0
05-04-2022,694.85,700.62,689.54,692.17,307878,,0.0,0.0
