Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,4447.15,4486.63,4365.53,4443.69,15765,,0.0,0.0
09-08-2021,4443.69,4600.16,4394.19,4451.27,54100,,0.0,0.0
10-08-2021,4451.27,4486.39,4325.33,4415.28,23527,,0.0,0.0
11-08-2021,4372.39,4557.89,4272.76,4434.54,20657,,0.0,0.0
12-08-2021,4433.73,4495.07,4415.09,4458.31,6562,,0.0,0.0
13-08-2021,4485.48,4562.16,4461.52,4549.41,15219,,0.0,0.0
16-08-2021,4558.99,4642.67,4467.27,4518.26,20806,,0.0,0.0
17-08-2021,4518.26,4616.79,4488.07,4580.66,11998,,0.0,0.0
18-08-2021,4590.24,4597.62,4538.92,4581.9,4894,,0.0,0.0
20-08-2021,4523.82,4587.65,4431.09,4529.19,18539,,0.0,0.0
23-08-2021,4549.7,4568.29,4452.23,4495.31,8287,,0.0,0.0
24-08-2021,4495.31,4531.77,4436.41,4493.96,8226,,0.0,0.0
25-08-2021,4541.89,4636.2,4455.77,4499.57,20193,,0.0,0.0
26-08-2021,4501.78,4525.07,4360.89,4433.3,36872,,0.0,0.0
27-08-2021,4414.13,4476.86,4392.8,4429.8,5131,,0.0,0.0
30-08-2021,4409.77,4450.79,4351.3,4365.87,5935,,0.0,0.0
31-08-2021,4365.87,4407.32,4197.95,4256.75,36296,,0.0,0.0
01-09-2021,4262.55,4293.03,4169.2,4177.01,14367,,0.0,0.0
02-09-2021,4182.62,4205.62,4017.53,4036.17,32170,,0.0,0.0
03-09-2021,4081.98,4176.82,4076.23,4165.84,22197,,0.0,0.0
06-09-2021,4165.84,4183.58,4116.53,4127.75,11844,,0.0,0.0
07-09-2021,4116.53,4200.83,4102.11,4125.83,12657,,0.0,0.0
08-09-2021,4111.69,4253.88,4111.69,4225.03,38628,,0.0,0.0
09-09-2021,4217.12,4236.29,4165.65,4176.24,5478,,0.0,0.0
13-09-2021,4174.95,4265.04,4121.28,4251.91,35613,,0.0,0.0
14-09-2021,4229.58,4284.21,4203.89,4268.54,8297,,0.0,0.0
15-09-2021,4289.91,4289.91,4231.5,4243.91,3039,,0.0,0.0
16-09-2021,4243.91,4249.28,4196.04,4216.59,4234,,0.0,0.0
17-09-2021,4231.5,4378.14,4168.1,4292.26,30887,,0.0,0.0
20-09-2021,4284.21,4289.0,4217.12,4243.72,4552,,0.0,0.0
21-09-2021,4234.13,4332.13,4202.74,4279.42,14903,,0.0,0.0
22-09-2021,4289.0,4408.81,4241.08,4394.33,11515,,0.0,0.0
23-09-2021,4423.09,4426.06,4371.86,4396.97,4459,,0.0,0.0
24-09-2021,4418.97,4859.27,4412.88,4782.98,84015,,0.0,0.0
27-09-2021,4945.53,4971.65,4679.33,4878.97,55212,,0.0,0.0
28-09-2021,4835.41,5463.09,4809.43,5172.87,239359,,0.0,0.0
