Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
30-05-2022,825.0,839.95,773.0,803.1,2637898,,0.0,0.0
31-05-2022,805.05,818.0,801.1,805.7,362441,,0.0,0.0
01-06-2022,811.9,811.9,788.45,806.15,142831,,0.0,0.0
02-06-2022,807.75,807.75,780.0,782.55,48340,,0.0,0.0
03-06-2022,785.0,791.2,742.05,746.5,48361,,0.0,0.0
06-06-2022,733.0,787.65,707.45,770.1,166416,,0.0,0.0
07-06-2022,758.3,798.95,752.8,776.2,93288,,0.0,0.0
08-06-2022,774.0,799.0,774.0,784.85,60115,,0.0,0.0
09-06-2022,790.0,807.75,750.65,802.85,57921,,0.0,0.0
10-06-2022,790.8,799.95,779.0,784.6,14635,,0.0,0.0
13-06-2022,761.0,798.7,759.0,788.65,46430,,0.0,0.0
14-06-2022,785.0,800.0,778.55,795.75,34110,,0.0,0.0
15-06-2022,791.0,802.0,789.35,798.75,25663,,0.0,0.0
16-06-2022,808.0,808.75,766.0,779.3,38765,,0.0,0.0
17-06-2022,779.3,790.0,761.25,782.25,12220,,0.0,0.0
20-06-2022,771.1,780.7,750.05,759.3,58565,,0.0,0.0
21-06-2022,765.85,775.75,758.75,772.9,6031,,0.0,0.0
22-06-2022,775.55,777.7,761.2,770.55,5196,,0.0,0.0
23-06-2022,763.25,784.75,763.25,780.15,17880,,0.0,0.0
24-06-2022,781.1,804.0,780.25,799.35,16245,,0.0,0.0
27-06-2022,793.0,821.0,793.0,809.95,29224,,0.0,0.0
28-06-2022,795.4,817.15,792.0,797.85,13009,,0.0,0.0
29-06-2022,789.55,796.35,766.4,777.95,3576,,0.0,0.0
30-06-2022,784.0,799.85,770.0,793.9,6941,,0.0,0.0
01-07-2022,793.9,794.8,776.3,785.05,2217,,0.0,0.0
04-07-2022,773.1,789.95,773.1,785.65,2871,,0.0,0.0
05-07-2022,778.1,785.25,770.05,780.15,9993,,0.0,0.0
06-07-2022,774.15,783.3,770.15,779.25,14379,,0.0,0.0
07-07-2022,781.6,792.15,776.0,789.7,21840,,0.0,0.0
08-07-2022,795.05,798.15,773.5,777.75,4090,,0.0,0.0
11-07-2022,777.75,874.25,770.75,845.25,98506,,0.0,0.0
12-07-2022,859.0,867.95,807.7,824.8,43593,,0.0,0.0
13-07-2022,824.0,838.9,812.4,831.25,9859,,0.0,0.0
14-07-2022,839.45,845.25,821.1,831.05,11045,,0.0,0.0
15-07-2022,837.75,849.0,828.0,842.6,7267,,0.0,0.0
18-07-2022,845.0,884.0,845.0,872.1,62097,,0.0,0.0
19-07-2022,872.25,902.95,864.85,890.3,136695,,0.0,0.0
20-07-2022,908.0,924.8,890.0,901.75,73667,,0.0,0.0
21-07-2022,901.75,918.0,890.3,909.95,41649,,0.0,0.0
22-07-2022,910.0,992.7,901.15,978.15,166580,,0.0,0.0
25-07-2022,965.25,1005.15,940.3,954.85,68362,,0.0,0.0
26-07-2022,968.0,972.8,942.4,961.05,24708,,0.0,0.0
27-07-2022,1020.0,1075.0,945.15,965.5,812235,,0.0,0.0
28-07-2022,978.0,1020.0,962.0,987.4,119965,,0.0,0.0
29-07-2022,1003.0,1005.5,979.25,989.8,48081,,0.0,0.0
01-08-2022,999.0,1029.0,965.9,998.95,83857,,0.0,0.0
02-08-2022,1010.0,1021.45,982.0,1009.2,84432,,0.0,0.0
03-08-2022,1009.0,1031.95,996.7,1009.7,64986,,0.0,0.0
04-08-2022,1014.0,1014.0,971.0,998.9,74555,,0.0,0.0
05-08-2022,1004.7,1004.9,970.0,974.85,28896,,0.0,0.0
08-08-2022,974.1,1007.0,974.1,997.3,47114,,0.0,0.0
10-08-2022,1011.15,1030.0,987.35,997.65,205683,,0.0,0.0
11-08-2022,1013.75,1024.0,986.0,1018.4,157246,,0.0,0.0
12-08-2022,1018.4,1125.0,1000.85,1107.55,442682,,0.0,0.0
16-08-2022,1120.0,1147.0,1082.45,1097.95,134470,,0.0,0.0
17-08-2022,1089.95,1108.5,1068.5,1072.0,88310,,0.0,0.0
18-08-2022,1086.7,1100.0,1050.0,1094.2,64392,,0.0,0.0
19-08-2022,1099.9,1099.9,1055.6,1069.35,66775,,0.0,0.0
22-08-2022,1074.95,1074.95,1040.0,1051.0,58860,,0.0,0.0
23-08-2022,1032.05,1055.0,1008.55,1031.7,76142,,0.0,0.0
24-08-2022,1032.0,1083.0,1011.05,1028.5,126033,,0.0,0.0
25-08-2022,1038.95,1044.95,1011.0,1016.75,94631,,0.0,0.0
26-08-2022,1024.9,1089.0,1024.9,1060.25,103700,,0.0,0.0
29-08-2022,1021.0,1044.65,1005.05,1013.7,95873,,0.0,0.0
30-08-2022,1028.95,1038.1,1012.0,1029.6,136652,,0.0,0.0
01-09-2022,1021.9,1079.0,1015.05,1049.5,84314,,0.0,0.0
02-09-2022,1058.4,1073.0,1030.0,1036.7,30858,,0.0,0.0
05-09-2022,1049.8,1050.85,1002.65,1011.95,55295,,0.0,0.0
06-09-2022,1024.9,1030.0,977.0,1025.7,100629,,0.0,0.0
07-09-2022,1024.0,1043.2,1015.05,1034.3,36609,,0.0,0.0
08-09-2022,1039.95,1086.8,1011.8,1039.7,81969,,0.0,0.0
09-09-2022,1045.0,1069.55,1003.0,1009.6,114877,,0.0,0.0
12-09-2022,1022.9,1068.0,1016.15,1044.15,173749,,0.0,0.0
13-09-2022,1057.0,1057.0,1037.95,1044.95,80355,,0.0,0.0
14-09-2022,1030.0,1052.0,1022.0,1040.45,142763,,0.0,0.0
15-09-2022,1048.5,1059.05,1028.5,1035.85,86480,,0.0,0.0
16-09-2022,1035.5,1044.85,976.05,987.7,131306,,0.0,0.0
19-09-2022,1010.0,1021.0,986.0,1005.65,41092,,0.0,0.0
20-09-2022,1027.0,1050.85,1016.0,1043.95,75706,,0.0,0.0
21-09-2022,1049.5,1053.0,1029.05,1040.35,81884,,0.0,0.0
22-09-2022,1041.0,1073.4,1027.25,1039.15,29309,,0.0,0.0
23-09-2022,1045.0,1045.0,972.2,978.2,79954,,0.0,0.0
26-09-2022,974.9,1005.3,940.0,978.1,94390,,0.0,0.0
27-09-2022,999.95,1003.75,981.0,994.45,50595,,0.0,0.0
28-09-2022,1013.0,1013.0,980.05,983.3,39645,,0.0,0.0
29-09-2022,999.95,1000.0,964.8,977.45,17660,,0.0,0.0
30-09-2022,997.7,997.7,957.3,974.0,25993,,0.0,0.0
03-10-2022,986.0,987.5,961.05,967.9,35881,,0.0,0.0
04-10-2022,973.5,995.65,973.5,979.15,23283,,0.0,0.0
06-10-2022,980.05,1030.0,980.05,999.05,48861,,0.0,0.0
07-10-2022,1013.65,1013.65,990.3,994.4,32006,,0.0,0.0
10-10-2022,991.4,1025.85,980.0,995.95,32497,,0.0,0.0
11-10-2022,1000.1,1010.05,971.5,978.4,26725,,0.0,0.0
12-10-2022,992.9,992.9,962.0,966.05,22841,,0.0,0.0
13-10-2022,974.4,1001.45,962.85,986.15,32287,,0.0,0.0
14-10-2022,999.0,1016.0,986.95,993.85,47109,,0.0,0.0
17-10-2022,998.4,998.4,975.5,981.85,14916,,0.0,0.0
18-10-2022,993.9,993.9,945.05,957.65,39415,,0.0,0.0
19-10-2022,959.95,992.55,959.95,980.45,28536,,0.0,0.0
20-10-2022,984.0,987.4,955.05,976.0,24430,,0.0,0.0
21-10-2022,976.0,983.75,966.05,973.95,10536,,0.0,0.0
24-10-2022,1008.0,1008.0,969.5,982.75,6772,,0.0,0.0
25-10-2022,982.75,993.95,970.0,979.1,12082,,0.0,0.0
27-10-2022,980.45,999.0,971.0,975.55,14766,,0.0,0.0
28-10-2022,983.6,997.0,966.0,978.25,15443,,0.0,0.0
31-10-2022,976.0,995.05,976.0,987.5,16797,,0.0,0.0
01-11-2022,993.35,994.0,982.0,988.9,10577,,0.0,0.0
02-11-2022,993.0,995.75,973.55,977.7,11226,,0.0,0.0
03-11-2022,975.0,988.45,974.0,979.85,15017,,0.0,0.0
04-11-2022,990.0,1059.8,989.95,1042.2,186655,,0.0,0.0
07-11-2022,1064.0,1068.35,1013.05,1017.35,58191,,0.0,0.0
09-11-2022,1017.35,1019.4,983.5,1002.15,51384,,0.0,0.0
10-11-2022,1000.05,1017.55,985.55,987.6,24133,,0.0,0.0
11-11-2022,987.0,1006.0,901.0,910.55,91619,,0.0,0.0
14-11-2022,910.0,912.0,888.95,891.65,31832,,0.0,0.0
15-11-2022,893.65,900.05,844.55,867.4,65711,,0.0,0.0
16-11-2022,870.0,914.0,868.0,898.7,45058,,0.0,0.0
17-11-2022,900.0,908.6,865.35,873.8,20411,,0.0,0.0
18-11-2022,881.1,894.0,860.0,884.1,19568,,0.0,0.0
21-11-2022,871.1,900.0,869.35,885.4,22940,,0.0,0.0
22-11-2022,889.2,904.0,880.55,900.0,18275,,0.0,0.0
23-11-2022,893.3,904.5,886.0,894.6,11345,,0.0,0.0
24-11-2022,892.8,902.7,876.9,896.95,13715,,0.0,0.0
25-11-2022,896.95,935.0,886.05,918.4,39005,,0.0,0.0
28-11-2022,918.4,920.95,881.0,898.85,38001,,0.0,0.0
29-11-2022,898.0,924.7,892.15,914.6,41758,,0.0,0.0
30-11-2022,914.6,928.4,901.0,919.15,19905,,0.0,0.0
01-12-2022,919.15,940.7,909.65,933.7,59211,,0.0,0.0
02-12-2022,933.0,948.45,912.55,917.0,27202,,0.0,0.0
05-12-2022,923.4,978.8,917.0,971.95,162801,,0.0,0.0
06-12-2022,971.95,1007.4,965.2,991.0,77763,,0.0,0.0
07-12-2022,991.0,1030.0,990.0,1010.9,81839,,0.0,0.0
08-12-2022,1028.0,1040.6,1018.55,1035.65,45902,,0.0,0.0
09-12-2022,1046.0,1046.0,1001.55,1024.5,111193,,0.0,0.0
12-12-2022,1024.5,1054.0,1008.0,1018.55,104378,,0.0,0.0
13-12-2022,1000.1,1044.65,957.4,1030.5,77346,,0.0,0.0
14-12-2022,1047.95,1047.95,1002.2,1020.75,45443,,0.0,0.0
15-12-2022,1034.0,1040.0,1014.05,1036.05,22944,,0.0,0.0
16-12-2022,1016.5,1045.0,1001.05,1023.4,112551,,0.0,0.0
19-12-2022,1006.0,1048.45,1006.0,1030.1,55109,,0.0,0.0
20-12-2022,1010.75,1035.4,1006.1,1013.6,10390,,0.0,0.0
21-12-2022,1026.35,1033.45,986.0,998.8,31876,,0.0,0.0
22-12-2022,998.0,998.0,958.55,977.8,33653,,0.0,0.0
23-12-2022,970.95,984.5,941.0,977.35,34241,,0.0,0.0
26-12-2022,987.0,1012.6,957.5,1005.55,18222,,0.0,0.0
