Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,2585.38,2605.09,2577.9,2599.64,16505,,0.0,0.0
09-08-2021,2585.38,2593.3,2348.24,2488.2,46199,,0.0,0.0
10-08-2021,2488.2,2524.75,2407.08,2431.54,54758,,0.0,0.0
11-08-2021,2436.79,2446.5,2362.5,2394.3,30930,,0.0,0.0
12-08-2021,2398.16,2426.29,2362.5,2399.15,26471,,0.0,0.0
13-08-2021,2406.09,2448.93,2382.56,2399.3,53247,,0.0,0.0
16-08-2021,2399.3,2406.93,2368.49,2377.85,22086,,0.0,0.0
17-08-2021,2377.85,2402.12,2363.49,2388.95,80746,,0.0,0.0
18-08-2021,2409.06,2418.96,2352.54,2368.64,24207,,0.0,0.0
20-08-2021,2372.41,2421.93,2365.47,2410.05,40574,,0.0,0.0
23-08-2021,2454.62,2555.66,2420.25,2541.15,148026,,0.0,0.0
24-08-2021,2569.53,2576.91,2476.42,2554.67,29504,,0.0,0.0
25-08-2021,2555.66,2595.28,2555.66,2573.59,21277,,0.0,0.0
26-08-2021,2593.3,2593.3,2469.04,2502.22,19185,,0.0,0.0
27-08-2021,2502.22,2575.47,2502.22,2566.16,11846,,0.0,0.0
30-08-2021,2566.16,2574.98,2512.08,2536.39,54298,,0.0,0.0
31-08-2021,2550.71,2587.41,2529.91,2561.55,33767,,0.0,0.0
01-09-2021,2570.02,2605.19,2543.77,2552.19,18290,,0.0,0.0
02-09-2021,2571.51,2571.51,2546.75,2569.53,7239,,0.0,0.0
03-09-2021,2551.7,2625.0,2539.37,2601.28,29824,,0.0,0.0
06-09-2021,2611.13,2649.22,2542.34,2585.23,36834,,0.0,0.0
07-09-2021,2625.0,2639.81,2577.45,2588.94,31543,,0.0,0.0
08-09-2021,2585.43,2595.18,2546.94,2564.82,47109,,0.0,0.0
09-09-2021,2564.82,2587.36,2557.3,2565.71,14336,,0.0,0.0
13-09-2021,2557.64,2574.38,2545.85,2563.68,6934,,0.0,0.0
14-09-2021,2571.51,2571.51,2543.77,2550.51,9929,,0.0,0.0
15-09-2021,2560.61,2594.29,2545.76,2554.72,13806,,0.0,0.0
16-09-2021,2567.45,2574.48,2538.82,2551.85,31529,,0.0,0.0
17-09-2021,2560.61,2593.3,2530.9,2580.77,104359,,0.0,0.0
20-09-2021,2580.42,2593.3,2535.85,2556.7,51856,,0.0,0.0
21-09-2021,2544.76,2574.43,2517.03,2537.29,12517,,0.0,0.0
22-09-2021,2531.89,2578.44,2511.09,2569.03,46460,,0.0,0.0
23-09-2021,2584.39,2601.47,2536.84,2552.79,14945,,0.0,0.0
24-09-2021,2568.49,2669.58,2549.77,2563.44,132369,,0.0,0.0
27-09-2021,2575.47,2584.34,2491.27,2505.54,30511,,0.0,0.0
28-09-2021,2497.22,2531.99,2478.4,2499.84,29780,,0.0,0.0
29-09-2021,2496.23,2570.52,2476.46,2534.41,23308,,0.0,0.0
30-09-2021,2545.75,2547.88,2511.09,2536.1,17979,,0.0,0.0
01-10-2021,2522.48,2523.96,2491.27,2502.47,14900,,0.0,0.0
04-10-2021,2521.98,2535.85,2507.12,2521.83,12301,,0.0,0.0
05-10-2021,2521.83,2521.83,2501.18,2510.59,14649,,0.0,0.0
06-10-2021,2507.12,2530.75,2466.51,2477.75,21929,,0.0,0.0
07-10-2021,2505.93,2511.88,2486.32,2491.92,15812,,0.0,0.0
08-10-2021,2510.89,2565.47,2495.24,2509.4,25666,,0.0,0.0
11-10-2021,2509.4,2543.77,2500.44,2519.01,18585,,0.0,0.0
12-10-2021,2520.99,2540.8,2501.67,2512.82,14512,,0.0,0.0
13-10-2021,2516.04,2523.17,2483.4,2498.51,21842,,0.0,0.0
14-10-2021,2498.5,2501.13,2478.4,2484.34,22229,,0.0,0.0
18-10-2021,2491.27,2491.27,2466.51,2470.32,24008,,0.0,0.0
19-10-2021,2471.46,2481.32,2446.7,2451.16,18405,,0.0,0.0
20-10-2021,2446.7,2480.43,2426.89,2457.79,36548,,0.0,0.0
21-10-2021,2462.05,2469.83,2378.4,2425.75,25471,,0.0,0.0
22-10-2021,2431.79,2435.75,2308.12,2397.96,18209,,0.0,0.0
25-10-2021,2398.01,2423.12,2367.45,2380.33,22744,,0.0,0.0
26-10-2021,2396.18,2396.18,2354.82,2361.81,13241,,0.0,0.0
27-10-2021,2395.09,2460.57,2368.44,2391.08,24258,,0.0,0.0
28-10-2021,2368.44,2385.83,2352.59,2367.6,13482,,0.0,0.0
29-10-2021,2365.47,2426.89,2280.78,2367.8,48453,,0.0,0.0
01-11-2021,2367.8,2395.88,2338.53,2342.54,31894,,0.0,0.0
02-11-2021,2353.59,2362.5,2310.99,2320.9,34803,,0.0,0.0
