Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,401.19,403.65,396.57,402.77,359881,,0.0,0.0
09-08-2021,404.98,404.98,396.5,402.29,197412,,0.0,0.0
10-08-2021,401.76,401.76,392.33,395.14,197838,,0.0,0.0
11-08-2021,395.62,397.9,386.79,389.92,601509,,0.0,0.0
12-08-2021,392.96,397.39,391.63,395.65,115932,,0.0,0.0
13-08-2021,397.39,399.64,395.49,397.45,391387,,0.0,0.0
16-08-2021,401.44,401.44,396.19,397.93,86932,,0.0,0.0
17-08-2021,401.19,406.22,396.25,400.74,264826,,0.0,0.0
18-08-2021,402.42,402.83,396.95,401.63,465420,,0.0,0.0
20-08-2021,401.82,402.96,392.96,395.81,271725,,0.0,0.0
23-08-2021,397.8,404.98,391.09,403.15,382602,,0.0,0.0
24-08-2021,403.08,410.93,396.28,399.41,410223,,0.0,0.0
25-08-2021,403.97,407.96,398.02,405.74,253935,,0.0,0.0
26-08-2021,404.92,409.98,395.49,396.73,127269,,0.0,0.0
27-08-2021,396.73,400.11,389.23,393.69,206776,,0.0,0.0
30-08-2021,397.36,397.67,388.06,391.92,264273,,0.0,0.0
31-08-2021,391.69,396.69,391.69,392.04,108969,,0.0,0.0
01-09-2021,392.33,396.12,391.69,393.91,137413,,0.0,0.0
02-09-2021,394.86,397.99,389.16,391.98,229989,,0.0,0.0
03-09-2021,391.22,396.76,391.06,392.04,187717,,0.0,0.0
06-09-2021,392.04,399.92,392.04,396.0,612753,,0.0,0.0
07-09-2021,399.22,399.22,391.85,393.25,573894,,0.0,0.0
08-09-2021,392.33,394.48,387.71,389.48,198186,,0.0,0.0
09-09-2021,389.61,391.79,384.73,386.76,151767,,0.0,0.0
13-09-2021,386.76,387.9,380.15,382.17,177877,,0.0,0.0
14-09-2021,384.04,389.2,381.6,387.96,254713,,0.0,0.0
15-09-2021,387.96,396.76,386.54,395.81,316620,,0.0,0.0
16-09-2021,398.4,398.4,393.59,394.61,329575,,0.0,0.0
17-09-2021,395.18,397.93,386.7,388.5,771450,,0.0,0.0
20-09-2021,386.63,392.17,384.77,389.23,702256,,0.0,0.0
21-09-2021,388.44,395.36,385.53,392.26,302505,,0.0,0.0
22-09-2021,394.04,394.04,388.59,391.57,356182,,0.0,0.0
23-09-2021,391.69,397.23,390.62,395.52,148971,,0.0,0.0
24-09-2021,397.39,401.19,395.52,397.8,914427,,0.0,0.0
27-09-2021,398.66,405.3,396.79,400.71,1360066,,0.0,0.0
28-09-2021,400.59,404.26,399.07,402.36,291688,,0.0,0.0
29-09-2021,401.82,402.77,398.66,401.47,199119,,0.0,0.0
30-09-2021,402.45,402.45,398.66,400.71,177421,,0.0,0.0
01-10-2021,401.82,404.98,397.42,403.18,302118,,0.0,0.0
04-10-2021,405.36,405.96,387.14,399.98,169644,,0.0,0.0
05-10-2021,399.73,416.59,396.38,412.17,3011923,,0.0,0.0
06-10-2021,417.01,427.13,404.98,408.65,685018,,0.0,0.0
07-10-2021,413.21,417.64,400.62,405.14,1309491,,0.0,0.0
08-10-2021,405.2,409.22,393.85,399.73,1101606,,0.0,0.0
11-10-2021,399.29,402.29,378.12,383.82,1321698,,0.0,0.0
12-10-2021,383.97,393.72,383.88,391.79,488067,,0.0,0.0
13-10-2021,394.86,396.76,369.61,378.66,1206135,,0.0,0.0
14-10-2021,383.97,390.43,382.08,384.23,932134,,0.0,0.0
18-10-2021,388.53,389.57,372.81,377.71,570036,,0.0,0.0
19-10-2021,378.41,380.87,360.85,363.82,492411,,0.0,0.0
20-10-2021,363.54,367.65,357.71,364.86,454968,,0.0,0.0
21-10-2021,364.86,366.07,349.77,353.41,576276,,0.0,0.0
22-10-2021,354.49,357.52,342.65,347.94,513744,,0.0,0.0
25-10-2021,347.94,351.16,336.36,343.67,376146,,0.0,0.0
26-10-2021,330.95,368.28,330.95,359.55,1629445,,0.0,0.0
27-10-2021,360.69,375.84,350.09,354.36,1007889,,0.0,0.0
28-10-2021,365.09,365.09,339.96,347.11,596638,,0.0,0.0
29-10-2021,348.03,349.46,338.6,344.9,356512,,0.0,0.0
01-11-2021,344.9,355.18,344.9,349.84,179452,,0.0,0.0
02-11-2021,352.84,363.57,350.56,359.99,561565,,0.0,0.0
03-11-2021,357.59,363.92,357.59,360.69,248985,,0.0,0.0
04-11-2021,368.28,368.28,361.54,363.76,32437,,0.0,0.0
08-11-2021,364.65,382.94,361.47,378.82,1415932,,0.83,0.0
09-11-2021,375.43,386.84,371.62,381.55,627856,,0.0,0.0
10-11-2021,380.37,380.5,373.02,377.11,172306,,0.0,0.0
11-11-2021,376.69,376.69,361.66,367.59,389181,,0.0,0.0
12-11-2021,373.49,383.61,370.35,378.31,1893790,,0.0,0.0
15-11-2021,378.95,393.18,378.79,391.66,896614,,0.0,0.0
16-11-2021,392.87,395.72,387.67,392.8,596256,,0.0,0.0
17-11-2021,394.42,399.46,388.81,390.23,719485,,0.0,0.0
18-11-2021,396.19,399.3,373.05,374.73,744640,,0.0,0.0
22-11-2021,378.09,378.47,371.02,374.13,544947,,0.0,0.0
23-11-2021,374.79,377.33,370.61,374.09,779671,,0.0,0.0
24-11-2021,377.01,378.47,371.05,372.98,1096834,,0.0,0.0
25-11-2021,375.43,379.61,371.08,373.9,829948,,0.0,0.0
26-11-2021,372.25,372.25,358.65,367.75,528133,,0.0,0.0
29-11-2021,367.18,367.18,351.3,361.32,538491,,0.0,0.0
30-11-2021,361.32,393.75,348.79,378.12,4473361,,0.0,0.0
01-12-2021,377.93,379.77,370.38,377.36,257992,,0.0,0.0
02-12-2021,374.16,383.54,374.16,380.47,156946,,0.0,0.0
03-12-2021,377.36,382.27,372.73,377.23,243979,,0.0,0.0
06-12-2021,375.43,380.5,372.98,378.18,181465,,0.0,0.0
07-12-2021,376.19,378.6,365.28,368.39,246979,,0.0,0.0
08-12-2021,370.99,373.4,367.97,371.49,379611,,0.0,0.0
09-12-2021,371.49,375.87,369.12,375.05,87288,,0.0,0.0
10-12-2021,375.05,380.15,373.84,378.63,141195,,0.0,0.0
13-12-2021,380.5,382.62,374.51,377.65,107824,,0.0,0.0
14-12-2021,377.65,377.93,371.11,372.83,161374,,0.0,0.0
15-12-2021,373.81,377.36,370.16,373.59,100008,,0.0,0.0
16-12-2021,372.26,374.16,364.65,369.53,162714,,0.0,0.0
17-12-2021,370.51,380.12,365.25,374.06,374350,,0.0,0.0
20-12-2021,370.89,376.63,362.77,372.86,204169,,0.0,0.0
21-12-2021,374.79,379.04,369.21,375.05,82738,,0.0,0.0
22-12-2021,376.35,378.98,372.22,374.0,64413,,0.0,0.0
23-12-2021,374.0,378.44,369.37,370.38,274932,,0.0,0.0
24-12-2021,370.99,373.49,362.93,365.15,111346,,0.0,0.0
27-12-2021,363.38,367.75,359.0,360.4,90694,,0.0,0.0
28-12-2021,361.41,362.3,356.21,357.29,410938,,0.0,0.0
29-12-2021,360.17,365.91,356.78,363.44,96793,,0.0,0.0
30-12-2021,364.01,370.8,361.47,368.77,156508,,0.0,0.0
31-12-2021,369.08,377.58,368.04,374.92,384015,,0.0,0.0
03-01-2022,373.52,377.71,370.57,376.57,100534,,0.0,0.0
04-01-2022,376.69,378.5,371.94,375.36,275556,,0.0,0.0
05-01-2022,379.86,379.86,372.48,378.76,440307,,0.0,0.0
06-01-2022,379.2,379.2,369.08,375.46,216028,,0.0,0.0
07-01-2022,373.52,381.23,372.26,379.17,276637,,0.0,0.0
10-01-2022,379.23,384.24,372.89,377.49,378478,,0.0,0.0
11-01-2022,379.8,383.0,375.49,380.91,481882,,0.0,0.0
12-01-2022,384.87,398.54,383.07,388.93,476886,,0.0,0.0
13-01-2022,389.22,395.72,384.94,391.12,216796,,0.0,0.0
14-01-2022,391.12,395.72,383.07,387.09,196375,,0.0,0.0
17-01-2022,387.47,392.58,384.02,384.53,80485,,0.0,0.0
18-01-2022,384.53,386.08,379.45,381.89,112446,,0.0,0.0
19-01-2022,378.98,381.61,374.51,377.65,73372,,0.0,0.0
20-01-2022,378.82,379.55,371.72,375.52,212223,,0.0,0.0
21-01-2022,374.16,377.49,359.76,365.09,581674,,0.0,0.0
24-01-2022,366.74,369.08,354.31,363.41,432834,,0.0,0.0
25-01-2022,360.21,372.0,355.73,364.77,241282,,0.0,0.0
27-01-2022,364.77,367.66,360.21,361.25,72805,,0.0,0.0
28-01-2022,358.34,365.44,358.3,361.73,154959,,0.0,0.0
31-01-2022,363.38,365.25,355.29,359.57,165996,,0.0,0.0
01-02-2022,365.91,365.91,350.19,354.72,510037,,0.0,0.0
02-02-2022,351.96,362.11,347.52,352.31,391141,,0.0,0.0
03-02-2022,350.63,353.13,345.3,352.15,188310,,0.0,0.0
04-02-2022,353.23,354.5,341.18,342.89,346978,,0.0,0.0
07-02-2022,345.3,346.25,336.84,338.87,115753,,0.0,0.0
08-02-2022,340.36,341.62,326.75,328.94,327018,,0.0,0.0
09-02-2022,329.39,332.05,322.16,323.49,259543,,0.0,0.0
10-02-2022,323.9,326.06,320.89,322.82,205572,,0.0,0.0
11-02-2022,322.79,322.82,313.91,315.5,407395,,0.0,0.0
14-02-2022,317.72,317.72,298.37,308.81,330292,,0.0,0.0
15-02-2022,307.57,314.64,303.13,312.93,149502,,0.0,0.0
16-02-2022,317.08,320.25,310.74,312.52,723408,,0.0,0.0
17-02-2022,313.28,314.55,307.76,313.75,794419,,0.0,0.0
18-02-2022,313.91,317.08,309.22,313.69,446104,,0.0,0.0
21-02-2022,313.28,313.69,305.03,311.85,584287,,0.0,0.0
22-02-2022,304.4,309.47,301.67,304.21,168441,,0.0,0.0
23-02-2022,305.79,310.46,292.57,294.32,590475,,0.0,0.0
24-02-2022,291.72,294.13,279.03,287.53,725320,,0.0,0.0
25-02-2022,287.91,296.38,283.47,285.91,138151,,0.0,0.0
