Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,2.35,2.44,2.33,2.38,16517820,,0.0,0.0
09-08-2021,2.38,2.4,2.35,2.36,8757350,,0.0,0.0
10-08-2021,2.38,2.38,2.24,2.27,13254020,,0.0,0.0
11-08-2021,2.28,2.32,2.08,2.28,25889360,,0.0,0.0
12-08-2021,2.3,2.35,2.29,2.33,12695500,,0.0,0.0
13-08-2021,2.34,2.34,2.3,2.31,7435160,,0.0,0.0
16-08-2021,2.24,2.28,2.17,2.19,19634550,,0.0,0.0
17-08-2021,2.21,2.24,2.17,2.19,13916440,,0.0,0.0
18-08-2021,2.2,2.22,2.18,2.19,10141710,,0.0,0.0
20-08-2021,2.17,2.23,2.14,2.15,9066850,,0.0,0.0
23-08-2021,2.18,2.18,1.99,2.03,12829340,,0.0,0.0
24-08-2021,2.05,2.14,2.02,2.1,8790240,,0.0,0.0
25-08-2021,2.11,2.28,2.11,2.24,25137760,,0.0,0.0
26-08-2021,2.3,2.35,2.25,2.29,17707690,,0.0,0.0
27-08-2021,2.29,2.34,2.28,2.31,11255920,,0.0,0.0
30-08-2021,2.34,2.35,2.28,2.29,7383370,,0.0,0.0
31-08-2021,2.26,2.38,2.24,2.28,16425620,,0.0,0.0
01-09-2021,2.3,2.31,2.25,2.26,5398870,,0.0,0.0
02-09-2021,2.26,2.61,2.26,2.49,62169620,,0.0,0.0
03-09-2021,2.51,2.69,2.5,2.63,64439590,,0.0,0.0
06-09-2021,2.63,2.69,2.59,2.6,23289960,,0.0,0.0
07-09-2021,2.6,2.68,2.6,2.61,16782480,,0.0,0.0
08-09-2021,2.61,2.67,2.56,2.58,14772590,,0.0,0.0
09-09-2021,2.58,2.62,2.54,2.59,8892410,,0.0,0.0
13-09-2021,2.56,2.62,2.46,2.49,15190900,,0.0,0.0
14-09-2021,2.49,2.53,2.45,2.48,9722390,,0.0,0.0
15-09-2021,2.5,2.59,2.49,2.53,15217640,,0.0,0.0
16-09-2021,2.54,2.6,2.53,2.55,11875940,,0.0,0.0
17-09-2021,2.57,2.62,2.49,2.54,16480070,,0.0,0.0
20-09-2021,2.52,2.57,2.47,2.47,8758580,,0.0,0.0
21-09-2021,2.46,2.55,2.41,2.5,8422410,,0.0,0.0
22-09-2021,2.52,2.58,2.5,2.56,10327270,,0.0,0.0
23-09-2021,2.56,2.62,2.55,2.56,12684990,,0.0,0.0
24-09-2021,2.56,2.63,2.53,2.55,10066020,,0.0,0.0
27-09-2021,2.53,2.63,2.52,2.61,16329820,,0.0,0.0
28-09-2021,2.62,2.68,2.58,2.63,11962240,,0.0,0.0
29-09-2021,2.68,2.74,2.64,2.71,25480780,,0.0,0.0
30-09-2021,2.74,2.77,2.66,2.66,21092450,,0.0,0.0
01-10-2021,2.69,2.69,2.6,2.63,10005290,,0.0,0.0
04-10-2021,2.65,2.67,2.59,2.59,20285860,,0.0,0.0
05-10-2021,2.6,2.62,2.52,2.54,18006220,,0.0,0.0
06-10-2021,2.56,2.59,2.45,2.46,24392730,,0.0,0.0
07-10-2021,2.53,2.66,2.53,2.62,63494480,,0.0,0.0
08-10-2021,2.64,2.91,2.6,2.79,134743100,,0.0,0.0
