Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
17-09-2024,830.0,848.0,781.5,793.3,24628312,,0.0,0.0
18-09-2024,788.9,804.0,764.55,771.3,2790237,,0.0,0.0
19-09-2024,771.0,771.9,694.2,699.05,3168112,,0.0,0.0
20-09-2024,710.0,752.0,681.1,731.4,3172480,,0.0,0.0
23-09-2024,745.0,804.5,727.05,804.5,3414240,,0.0,0.0
24-09-2024,808.95,835.0,778.95,808.35,5776033,,0.0,0.0
25-09-2024,814.75,820.0,781.3,788.65,1627625,,0.0,0.0
26-09-2024,790.0,802.95,757.05,771.65,1120067,,0.0,0.0
27-09-2024,781.0,781.0,761.05,766.75,446129,,0.0,0.0
30-09-2024,767.8,772.0,742.0,749.15,606278,,0.0,0.0
01-10-2024,756.9,785.0,750.0,766.85,1173640,,0.0,0.0
03-10-2024,761.0,794.6,755.0,769.55,1467249,,0.0,0.0
04-10-2024,778.5,782.4,745.5,756.8,934389,,0.0,0.0
07-10-2024,756.8,769.0,695.0,709.45,1455824,,0.0,0.0
08-10-2024,722.0,746.0,702.3,739.7,825963,,0.0,0.0
09-10-2024,750.05,756.95,736.05,750.0,684085,,0.0,0.0
10-10-2024,751.1,764.8,748.0,750.85,514506,,0.0,0.0
11-10-2024,754.05,757.45,734.6,744.2,293037,,0.0,0.0
14-10-2024,767.0,774.2,747.0,751.35,594889,,0.0,0.0
15-10-2024,754.75,766.7,754.0,760.9,499304,,0.0,0.0
16-10-2024,780.0,787.05,768.0,773.45,541117,,0.0,0.0
17-10-2024,776.0,778.8,745.1,750.45,300197,,0.0,0.0
18-10-2024,748.0,754.4,729.25,748.8,232309,,0.0,0.0
21-10-2024,752.7,759.65,734.05,741.2,286687,,0.0,0.0
22-10-2024,742.8,744.85,703.1,707.15,463253,,0.0,0.0
23-10-2024,707.95,720.7,688.85,694.5,564535,,0.0,0.0
24-10-2024,697.0,715.0,695.0,707.95,328506,,0.0,0.0
25-10-2024,700.25,707.0,685.0,699.35,320208,,0.0,0.0
28-10-2024,701.95,729.8,690.55,724.15,374480,,0.0,0.0
29-10-2024,728.85,729.0,695.8,700.6,431975,,0.0,0.0
30-10-2024,700.6,720.0,698.7,716.15,310580,,0.0,0.0
31-10-2024,713.05,725.95,705.0,715.6,358558,,0.0,0.0
01-11-2024,718.25,725.0,717.65,722.45,105548,,0.0,0.0
04-11-2024,722.95,723.0,708.0,712.55,208864,,0.0,0.0
05-11-2024,711.95,717.85,700.4,707.3,254278,,0.0,0.0
06-11-2024,710.05,750.0,706.6,743.65,557116,,0.0,0.0
07-11-2024,749.0,758.9,737.05,742.15,345278,,0.0,0.0
