Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
11-08-2023,470.83,494.37,447.29,484.42,3005946,,0.0,0.0
14-08-2023,499.28,499.28,460.19,478.34,1076086,,0.0,0.0
16-08-2023,454.45,468.87,454.45,454.84,498410,,0.0,0.0
17-08-2023,446.36,455.14,432.14,443.42,590648,,0.0,0.0
18-08-2023,436.99,460.04,427.92,456.9,343750,,0.0,0.0
21-08-2023,456.12,468.92,451.21,467.5,343062,,0.0,0.0
22-08-2023,467.5,479.66,450.72,457.2,106811,,0.0,0.0
23-08-2023,460.97,465.73,442.44,448.47,77752,,0.0,0.0
24-08-2023,454.16,456.12,436.5,447.05,210726,,0.0,0.0
25-08-2023,448.22,461.02,441.55,455.24,171912,,0.0,0.0
28-08-2023,461.91,473.29,446.31,458.62,199851,,0.0,0.0
29-08-2023,458.08,461.02,443.37,454.99,136262,,0.0,0.0
30-08-2023,449.25,462.99,449.06,461.12,209614,,0.0,0.0
31-08-2023,461.12,464.41,449.74,459.21,245719,,0.0,0.0
01-09-2023,460.97,462.0,449.25,452.1,132520,,0.0,0.0
04-09-2023,453.18,453.18,436.06,441.75,259354,,0.0,0.0
05-09-2023,437.24,445.43,430.47,440.28,209275,,0.0,0.0
06-09-2023,448.03,448.03,418.4,426.64,366770,,0.0,0.0
07-09-2023,422.72,427.77,403.2,412.08,476260,,0.0,0.0
08-09-2023,416.88,453.08,408.84,438.46,496323,,0.0,0.0
11-09-2023,441.41,446.21,418.75,424.49,219927,,0.0,0.0
12-09-2023,424.29,431.35,412.22,419.24,288904,,0.0,0.0
13-09-2023,416.88,425.17,407.32,413.7,137182,,0.0,0.0
14-09-2023,424.73,433.8,418.65,421.0,137555,,0.0,0.0
15-09-2023,426.69,441.41,418.6,438.32,293892,,0.0,0.0
18-09-2023,441.41,454.01,438.22,446.6,197170,,0.0,0.0
20-09-2023,446.6,446.6,436.5,440.67,179071,,0.0,0.0
21-09-2023,443.37,448.52,426.69,444.64,152999,,0.0,0.0
22-09-2023,448.03,453.08,427.38,438.27,180352,,0.0,0.0
25-09-2023,438.46,445.28,420.81,424.88,128903,,0.0,0.0
26-09-2023,426.69,433.31,423.01,426.59,59246,,0.0,0.0
27-09-2023,426.59,430.96,422.82,426.99,55357,,0.0,0.0
28-09-2023,426.99,440.43,426.99,431.3,69985,,0.0,0.0
29-09-2023,431.3,444.35,426.74,441.9,147525,,0.0,0.0
03-10-2023,441.41,476.82,437.58,462.69,278490,,0.0,0.0
04-10-2023,465.83,466.71,438.95,443.91,127978,,0.0,0.0
05-10-2023,450.58,450.58,439.93,442.04,91348,,0.0,0.0
06-10-2023,450.23,488.69,443.37,477.5,617568,,0.0,0.0
09-10-2023,470.73,475.39,455.38,460.39,142848,,0.0,0.0
10-10-2023,469.85,489.47,462.3,487.36,494278,,0.0,0.0
11-10-2023,491.48,523.8,491.48,519.19,739939,,0.0,0.0
12-10-2023,524.78,530.57,505.8,508.89,330201,,0.0,0.0
13-10-2023,504.97,515.71,500.26,503.15,165270,,0.0,0.0
16-10-2023,503.2,524.39,500.01,514.73,214428,,0.0,0.0
17-10-2023,519.34,564.02,519.29,537.58,642682,,0.0,0.0
18-10-2023,545.09,557.01,510.36,515.76,339069,,0.0,0.0
19-10-2023,515.95,533.56,503.4,526.94,280435,,0.0,0.0
20-10-2023,526.89,547.64,522.04,538.66,313342,,0.0,0.0
23-10-2023,519.88,536.5,483.39,487.7,637646,,0.0,0.0
25-10-2023,490.35,503.1,475.74,489.86,376765,,0.0,0.0
26-10-2023,493.39,502.12,470.83,497.76,292149,,0.0,0.0
27-10-2023,508.5,512.28,496.83,500.06,194461,,0.0,0.0
30-10-2023,498.3,506.15,492.07,498.54,110323,,0.0,0.0
31-10-2023,509.09,520.12,500.26,503.69,146468,,0.0,0.0
01-11-2023,510.02,510.02,490.45,494.91,89631,,0.0,0.0
