Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,1142.36,1142.36,1117.98,1121.32,111477,,0.0,0.0
09-08-2021,1129.28,1138.38,1126.43,1134.59,68368,,0.0,0.0
10-08-2021,1136.66,1140.78,1115.52,1121.96,109459,,0.0,0.0
11-08-2021,1122.99,1130.27,1103.29,1125.7,92840,,0.0,0.0
12-08-2021,1135.18,1147.96,1130.27,1142.45,109435,,0.0,0.0
13-08-2021,1151.84,1159.8,1142.31,1158.97,196384,,0.0,0.0
16-08-2021,1168.94,1217.2,1162.7,1189.04,892468,,0.0,0.0
17-08-2021,1202.53,1234.99,1186.43,1204.4,595763,,2.5,0.0
18-08-2021,1214.2,1226.17,1177.57,1191.85,246160,,0.0,0.0
20-08-2021,1190.71,1190.71,1160.28,1181.01,200438,,0.0,0.0
23-08-2021,1191.7,1201.55,1142.65,1155.46,198186,,0.0,0.0
24-08-2021,1161.17,1175.84,1153.29,1168.56,89591,,0.0,0.0
25-08-2021,1175.94,1175.94,1146.54,1151.71,141249,,0.0,0.0
26-08-2021,1156.05,1159.79,1147.38,1150.68,75913,,0.0,0.0
27-08-2021,1149.65,1152.11,1133.89,1142.31,157652,,0.0,0.0
30-08-2021,1150.88,1170.03,1143.49,1159.1,138604,,0.0,0.0
31-08-2021,1172.0,1196.23,1157.23,1173.48,360208,,0.0,0.0
01-09-2021,1181.95,1187.71,1166.09,1177.81,165495,,0.0,0.0
02-09-2021,1186.78,1198.0,1172.05,1180.77,162196,,0.0,0.0
03-09-2021,1190.71,1206.87,1181.85,1185.99,275825,,0.0,0.0
06-09-2021,1195.98,1211.4,1181.85,1184.9,235454,,0.0,0.0
07-09-2021,1192.59,1193.52,1162.15,1165.75,189446,,0.0,0.0
08-09-2021,1165.11,1178.45,1158.21,1162.89,157980,,0.0,0.0
09-09-2021,1164.12,1170.72,1157.72,1161.81,144309,,0.0,0.0
13-09-2021,1169.05,1181.85,1165.85,1178.75,166857,,0.0,0.0
14-09-2021,1191.7,1206.47,1167.87,1187.61,236958,,0.0,0.0
15-09-2021,1189.73,1203.03,1177.91,1180.47,219617,,0.0,0.0
16-09-2021,1191.11,1193.08,1173.28,1175.84,146459,,0.0,0.0
17-09-2021,1178.06,1188.75,1151.12,1154.03,431203,,0.0,0.0
20-09-2021,1157.23,1167.03,1137.83,1146.89,270081,,0.0,0.0
21-09-2021,1152.3,1157.72,1133.15,1136.69,288389,,0.0,0.0
22-09-2021,1146.4,1163.98,1132.51,1143.44,344494,,0.0,0.0
23-09-2021,1154.67,1159.99,1145.16,1153.19,287911,,0.0,0.0
24-09-2021,1162.1,1175.25,1139.11,1143.98,274848,,0.0,0.0
27-09-2021,1158.26,1158.26,1132.07,1136.84,278308,,0.0,0.0
28-09-2021,1146.79,1146.89,1132.11,1136.84,260120,,0.0,0.0
29-09-2021,1139.35,1144.13,1120.79,1123.74,299850,,0.0,0.0
30-09-2021,1130.64,1152.3,1118.82,1123.79,322175,,0.0,0.0
01-10-2021,1123.55,1160.18,1121.72,1153.88,603137,,0.0,0.0
04-10-2021,1153.93,1196.62,1153.93,1188.45,741134,,0.0,0.0
05-10-2021,1194.85,1204.45,1164.71,1181.75,365279,,0.0,0.0
06-10-2021,1191.7,1191.7,1175.99,1186.48,199523,,0.0,0.0
07-10-2021,1182.05,1329.43,1182.05,1309.98,1894059,,0.0,0.0
08-10-2021,1330.07,1383.26,1280.34,1292.7,1326258,,0.0,0.0
11-10-2021,1329.58,1360.9,1318.55,1340.42,618441,,0.0,0.0
12-10-2021,1343.37,1361.3,1320.57,1339.33,239086,,0.0,0.0
13-10-2021,1349.08,1350.66,1327.61,1345.49,176901,,0.0,0.0
14-10-2021,1343.37,1348.15,1322.25,1331.65,145412,,0.0,0.0
18-10-2021,1339.43,1370.95,1330.57,1349.58,227737,,0.0,0.0
19-10-2021,1358.93,1360.31,1328.6,1331.26,143516,,0.0,0.0
20-10-2021,1319.73,1339.43,1277.29,1317.57,235976,,0.0,0.0
21-10-2021,1327.81,1334.41,1289.99,1301.56,195723,,0.0,0.0
22-10-2021,1306.39,1346.33,1294.13,1336.62,191443,,0.0,0.0
25-10-2021,1353.22,1353.22,1274.48,1285.46,181898,,0.0,0.0
26-10-2021,1290.58,1332.59,1288.37,1318.5,173910,,0.0,0.0
27-10-2021,1327.22,1339.23,1292.5,1306.78,206258,,0.0,0.0
28-10-2021,1306.93,1312.64,1281.67,1293.39,112908,,0.0,0.0
29-10-2021,1294.13,1318.75,1280.34,1310.87,105150,,0.0,0.0
01-11-2021,1310.87,1327.56,1288.22,1320.18,128260,,0.0,0.0
02-11-2021,1302.2,1326.58,1265.57,1314.46,232955,,0.0,0.0
03-11-2021,1324.66,1398.52,1314.51,1388.33,799038,,0.0,0.0
04-11-2021,1407.39,1426.1,1404.43,1414.48,154187,,0.0,0.0
08-11-2021,1417.24,1423.15,1361.39,1371.69,322035,,0.0,0.0
09-11-2021,1381.58,1392.61,1370.95,1373.26,143929,,0.0,0.0
10-11-2021,1370.95,1381.29,1359.13,1364.45,83668,,0.0,0.0
11-11-2021,1359.72,1370.06,1330.81,1340.22,110660,,0.0,0.0
12-11-2021,1345.34,1359.08,1337.81,1355.98,74261,,0.0,0.0
15-11-2021,1367.01,1382.72,1359.13,1376.12,124530,,0.0,0.0
16-11-2021,1375.72,1396.46,1365.04,1371.44,113423,,0.0,0.0
17-11-2021,1370.95,1370.95,1338.45,1341.94,98116,,0.0,0.0
18-11-2021,1348.3,1349.43,1302.2,1311.9,144375,,0.0,0.0
22-11-2021,1301.02,1326.48,1255.72,1273.05,377439,,0.0,0.0
23-11-2021,1267.54,1283.29,1226.17,1270.24,235975,,0.0,0.0
24-11-2021,1282.31,1325.64,1275.41,1296.29,195036,,0.0,0.0
25-11-2021,1299.84,1313.73,1278.37,1280.98,142348,,0.0,0.0
26-11-2021,1277.29,1303.98,1261.72,1272.9,152733,,0.0,0.0
29-11-2021,1207.65,1230.11,1146.69,1206.67,655846,,0.0,0.0
30-11-2021,1206.67,1292.16,1206.47,1275.07,305089,,0.0,0.0
01-12-2021,1271.47,1281.82,1248.97,1267.04,131504,,0.0,0.0
02-12-2021,1269.41,1278.07,1251.93,1261.28,122901,,0.0,0.0
03-12-2021,1269.11,1269.21,1231.69,1255.08,123756,,0.0,0.0
06-12-2021,1265.07,1265.07,1231.09,1233.66,106923,,0.0,0.0
07-12-2021,1240.16,1248.82,1227.89,1244.19,76621,,0.0,0.0
08-12-2021,1253.21,1284.28,1253.11,1280.29,140849,,0.0,0.0
09-12-2021,1290.19,1314.81,1270.49,1274.13,199453,,0.0,0.0
10-12-2021,1280.73,1280.73,1262.51,1269.41,180726,,0.0,0.0
13-12-2021,1279.06,1280.24,1260.79,1269.8,103558,,0.0,0.0
14-12-2021,1272.26,1279.16,1254.73,1265.17,75583,,0.0,0.0
15-12-2021,1270.34,1278.37,1260.64,1273.25,56697,,0.0,0.0
16-12-2021,1279.99,1280.34,1255.72,1259.8,75616,,0.0,0.0
17-12-2021,1250.79,1255.72,1235.92,1252.12,175658,,0.0,0.0
20-12-2021,1239.56,1239.56,1196.62,1211.15,240688,,0.0,0.0
21-12-2021,1201.55,1237.2,1201.55,1229.67,101309,,0.0,0.0
22-12-2021,1245.82,1246.31,1226.17,1230.75,116617,,0.0,0.0
23-12-2021,1241.29,1241.29,1226.17,1230.01,136700,,0.0,0.0
24-12-2021,1236.51,1236.51,1215.34,1224.79,94695,,0.0,0.0
27-12-2021,1235.03,1235.03,1207.46,1214.35,82692,,0.0,0.0
28-12-2021,1221.25,1239.96,1220.51,1232.77,121016,,0.0,0.0
29-12-2021,1231.09,1240.94,1223.86,1237.25,51750,,0.0,0.0
30-12-2021,1245.87,1301.02,1240.94,1289.7,231106,,0.0,0.0
31-12-2021,1296.1,1316.63,1275.22,1293.54,184175,,0.0,0.0
03-01-2022,1295.8,1311.85,1281.32,1301.17,165425,,0.0,0.0
04-01-2022,1302.99,1323.23,1302.01,1311.56,131749,,0.0,0.0
05-01-2022,1315.25,1324.76,1295.21,1319.39,109406,,0.0,0.0
06-01-2022,1314.81,1341.3,1306.78,1327.42,148734,,0.0,0.0
07-01-2022,1319.73,1353.12,1311.71,1328.89,157918,,0.0,0.0
10-01-2022,1338.99,1343.76,1312.89,1316.68,89597,,0.0,0.0
11-01-2022,1324.81,1342.39,1303.78,1317.32,105351,,0.0,0.0
12-01-2022,1315.79,1332.59,1292.5,1301.96,113368,,0.0,0.0
13-01-2022,1312.4,1330.57,1301.02,1306.88,99850,,0.0,0.0
14-01-2022,1310.43,1327.61,1305.6,1311.36,87410,,0.0,0.0
17-01-2022,1320.52,1348.98,1307.03,1312.54,155617,,0.0,0.0
18-01-2022,1322.69,1324.26,1290.19,1294.52,79648,,0.0,0.0
19-01-2022,1295.11,1307.52,1278.27,1302.01,79397,,0.0,0.0
20-01-2022,1302.01,1311.02,1292.99,1298.81,50124,,0.0,0.0
21-01-2022,1299.3,1304.96,1285.36,1296.34,74270,,0.0,0.0
24-01-2022,1298.07,1298.12,1242.91,1272.95,172700,,0.0,0.0
25-01-2022,1271.47,1299.74,1234.1,1249.86,190456,,0.0,0.0
27-01-2022,1251.24,1264.43,1243.46,1248.33,110454,,0.0,0.0
28-01-2022,1256.6,1279.35,1246.85,1252.12,94264,,0.0,0.0
31-01-2022,1250.79,1250.79,1208.98,1212.38,322223,,0.0,0.0
01-02-2022,1223.41,1250.79,1221.2,1245.67,148748,,0.0,0.0
02-02-2022,1253.99,1303.98,1243.26,1287.92,220855,,0.0,0.0
03-02-2022,1303.63,1319.59,1266.8,1282.16,143451,,0.0,0.0
04-02-2022,1279.35,1298.07,1275.71,1290.48,119036,,0.0,0.0
07-02-2022,1299.2,1299.2,1263.25,1274.33,161902,,0.0,0.0
08-02-2022,1283.24,1295.11,1265.57,1285.71,991705,,0.0,0.0
09-02-2022,1294.37,1312.35,1285.26,1289.4,388071,,0.0,0.0
10-02-2022,1299.05,1311.85,1283.93,1290.34,81666,,0.0,0.0
11-02-2022,1265.76,1291.27,1265.76,1275.61,62169,,0.0,0.0
14-02-2022,1234.05,1268.13,1226.22,1247.15,139998,,0.0,0.0
15-02-2022,1231.09,1256.9,1230.41,1252.22,101050,,0.0,0.0
16-02-2022,1260.44,1271.67,1234.1,1251.38,91634,,0.0,0.0
17-02-2022,1260.54,1276.89,1247.49,1260.1,145452,,0.0,0.0
18-02-2022,1251.78,1258.08,1247.94,1252.07,49420,,0.0,0.0
21-02-2022,1250.74,1260.54,1232.08,1235.92,102445,,0.0,0.0
22-02-2022,1223.22,1240.99,1219.28,1231.05,149246,,0.0,0.0
23-02-2022,1237.15,1252.22,1208.94,1212.43,132877,,0.0,0.0
24-02-2022,1201.55,1212.09,1142.65,1152.94,254297,,0.0,0.0
25-02-2022,1167.32,1215.73,1167.32,1203.76,106235,,0.0,0.0
28-02-2022,1189.73,1206.47,1168.21,1198.5,99410,,0.0,0.0
