Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,364.7,368.05,357.62,362.02,11146,,0.0,0.0
09-08-2021,364.95,368.55,345.08,350.57,25618,,0.0,0.0
10-08-2021,350.57,359.98,334.88,344.79,20830,,0.0,0.0
11-08-2021,344.79,383.71,339.72,365.89,80078,,0.0,0.0
12-08-2021,368.45,388.28,359.98,374.73,108734,,0.0,0.0
13-08-2021,374.53,379.84,367.4,369.14,14578,,0.0,0.0
16-08-2021,369.14,409.61,369.14,385.7,232066,,0.0,0.0
17-08-2021,388.78,388.78,372.42,377.21,39918,,0.0,0.0
18-08-2021,378.25,392.25,372.44,382.6,52096,,0.0,0.0
20-08-2021,372.39,388.28,372.39,375.3,60940,,0.0,0.0
23-08-2021,372.64,382.32,372.42,373.11,26562,,0.0,0.0
24-08-2021,372.99,405.81,372.89,390.84,70720,,0.0,0.0
25-08-2021,386.79,419.56,385.05,410.13,450356,,0.0,0.0
26-08-2021,412.96,426.51,408.14,415.44,225414,,0.0,0.0
27-08-2021,415.44,415.44,395.9,405.26,75358,,0.0,0.0
30-08-2021,409.98,418.22,399.21,402.04,101776,,0.0,0.0
31-08-2021,406.38,422.05,404.02,421.4,138492,,0.0,0.0
01-09-2021,427.01,430.98,416.58,420.9,123798,,0.0,0.0
02-09-2021,428.5,435.95,422.12,427.51,197636,,0.0,0.0
03-09-2021,431.83,432.13,421.55,425.92,38628,,0.0,0.0
06-09-2021,438.26,438.26,417.23,423.51,92186,,0.0,0.0
07-09-2021,427.01,434.46,426.37,431.7,68276,,0.0,0.0
08-09-2021,435.95,440.34,424.6,428.13,87846,,0.0,0.0
09-09-2021,431.98,437.93,428.23,432.27,28946,,0.0,0.0
13-09-2021,437.44,437.44,431.01,432.62,22594,,0.0,0.0
14-09-2021,436.79,436.79,421.05,423.86,26086,,0.0,0.0
15-09-2021,428.85,431.98,410.63,412.93,62324,,0.0,0.0
16-09-2021,412.61,419.56,412.61,416.06,30218,,0.0,0.0
17-09-2021,421.55,430.59,413.21,425.45,67912,,0.0,0.0
20-09-2021,431.98,431.98,409.63,411.2,36556,,0.0,0.0
21-09-2021,414.1,421.13,402.18,411.79,39452,,0.0,0.0
22-09-2021,426.02,433.89,404.74,410.77,86376,,0.0,0.0
23-09-2021,414.08,428.72,410.13,425.27,49754,,0.0,0.0
24-09-2021,430.98,430.98,418.57,421.87,13956,,0.0,0.0
27-09-2021,430.49,438.43,417.3,433.89,54774,,0.0,0.0
28-09-2021,438.26,439.42,427.06,436.07,28600,,0.0,0.0
29-09-2021,436.94,438.26,428.0,430.69,19586,,0.0,0.0
30-09-2021,435.8,446.87,428.65,431.48,38728,,0.0,0.0
01-10-2021,427.01,436.35,414.85,419.79,44016,,0.0,0.0
04-10-2021,426.02,438.9,405.93,418.12,97590,,0.0,0.0
05-10-2021,414.08,414.08,405.44,410.55,51774,,0.0,0.0
06-10-2021,414.6,419.84,413.01,415.42,21164,,0.0,0.0
07-10-2021,419.07,429.47,409.63,419.91,41942,,0.0,0.0
