Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
14-07-2023,213.46,220.41,199.17,201.2,30232142,,0.0,0.0
17-07-2023,201.55,204.78,191.12,198.84,5901876,,0.0,0.0
18-07-2023,197.58,201.87,192.12,193.75,2018980,,0.0,0.0
19-07-2023,194.6,196.04,190.8,191.22,1124340,,0.0,0.0
20-07-2023,190.13,191.12,179.43,180.77,2141732,,0.0,0.0
21-07-2023,179.68,189.53,177.94,186.16,2807828,,0.0,0.0
24-07-2023,186.31,189.61,181.19,184.42,1969514,,0.0,0.0
25-07-2023,186.06,188.29,183.7,187.43,1014816,,0.0,0.0
26-07-2023,188.17,194.55,187.85,190.33,1702416,,0.0,0.0
27-07-2023,190.88,192.09,188.89,190.92,571040,,0.0,0.0
28-07-2023,190.92,207.51,190.63,205.49,4297024,,0.0,0.0
31-07-2023,207.7,211.48,205.02,206.09,2198476,,0.0,0.0
01-08-2023,206.51,208.37,201.05,201.92,1029376,,0.0,0.0
02-08-2023,201.0,202.71,192.51,194.15,1491660,,0.0,0.0
03-08-2023,197.01,197.01,190.73,192.12,700610,,0.0,0.0
04-08-2023,193.95,198.4,193.63,195.57,536828,,0.0,0.0
07-08-2023,197.43,200.03,194.35,195.59,393822,,0.0,0.0
08-08-2023,196.56,197.48,192.89,195.12,527138,,0.0,0.0
09-08-2023,194.8,201.95,192.49,198.84,772356,,0.0,0.0
10-08-2023,197.78,206.36,191.62,193.46,1699122,,0.0,0.0
11-08-2023,194.55,200.16,192.66,197.15,1082594,,0.0,0.0
14-08-2023,198.52,203.73,194.18,201.52,950398,,0.0,0.0
16-08-2023,203.43,205.25,196.58,197.58,1099960,,0.0,0.0
17-08-2023,200.03,202.54,196.66,201.3,844184,,0.0,0.0
18-08-2023,203.53,210.61,201.3,202.04,2019334,,0.0,0.0
21-08-2023,206.02,208.35,199.12,204.6,1337782,,0.0,0.0
22-08-2023,205.0,207.85,203.61,205.25,798986,,0.0,0.0
23-08-2023,206.76,214.6,204.75,207.7,2165990,,0.0,0.0
24-08-2023,208.92,211.95,208.03,209.79,855058,,0.0,0.0
25-08-2023,208.8,209.91,204.1,206.09,799932,,0.0,0.0
28-08-2023,208.37,210.31,204.08,205.32,465914,,0.0,0.0
29-08-2023,207.46,207.68,200.31,200.83,538590,,0.0,0.0
30-08-2023,202.76,203.63,198.59,201.32,458644,,0.0,0.0
31-08-2023,202.54,205.74,198.57,202.09,729542,,0.0,0.0
01-09-2023,203.01,204.78,200.7,202.59,386904,,0.0,0.0
04-09-2023,203.53,204.75,200.06,200.75,467514,,0.0,0.0
05-09-2023,202.54,202.54,193.13,193.61,1266874,,0.0,0.0
06-09-2023,195.59,200.9,194.6,197.85,924210,,0.0,0.0
07-09-2023,197.58,199.56,195.62,196.66,419564,,0.0,0.0
08-09-2023,197.58,201.05,197.08,199.56,755702,,0.0,0.0
11-09-2023,199.07,200.88,196.66,197.55,477950,,0.0,0.0
12-09-2023,197.55,199.24,188.64,196.06,870536,,0.0,0.0
13-09-2023,196.83,202.54,193.75,199.22,820232,,0.0,0.0
14-09-2023,201.0,208.5,199.51,206.79,1205278,,0.0,0.0
15-09-2023,207.98,242.75,207.95,237.66,13090612,,0.0,0.0
18-09-2023,234.24,239.13,228.93,234.98,2807750,,0.0,0.0
20-09-2023,234.14,245.58,230.49,232.6,1680600,,0.0,0.0
21-09-2023,232.33,252.68,232.2,242.21,4175046,,0.0,0.0
22-09-2023,242.5,251.39,238.28,248.11,1740832,,0.0,0.0
25-09-2023,254.39,265.59,254.17,260.45,3278960,,0.0,0.0
26-09-2023,263.1,267.9,258.14,264.4,1420666,,0.0,0.0
27-09-2023,264.59,310.99,263.5,302.12,10037758,,0.0,0.0
28-09-2023,304.8,334.59,304.68,312.0,11233364,,0.0,0.0
29-09-2023,314.78,315.06,296.61,306.07,1944170,,0.0,0.0
03-10-2023,303.34,326.55,298.85,318.8,1875140,,0.0,0.0
04-10-2023,319.7,335.04,312.77,324.88,1916578,,0.0,0.0
05-10-2023,327.64,331.02,313.24,316.72,990480,,0.0,0.0
06-10-2023,316.72,323.52,316.72,320.0,543102,,0.0,0.0
09-10-2023,318.11,320.0,298.48,301.8,921048,,0.0,0.0
10-10-2023,305.3,318.21,303.91,305.85,1232144,,0.0,0.0
11-10-2023,309.12,327.64,307.81,323.1,1520222,,0.0,0.0
12-10-2023,324.17,340.55,322.13,326.0,2065152,,0.0,0.0
13-10-2023,326.4,331.81,317.26,323.02,721012,,0.0,0.0
16-10-2023,324.14,331.12,317.26,328.36,948668,,0.0,0.0
17-10-2023,332.6,345.41,328.98,332.11,1305690,,0.0,0.0
18-10-2023,334.42,339.03,330.2,337.44,604984,,0.0,0.0
19-10-2023,339.23,342.53,332.6,340.97,583326,,0.0,0.0
20-10-2023,340.75,359.41,340.08,346.16,1009454,,0.0,0.0
23-10-2023,347.32,352.56,311.56,315.18,1502256,,0.0,0.0
25-10-2023,319.2,324.66,302.82,306.91,687358,,0.0,0.0
26-10-2023,308.16,310.27,288.92,304.78,762822,,0.0,0.0
27-10-2023,307.83,320.19,307.83,310.66,417956,,0.0,0.0
30-10-2023,312.9,330.59,312.75,328.11,525452,,0.0,0.0
31-10-2023,334.07,336.58,327.66,334.17,497996,,0.0,0.0
01-11-2023,337.07,343.55,325.18,330.44,603398,,0.0,0.0
02-11-2023,336.6,342.04,331.29,337.1,598316,,0.0,0.0
03-11-2023,339.26,370.8,338.59,370.8,3581120,,0.0,0.0
06-11-2023,388.2,388.63,356.46,359.34,2307630,,0.0,0.0
07-11-2023,361.4,366.71,343.2,352.61,1240236,,0.0,0.0
08-11-2023,354.94,360.4,343.08,345.19,804080,,0.0,0.0
09-11-2023,347.05,354.35,342.66,348.39,760618,,0.0,0.0
10-11-2023,346.5,346.5,313.74,326.35,1824432,,0.0,0.0
13-11-2023,342.53,354.94,334.12,345.46,1152024,,0.0,0.0
15-11-2023,350.97,350.97,336.08,344.94,801192,,0.0,0.0
16-11-2023,346.5,348.91,340.55,341.66,532586,,0.0,0.0
17-11-2023,341.54,341.99,331.56,335.96,491390,,0.0,0.0
20-11-2023,338.56,356.43,338.26,347.82,1038632,,0.0,0.0
21-11-2023,351.47,354.68,344.51,351.9,439872,,0.5,0.0
22-11-2023,353.31,369.87,345.51,349.41,1466058,,0.0,0.0
23-11-2023,351.42,376.8,350.48,368.58,1959768,,0.0,0.0
24-11-2023,370.36,380.21,361.07,363.55,886746,,0.0,0.0
28-11-2023,365.12,368.82,358.98,361.71,399204,,0.0,0.0
29-11-2023,363.4,365.19,352.97,358.66,402196,,0.0,0.0
30-11-2023,358.96,371.33,356.27,357.49,514424,,0.0,0.0
01-12-2023,358.21,369.82,358.21,365.29,613486,,0.0,0.0
04-12-2023,375.34,390.25,368.18,384.11,1409510,,0.0,0.0
05-12-2023,386.1,386.1,365.39,373.89,833546,,0.0,0.0
06-12-2023,375.24,381.8,365.64,368.2,386952,,0.0,0.0
07-12-2023,369.07,371.83,357.94,361.89,522060,,0.0,0.0
08-12-2023,363.01,366.56,351.97,358.46,491808,,0.0,0.0
11-12-2023,359.58,365.39,357.34,360.79,357984,,0.0,0.0
12-12-2023,362.41,379.06,361.62,376.4,1121372,,0.0,0.0
13-12-2023,375.71,383.79,367.95,370.32,584924,,0.0,0.0
14-12-2023,373.35,409.27,370.36,378.05,3751642,,0.0,0.0
15-12-2023,381.23,386.5,367.88,372.25,908680,,0.0,0.0
18-12-2023,373.35,377.82,362.01,372.5,655566,,0.0,0.0
19-12-2023,372.78,374.84,367.38,370.81,453352,,0.0,0.0
20-12-2023,371.36,383.12,355.45,358.28,1294014,,0.0,0.0
21-12-2023,356.94,365.29,350.01,360.12,564812,,0.0,0.0
22-12-2023,361.89,367.03,357.27,361.69,398928,,0.0,0.0
26-12-2023,362.58,366.88,357.94,359.08,340724,,0.0,0.0
27-12-2023,362.24,363.93,351.5,354.06,522234,,0.0,0.0
28-12-2023,354.21,357.79,346.5,349.61,523990,,0.0,0.0
29-12-2023,350.21,353.76,344.17,346.33,585214,,0.0,0.0
