Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
04-04-2022,477.1,477.1,399.26,402.95,10915,,0.0,0.0
05-04-2022,438.66,438.66,386.3,398.62,8850,,0.0,0.0
06-04-2022,405.48,477.11,383.29,447.5,26315,,0.0,0.0
07-04-2022,447.37,453.16,424.23,431.23,10080,,0.0,0.0
08-04-2022,444.3,444.77,419.24,433.08,3780,,0.0,0.0
11-04-2022,444.15,463.14,417.22,419.09,12345,,0.0,0.0
12-04-2022,420.22,429.0,395.26,412.36,9440,,0.0,0.0
13-04-2022,412.01,419.22,401.25,408.96,4435,,0.0,0.0
18-04-2022,419.02,419.2,390.48,412.82,7025,,0.0,0.0
19-04-2022,407.79,425.21,407.79,419.42,2640,,0.0,0.0
20-04-2022,411.21,436.98,411.21,426.91,5830,,0.0,0.0
21-04-2022,419.64,438.31,419.64,433.74,2100,,0.0,0.0
22-04-2022,438.31,449.14,423.52,443.75,7200,,0.0,0.0
25-04-2022,443.79,448.96,423.4,427.04,10415,,0.0,0.0
26-04-2022,433.77,438.98,414.24,429.65,4795,,0.0,0.0
27-04-2022,421.21,430.79,408.05,411.83,3960,,0.0,0.0
28-04-2022,403.65,426.76,396.47,400.2,27070,,0.0,0.0
29-04-2022,403.42,411.23,395.88,404.06,22010,,0.0,0.0
02-05-2022,404.25,415.93,394.37,411.46,3505,,0.0,0.0
04-05-2022,403.37,413.69,399.26,408.51,2945,,0.0,0.0
05-05-2022,403.26,410.22,389.23,399.87,18930,,0.0,0.0
06-05-2022,396.15,409.14,393.37,400.8,6955,,0.0,0.0
09-05-2022,399.27,423.21,395.28,415.37,18230,,0.0,0.0
10-05-2022,413.14,415.23,393.5,400.6,5810,,0.0,0.0
11-05-2022,404.05,405.13,321.44,339.2,109045,,0.0,0.0
12-05-2022,333.38,344.36,307.68,313.57,27580,,0.0,0.0
13-05-2022,319.2,334.65,315.41,323.85,18615,,0.0,0.0
16-05-2022,327.39,349.35,319.4,343.28,12820,,0.0,0.0
17-05-2022,346.11,366.32,346.11,357.7,5060,,0.0,0.0
18-05-2022,351.68,374.5,350.13,359.25,2870,,0.0,0.0
19-05-2022,351.34,359.33,345.93,350.13,7740,,0.0,0.0
20-05-2022,350.44,363.31,349.35,351.38,965,,0.0,0.0
23-05-2022,361.12,367.31,352.36,357.01,3440,,0.0,0.0
24-05-2022,359.97,363.3,347.98,357.03,16560,,0.0,0.0
25-05-2022,358.37,367.47,349.77,353.01,17060,,0.0,0.0
