Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-01-2023,24.82,26.69,22.0,22.34,504720,,0.0,0.0
09-01-2023,23.38,23.59,22.12,22.58,899950,,0.0,0.0
10-01-2023,22.92,27.1,22.81,27.1,4128970,,0.0,0.0
11-01-2023,28.8,30.99,28.11,30.43,17789860,,0.0,0.0
12-01-2023,29.99,31.26,29.05,31.06,7899000,,0.0,0.0
13-01-2023,30.99,31.26,30.29,30.69,4175300,,0.0,0.0
16-01-2023,30.78,32.18,27.81,28.61,3685620,,0.0,0.0
17-01-2023,28.4,28.4,26.82,27.15,566710,,0.0,0.0
18-01-2023,27.18,27.18,25.37,25.38,2127350,,0.0,0.0
19-01-2023,25.14,27.92,25.14,26.99,2612370,,0.0,0.0
20-01-2023,27.55,27.55,25.13,25.19,509900,,0.0,0.0
23-01-2023,25.72,27.7,25.08,27.31,2758220,,0.0,0.0
24-01-2023,27.5,27.76,26.02,27.16,633950,,0.0,0.0
25-01-2023,27.56,27.57,26.04,26.29,246020,,0.0,0.0
27-01-2023,26.69,27.0,25.18,26.55,368710,,0.0,0.0
30-01-2023,27.06,27.61,26.03,26.59,293350,,0.0,0.0
31-01-2023,26.23,27.61,26.23,27.06,185870,,0.0,0.0
01-02-2023,26.65,27.61,26.22,27.1,242890,,0.0,0.0
02-02-2023,27.41,27.6,26.55,27.07,478410,,0.0,0.0
03-02-2023,27.02,29.44,26.63,28.11,749360,,0.0,0.0
06-02-2023,28.71,30.19,28.71,29.96,480300,,0.0,0.0
07-02-2023,30.39,31.73,28.93,29.69,1329140,,0.0,0.0
08-02-2023,29.98,31.36,29.51,30.89,381140,,0.0,0.0
09-02-2023,30.89,33.77,30.35,33.45,1218170,,0.0,0.0
10-02-2023,34.13,34.56,29.8,30.84,1091930,,0.0,0.0
13-02-2023,30.38,32.55,29.8,31.53,859100,,0.0,0.0
14-02-2023,32.0,32.05,29.92,30.1,344870,,0.0,0.0
15-02-2023,30.55,31.27,29.79,29.82,660400,,0.0,0.0
16-02-2023,30.12,30.33,29.8,29.82,662740,,0.0,0.0
17-02-2023,29.89,31.76,29.89,30.68,627740,,0.1,0.0
20-02-2023,30.78,31.0,30.0,30.07,150130,,0.0,0.0
21-02-2023,30.37,30.76,30.19,30.52,275260,,0.0,0.0
22-02-2023,30.79,30.79,28.7,28.99,360650,,0.0,0.0
23-02-2023,29.14,29.14,28.7,28.73,276800,,0.0,0.0
24-02-2023,28.89,34.48,28.89,34.3,4748990,,0.0,0.0
27-02-2023,33.98,35.37,33.08,33.7,2472980,,0.0,0.0
28-02-2023,33.68,34.21,32.11,32.64,470850,,0.0,0.0
01-03-2023,32.15,33.57,32.05,32.8,639950,,0.0,0.0
02-03-2023,32.42,33.14,31.61,32.09,229050,,0.0,0.0
03-03-2023,32.24,32.56,30.91,31.11,429530,,0.0,0.0
06-03-2023,31.49,33.89,30.9,31.41,1157470,,0.0,0.0
08-03-2023,31.88,31.88,30.94,31.42,175180,,0.0,0.0
09-03-2023,32.86,32.86,30.64,30.9,180190,,0.0,0.0
10-03-2023,31.39,31.39,30.44,30.74,118540,,0.0,0.0
13-03-2023,30.89,31.95,27.43,28.0,815640,,0.0,0.0
14-03-2023,28.42,28.42,26.46,27.46,503980,,0.0,0.0
15-03-2023,27.88,28.39,26.41,26.78,239290,,0.0,0.0
16-03-2023,27.18,27.35,25.51,25.88,352410,,0.0,0.0
17-03-2023,26.27,27.04,25.92,26.34,196240,,0.0,0.0
20-03-2023,26.19,27.15,25.68,26.71,383230,,0.0,0.0
21-03-2023,26.61,27.07,26.33,26.4,294190,,0.0,0.0
22-03-2023,26.0,27.72,26.0,27.0,483300,,0.0,0.0
23-03-2023,27.0,27.0,26.04,26.32,55940,,0.0,0.0
24-03-2023,26.63,27.1,24.71,25.09,296210,,0.0,0.0
27-03-2023,25.01,25.34,20.57,24.1,213690,,0.0,0.0
28-03-2023,23.74,28.92,22.53,28.81,4178670,,0.0,0.0
29-03-2023,29.39,29.79,27.06,28.01,3036620,,0.0,0.0
31-03-2023,28.01,28.24,27.0,27.15,169850,,0.0,0.0
03-04-2023,28.19,28.54,27.03,27.44,268200,,0.0,0.0
05-04-2023,28.1,29.15,26.99,28.31,659170,,0.0,0.0
06-04-2023,28.31,33.88,28.31,31.24,7236940,,0.0,0.0
10-04-2023,31.12,35.35,30.95,34.54,6664800,,0.0,0.0
11-04-2023,34.88,36.77,32.98,33.68,4547700,,0.0,0.0
12-04-2023,33.68,34.06,32.48,33.52,1365520,,0.0,0.0
13-04-2023,33.68,33.88,32.88,33.15,552380,,0.0,0.0
17-04-2023,33.08,33.85,32.63,33.45,286000,,0.0,0.0
18-04-2023,33.41,36.85,33.41,34.17,2340390,,0.0,0.0
19-04-2023,34.56,35.51,33.89,34.16,473310,,0.0,0.0
20-04-2023,34.37,34.88,33.92,34.15,380950,,0.0,0.0
21-04-2023,33.88,34.3,32.79,32.87,884040,,0.0,0.0
24-04-2023,32.89,34.38,31.69,32.58,779260,,0.0,0.0
25-04-2023,32.88,33.58,31.89,32.1,280280,,0.0,0.0
26-04-2023,32.71,33.21,31.89,32.81,517180,,0.0,0.0
27-04-2023,33.13,34.53,32.64,33.47,808060,,0.0,0.0
28-04-2023,33.73,33.85,32.39,32.87,212080,,0.0,0.0
02-05-2023,32.48,34.58,32.48,34.26,576830,,0.0,0.0
03-05-2023,32.88,34.67,32.88,34.34,263170,,0.0,0.0
04-05-2023,34.34,35.96,34.27,34.52,954920,,0.0,0.0
