Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,437.61,445.21,432.58,435.85,25094,,0.0,0.0
09-08-2021,490.45,490.45,426.54,431.45,136054,,0.0,0.0
10-08-2021,432.7,444.85,397.25,405.43,69696,,0.0,0.0
11-08-2021,415.85,415.85,379.75,400.23,178308,,0.0,0.0
12-08-2021,400.23,413.93,392.75,394.19,59748,,0.0,0.0
13-08-2021,394.19,414.89,392.75,402.13,23126,,0.0,0.0
16-08-2021,402.86,409.11,394.24,404.56,13060,,0.0,0.0
17-08-2021,410.52,410.69,398.97,403.2,14820,,1.94,0.0
18-08-2021,399.02,419.16,397.15,403.71,22570,,0.0,0.0
20-08-2021,403.75,406.99,387.31,393.24,14148,,0.0,0.0
23-08-2021,408.11,408.11,383.45,386.88,17142,,0.0,0.0
24-08-2021,394.06,404.31,387.92,399.77,17856,,0.0,0.0
25-08-2021,399.77,414.51,395.08,411.03,15658,,0.0,0.0
26-08-2021,413.43,439.54,405.37,429.48,56848,,0.0,0.0
27-08-2021,436.15,444.81,426.0,434.36,52502,,0.0,0.0
30-08-2021,453.56,502.88,438.26,485.26,184452,,0.0,0.0
31-08-2021,502.88,510.13,475.27,493.33,162218,,0.0,0.0
01-09-2021,494.66,496.96,476.29,480.08,33436,,0.0,0.0
02-09-2021,493.14,493.16,480.23,483.93,23326,,0.0,0.0
03-09-2021,488.33,556.07,487.89,531.53,310538,,0.0,0.0
06-09-2021,536.24,541.25,503.05,508.37,51722,,0.0,0.0
07-09-2021,509.65,519.18,493.21,509.05,59002,,0.0,0.0
08-09-2021,513.52,517.39,499.23,506.46,16916,,0.0,0.0
09-09-2021,514.97,519.8,502.49,510.09,23688,,0.0,0.0
13-09-2021,518.35,536.9,510.11,529.26,50178,,0.0,0.0
14-09-2021,527.47,535.2,522.37,527.88,16388,,0.0,0.0
15-09-2021,529.45,572.68,517.39,543.06,76162,,0.0,0.0
16-09-2021,550.75,558.95,528.7,541.03,37538,,0.0,0.0
17-09-2021,541.56,548.82,512.67,522.87,34482,,0.0,0.0
20-09-2021,520.63,553.17,510.62,528.27,53154,,0.0,0.0
21-09-2021,527.06,540.6,510.13,529.09,20144,,0.0,0.0
22-09-2021,522.22,544.37,512.55,514.99,47746,,0.0,0.0
23-09-2021,519.83,524.28,495.63,504.45,34160,,0.0,0.0
24-09-2021,502.88,529.16,500.46,519.42,42204,,0.0,0.0
27-09-2021,530.44,530.44,506.6,520.26,23246,,0.0,0.0
28-09-2021,522.22,528.51,512.6,518.11,11142,,0.0,0.0
29-09-2021,518.11,528.82,517.41,519.95,19082,,0.0,0.0
30-09-2021,528.02,597.17,514.51,537.62,167846,,0.0,0.0
01-10-2021,548.33,556.07,537.74,552.85,44084,,0.0,0.0
04-10-2021,553.65,556.07,544.17,551.02,18148,,0.0,0.0
05-10-2021,555.92,556.07,539.15,544.54,24700,,0.0,0.0
06-10-2021,556.07,556.07,536.03,543.06,27558,,0.0,0.0
07-10-2021,567.19,615.04,560.95,601.04,244168,,0.0,0.0
08-10-2021,605.87,621.35,576.55,601.09,70654,,0.0,0.0
11-10-2021,609.26,609.26,573.31,584.6,67672,,0.0,0.0
