Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,722.31,726.87,710.47,714.16,69016,,0.0,0.0
09-08-2021,714.21,723.95,705.92,707.83,83839,,0.0,0.0
10-08-2021,707.74,716.62,689.34,700.63,97654,,0.0,0.0
11-08-2021,706.78,710.47,686.79,698.72,103296,,0.0,0.0
12-08-2021,703.19,712.2,695.9,700.86,61856,,0.0,0.0
13-08-2021,707.74,708.19,701.36,702.59,46464,,0.0,0.0
16-08-2021,704.92,707.74,692.35,700.5,60146,,0.0,0.0
17-08-2021,701.36,706.83,695.63,704.51,53084,,0.0,0.0
18-08-2021,705.87,707.74,692.25,695.49,44349,,0.0,0.0
20-08-2021,688.61,696.95,666.75,672.03,126328,,0.0,0.0
23-08-2021,682.19,682.24,635.42,638.15,205331,,0.0,0.0
24-08-2021,642.16,660.06,634.96,657.46,99963,,0.0,0.0
25-08-2021,664.93,666.48,636.24,639.7,93364,,0.0,0.0
26-08-2021,645.76,654.91,640.2,651.45,54838,,0.0,0.0
27-08-2021,655.73,674.95,647.67,664.97,113134,,0.0,0.0
30-08-2021,678.59,678.59,657.64,659.05,61277,,0.0,0.0
31-08-2021,664.84,664.84,655.14,659.6,49199,,0.0,0.0
01-09-2021,659.6,664.02,649.44,655.5,80431,,0.0,0.0
02-09-2021,659.46,659.46,646.76,651.86,65346,,0.0,0.0
03-09-2021,660.28,722.22,654.27,695.63,702924,,0.0,0.0
06-09-2021,710.47,724.55,702.23,721.13,206072,,0.0,0.0
07-09-2021,727.64,733.24,702.82,708.97,164768,,0.0,0.0
08-09-2021,709.01,724.13,708.83,713.11,82980,,0.0,0.0
09-09-2021,713.11,727.05,709.56,722.31,87017,,0.0,0.0
13-09-2021,722.31,726.87,702.91,707.74,128507,,0.0,0.0
14-09-2021,712.84,714.94,687.7,690.66,187569,,0.0,0.0
15-09-2021,690.52,692.25,684.33,688.43,86018,,0.0,0.0
16-09-2021,688.61,692.25,676.41,677.95,109371,,0.0,0.0
17-09-2021,681.32,682.14,653.09,654.09,173480,,0.0,0.0
20-09-2021,654.09,704.92,654.09,666.89,185394,,0.0,0.0
21-09-2021,674.04,674.22,646.71,658.78,134767,,0.0,0.0
22-09-2021,668.48,673.22,654.18,655.68,133585,,0.0,0.0
23-09-2021,664.02,667.66,649.9,655.91,102053,,0.0,0.0
24-09-2021,661.29,664.02,648.76,652.5,78084,,0.0,0.0
27-09-2021,657.64,659.51,643.89,646.58,123213,,0.0,0.0
28-09-2021,642.16,659.83,637.6,641.98,159179,,0.0,0.0
29-09-2021,641.25,649.67,632.18,638.15,156265,,0.0,0.0
30-09-2021,641.93,642.16,632.14,637.15,131674,,0.0,0.0
01-10-2021,636.69,654.77,632.78,634.55,171111,,0.0,0.0
04-10-2021,635.96,648.03,635.78,637.24,89658,,0.0,0.0
05-10-2021,641.25,643.02,636.69,637.42,86120,,0.0,0.0
06-10-2021,642.89,646.71,635.55,636.92,94389,,0.0,0.0
07-10-2021,642.07,654.82,640.29,646.67,138534,,0.0,0.0
08-10-2021,655.32,691.34,650.36,676.54,405001,,0.0,0.0
11-10-2021,688.61,699.18,656.32,659.24,167813,,0.0,0.0
12-10-2021,658.55,667.25,637.83,641.29,192357,,0.0,0.0
13-10-2021,648.35,669.26,643.11,658.83,141422,,0.0,0.0
14-10-2021,664.84,666.75,647.39,650.67,87619,,0.0,0.0
18-10-2021,659.46,672.22,653.09,662.24,130017,,0.0,0.0
19-10-2021,661.29,690.98,647.67,654.0,418401,,0.0,0.0
20-10-2021,658.55,660.33,636.69,641.43,125576,,0.0,0.0
21-10-2021,646.71,646.71,635.78,643.02,148762,,0.0,0.0
22-10-2021,642.48,645.16,632.82,634.23,120929,,0.0,0.0
25-10-2021,634.87,639.88,595.61,602.99,150728,,0.0,0.0
26-10-2021,609.37,642.16,609.14,634.69,71471,,0.0,0.0
27-10-2021,644.89,648.03,628.63,632.27,67891,,0.0,0.0
28-10-2021,591.15,591.15,545.38,563.55,571328,,0.0,0.0
29-10-2021,569.29,569.29,520.1,523.43,506823,,0.0,0.0
01-11-2021,532.85,532.85,501.02,509.17,243415,,0.0,0.0
02-11-2021,515.11,546.53,515.06,530.86,255874,,1.5,0.0
03-11-2021,533.19,533.19,511.68,514.24,208415,,0.0,0.0
04-11-2021,523.33,537.48,519.67,533.69,52671,,0.0,0.0
08-11-2021,538.81,539.77,516.07,521.04,153564,,0.0,0.0
09-11-2021,521.04,523.01,517.57,520.45,92099,,0.0,0.0
10-11-2021,520.54,525.52,513.28,515.56,101335,,0.0,0.0
11-11-2021,515.56,517.89,496.84,500.59,172592,,0.0,0.0
12-11-2021,508.72,508.72,494.19,495.75,117879,,0.0,0.0
15-11-2021,502.28,502.28,484.06,489.72,162015,,0.0,0.0
16-11-2021,492.23,531.37,491.32,517.76,291051,,0.0,0.0
17-11-2021,530.63,547.9,521.73,537.85,279645,,0.0,0.0
18-11-2021,544.15,544.79,516.93,526.8,111672,,0.0,0.0
22-11-2021,535.38,535.38,499.99,504.79,102415,,0.0,0.0
23-11-2021,504.15,511.45,498.71,501.27,105962,,0.0,0.0
24-11-2021,498.67,518.76,497.76,498.58,94530,,0.0,0.0
25-11-2021,498.67,502.41,490.45,493.42,79709,,0.0,0.0
26-11-2021,490.45,492.09,475.93,479.76,111633,,0.0,0.0
29-11-2021,474.92,476.89,438.48,459.58,233941,,0.0,0.0
30-11-2021,456.66,488.17,443.46,447.93,209658,,0.0,0.0
01-12-2021,454.83,483.14,449.94,461.04,204033,,0.0,0.0
