Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,244.66,249.65,242.9,243.73,1643091,,0.0,0.0
09-08-2021,245.15,245.64,236.1,237.81,658851,,0.0,0.0
10-08-2021,237.81,238.69,233.26,235.36,683521,,0.0,0.0
11-08-2021,232.43,235.36,225.38,230.22,653395,,0.0,0.0
12-08-2021,228.56,233.75,228.56,232.38,313049,,0.0,0.0
13-08-2021,232.33,232.33,230.13,231.45,973947,,0.0,0.0
16-08-2021,231.94,231.94,226.55,229.0,252022,,0.0,0.0
17-08-2021,227.04,237.32,226.31,234.87,443627,,0.0,0.0
18-08-2021,236.83,244.46,234.97,242.8,1277494,,0.0,0.0
20-08-2021,237.42,241.23,231.99,235.22,637097,,0.0,0.0
23-08-2021,237.12,238.05,227.34,235.22,1823283,,0.0,0.0
24-08-2021,233.99,237.37,230.18,235.22,604486,,0.0,0.0
25-08-2021,233.4,236.44,232.67,233.6,143672,,0.0,0.0
26-08-2021,232.13,236.05,232.13,234.14,355303,,0.0,0.0
27-08-2021,233.89,235.85,232.03,235.22,370017,,0.0,0.0
30-08-2021,235.26,240.16,234.38,236.49,788613,,0.0,0.0
31-08-2021,238.69,239.82,233.6,238.25,844062,,0.0,0.0
01-09-2021,239.67,246.62,236.83,245.49,753491,,0.0,0.0
02-09-2021,245.64,248.38,234.87,236.49,951582,,0.0,0.0
03-09-2021,237.27,246.62,236.24,244.76,1214476,,0.0,0.0
06-09-2021,244.76,253.12,244.76,248.82,1385826,,0.0,0.0
07-09-2021,252.29,259.88,250.09,258.21,3415129,,0.0,0.0
08-09-2021,259.34,259.83,254.64,256.16,893961,,0.0,0.0
09-09-2021,256.16,258.31,255.42,256.26,462342,,0.0,0.0
13-09-2021,256.26,259.14,254.45,255.03,501250,,0.0,0.0
14-09-2021,256.11,258.51,250.58,253.47,503751,,0.0,0.0
15-09-2021,253.47,258.26,245.34,247.45,2060627,,0.0,0.0
16-09-2021,248.92,249.55,243.78,249.5,1600527,,0.0,0.0
17-09-2021,250.48,255.42,250.48,254.05,2475523,,0.0,0.0
20-09-2021,249.16,256.4,243.78,248.82,1548642,,0.0,0.0
21-09-2021,251.51,251.51,243.97,247.55,429852,,0.0,0.0
22-09-2021,248.57,251.27,246.62,249.26,280880,,0.0,0.0
23-09-2021,251.02,255.08,249.99,252.73,624752,,0.0,0.0
24-09-2021,254.15,254.3,249.94,252.05,304676,,0.0,0.0
27-09-2021,252.05,253.42,247.6,251.46,237544,,0.0,0.0
28-09-2021,249.55,256.4,248.57,253.56,506152,,0.0,0.0
29-09-2021,253.47,258.31,250.04,251.9,714255,,0.0,0.0
30-09-2021,252.05,254.4,251.07,252.44,240379,,0.0,0.0
01-10-2021,249.7,256.4,249.7,254.15,339270,,0.0,0.0
04-10-2021,254.15,268.93,254.15,256.89,2241274,,0.0,0.0
05-10-2021,257.33,260.95,252.1,255.03,892211,,0.0,0.0
06-10-2021,255.82,256.89,244.86,253.76,1149617,,0.0,0.0
07-10-2021,254.45,261.2,252.49,258.95,885167,,0.0,0.0
08-10-2021,261.3,261.3,256.7,258.75,431174,,0.0,0.0
11-10-2021,259.29,260.56,254.45,255.77,319941,,0.0,0.0
12-10-2021,255.33,264.18,255.23,260.02,712111,,0.0,0.0
13-10-2021,264.23,264.23,256.4,257.68,561987,,0.0,0.0
14-10-2021,259.29,260.81,255.52,257.28,290258,,0.0,0.0
18-10-2021,259.29,260.27,255.52,256.21,337218,,0.0,0.0
19-10-2021,257.33,258.6,250.82,251.36,652360,,0.0,0.0
20-10-2021,249.55,250.53,239.96,243.14,723753,,0.0,0.0
21-10-2021,244.66,250.48,241.38,248.52,408845,,0.0,0.0
22-10-2021,250.19,250.19,239.91,243.48,495997,,0.0,0.0
25-10-2021,244.56,244.56,235.9,237.52,261233,,0.0,0.0
26-10-2021,237.52,243.97,236.44,242.65,361609,,0.0,0.0
27-10-2021,244.07,246.42,241.53,244.61,179575,,0.0,0.0
28-10-2021,245.44,258.31,236.83,255.62,1904089,,0.0,0.0
29-10-2021,249.55,256.4,245.64,251.41,756107,,0.0,0.0
01-11-2021,252.44,254.45,247.2,253.37,436671,,0.0,0.0
02-11-2021,253.66,255.57,252.24,254.45,375396,,0.0,0.0
03-11-2021,254.45,258.21,249.21,255.18,396997,,0.0,0.0
04-11-2021,257.38,258.26,255.52,256.4,108941,,0.0,0.0
08-11-2021,255.18,257.87,252.1,254.64,355704,,0.0,0.0
09-11-2021,254.64,256.01,252.0,254.69,318076,,0.0,0.0
10-11-2021,254.45,256.4,245.98,249.6,421036,,0.0,0.0
11-11-2021,250.92,251.36,245.34,247.4,295975,,0.0,0.0
12-11-2021,246.81,248.57,244.66,247.6,180747,,0.0,0.0
15-11-2021,247.6,249.65,244.81,248.08,199589,,0.0,0.0
16-11-2021,249.01,249.06,245.74,248.28,288868,,0.0,0.0
17-11-2021,248.28,249.45,244.86,246.13,123182,,0.0,0.0
18-11-2021,248.57,248.57,239.77,244.41,307569,,0.0,0.0
22-11-2021,244.56,245.34,227.14,231.69,599994,,0.0,0.0
23-11-2021,229.0,231.94,217.26,228.9,1376671,,0.0,0.0
24-11-2021,229.98,246.62,229.98,243.97,1192187,,0.0,0.0
25-11-2021,243.39,243.39,234.87,238.4,396399,,0.0,0.0
26-11-2021,237.22,239.18,225.18,229.83,461754,,0.0,0.0
29-11-2021,223.13,231.35,219.21,227.19,462733,,0.0,0.0
30-11-2021,228.32,242.07,228.27,239.52,778637,,0.0,0.0
01-12-2021,242.7,243.68,233.45,236.88,411222,,0.0,0.0
02-12-2021,237.71,237.71,229.49,232.96,345693,,0.0,0.0
03-12-2021,232.96,233.8,229.39,231.35,602584,,0.0,0.0
06-12-2021,232.82,232.82,227.14,227.78,147127,,0.0,0.0
07-12-2021,229.0,231.59,227.68,230.81,311889,,0.0,0.0
08-12-2021,231.89,235.75,229.0,235.12,226099,,0.0,0.0
09-12-2021,236.73,236.73,230.47,233.5,281163,,0.0,0.0
10-12-2021,238.69,238.69,230.47,233.11,182865,,0.0,0.0
13-12-2021,234.38,234.63,230.62,231.59,185792,,0.0,0.0
14-12-2021,233.99,234.87,229.39,229.98,458604,,0.0,0.0
15-12-2021,230.08,231.64,226.26,227.34,655467,,0.0,0.0
16-12-2021,228.27,230.86,224.11,225.14,488010,,0.0,0.0
17-12-2021,226.75,226.95,221.81,222.79,218225,,0.0,0.0
20-12-2021,223.13,223.37,216.28,218.87,267093,,0.0,0.0
21-12-2021,220.19,221.95,216.43,217.75,272075,,0.0,0.0
22-12-2021,221.56,222.59,217.55,220.44,323023,,0.0,0.0
23-12-2021,223.81,223.81,218.82,219.46,145658,,0.0,0.0
24-12-2021,221.17,222.15,217.4,217.94,111574,,0.0,0.0
27-12-2021,219.12,219.21,216.87,217.21,266572,,0.0,0.0
28-12-2021,220.1,222.84,217.7,219.31,352099,,0.0,0.0
29-12-2021,220.19,221.66,217.26,217.5,174607,,0.0,0.0
30-12-2021,217.6,219.21,214.96,215.69,210129,,0.0,0.0
31-12-2021,215.79,217.75,215.79,216.91,291871,,0.0,0.0
03-01-2022,218.48,219.7,217.26,219.02,198569,,0.0,0.0
04-01-2022,220.88,220.88,218.63,219.56,172864,,0.0,0.0
05-01-2022,220.1,220.54,217.45,218.19,206874,,0.0,0.0
06-01-2022,218.43,218.43,215.69,216.13,240290,,0.0,0.0
07-01-2022,219.85,219.85,214.32,215.06,811565,,0.0,0.0
10-01-2022,216.13,218.14,215.45,217.11,224380,,0.0,0.0
11-01-2022,216.38,219.21,215.4,215.84,415504,,0.0,0.0
12-01-2022,217.01,219.41,215.69,218.73,452311,,0.0,0.0
13-01-2022,219.85,223.86,219.26,222.59,1073046,,0.0,0.0
14-01-2022,223.13,223.13,221.17,221.86,312860,,0.0,0.0
17-01-2022,222.1,223.03,218.43,220.29,364895,,0.0,0.0
18-01-2022,221.32,222.0,217.4,218.24,898552,,0.0,0.0
19-01-2022,217.26,218.38,212.85,216.08,430526,,0.0,0.0
20-01-2022,216.28,219.21,215.99,216.82,441719,,0.0,0.0
21-01-2022,216.18,219.41,215.3,216.72,306866,,0.0,0.0
24-01-2022,217.84,217.84,210.5,211.87,415330,,0.0,0.0
25-01-2022,211.87,214.32,206.2,213.15,536878,,0.0,0.0
27-01-2022,211.39,212.36,208.5,210.26,386826,,0.0,0.0
28-01-2022,211.24,212.36,209.87,210.6,329586,,0.0,0.0
31-01-2022,211.73,213.25,210.41,211.04,255095,,0.0,0.0
01-02-2022,212.95,215.06,211.58,212.27,284942,,0.0,0.0
02-02-2022,213.29,215.1,207.47,212.85,668013,,0.0,0.0
03-02-2022,210.9,212.27,209.77,210.41,209724,,0.0,0.0
04-02-2022,211.48,212.12,209.82,210.16,135113,,0.0,0.0
07-02-2022,215.3,219.75,212.95,217.89,902150,,0.0,0.0
08-02-2022,220.63,220.68,212.36,213.34,360555,,0.0,0.0
09-02-2022,214.91,215.3,212.85,214.81,197639,,0.0,0.0
10-02-2022,216.43,216.43,211.48,215.06,230925,,0.0,0.0
11-02-2022,214.17,214.22,211.48,212.17,181182,,0.0,0.0
14-02-2022,210.21,211.97,201.65,204.34,317225,,0.0,0.0
15-02-2022,209.43,213.34,202.72,209.97,452882,,0.0,0.0
16-02-2022,210.6,213.69,207.47,209.38,499929,,0.0,0.0
17-02-2022,210.46,210.46,206.64,207.96,245341,,0.0,0.0
18-02-2022,206.49,208.65,204.78,206.15,275615,,0.0,0.0
21-02-2022,205.02,206.3,198.13,201.84,284743,,0.0,0.0
22-02-2022,197.68,199.59,193.28,194.5,451700,,0.0,0.0
23-02-2022,195.68,200.62,191.81,192.64,301649,,0.0,0.0
24-02-2022,192.2,192.2,177.13,179.24,1201534,,0.0,0.0
25-02-2022,185.84,189.37,179.82,183.49,603864,,0.0,0.0
28-02-2022,187.36,195.73,183.98,190.93,367062,,0.0,0.0
02-03-2022,190.69,197.49,189.9,196.51,317014,,0.0,0.0
03-03-2022,197.59,203.95,195.83,202.38,286706,,0.0,0.0
04-03-2022,201.55,206.35,198.17,204.54,2241849,,0.0,0.0
07-03-2022,200.62,202.04,196.51,200.57,286808,,0.0,0.0
08-03-2022,200.03,203.56,197.49,199.84,139570,,0.0,0.0
09-03-2022,202.58,203.07,199.64,200.67,111448,,0.0,0.0
10-03-2022,202.63,211.78,202.63,210.46,472406,,0.0,0.0
11-03-2022,209.82,212.51,207.47,210.65,152077,,0.0,0.0
14-03-2022,210.41,212.36,206.79,210.9,264476,,0.0,0.0
15-03-2022,213.49,217.26,212.85,214.47,294396,,0.0,0.0
16-03-2022,215.79,217.06,212.36,213.73,153307,,0.0,0.0
17-03-2022,213.88,216.23,213.34,215.3,336398,,0.0,0.0
21-03-2022,214.32,215.5,209.82,210.7,186851,,0.0,0.0
22-03-2022,209.92,210.41,207.86,209.33,163624,,0.0,0.0
23-03-2022,209.33,214.32,207.62,210.16,1703895,,0.0,0.0
24-03-2022,213.2,218.77,212.61,213.29,977872,,0.0,0.0
25-03-2022,213.34,215.06,211.63,213.34,356485,,0.0,0.0
28-03-2022,213.34,213.64,208.6,209.58,269091,,0.0,0.0
29-03-2022,209.33,215.1,208.16,209.58,1205945,,0.0,0.0
30-03-2022,210.41,215.3,210.21,212.9,886026,,0.0,0.0
31-03-2022,214.22,215.15,210.41,211.19,262291,,0.0,0.0
01-04-2022,211.39,215.94,210.9,214.57,350220,,0.0,0.0
04-04-2022,215.06,220.73,215.06,218.19,810895,,0.0,0.0
05-04-2022,220.1,222.93,216.28,218.24,482764,,0.0,0.0
06-04-2022,217.94,220.98,216.33,217.11,396804,,0.0,0.0
07-04-2022,217.21,219.85,215.69,217.8,450560,,0.0,0.0
08-04-2022,218.92,221.07,216.67,217.94,220309,,0.0,0.0
11-04-2022,217.89,220.68,217.89,219.61,485925,,0.0,0.0
12-04-2022,219.17,219.17,214.42,215.25,587650,,0.0,0.0
13-04-2022,215.69,217.89,213.34,214.22,596195,,0.0,0.0
18-04-2022,212.36,216.87,211.43,215.69,524642,,0.0,0.0
19-04-2022,213.34,218.24,210.85,212.8,823059,,0.0,0.0
20-04-2022,214.13,216.18,210.55,211.68,527679,,0.0,0.0
21-04-2022,212.71,217.94,212.46,214.66,368241,,0.0,0.0
22-04-2022,213.34,216.33,211.39,212.27,337518,,0.0,0.0
25-04-2022,210.41,210.55,206.84,209.82,339435,,0.0,0.0
26-04-2022,210.46,211.78,205.46,206.88,368773,,0.0,0.0
27-04-2022,205.66,211.39,205.66,208.89,184367,,0.0,0.0
28-04-2022,208.89,209.33,206.88,207.18,75625,,0.0,0.0
29-04-2022,207.18,209.87,206.3,207.13,160488,,0.0,0.0
02-05-2022,205.51,205.51,202.68,204.93,81110,,0.0,0.0
04-05-2022,205.51,205.86,200.96,202.19,154105,,0.0,0.0
05-05-2022,202.58,208.25,201.94,206.88,188077,,0.0,0.0
06-05-2022,203.56,205.91,200.91,202.43,139553,,0.0,0.0
09-05-2022,202.77,205.86,198.66,200.18,254388,,0.0,0.0
10-05-2022,199.64,202.92,195.87,196.31,228307,,0.0,0.0
11-05-2022,195.73,205.22,190.98,202.43,336685,,0.0,0.0
12-05-2022,201.11,201.11,194.94,199.2,207730,,0.0,0.0
13-05-2022,199.54,204.49,197.44,200.62,157028,,0.0,0.0
16-05-2022,200.62,210.65,197.93,208.84,209278,,0.0,0.0
17-05-2022,207.96,212.8,205.17,210.41,191926,,0.0,0.0
18-05-2022,210.41,217.55,208.11,215.25,230806,,0.0,0.0
19-05-2022,214.22,223.62,207.47,219.46,1832748,,0.0,0.0
20-05-2022,225.04,226.46,217.55,220.1,1188611,,0.0,0.0
23-05-2022,221.03,223.62,216.87,219.36,1104775,,0.0,0.0
24-05-2022,220.49,222.44,217.26,218.14,214458,,0.0,0.0
25-05-2022,216.28,221.95,212.85,220.1,325145,,0.0,0.0
26-05-2022,221.22,230.47,218.29,225.23,1017096,,0.0,0.0
27-05-2022,227.83,229.0,221.27,225.53,278496,,0.0,0.0
30-05-2022,225.48,232.03,222.49,229.49,3141307,,0.0,0.0
31-05-2022,229.88,230.96,226.07,229.29,573112,,0.0,0.0
01-06-2022,228.95,233.65,228.07,229.44,400898,,0.0,0.0
02-06-2022,230.32,231.64,228.32,229.1,201759,,0.0,0.0
03-06-2022,229.54,232.43,228.12,228.95,111808,,0.0,0.0
06-06-2022,229.98,231.94,225.09,227.19,309697,,0.0,0.0
07-06-2022,227.44,229.54,226.26,228.41,218061,,0.0,0.0
08-06-2022,229.0,229.29,224.01,226.16,163872,,0.0,0.0
09-06-2022,225.09,234.29,221.37,231.06,220001,,0.0,0.0
10-06-2022,227.04,232.23,223.42,225.53,800652,,0.0,0.0
13-06-2022,222.15,222.15,211.43,213.39,310169,,0.0,0.0
14-06-2022,212.36,214.47,208.21,209.67,171285,,0.0,0.0
15-06-2022,209.43,213.29,205.66,210.9,304886,,0.0,0.0
16-06-2022,211.83,211.83,206.0,206.84,102229,,0.0,0.0
17-06-2022,207.67,207.67,202.63,205.76,275382,,0.0,0.0
20-06-2022,205.66,207.47,199.64,204.68,215241,,0.0,0.0
21-06-2022,205.02,206.98,201.6,205.61,193216,,0.0,0.0
22-06-2022,206.59,211.29,202.68,208.25,190562,,0.0,0.0
23-06-2022,209.28,218.58,207.52,213.98,191955,,0.0,0.0
24-06-2022,214.27,214.91,211.39,213.54,130918,,0.0,0.0
27-06-2022,214.76,222.25,212.41,217.21,532055,,0.0,0.0
28-06-2022,213.73,217.11,210.6,211.04,391677,,0.0,0.0
29-06-2022,210.31,219.9,208.99,216.28,173942,,0.0,0.0
30-06-2022,215.74,223.13,212.76,220.39,251570,,0.0,0.0
01-07-2022,219.41,221.91,212.46,213.78,212688,,0.0,0.0
04-07-2022,213.25,222.15,212.61,218.04,189690,,0.0,0.0
05-07-2022,215.99,218.77,214.42,214.96,80007,,0.0,0.0
06-07-2022,215.3,218.09,214.22,215.64,168741,,0.0,0.0
07-07-2022,217.65,219.51,213.49,214.17,146546,,0.0,0.0
08-07-2022,216.47,224.84,213.83,222.4,342434,,0.0,0.0
11-07-2022,223.96,223.96,218.77,221.17,128530,,0.0,0.0
12-07-2022,219.31,225.28,215.99,216.72,199778,,0.0,0.0
13-07-2022,218.73,223.86,215.3,221.03,252676,,0.0,0.0
14-07-2022,221.17,223.13,217.65,220.24,165036,,0.0,0.0
15-07-2022,220.29,224.11,216.82,220.98,181179,,0.0,0.0
18-07-2022,222.1,222.64,216.87,217.45,152327,,0.0,0.0
19-07-2022,217.26,221.42,216.96,220.05,274200,,0.0,0.0
20-07-2022,222.21,229.3,220.98,227.04,316055,,1.3,0.0
21-07-2022,227.77,228.36,219.06,220.59,277855,,0.0,0.0
22-07-2022,221.47,223.89,220.0,223.44,282647,,0.0,0.0
25-07-2022,224.33,230.28,222.31,228.36,342767,,0.0,0.0
26-07-2022,229.35,230.14,225.51,226.54,139177,,0.0,0.0
27-07-2022,225.61,235.16,219.55,221.03,1450935,,0.0,0.0
28-07-2022,222.16,225.17,220.49,220.78,199256,,0.0,0.0
29-07-2022,222.16,223.44,220.24,222.66,428359,,0.0,0.0
01-08-2022,226.1,230.33,224.57,228.86,370154,,0.0,0.0
02-08-2022,229.5,243.13,226.59,236.73,1554774,,0.0,0.0
03-08-2022,239.19,240.87,231.02,232.2,266182,,0.0,0.0
04-08-2022,233.38,236.14,231.71,234.32,485351,,0.0,0.0
05-08-2022,234.76,237.03,231.02,231.81,164197,,0.0,0.0
08-08-2022,232.3,238.11,231.12,235.3,237846,,0.0,0.0
10-08-2022,235.3,239.19,231.37,233.43,106125,,0.0,0.0
11-08-2022,237.22,237.52,232.3,234.42,107230,,0.0,0.0
12-08-2022,236.24,248.05,235.65,245.64,793819,,0.0,0.0
16-08-2022,244.11,246.08,241.16,242.49,277465,,0.0,0.0
17-08-2022,243.72,249.43,241.06,243.28,449313,,0.0,0.0
18-08-2022,244.06,246.48,240.37,242.0,130187,,0.0,0.0
19-08-2022,244.01,244.65,234.91,235.5,156897,,0.0,0.0
22-08-2022,233.29,234.91,224.43,226.25,327329,,0.0,0.0
23-08-2022,225.17,231.17,221.42,228.56,161427,,0.0,0.0
24-08-2022,228.36,234.66,228.36,231.86,106928,,0.0,0.0
25-08-2022,227.38,234.66,227.38,230.33,207535,,0.0,0.0
26-08-2022,232.3,234.12,229.3,230.82,79584,,0.0,0.0
29-08-2022,226.4,228.51,222.46,225.41,458054,,0.0,0.0
30-08-2022,228.36,230.33,222.46,223.59,588069,,0.0,0.0
01-09-2022,224.43,227.87,221.67,225.51,232807,,0.0,0.0
02-09-2022,228.31,245.1,224.62,240.13,705069,,0.0,0.0
05-09-2022,244.01,244.11,231.37,233.19,391564,,0.0,0.0
06-09-2022,233.93,241.11,231.61,240.32,389342,,0.0,0.0
07-09-2022,239.19,242.14,235.25,240.47,183785,,0.0,0.0
