Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,399.27,404.54,396.51,397.79,120275,,0.0,0.0
09-08-2021,396.31,407.65,394.34,397.3,171128,,0.0,0.0
10-08-2021,397.3,400.4,389.9,392.46,665920,,0.0,0.0
11-08-2021,395.23,401.19,368.71,380.34,523310,,0.0,0.0
12-08-2021,405.13,456.4,403.26,456.4,12541406,,0.0,0.0
13-08-2021,472.22,472.22,431.41,451.12,5476181,,0.0,0.0
16-08-2021,451.12,484.2,444.67,469.16,4545291,,0.0,0.0
17-08-2021,461.38,492.87,454.72,483.31,3381235,,0.0,0.0
18-08-2021,483.06,483.06,463.45,467.34,734389,,0.0,0.0
20-08-2021,457.43,468.28,443.63,452.26,523422,,0.0,0.0
23-08-2021,459.85,463.89,428.84,443.38,543781,,0.0,0.0
24-08-2021,443.63,461.18,436.14,454.13,568413,,0.0,0.0
25-08-2021,450.04,455.46,439.49,442.64,347746,,0.0,0.0
26-08-2021,444.91,468.13,437.52,463.2,1619603,,0.0,0.0
27-08-2021,462.36,474.88,456.54,466.95,999419,,0.0,0.0
30-08-2021,467.78,471.92,454.08,461.97,1111642,,0.0,0.0
31-08-2021,463.64,470.15,455.46,459.01,717625,,0.0,0.0
01-09-2021,454.97,469.56,450.53,453.74,425015,,0.0,0.0
02-09-2021,450.58,491.64,450.58,477.64,3141255,,0.0,0.0
03-09-2021,479.12,496.37,474.54,479.56,1481086,,0.0,0.0
06-09-2021,480.01,484.05,470.49,473.01,445712,,0.0,0.0
07-09-2021,477.79,496.67,473.21,477.35,1587645,,0.0,0.0
08-09-2021,479.37,484.05,465.71,475.37,664334,,0.0,0.0
09-09-2021,476.16,487.01,475.23,482.18,530550,,0.0,0.0
13-09-2021,478.13,481.49,472.22,476.16,388870,,0.0,0.0
14-09-2021,478.82,481.54,474.24,477.3,253245,,0.0,0.0
15-09-2021,480.6,480.6,473.7,476.95,239716,,0.0,0.0
16-09-2021,476.95,501.6,476.95,485.97,2594257,,0.0,0.0
17-09-2021,487.89,510.13,483.66,491.69,1633678,,0.0,0.0
20-09-2021,489.37,495.58,478.43,483.66,548508,,0.0,0.0
21-09-2021,483.66,489.72,476.9,480.21,387450,,0.0,0.0
22-09-2021,483.46,491.44,480.11,481.98,374265,,0.0,0.0
23-09-2021,486.42,497.85,484.1,488.93,456697,,0.0,0.0
24-09-2021,487.99,502.58,486.02,498.74,963601,,0.0,0.0
27-09-2021,498.79,509.39,485.23,493.42,803745,,0.0,0.0
28-09-2021,496.52,497.65,484.74,487.3,475091,,0.0,0.0
29-09-2021,486.51,500.41,478.13,493.42,524040,,0.0,0.0
30-09-2021,496.87,503.77,493.81,499.43,489999,,0.0,0.0
01-10-2021,494.4,501.55,492.92,497.51,342823,,0.0,0.0
04-10-2021,501.7,502.68,489.47,490.75,257266,,0.0,0.0
05-10-2021,493.22,496.92,485.04,487.16,233056,,0.0,0.0
06-10-2021,489.87,499.82,486.02,492.18,421925,,0.0,0.0
07-10-2021,492.33,545.02,490.66,537.83,2743684,,0.0,0.0
08-10-2021,540.24,543.2,523.68,532.06,1024422,,0.0,0.0
11-10-2021,534.13,564.99,528.86,536.69,1195435,,0.0,0.0
12-10-2021,541.13,564.89,527.72,557.74,1131780,,0.0,0.0
13-10-2021,564.89,584.16,557.99,575.34,1415702,,0.0,0.0
14-10-2021,575.54,580.07,562.03,567.45,488821,,0.0,0.0
