Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
15-12-2025,195.0,203.5,177.0,192.29,47754828,,0.0,0.0
16-12-2025,188.0,199.9,188.0,193.97,12129115,,0.0,0.0
17-12-2025,191.91,194.72,189.51,190.12,2726666,,0.0,0.0
18-12-2025,192.0,197.4,187.62,192.92,1418303,,0.0,0.0
19-12-2025,195.0,197.24,189.21,192.32,1506137,,0.0,0.0
22-12-2025,192.31,200.96,182.5,186.67,4650041,,0.0,0.0
23-12-2025,192.42,192.69,185.05,188.17,666497,,0.0,0.0
24-12-2025,186.71,188.74,184.26,187.5,545170,,0.0,0.0
26-12-2025,184.7,187.11,184.21,186.01,338690,,0.0,0.0
29-12-2025,185.0,185.61,177.3,180.04,465777,,0.0,0.0
30-12-2025,179.0,190.8,173.81,184.14,633390,,0.0,0.0
31-12-2025,184.0,186.5,180.52,184.44,414018,,0.0,0.0
01-01-2026,184.44,186.78,182.26,186.03,225162,,0.0,0.0
02-01-2026,184.03,184.9,178.0,179.31,256270,,0.0,0.0
05-01-2026,177.01,178.8,173.0,175.86,618899,,0.0,0.0
06-01-2026,174.0,174.79,166.01,168.57,3156662,,0.0,0.0
07-01-2026,167.91,171.92,164.06,169.47,641440,,0.0,0.0
08-01-2026,169.9,175.86,166.9,171.34,482419,,0.0,0.0
09-01-2026,168.3,175.4,167.21,172.67,464798,,0.0,0.0
12-01-2026,165.15,175.0,164.51,174.01,685338,,0.0,0.0
13-01-2026,174.5,177.95,170.97,176.21,838409,,0.0,0.0
14-01-2026,175.0,179.4,173.06,177.91,195871,,0.0,0.0
16-01-2026,176.0,183.0,175.02,181.68,220003,,0.0,0.0
19-01-2026,179.6,182.95,177.17,182.03,140998,,0.0,0.0
20-01-2026,181.05,181.97,178.3,181.49,180590,,0.0,0.0
21-01-2026,178.2,182.59,177.51,181.63,196222,,0.0,0.0
22-01-2026,180.0,183.7,180.0,182.53,57060,,0.0,0.0
23-01-2026,181.3,184.36,180.05,182.25,159675,,0.0,0.0
27-01-2026,182.0,183.0,176.45,180.23,198055,,0.0,0.0
28-01-2026,179.1,183.48,179.1,180.75,504880,,0.0,0.0
29-01-2026,179.3,181.35,177.32,180.07,79917,,0.0,0.0
30-01-2026,178.0,183.42,176.59,182.25,79250,,0.0,0.0
02-02-2026,178.0,180.0,176.41,179.69,38154,,0.0,0.0
03-02-2026,179.98,183.79,176.0,182.9,110165,,0.0,0.0
04-02-2026,185.01,192.0,177.84,180.96,315352,,0.0,0.0
05-02-2026,179.0,183.0,178.95,182.18,59953,,0.0,0.0
06-02-2026,180.1,184.07,178.52,183.12,87260,,0.0,0.0
09-02-2026,180.1,187.0,180.1,185.73,165718,,0.0,0.0
10-02-2026,188.99,204.0,183.56,200.59,9482885,,0.0,0.0
11-02-2026,203.39,218.66,191.63,215.8,7784681,,0.0,0.0
12-02-2026,214.73,224.0,210.01,214.95,1482196,,0.0,0.0
13-02-2026,214.4,218.1,207.29,213.35,888724,,0.0,0.0
16-02-2026,212.0,213.3,201.24,204.3,772894,,0.0,0.0
