Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,219.41,220.16,205.19,211.33,737097,,0.0,0.0
09-08-2021,206.18,218.97,204.84,211.78,1155989,,0.0,0.0
10-08-2021,211.93,213.22,189.58,195.82,970665,,0.0,0.0
11-08-2021,197.26,203.5,185.46,202.17,1022157,,0.0,0.0
12-08-2021,205.63,205.98,193.29,199.04,543246,,0.0,0.0
13-08-2021,203.21,218.03,203.21,214.11,1761794,,0.0,0.0
16-08-2021,214.11,247.47,211.88,237.4,4860956,,0.0,0.0
17-08-2021,235.72,254.5,229.52,248.66,3187567,,0.0,0.0
18-08-2021,249.8,260.95,236.21,248.41,1706063,,0.0,0.0
20-08-2021,239.04,248.36,231.95,237.55,1449605,,0.0,0.0
23-08-2021,248.8,269.62,248.8,259.56,5781243,,0.0,0.0
24-08-2021,264.12,276.56,252.82,267.04,2821996,,0.0,0.0
25-08-2021,266.15,284.49,263.72,280.38,2948734,,0.0,0.0
26-08-2021,283.4,292.37,279.53,288.85,2299711,,0.0,0.0
27-08-2021,286.27,287.91,262.73,265.9,1833878,,0.0,0.0
30-08-2021,267.49,269.87,250.09,253.56,2099066,,0.0,0.0
31-08-2021,254.7,261.29,249.1,253.81,1394230,,0.0,0.0
01-09-2021,254.45,254.75,244.34,248.01,840999,,0.0,0.0
02-09-2021,248.8,256.44,242.86,245.43,1475397,,0.0,0.0
03-09-2021,245.83,252.77,244.84,246.47,748824,,0.0,0.0
06-09-2021,246.72,248.61,240.87,242.81,738828,,0.0,0.0
07-09-2021,240.38,253.76,240.38,251.03,935101,,0.0,0.0
08-09-2021,253.76,266.45,252.92,264.02,2133593,,0.0,0.0
09-09-2021,264.17,265.61,258.72,259.91,658434,,0.0,0.0
13-09-2021,257.82,267.64,257.82,263.33,690007,,0.0,0.0
14-09-2021,262.68,265.36,247.81,251.88,670069,,0.0,0.0
15-09-2021,253.21,256.44,246.42,253.41,641372,,0.0,0.0
16-09-2021,253.46,255.94,247.81,248.51,246084,,0.0,0.0
17-09-2021,248.9,254.35,245.78,249.7,634439,,0.0,0.0
20-09-2021,250.79,259.71,248.8,254.75,643105,,0.0,0.0
21-09-2021,256.44,257.18,247.81,251.18,319951,,0.0,0.0
22-09-2021,251.18,266.0,249.8,264.12,691071,,0.0,0.0
23-09-2021,265.66,272.1,259.91,262.09,607928,,0.0,0.0
24-09-2021,260.7,262.68,250.64,252.22,404284,,0.0,0.0
27-09-2021,253.66,273.98,253.36,266.35,1227484,,0.0,0.0
28-09-2021,270.41,270.41,260.8,268.33,668636,,0.0,0.0
29-09-2021,263.97,283.45,263.97,271.75,1025335,,0.0,0.0
30-09-2021,272.59,279.48,268.38,270.91,622950,,0.0,0.0
01-10-2021,269.32,272.69,266.65,269.57,368424,,0.0,0.0
04-10-2021,271.8,286.52,269.92,284.19,944814,,0.0,0.0
05-10-2021,283.84,340.99,281.52,340.99,3026427,,0.0,0.0
06-10-2021,346.94,361.21,316.41,320.67,4272097,,0.0,0.0
07-10-2021,327.11,344.46,322.95,336.98,1300007,,0.0,0.0
08-10-2021,337.97,337.97,325.23,329.54,368997,,0.0,0.0
11-10-2021,331.77,341.78,322.8,327.66,323684,,0.0,0.0
12-10-2021,327.66,329.59,320.32,323.0,177894,,0.0,0.0
13-10-2021,326.07,341.98,323.15,329.49,667436,,0.0,0.0
14-10-2021,331.87,337.17,326.12,331.33,321221,,0.0,0.0
18-10-2021,331.33,340.99,328.35,332.47,351920,,0.0,0.0
19-10-2021,338.02,339.01,289.25,308.92,380105,,0.0,0.0
20-10-2021,312.24,331.87,297.42,322.75,457237,,0.0,0.0
21-10-2021,329.1,333.06,316.11,324.34,326783,,0.0,0.0
22-10-2021,322.06,330.14,303.57,310.21,332460,,0.0,0.0
