Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-11-2024,438.65,448.57,428.68,441.89,46731,,0.0,0.0
07-11-2024,439.65,449.62,433.67,438.4,35185,,0.0,0.0
08-11-2024,431.67,441.49,413.63,423.2,72913,,0.0,0.0
11-11-2024,414.87,442.34,411.38,415.02,46768,,0.0,0.0
12-11-2024,421.25,468.56,413.78,428.93,162255,,0.0,0.0
13-11-2024,420.81,468.06,420.81,459.89,371900,,0.0,0.0
14-11-2024,460.58,462.58,446.38,456.05,203724,,0.0,0.0
18-11-2024,448.72,457.49,430.23,451.41,79123,,0.0,0.0
19-11-2024,458.54,486.5,458.54,471.45,189376,,0.0,0.0
21-11-2024,470.55,485.71,449.67,466.81,103979,,0.0,0.0
22-11-2024,462.08,483.51,459.89,480.87,69547,,0.0,0.0
25-11-2024,488.5,502.45,484.61,494.43,273745,,0.0,0.0
26-11-2024,494.43,497.07,472.9,475.14,69698,,0.0,0.0
27-11-2024,478.48,478.58,458.59,460.23,62925,,0.0,0.0
28-11-2024,471.55,494.48,468.86,483.11,231863,,0.0,0.0
29-11-2024,493.08,493.08,470.9,473.99,48510,,0.0,0.0
02-12-2024,477.73,478.98,454.1,460.28,364007,,0.0,0.0
03-12-2024,466.56,478.33,460.68,474.09,96402,,0.0,0.0
04-12-2024,472.6,487.95,459.69,478.18,74055,,0.0,0.0
05-12-2024,483.51,483.61,472.55,478.98,53836,,0.0,0.0
06-12-2024,483.76,493.48,471.65,478.28,69216,,0.0,0.0
09-12-2024,478.53,493.43,468.61,472.85,273357,,0.0,0.0
10-12-2024,473.64,503.45,464.52,497.32,293066,,0.0,0.0
11-12-2024,502.06,522.84,481.57,491.89,195270,,0.0,0.0
12-12-2024,489.0,491.99,479.67,487.5,69208,,0.0,0.0
13-12-2024,490.49,493.48,476.53,487.05,77593,,0.0,0.0
16-12-2024,487.05,493.48,478.68,484.61,85779,,0.0,0.0
17-12-2024,488.4,509.93,481.02,504.35,295348,,0.0,0.0
18-12-2024,508.44,521.89,502.5,518.36,306380,,0.0,0.0
19-12-2024,499.51,519.35,498.42,508.78,266405,,0.0,0.0
20-12-2024,514.42,534.8,509.43,526.53,372230,,0.0,0.0
23-12-2024,528.47,535.5,501.11,505.35,124176,,0.0,0.0
24-12-2024,505.4,517.86,498.67,513.22,67864,,0.0,0.0
26-12-2024,516.06,528.67,499.81,526.33,125702,,0.0,0.0
27-12-2024,528.37,544.92,509.53,515.36,226635,,0.0,0.0
30-12-2024,523.09,523.09,503.45,514.52,227343,,0.0,0.0
31-12-2024,508.49,516.86,501.36,507.69,65502,,0.0,0.0
01-01-2025,511.68,523.39,506.44,516.81,39495,,0.0,0.0
02-01-2025,511.68,518.6,501.56,510.58,93443,,0.0,0.0
03-01-2025,510.58,514.37,506.44,510.48,64217,,0.0,0.0
06-01-2025,513.42,514.42,490.54,499.46,163522,,0.0,0.0
07-01-2025,457.14,503.4,457.14,498.77,190478,,0.0,0.0
08-01-2025,498.57,515.86,491.49,512.67,332023,,0.0,0.0
09-01-2025,512.62,512.62,494.63,498.72,74468,,0.0,0.0
10-01-2025,503.1,505.4,486.3,493.38,171525,,0.0,0.0
13-01-2025,498.22,500.46,466.12,481.27,94781,,0.0,0.0
14-01-2025,488.4,505.44,468.61,498.82,71459,,0.0,0.0
15-01-2025,498.47,500.96,485.16,492.73,124622,,0.0,0.0
16-01-2025,492.73,512.42,491.59,498.82,43550,,0.0,0.0
17-01-2025,498.82,509.03,491.04,502.95,36865,,0.0,0.0
20-01-2025,502.95,506.44,494.53,502.45,44826,,0.0,0.0
21-01-2025,497.47,510.53,495.33,505.64,73602,,0.0,0.0
22-01-2025,511.43,520.4,471.1,478.58,655662,,0.0,0.0
23-01-2025,476.53,479.77,464.57,478.58,164264,,0.0,0.0
24-01-2025,484.81,484.81,466.66,477.33,49896,,0.0,0.0
27-01-2025,469.8,473.34,455.75,463.52,155267,,0.0,0.0
28-01-2025,465.57,479.52,430.28,475.39,161110,,0.0,0.0
29-01-2025,477.33,490.54,466.96,487.75,52430,,0.0,0.0
30-01-2025,487.25,489.74,425.04,436.86,1023422,,0.0,0.0
31-01-2025,412.73,428.48,400.92,420.91,712707,,0.0,0.0
03-02-2025,460.93,486.45,456.65,468.26,549583,,0.0,0.0
04-02-2025,463.57,489.49,463.57,484.81,84658,,0.0,0.0
05-02-2025,473.54,487.4,469.56,481.47,101332,,0.0,0.0
06-02-2025,486.5,486.5,470.75,478.28,103160,,0.0,0.0
07-02-2025,470.65,483.36,456.45,475.14,303191,,0.0,0.0
10-02-2025,468.66,472.55,443.64,452.76,461554,,0.0,0.0
11-02-2025,455.0,458.49,403.91,414.82,231621,,0.0,0.0
12-02-2025,416.72,425.09,390.35,413.33,155222,,0.0,0.0
13-02-2025,413.08,424.39,406.85,414.23,55116,,0.0,0.0
14-02-2025,425.64,425.64,384.42,402.76,199789,,0.0,0.0
17-02-2025,404.8,404.8,366.87,383.42,497294,,0.0,0.0
18-02-2025,389.15,391.69,376.14,387.86,141886,,0.0,0.0
19-02-2025,388.7,399.72,379.78,397.78,82512,,0.0,0.0
20-02-2025,397.78,413.68,397.78,411.88,94935,,0.0,0.0
21-02-2025,418.01,418.01,408.19,410.09,40148,,0.0,0.0
24-02-2025,403.96,414.97,402.21,411.93,36934,,0.0,0.0
25-02-2025,403.86,416.72,403.86,413.63,46318,,0.0,0.0
27-02-2025,415.67,419.51,405.25,412.23,62741,,0.0,0.0
28-02-2025,406.05,443.64,397.83,433.07,411400,,0.0,0.0
03-03-2025,433.07,435.96,399.37,426.49,138497,,0.0,0.0
04-03-2025,420.11,451.61,411.04,446.68,133249,,0.0,0.0
05-03-2025,442.54,465.47,438.7,459.74,702244,,0.0,0.0
06-03-2025,463.57,473.94,449.17,454.45,46900,,0.0,0.0
07-03-2025,453.16,466.66,445.58,456.55,98169,,0.0,0.0
10-03-2025,455.6,468.56,424.69,427.88,83294,,0.0,0.0
11-03-2025,426.64,436.06,418.41,423.1,44072,,0.0,0.0
12-03-2025,418.71,429.63,418.71,424.19,17216,,0.0,0.0
13-03-2025,427.93,427.98,418.71,423.55,25847,,0.0,0.0
17-03-2025,425.69,428.33,419.81,423.3,29897,,0.0,0.0
18-03-2025,423.3,423.3,423.3,423.3,0,,0.0,0.0
19-03-2025,437.3,441.64,431.22,438.6,37459,,0.0,0.0
20-03-2025,445.18,456.6,413.28,434.91,379979,,0.0,0.0
21-03-2025,434.91,442.64,428.83,435.76,52918,,0.0,0.0
24-03-2025,437.4,438.8,421.7,428.33,98402,,0.0,0.0
25-03-2025,443.64,443.64,426.84,437.3,72717,,0.0,0.0
26-03-2025,431.02,437.45,430.87,434.21,30004,,0.0,0.0
27-03-2025,433.62,464.27,431.67,458.94,280135,,0.0,0.0
28-03-2025,452.61,458.59,438.3,444.38,136472,,0.0,0.0
01-04-2025,446.63,447.27,438.65,442.24,29727,,0.0,0.0
02-04-2025,447.52,456.99,437.35,449.37,569889,,0.0,0.0
03-04-2025,443.64,458.29,443.64,450.96,36448,,0.0,0.0
04-04-2025,451.76,454.45,427.19,431.32,63770,,0.0,0.0
07-04-2025,390.75,425.64,389.8,408.44,146591,,0.0,0.0
08-04-2025,409.79,425.59,409.79,418.61,44996,,0.0,0.0
09-04-2025,411.43,420.66,410.64,415.42,34531,,0.0,0.0
11-04-2025,437.65,437.7,419.71,426.54,43995,,0.0,0.0
15-04-2025,428.58,444.43,428.53,442.59,47202,,0.0,0.0
16-04-2025,447.02,447.27,438.95,444.28,22800,,0.0,0.0
17-04-2025,448.12,448.12,434.21,437.3,45063,,0.0,0.0
21-04-2025,443.54,444.73,434.61,442.24,33918,,0.0,0.0
22-04-2025,442.19,456.05,437.16,452.71,48408,,0.0,0.0
23-04-2025,454.6,458.99,439.65,443.24,32054,,0.0,0.0
24-04-2025,442.74,447.62,428.73,432.52,65278,,0.0,0.0
25-04-2025,432.62,438.7,410.29,417.71,62541,,0.0,0.0
28-04-2025,419.46,428.58,416.72,423.6,53875,,0.0,0.0
29-04-2025,424.39,427.78,410.39,414.03,74142,,0.0,0.0
30-04-2025,419.31,419.31,405.75,407.75,48405,,0.0,0.0
02-05-2025,404.01,428.68,399.37,407.75,62538,,0.0,0.0
05-05-2025,406.6,423.9,402.06,422.4,88086,,0.0,0.0
06-05-2025,428.68,428.68,401.51,409.94,61103,,0.0,0.0
07-05-2025,405.85,420.71,403.41,415.47,60836,,0.0,0.0
08-05-2025,416.52,426.19,409.04,411.09,73124,,0.0,0.0
09-05-2025,403.76,423.7,392.94,411.04,165380,,0.0,0.0
12-05-2025,428.58,437.65,412.33,416.72,102174,,0.0,0.0
13-05-2025,417.52,424.69,413.73,419.71,157018,,0.0,0.0
14-05-2025,419.76,433.17,419.76,431.17,55501,,0.0,0.0
15-05-2025,431.22,436.21,419.76,423.2,118130,,0.0,0.0
16-05-2025,425.64,431.67,421.7,423.05,99699,,0.0,0.0
19-05-2025,425.14,431.52,420.71,425.84,94713,,0.0,0.0
20-05-2025,429.98,437.4,423.5,428.63,65013,,0.0,0.0
21-05-2025,430.77,430.77,409.54,428.58,160639,,0.0,0.0
22-05-2025,424.29,428.48,423.35,425.99,27689,,0.0,0.0
23-05-2025,423.75,430.53,413.48,420.31,181269,,0.0,0.0
26-05-2025,423.9,428.43,418.21,419.86,39647,,0.0,0.0
27-05-2025,415.72,419.31,412.78,413.93,52859,,0.0,0.0
28-05-2025,413.68,419.16,405.65,407.94,93053,,0.0,0.0
29-05-2025,407.94,414.82,406.7,409.14,50216,,0.0,0.0
30-05-2025,409.74,414.62,403.76,407.0,120154,,0.0,0.0
02-06-2025,407.75,408.49,401.32,403.71,118474,,0.0,0.0
03-06-2025,399.77,408.74,396.33,401.81,132726,,0.0,0.0
04-06-2025,404.85,407.25,395.23,397.08,188262,,0.0,0.0
05-06-2025,397.08,403.76,390.8,392.84,80434,,0.0,0.0
06-06-2025,390.9,397.88,368.57,384.17,220975,,0.0,0.0
09-06-2025,384.17,403.66,384.17,401.46,385607,,0.0,0.0
10-06-2025,405.75,408.74,391.45,395.63,134067,,0.0,0.0
11-06-2025,399.22,400.02,393.39,394.19,107102,,0.0,0.0
12-06-2025,396.13,400.77,382.32,384.52,246583,,0.0,0.0
13-06-2025,383.82,384.02,378.39,379.93,83553,,0.0,0.0
16-06-2025,381.33,384.77,374.95,377.44,112872,,0.0,0.0
17-06-2025,377.44,379.78,355.01,357.55,259695,,0.0,0.0
18-06-2025,357.55,359.29,343.94,345.69,695799,,0.0,0.0
19-06-2025,345.94,349.77,326.6,336.96,720457,,0.0,0.0
