Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
09-07-2025,272.1,299.3,266.24,297.83,67262152,,0.0,0.0
10-07-2025,303.03,327.61,296.74,327.61,36387648,,0.0,0.0
11-07-2025,332.1,352.21,314.94,323.34,37839405,,0.0,0.0
14-07-2025,318.42,332.95,310.87,320.98,13337934,,0.0,0.0
15-07-2025,322.2,337.88,320.38,327.66,9527734,,0.0,0.0
16-07-2025,330.91,355.02,325.16,341.6,22861799,,0.0,0.0
17-07-2025,343.69,350.06,325.3,327.64,9204177,,0.0,0.0
18-07-2025,330.14,334.11,322.69,324.3,5033411,,0.0,0.0
21-07-2025,326.32,332.75,318.16,324.61,4371907,,0.0,0.0
22-07-2025,326.7,337.4,316.8,321.0,5717569,,0.0,0.0
23-07-2025,322.39,333.18,319.49,330.29,4369057,,0.0,0.0
24-07-2025,331.98,333.52,320.56,322.09,2248901,,0.0,0.0
25-07-2025,321.76,323.99,311.76,314.2,1605635,,0.0,0.0
28-07-2025,314.17,316.59,300.66,303.89,1859026,,0.0,0.0
29-07-2025,303.89,313.97,301.59,311.3,1529689,,0.0,0.0
30-07-2025,311.3,322.49,311.3,315.17,2542130,,0.0,0.0
31-07-2025,309.81,330.14,307.87,322.22,3358263,,0.0,0.0
01-08-2025,324.09,324.23,315.13,318.47,914942,,0.0,0.0
04-08-2025,318.18,324.14,307.15,313.05,1564680,,0.0,0.0
05-08-2025,311.75,315.23,290.25,298.14,1937207,,0.0,0.0
06-08-2025,300.22,305.4,291.61,294.17,1916611,,0.0,0.0
07-08-2025,290.45,295.92,285.61,291.22,1253689,,0.0,0.0
08-08-2025,292.96,303.03,289.28,296.25,1483832,,0.0,0.0
11-08-2025,297.22,297.9,289.91,291.17,524272,,0.0,0.0
12-08-2025,290.45,300.03,286.77,291.51,1073735,,0.0,0.0
13-08-2025,293.35,320.65,291.56,320.65,3510333,,0.0,0.0
14-08-2025,326.95,331.79,306.37,311.84,3169653,,0.0,0.0
18-08-2025,318.52,318.52,306.08,307.1,982611,,0.0,0.0
19-08-2025,307.78,326.17,305.16,321.67,3143322,,0.0,0.0
20-08-2025,322.01,324.33,314.7,317.36,977062,,0.0,0.0
21-08-2025,319.39,336.92,316.39,332.71,4815621,,0.0,0.0
22-08-2025,335.46,346.11,329.37,340.4,4087651,,0.0,0.0
25-08-2025,343.69,349.02,339.82,342.15,3032952,,0.0,0.0
26-08-2025,341.71,341.71,322.39,324.82,1467347,,0.0,0.0
28-08-2025,324.96,340.79,322.44,338.56,2144439,,0.0,0.0
29-08-2025,339.77,343.5,334.11,338.61,1460187,,0.0,0.0
01-09-2025,342.24,357.68,338.18,353.76,3898723,,0.0,0.0
02-09-2025,358.12,369.64,353.81,356.96,2790028,,0.0,0.0
03-09-2025,354.63,363.35,347.13,361.27,1648246,,0.0,0.0
04-09-2025,364.03,366.93,352.41,355.31,1304165,,0.0,0.0
05-09-2025,356.67,365.96,352.07,355.26,1555213,,0.0,0.0
08-09-2025,359.18,375.59,358.36,362.33,2110270,,0.0,0.0
09-09-2025,362.62,363.98,341.37,344.23,1185483,,0.0,0.0
10-09-2025,344.71,356.81,344.71,350.62,994614,,0.0,0.0
11-09-2025,350.23,351.88,336.05,338.61,694699,,0.0,0.0
12-09-2025,340.31,344.66,335.95,339.87,718486,,0.0,0.0
15-09-2025,341.56,346.99,338.03,343.06,564713,,0.0,0.0
16-09-2025,344.37,348.24,338.85,340.69,490515,,0.0,0.0
17-09-2025,342.24,343.55,331.4,337.93,881962,,0.0,0.0
18-09-2025,340.69,343.84,336.34,342.44,512096,,0.0,0.0
19-09-2025,341.76,342.1,330.72,332.95,462450,,0.0,0.0
22-09-2025,332.08,332.22,302.69,306.18,2609441,,0.0,0.0
23-09-2025,308.41,316.97,305.45,306.71,1081186,,0.0,0.0
24-09-2025,306.9,307.87,298.09,299.11,597259,,0.0,0.0
25-09-2025,299.01,302.06,295.63,298.0,494092,,0.0,0.0
26-09-2025,298.0,298.68,286.52,290.74,1012461,,0.0,0.0
29-09-2025,295.0,296.74,290.54,292.29,641610,,0.0,0.0
30-09-2025,292.38,294.22,283.96,285.12,595202,,0.0,0.0
01-10-2025,285.61,290.16,282.8,288.22,559440,,0.0,0.0
03-10-2025,289.28,289.38,281.25,284.15,632198,,0.0,0.0
06-10-2025,284.15,284.64,266.39,274.13,2194110,,0.0,0.0
07-10-2025,275.83,283.57,273.55,280.47,701291,,0.0,0.0
08-10-2025,281.59,283.67,275.1,277.38,640418,,0.0,0.0
09-10-2025,275.34,276.65,270.11,272.44,526306,,0.0,0.0
10-10-2025,271.86,279.84,270.21,272.73,650948,,0.0,0.0
13-10-2025,273.45,275.25,266.24,268.86,461064,,0.0,0.0
14-10-2025,269.15,270.79,264.4,266.48,346286,,0.0,0.0
15-10-2025,266.48,269.92,261.26,267.84,735219,,0.0,0.0
16-10-2025,270.5,281.93,268.52,280.43,778096,,0.0,0.0
17-10-2025,308.45,308.45,296.79,308.45,4236365,,0.0,0.0
20-10-2025,312.71,317.84,301.1,308.74,1931373,,0.0,0.0
21-10-2025,311.79,316.39,308.31,309.71,222113,,0.0,0.0
23-10-2025,314.65,316.59,307.0,312.52,713886,,0.0,0.0
24-10-2025,313.1,314.65,305.5,309.81,604600,,0.0,0.0
27-10-2025,312.33,322.39,308.45,311.36,1091902,,0.0,0.0
28-10-2025,311.75,312.66,295.38,297.61,806194,,0.0,0.0
29-10-2025,298.19,298.19,291.41,294.37,442264,,0.0,0.0
30-10-2025,294.32,297.8,290.45,291.7,326704,,0.0,0.0
31-10-2025,291.7,299.16,290.93,296.5,341513,,0.0,0.0
03-11-2025,296.25,299.93,295.09,298.29,248840,,0.0,0.0
04-11-2025,297.71,306.42,293.74,303.56,622371,,0.0,0.0
06-11-2025,301.68,304.48,292.09,293.21,288962,,0.0,0.0
07-11-2025,292.82,300.13,291.37,297.13,404532,,0.0,0.0
10-11-2025,297.13,299.5,284.15,285.12,353773,,0.0,0.0
11-11-2025,285.8,294.32,283.18,291.9,283237,,0.0,0.0
12-11-2025,293.35,294.8,284.73,285.46,369215,,0.0,0.0
13-11-2025,286.52,291.08,283.81,285.31,326966,,0.0,0.0
14-11-2025,285.61,286.86,279.51,284.2,666011,,0.0,0.0
17-11-2025,284.59,284.59,269.0,270.02,1231516,,0.0,0.0
18-11-2025,270.02,275.63,269.15,274.23,349029,,0.0,0.0
19-11-2025,273.5,274.04,267.31,268.76,219219,,0.0,0.0
20-11-2025,270.11,273.5,267.11,267.98,191755,,0.0,0.0
21-11-2025,267.02,267.4,259.13,260.19,318218,,0.0,0.0
24-11-2025,260.92,260.92,246.54,250.32,288895,,0.0,0.0
25-11-2025,250.61,256.08,249.15,255.69,192780,,0.0,0.0
26-11-2025,255.79,270.07,252.93,268.76,488168,,0.0,0.0
27-11-2025,268.81,295.19,268.81,289.53,3491366,,0.0,0.0
28-11-2025,288.36,288.36,276.5,278.44,461439,,0.0,0.0
01-12-2025,281.78,282.99,274.76,276.84,596017,,0.0,0.0
02-12-2025,276.79,276.79,270.11,271.52,514164,,0.0,0.0
03-12-2025,272.92,275.83,264.69,267.6,355389,,0.0,0.0
04-12-2025,269.44,273.02,263.0,270.79,358049,,0.0,0.0
05-12-2025,271.08,271.52,264.31,265.56,111230,,0.0,0.0
08-12-2025,263.34,267.26,256.56,258.16,211785,,0.0,0.0
09-12-2025,258.4,270.11,251.77,266.87,276256,,0.0,0.0
10-12-2025,265.95,271.57,263.82,270.31,238366,,0.0,0.0
11-12-2025,271.95,272.2,263.43,267.79,122237,,0.0,0.0
12-12-2025,268.81,273.99,264.79,272.68,260307,,0.0,0.0
15-12-2025,273.94,273.94,266.24,270.16,146029,,0.0,0.0
16-12-2025,269.44,282.46,265.95,278.97,513567,,0.0,0.0
17-12-2025,280.76,288.51,276.84,283.96,403760,,0.0,0.0
18-12-2025,278.97,282.99,272.05,276.5,196181,,0.0,0.0
19-12-2025,276.89,280.67,272.92,273.55,105966,,0.0,0.0
22-12-2025,276.89,277.76,271.37,275.83,183409,,0.0,0.0
23-12-2025,276.17,284.98,274.52,282.51,280931,,0.0,0.0
24-12-2025,282.65,282.65,275.54,276.07,93293,,0.0,0.0
26-12-2025,276.89,287.78,269.63,283.04,266924,,0.0,0.0
29-12-2025,286.04,287.74,273.99,275.39,131222,,0.0,0.0
30-12-2025,275.39,275.39,271.37,273.5,52193,,0.0,0.0
31-12-2025,273.5,275.68,272.34,274.57,62205,,0.0,0.0
01-01-2026,274.57,279.75,273.99,274.91,87114,,0.0,0.0
02-01-2026,275.15,277.76,273.07,274.13,68325,,0.0,0.0
05-01-2026,273.99,274.66,267.26,269.82,79189,,0.0,0.0
06-01-2026,274.91,274.91,266.0,267.21,63272,,0.0,0.0
07-01-2026,268.03,268.86,265.37,267.06,74152,,0.0,0.0
08-01-2026,262.27,270.11,256.61,261.64,221178,,0.0,0.0
09-01-2026,262.37,264.79,254.62,256.71,117417,,0.0,0.0
12-01-2026,256.56,256.56,248.09,251.53,170512,,0.0,0.0
13-01-2026,250.99,254.62,247.22,250.65,125566,,0.0,0.0
14-01-2026,251.82,253.66,242.14,244.31,189714,,0.0,0.0
15-01-2026,244.31,244.31,244.31,244.31,0,,0.0,0.0
16-01-2026,243.01,243.97,237.2,238.07,237138,,0.0,0.0
19-01-2026,238.07,238.07,229.69,231.15,165780,,0.0,0.0
20-01-2026,232.26,232.26,219.63,223.59,294641,,0.0,0.0
21-01-2026,223.59,224.42,212.46,214.4,340849,,0.0,0.0
22-01-2026,220.74,220.74,210.38,212.22,175608,,0.0,0.0
23-01-2026,216.77,224.81,211.2,218.61,628492,,0.0,0.0
27-01-2026,224.61,235.26,217.83,231.49,341010,,0.0,0.0
28-01-2026,234.1,254.62,224.61,242.91,1445620,,0.0,0.0
29-01-2026,248.77,252.69,242.04,243.93,440397,,0.0,0.0
30-01-2026,244.89,249.25,242.04,243.1,279421,,0.0,0.0
02-02-2026,244.8,244.8,234.39,239.57,161538,,0.0,0.0
03-02-2026,245.91,253.66,242.04,243.2,711363,,0.0,0.0
04-02-2026,244.8,247.1,238.5,243.15,341335,,8.0,0.0
05-02-2026,240.5,242.0,235.0,236.1,246653,,0.0,0.0
06-02-2026,236.0,238.4,229.05,236.6,202577,,0.0,0.0
09-02-2026,240.0,243.9,233.65,240.1,327292,,0.0,0.0
10-02-2026,242.0,251.0,240.2,247.65,205713,,0.0,0.0
11-02-2026,248.0,248.0,237.25,239.05,188506,,0.0,0.0
12-02-2026,240.15,242.0,236.85,240.35,160287,,0.0,0.0
13-02-2026,239.05,239.05,230.0,231.3,187750,,0.0,0.0
16-02-2026,230.0,237.45,227.25,230.4,270118,,0.0,0.0
17-02-2026,234.0,234.05,229.05,231.3,176674,,0.0,0.0
