Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
16-02-2024,1228.7,1258.0,1141.0,1149.55,1788742,,0.0,0.0
19-02-2024,1149.5,1178.0,1105.85,1151.0,389057,,0.0,0.0
20-02-2024,1150.0,1198.0,1140.35,1161.2,678777,,0.0,0.0
21-02-2024,1162.1,1197.9,1150.0,1166.6,415999,,0.0,0.0
22-02-2024,1166.55,1186.95,1139.1,1158.15,113667,,0.0,0.0
23-02-2024,1161.95,1174.9,1156.05,1169.15,127547,,0.0,0.0
26-02-2024,1146.55,1185.15,1100.3,1130.5,191751,,0.0,0.0
27-02-2024,1135.0,1153.7,1112.0,1121.0,259971,,0.0,0.0
28-02-2024,1116.0,1121.0,1002.35,1037.4,506919,,0.0,0.0
29-02-2024,1037.4,1102.0,1031.1,1082.85,141204,,0.0,0.0
01-03-2024,1096.0,1125.95,1013.15,1017.5,393304,,0.0,0.0
04-03-2024,1028.25,1060.65,1010.0,1036.55,312834,,0.0,0.0
05-03-2024,1034.7,1065.5,1032.15,1059.3,103169,,0.0,0.0
06-03-2024,1055.05,1079.8,1025.0,1032.3,121776,,0.0,0.0
07-03-2024,1039.0,1099.9,1039.0,1094.2,212534,,0.0,0.0
11-03-2024,1100.25,1124.0,1090.15,1115.9,187958,,0.0,0.0
12-03-2024,1116.75,1116.75,1060.5,1083.3,87592,,0.0,0.0
13-03-2024,1070.0,1093.0,980.35,993.4,236716,,0.0,0.0
14-03-2024,1004.95,1055.55,988.55,1031.85,224330,,0.0,0.0
15-03-2024,1010.0,1058.75,1000.0,1006.3,91497,,0.0,0.0
18-03-2024,1010.95,1053.45,1010.55,1040.95,79031,,0.0,0.0
19-03-2024,1038.5,1047.95,990.0,999.9,105982,,0.0,0.0
20-03-2024,1034.95,1038.0,998.0,1004.65,28952,,0.0,0.0
21-03-2024,1004.9,1026.5,995.0,998.35,60528,,0.0,0.0
22-03-2024,998.8,1035.0,984.0,991.55,121225,,0.0,0.0
26-03-2024,991.55,1009.35,980.0,986.5,109921,,0.0,0.0
27-03-2024,987.0,1008.9,987.0,999.85,73836,,0.0,0.0
28-03-2024,1000.0,1010.1,970.0,987.45,82536,,0.0,0.0
01-04-2024,995.0,1014.0,995.0,1001.65,35883,,0.0,0.0
02-04-2024,1010.6,1011.45,992.1,993.75,53906,,0.0,0.0
03-04-2024,1004.95,1005.2,985.35,996.8,87206,,0.0,0.0
04-04-2024,997.2,1008.25,997.2,1004.1,39443,,0.0,0.0
05-04-2024,1004.1,1008.2,1000.0,1005.9,27118,,0.0,0.0
08-04-2024,1006.95,1015.9,992.0,994.45,31642,,0.0,0.0
09-04-2024,995.95,1028.5,995.85,1005.1,60569,,0.0,0.0
10-04-2024,1005.0,1012.95,999.0,1001.95,35599,,0.0,0.0
12-04-2024,1114.95,1202.3,1089.0,1170.55,831193,,0.0,0.0
15-04-2024,1165.0,1165.0,1105.05,1129.25,81164,,0.0,0.0
16-04-2024,1111.0,1134.65,1080.0,1097.25,80493,,0.0,0.0
18-04-2024,1099.2,1148.55,1099.2,1113.05,92105,,0.0,0.0
19-04-2024,1113.0,1133.95,1097.7,1128.2,68858,,0.0,0.0
22-04-2024,1134.95,1157.0,1130.0,1144.2,55632,,0.0,0.0
23-04-2024,1162.6,1225.0,1162.6,1204.05,348878,,0.0,0.0
24-04-2024,1204.95,1225.0,1197.2,1208.25,178852,,0.0,0.0
25-04-2024,1182.35,1207.95,1160.0,1169.65,45793,,0.0,0.0
26-04-2024,1175.0,1183.25,1136.4,1151.75,24987,,0.0,0.0
29-04-2024,1151.75,1159.0,1131.8,1140.0,28292,,0.0,0.0
30-04-2024,1138.95,1206.0,1138.95,1170.7,53596,,0.0,0.0
02-05-2024,1159.95,1183.8,1124.2,1130.35,45690,,0.0,0.0
03-05-2024,1135.95,1146.65,1078.15,1096.0,55935,,0.0,0.0
06-05-2024,1100.0,1111.95,1072.3,1080.2,44131,,0.0,0.0
07-05-2024,1087.0,1098.15,1070.05,1095.0,46091,,0.0,0.0
08-05-2024,1081.0,1098.6,1072.25,1076.85,15481,,0.0,0.0
09-05-2024,1096.0,1096.0,1049.0,1055.3,21788,,0.0,0.0
10-05-2024,1055.3,1067.5,1023.15,1047.1,18811,,0.0,0.0
13-05-2024,1056.95,1056.95,1020.65,1031.65,26041,,0.0,0.0
14-05-2024,1044.95,1046.0,1014.95,1041.55,9823,,0.0,0.0
15-05-2024,1041.9,1041.9,1002.85,1008.95,88285,,0.0,0.0
16-05-2024,1017.9,1029.15,1012.6,1021.7,56225,,0.0,0.0
