Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
18-06-2024,138.1,165.72,135.0,165.72,96460326,,0.0,0.0
19-06-2024,183.0,197.5,180.0,184.86,47885517,,0.0,0.0
20-06-2024,183.7,183.7,166.0,167.77,16561844,,0.0,0.0
21-06-2024,169.5,177.16,168.53,169.0,7135032,,0.0,0.0
24-06-2024,169.95,170.0,165.0,166.57,3288704,,0.0,0.0
25-06-2024,168.9,169.9,158.05,160.22,6464163,,0.0,0.0
26-06-2024,160.0,164.0,154.5,162.6,5644494,,0.0,0.0
27-06-2024,160.75,163.65,158.6,161.95,2282773,,0.0,0.0
28-06-2024,161.1,161.47,156.2,156.95,1435015,,0.0,0.0
01-07-2024,157.1,161.6,155.2,158.67,1993969,,0.0,0.0
02-07-2024,159.08,160.99,155.25,157.69,1502932,,0.0,0.0
03-07-2024,157.5,159.47,155.5,156.39,1259854,,0.0,0.0
04-07-2024,157.2,164.76,157.2,163.93,4571493,,0.0,0.0
05-07-2024,169.0,176.67,165.05,170.43,8706904,,0.0,0.0
08-07-2024,172.8,175.9,169.08,171.32,2745380,,0.0,0.0
09-07-2024,173.0,180.0,169.2,171.48,4257694,,0.0,0.0
10-07-2024,172.89,173.81,165.0,168.41,2048025,,0.0,0.0
11-07-2024,169.45,173.0,168.5,170.49,1299027,,0.0,0.0
12-07-2024,172.0,180.98,170.55,172.22,5471582,,0.0,0.0
15-07-2024,174.0,174.5,167.48,171.94,1929505,,0.0,0.0
16-07-2024,172.49,181.7,170.35,173.24,5610496,,0.0,0.0
18-07-2024,174.0,178.3,171.07,173.11,2505710,,0.0,0.0
19-07-2024,173.0,179.2,169.5,170.78,2880377,,0.0,0.0
22-07-2024,169.1,174.85,166.61,172.14,1526691,,0.0,0.0
23-07-2024,174.0,176.9,156.91,170.93,2631932,,0.0,0.0
24-07-2024,174.0,178.0,171.4,171.96,1860288,,0.0,0.0
25-07-2024,170.71,175.5,170.5,173.36,808342,,0.0,0.0
26-07-2024,175.23,196.44,175.23,177.12,12199704,,0.0,0.0
29-07-2024,181.45,184.7,179.0,181.05,2515578,,0.0,0.0
30-07-2024,181.0,182.85,175.65,176.2,1589937,,0.0,0.0
