Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
04-05-2022,101.15,101.15,94.28,95.14,79200,,0.0,0.0
05-05-2022,94.23,97.52,91.51,93.7,304200,,0.0,0.0
06-05-2022,96.97,96.97,89.88,93.06,30600,,0.0,0.0
09-05-2022,91.51,91.51,86.63,88.54,99000,,0.0,0.0
10-05-2022,87.41,89.24,87.41,88.32,102600,,0.0,0.0
11-05-2022,87.57,87.57,78.76,82.42,82800,,0.0,0.0
12-05-2022,80.37,83.09,78.15,82.2,91800,,0.0,0.0
13-05-2022,82.2,84.69,81.48,81.62,25200,,0.0,0.0
16-05-2022,84.25,84.25,79.95,83.09,27000,,0.0,0.0
17-05-2022,82.59,83.69,82.03,82.72,21600,,0.0,0.0
18-05-2022,83.14,84.78,82.2,83.89,255600,,0.0,0.0
19-05-2022,75.44,84.25,75.44,83.28,14400,,0.0,0.0
20-05-2022,77.6,87.55,77.6,86.58,88200,,0.0,0.0
23-05-2022,85.91,88.13,83.14,83.17,30600,,0.0,0.0
24-05-2022,82.72,87.3,82.72,85.39,230400,,0.0,0.0
25-05-2022,85.39,85.39,83.14,83.17,45000,,0.0,0.0
26-05-2022,80.45,85.08,80.37,83.92,32400,,0.0,0.0
27-05-2022,84.8,84.8,83.42,83.42,14400,,0.0,0.0
30-05-2022,83.42,84.8,81.75,81.89,30600,,0.0,0.0
31-05-2022,81.75,84.8,81.67,84.39,39600,,0.0,0.0
01-06-2022,83.42,84.11,83.14,83.14,5400,,0.0,0.0
02-06-2022,83.14,84.22,83.14,83.61,9000,,0.0,0.0
03-06-2022,83.09,83.09,81.2,81.2,9000,,0.0,0.0
06-06-2022,80.37,82.59,80.09,82.59,14400,,0.0,0.0
07-06-2022,79.82,79.82,78.71,79.26,14400,,0.0,0.0
08-06-2022,83.53,85.91,80.92,82.5,154800,,0.0,0.0
09-06-2022,85.91,85.91,79.82,80.01,12600,,0.0,0.0
10-06-2022,80.01,80.01,80.01,80.01,0,,0.0,0.0
13-06-2022,77.6,79.82,77.6,79.82,5400,,0.0,0.0
14-06-2022,79.82,79.82,79.82,79.82,0,,0.0,0.0
15-06-2022,79.82,79.82,79.82,79.82,3600,,0.0,0.0
16-06-2022,79.82,82.03,76.27,78.71,18000,,0.0,0.0
17-06-2022,78.71,78.71,78.71,78.71,0,,0.0,0.0
20-06-2022,74.0,77.6,74.0,77.6,23400,,0.0,0.0
21-06-2022,76.05,81.48,76.05,76.49,18000,,0.0,0.0
22-06-2022,76.49,76.49,75.94,75.94,7200,,0.0,0.0
23-06-2022,77.43,77.43,77.43,77.43,3600,,0.0,0.0
24-06-2022,75.6,77.32,75.6,76.49,23400,,0.0,0.0
27-06-2022,77.71,78.68,76.77,77.6,10800,,0.0,0.0
28-06-2022,77.04,77.04,73.94,75.38,23400,,0.0,0.0
29-06-2022,76.49,79.76,76.49,79.76,46800,,0.0,0.0
30-06-2022,81.48,81.48,75.94,75.94,14400,,0.0,0.0
01-07-2022,76.49,77.6,75.66,77.6,28800,,0.0,0.0
04-07-2022,74.83,80.76,74.83,80.59,14400,,0.0,0.0
05-07-2022,80.81,80.81,77.04,78.43,10800,,0.0,0.0
06-07-2022,78.43,78.43,78.43,78.43,1800,,0.0,0.0
07-07-2022,78.43,79.26,78.43,79.26,3600,,0.0,0.0
08-07-2022,79.82,80.92,79.82,80.09,10800,,0.0,0.0
11-07-2022,76.54,78.15,76.54,78.15,9000,,0.0,0.0
12-07-2022,77.65,78.15,77.65,78.15,3600,,0.0,0.0
13-07-2022,81.48,84.14,78.21,79.82,21600,,0.0,0.0
14-07-2022,79.82,79.82,79.82,79.82,0,,0.0,0.0
15-07-2022,79.82,79.82,79.82,79.82,0,,0.0,0.0
18-07-2022,77.93,78.15,77.93,78.15,3600,,0.0,0.0
19-07-2022,74.83,87.57,70.39,84.47,210600,,0.0,0.0
20-07-2022,83.42,94.23,83.42,93.06,100800,,0.0,0.0
