Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
16-02-2022,908.25,964.3,893.68,906.85,19754867,,0.0,0.0
17-02-2022,922.83,935.45,886.49,893.93,2987328,,0.0,0.0
18-02-2022,867.46,891.64,856.77,880.47,973745,,0.0,0.0
21-02-2022,854.83,879.84,849.48,854.92,1226361,,0.0,0.0
22-02-2022,825.69,861.63,803.05,838.56,940236,,0.0,0.0
23-02-2022,845.11,857.55,821.02,830.49,926259,,0.0,0.0
24-02-2022,767.6,874.26,767.6,790.08,778427,,0.0,0.0
25-02-2022,793.63,823.74,793.63,811.89,261276,,0.0,0.0
28-02-2022,811.89,874.26,808.3,866.68,497233,,0.0,0.0
02-03-2022,862.6,887.17,851.91,857.89,446539,,0.0,0.0
03-03-2022,864.54,879.11,810.19,838.95,745682,,0.0,0.0
04-03-2022,828.6,837.29,822.38,826.17,129432,,0.0,0.0
07-03-2022,811.11,819.86,804.02,808.98,330996,,0.0,0.0
08-03-2022,812.57,830.49,801.4,815.19,171788,,0.0,0.0
09-03-2022,819.86,853.66,812.67,846.96,368220,,0.0,0.0
10-03-2022,852.88,868.43,848.9,856.19,158073,,0.0,0.0
11-03-2022,844.14,868.96,826.51,839.82,158323,,0.0,0.0
14-03-2022,834.14,859.68,821.51,838.8,1704307,,0.0,0.0
15-03-2022,837.34,854.83,825.73,845.02,257448,,0.0,0.0
16-03-2022,854.1,854.78,827.63,842.98,150408,,0.0,0.0
17-03-2022,845.11,882.03,845.11,874.79,521984,,0.0,0.0
21-03-2022,873.28,890.87,870.56,886.11,640253,,0.0,0.0
22-03-2022,870.37,908.25,870.37,887.56,201732,,0.0,0.0
23-03-2022,891.74,922.83,883.92,909.66,207756,,0.0,0.0
24-03-2022,894.65,915.93,888.87,894.46,312533,,0.0,0.0
25-03-2022,893.68,913.11,893.59,904.08,123701,,0.0,0.0
28-03-2022,897.57,913.11,884.94,896.79,215466,,0.0,0.0
29-03-2022,895.14,923.55,895.14,913.55,230135,,0.0,0.0
30-03-2022,932.54,947.11,863.28,932.98,386824,,0.0,0.0
31-03-2022,933.51,995.1,914.67,939.29,545493,,0.0,0.0
01-04-2022,937.4,979.6,932.59,969.89,137893,,0.0,0.0
04-04-2022,1000.54,1029.78,972.37,980.72,287299,,0.0,0.0
05-04-2022,985.97,1086.99,970.42,1056.93,855999,,0.0,0.0
06-04-2022,1051.05,1079.37,1010.25,1023.27,196825,,0.0,0.0
07-04-2022,1028.71,1037.69,958.72,992.04,141428,,0.0,0.0
08-04-2022,976.25,1024.29,976.25,1013.21,156408,,0.0,0.0
11-04-2022,1010.25,1029.05,1008.36,1020.06,113085,,0.0,0.0
12-04-2022,1010.25,1051.05,1002.53,1036.38,225666,,0.0,0.0
13-04-2022,1048.18,1050.17,1010.3,1019.96,131474,,0.0,0.0
18-04-2022,1000.54,1048.04,1000.54,1032.16,127667,,0.0,0.0
19-04-2022,1015.11,1068.53,976.69,1015.3,326073,,0.0,0.0
20-04-2022,1029.58,1036.67,979.94,1015.79,93177,,0.0,0.0
21-04-2022,1015.25,1103.8,1009.62,1085.73,534873,,0.0,0.0
22-04-2022,1082.13,1110.55,1030.6,1042.36,201913,,0.0,0.0
25-04-2022,1032.3,1042.36,982.08,1024.72,146849,,0.0,0.0
26-04-2022,1043.67,1079.32,1029.73,1062.8,199483,,0.0,0.0
27-04-2022,1046.77,1096.22,1039.39,1054.59,223547,,0.0,0.0
28-04-2022,1050.08,1077.71,1049.25,1068.68,175753,,0.0,0.0
29-04-2022,1068.53,1111.23,1043.57,1060.33,330998,,0.0,0.0
02-05-2022,1039.39,1076.99,1025.84,1039.54,176572,,0.0,0.0
04-05-2022,1031.62,1039.25,982.08,1002.04,140592,,0.0,0.0
05-05-2022,1019.96,1024.19,993.25,1005.88,109264,,0.0,0.0
06-05-2022,990.82,1000.54,963.53,970.76,210362,,0.0,0.0
09-05-2022,961.68,981.11,934.92,960.18,147427,,0.0,0.0
10-05-2022,932.54,981.11,932.54,948.96,222164,,0.0,0.0
11-05-2022,944.2,962.9,907.82,926.81,211281,,0.0,0.0
12-05-2022,926.81,926.81,891.06,916.71,375421,,0.0,0.0
13-05-2022,942.25,959.2,906.02,949.54,101780,,0.0,0.0
16-05-2022,951.97,1002.97,948.52,963.48,132465,,0.0,0.0
17-05-2022,961.68,970.76,952.7,955.76,35359,,0.0,0.0
18-05-2022,968.97,979.17,925.84,937.1,99108,,0.0,0.0
19-05-2022,913.06,941.28,904.37,919.09,81285,,0.0,0.0
20-05-2022,938.37,949.54,913.06,940.36,76758,,0.0,0.0
23-05-2022,928.36,952.94,921.22,939.58,94828,,0.0,0.0
24-05-2022,932.54,951.0,915.49,943.32,95495,,0.0,0.0
25-05-2022,950.02,950.02,918.94,924.19,61110,,0.0,0.0
26-05-2022,915.05,951.0,898.59,932.83,122430,,0.0,0.0
27-05-2022,932.54,951.0,924.57,941.91,173555,,0.0,0.0
30-05-2022,932.59,1009.28,932.59,1001.41,225734,,0.0,0.0
31-05-2022,990.82,1000.44,968.97,977.61,139032,,0.0,0.0
01-06-2022,988.1,1043.18,987.57,1033.13,378336,,0.0,0.0
02-06-2022,1024.82,1064.65,1017.73,1052.07,169921,,0.0,0.0
03-06-2022,1044.35,1070.04,1043.33,1058.97,150579,,0.0,0.0
06-06-2022,1068.53,1075.53,1037.01,1046.43,85248,,0.0,0.0
07-06-2022,1039.39,1039.39,1019.04,1030.8,52910,,0.0,0.0
08-06-2022,1029.68,1034.83,992.86,1008.84,79761,,0.0,0.0
09-06-2022,1002.48,1010.25,986.01,1001.22,57560,,0.0,0.0
10-06-2022,990.58,1022.2,982.18,995.83,193490,,0.0,0.0
13-06-2022,989.56,989.56,961.92,976.98,80805,,0.0,0.0
14-06-2022,976.98,986.6,964.64,974.45,35994,,0.0,0.0
15-06-2022,967.51,981.11,952.94,972.27,63884,,0.0,0.0
16-06-2022,990.82,990.82,936.23,953.86,50979,,0.0,0.0
17-06-2022,939.53,958.04,928.12,943.03,115906,,0.0,0.0
20-06-2022,942.64,956.82,914.13,938.56,81251,,0.0,0.0
21-06-2022,932.54,955.03,926.13,940.94,42418,,0.0,0.0
22-06-2022,941.52,946.33,910.59,918.5,66808,,0.0,0.0
23-06-2022,922.29,1010.35,914.08,974.89,106030,,0.0,0.0
24-06-2022,971.39,979.12,948.08,956.1,100791,,0.0,0.0
27-06-2022,961.68,989.8,945.85,951.43,101738,,0.0,0.0
28-06-2022,944.2,970.42,933.51,945.41,58529,,0.0,0.0
29-06-2022,933.51,953.57,932.54,943.95,48294,,0.0,0.0
30-06-2022,940.99,970.42,934.0,938.27,48183,,0.0,0.0
01-07-2022,927.68,966.44,927.68,943.9,53771,,0.0,0.0
04-07-2022,942.25,974.31,942.25,964.26,152435,,0.0,0.0
05-07-2022,964.26,1007.92,963.09,974.79,209499,,0.0,0.0
06-07-2022,991.79,1007.29,970.67,986.06,154774,,0.0,0.0
07-07-2022,1005.39,1024.82,990.09,1001.85,127906,,0.0,0.0
08-07-2022,1019.96,1026.96,999.37,1004.52,58166,,0.0,0.0
11-07-2022,1010.25,1067.56,1010.25,1059.5,114553,,0.0,0.0
12-07-2022,1052.02,1074.99,1024.82,1063.09,75147,,0.0,0.0
13-07-2022,1063.09,1092.82,1049.11,1066.06,90777,,0.0,0.0
14-07-2022,1087.96,1087.96,1047.11,1065.86,44824,,0.0,0.0
15-07-2022,1068.53,1102.53,1064.11,1072.95,156021,,0.0,0.0
18-07-2022,1088.93,1115.16,1073.39,1079.61,176079,,0.0,0.0
19-07-2022,1090.29,1097.53,1059.84,1071.4,103291,,0.0,0.0
20-07-2022,1086.21,1087.96,1058.82,1061.44,40229,,0.0,0.0
21-07-2022,1064.16,1115.16,1038.42,1057.27,233081,,0.0,0.0
22-07-2022,1043.08,1073.39,1043.08,1046.87,61474,,0.0,0.0
25-07-2022,1046.19,1059.79,1035.51,1046.48,110664,,0.0,0.0
26-07-2022,1055.42,1056.68,1033.66,1037.74,24315,,0.0,0.0
27-07-2022,1037.74,1050.22,1030.84,1044.98,36623,,0.0,0.0
28-07-2022,1076.01,1076.01,1039.39,1047.07,37911,,0.0,0.0
29-07-2022,1051.05,1075.53,1040.46,1046.48,107435,,0.0,0.0
01-08-2022,1053.91,1116.91,1046.53,1105.54,294741,,0.0,0.0
02-08-2022,1121.96,1216.09,1118.08,1207.01,605710,,0.0,0.0
03-08-2022,1223.86,1224.93,1169.27,1178.64,143429,,0.0,0.0
04-08-2022,1178.93,1232.51,1174.42,1215.46,166449,,0.0,0.0
05-08-2022,1214.15,1220.56,1173.44,1177.23,72858,,0.0,0.0
08-08-2022,1192.1,1287.1,1180.97,1259.7,426602,,0.0,0.0
10-08-2022,1257.96,1257.96,1147.51,1159.26,395522,,0.0,0.0
11-08-2022,1155.96,1179.27,1146.34,1173.1,190716,,0.0,0.0
12-08-2022,1175.39,1211.33,1154.02,1158.1,172964,,0.0,0.0
16-08-2022,1184.13,1201.81,1161.79,1197.88,285788,,0.0,0.0
17-08-2022,1204.72,1204.72,1156.2,1165.19,151699,,0.0,0.0
18-08-2022,1171.5,1174.42,1154.02,1166.06,149002,,0.0,0.0
19-08-2022,1184.13,1184.13,1146.25,1149.94,109901,,0.0,0.0
22-08-2022,1159.85,1181.75,1135.12,1165.48,194859,,0.0,0.0
23-08-2022,1177.33,1280.3,1170.58,1210.65,373801,,0.0,0.0
24-08-2022,1218.13,1237.61,1206.47,1226.0,123375,,0.0,0.0
25-08-2022,1230.95,1253.1,1224.93,1237.85,131395,,0.0,0.0
26-08-2022,1257.96,1277.0,1227.84,1235.32,153661,,0.0,0.0
29-08-2022,1194.82,1251.16,1190.01,1233.14,88586,,0.0,0.0
30-08-2022,1247.57,1264.05,1247.57,1255.57,81800,,5.0,0.0
01-09-2022,1244.64,1267.81,1227.33,1250.59,89137,,0.0,0.0
02-09-2022,1256.1,1287.31,1243.43,1268.0,237507,,0.0,0.0
05-09-2022,1278.78,1287.31,1251.81,1273.46,168396,,0.0,0.0
06-09-2022,1271.03,1311.69,1263.81,1297.6,412447,,0.0,0.0
07-09-2022,1311.69,1363.38,1296.97,1347.09,305093,,0.0,0.0
08-09-2022,1353.04,1366.06,1318.52,1356.89,146103,,0.0,0.0
09-09-2022,1365.33,1375.77,1337.05,1367.18,135010,,0.0,0.0
12-09-2022,1380.93,1404.34,1372.69,1389.71,318417,,0.0,0.0
13-09-2022,1390.69,1401.9,1389.57,1397.07,166497,,0.0,0.0
14-09-2022,1375.08,1421.89,1367.28,1408.68,219727,,0.0,0.0
15-09-2022,1418.24,1418.24,1384.84,1392.05,176344,,0.0,0.0
16-09-2022,1387.03,1392.0,1292.87,1329.83,726202,,0.0,0.0
19-09-2022,1343.0,1343.1,1300.57,1328.56,38724,,0.0,0.0
20-09-2022,1345.05,1400.39,1341.49,1388.83,75679,,0.0,0.0
21-09-2022,1391.66,1404.58,1366.65,1382.69,87758,,0.0,0.0
22-09-2022,1375.57,1423.6,1364.26,1373.86,91513,,0.0,0.0
23-09-2022,1375.13,1414.09,1346.8,1367.62,78806,,0.0,0.0
26-09-2022,1348.95,1348.95,1275.66,1318.57,142295,,0.0,0.0
27-09-2022,1330.03,1358.31,1299.55,1312.77,216210,,0.0,0.0
28-09-2022,1287.31,1343.88,1287.31,1331.34,39568,,0.0,0.0
29-09-2022,1351.68,1403.36,1308.82,1374.16,121535,,0.0,0.0
30-09-2022,1377.72,1409.22,1359.19,1373.91,132596,,0.0,0.0
03-10-2022,1384.84,1438.47,1365.67,1392.54,122544,,0.0,0.0
04-10-2022,1399.37,1433.65,1399.37,1413.7,91633,,0.0,0.0
06-10-2022,1438.23,1464.37,1419.99,1429.11,147718,,0.0,0.0
07-10-2022,1435.79,1456.17,1419.7,1432.72,172395,,0.0,0.0
10-10-2022,1428.67,1433.6,1402.39,1407.36,49659,,0.0,0.0
11-10-2022,1415.26,1439.64,1392.44,1418.53,246451,,0.0,0.0
12-10-2022,1412.34,1412.34,1375.08,1384.3,64468,,0.0,0.0
13-10-2022,1391.86,1391.86,1365.28,1379.42,42221,,0.0,0.0
14-10-2022,1398.98,1404.14,1348.56,1360.45,26618,,0.0,0.0
17-10-2022,1381.13,1388.69,1355.58,1367.67,96886,,0.0,0.0
18-10-2022,1388.74,1439.35,1370.74,1384.35,163003,,0.0,0.0
19-10-2022,1391.66,1419.99,1377.08,1390.0,113556,,0.0,0.0
20-10-2022,1399.46,1399.46,1361.43,1382.4,67733,,0.0,0.0
21-10-2022,1393.61,1394.59,1365.33,1373.77,40164,,0.0,0.0
24-10-2022,1389.71,1414.04,1382.69,1406.83,30828,,0.0,0.0
25-10-2022,1423.06,1431.65,1371.28,1416.68,81007,,0.0,0.0
27-10-2022,1436.72,1441.4,1381.91,1392.83,61313,,0.0,0.0
28-10-2022,1392.83,1414.09,1384.84,1395.12,42965,,0.0,0.0
31-10-2022,1403.61,1419.94,1390.74,1413.17,47676,,0.0,0.0
01-11-2022,1413.17,1423.55,1397.07,1406.44,52750,,0.0,0.0
02-11-2022,1404.34,1410.19,1388.44,1394.0,33703,,0.0,0.0
03-11-2022,1394.59,1407.41,1365.33,1402.34,34909,,0.0,0.0
04-11-2022,1399.46,1425.01,1385.86,1396.64,63142,,0.0,0.0
07-11-2022,1402.63,1402.63,1365.33,1371.77,41477,,0.0,0.0
09-11-2022,1381.86,1381.86,1353.63,1367.72,90549,,0.0,0.0
10-11-2022,1368.26,1371.52,1332.37,1338.46,58999,,0.0,0.0
11-11-2022,1350.7,1360.41,1308.96,1334.61,104302,,0.0,0.0
14-11-2022,1329.25,1329.25,1298.28,1308.77,69638,,0.0,0.0
15-11-2022,1312.86,1325.05,1270.1,1311.89,88209,,0.0,0.0
16-11-2022,1321.44,1326.22,1293.41,1318.81,52622,,0.0,0.0
17-11-2022,1318.81,1333.34,1292.53,1319.06,94484,,0.0,0.0
18-11-2022,1332.17,1332.17,1277.56,1284.82,168688,,0.0,0.0
21-11-2022,1278.53,1316.47,1268.98,1309.69,157599,,0.0,0.0
22-11-2022,1319.49,1320.47,1283.51,1288.24,32124,,0.0,0.0
23-11-2022,1314.52,1326.27,1282.44,1315.15,59192,,0.0,0.0
24-11-2022,1321.44,1340.95,1303.89,1334.27,40277,,0.0,0.0
25-11-2022,1345.83,1374.11,1334.27,1355.53,161101,,0.0,0.0
28-11-2022,1358.7,1359.48,1311.69,1317.4,38318,,0.0,0.0
29-11-2022,1324.32,1324.37,1298.53,1313.01,52554,,0.0,0.0
30-11-2022,1318.52,1340.9,1316.57,1334.32,23546,,0.0,0.0
01-12-2022,1353.53,1363.38,1326.47,1355.63,50521,,0.0,0.0
02-12-2022,1346.9,1411.75,1338.56,1365.67,97599,,0.0,0.0
05-12-2022,1364.36,1364.36,1317.64,1330.51,106128,,0.0,0.0
06-12-2022,1335.29,1338.02,1292.19,1299.7,59000,,0.0,0.0
07-12-2022,1309.94,1316.52,1272.49,1306.57,82638,,0.0,0.0
08-12-2022,1315.79,1321.88,1295.16,1304.09,20887,,0.0,0.0
09-12-2022,1315.59,1335.98,1306.87,1326.32,140205,,0.0,0.0
12-12-2022,1323.59,1334.61,1309.74,1321.3,23398,,0.0,0.0
13-12-2022,1331.2,1340.95,1316.62,1320.03,21464,,0.0,0.0
14-12-2022,1318.52,1374.11,1318.52,1348.02,88146,,0.0,0.0
15-12-2022,1353.14,1353.14,1311.64,1321.54,29219,,0.0,0.0
16-12-2022,1321.1,1321.15,1277.66,1284.58,247418,,0.0,0.0
19-12-2022,1293.16,1316.47,1277.66,1311.94,29174,,0.0,0.0
20-12-2022,1316.57,1323.59,1286.19,1307.5,84716,,0.0,0.0
21-12-2022,1299.16,1307.45,1271.71,1281.41,76770,,0.0,0.0
22-12-2022,1282.44,1294.82,1249.28,1264.69,119776,,0.0,0.0
