Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,182.1,186.7,176.75,177.7,3753869,,0.0,0.0
09-08-2021,178.8,179.4,174.65,175.65,2162421,,0.0,0.0
10-08-2021,175.4,178.0,167.55,169.05,2710079,,0.0,0.0
11-08-2021,169.7,170.7,154.15,165.0,6052740,,0.0,0.0
12-08-2021,165.5,172.75,165.5,171.95,2407712,,0.0,0.0
13-08-2021,171.95,173.9,167.1,170.5,1615605,,0.0,0.0
16-08-2021,170.6,173.5,166.2,167.9,2271340,,0.0,0.0
17-08-2021,168.15,171.25,164.3,165.55,1484392,,0.0,0.0
18-08-2021,166.4,168.6,162.5,163.35,1276165,,0.0,0.0
20-08-2021,160.0,163.0,156.6,158.5,1836423,,0.0,0.0
23-08-2021,160.1,160.9,145.25,148.25,2712465,,0.0,0.0
24-08-2021,149.7,163.65,149.3,161.8,4709540,,0.0,0.0
25-08-2021,163.5,172.3,163.5,170.7,5064356,,0.0,0.0
26-08-2021,169.1,171.3,167.2,170.05,1625352,,0.0,0.0
27-08-2021,166.6,173.9,166.6,171.75,1653773,,0.0,0.0
30-08-2021,173.0,176.0,163.0,163.75,4542847,,0.0,0.0
31-08-2021,164.9,165.75,160.0,161.25,2854548,,0.0,0.0
01-09-2021,162.8,163.45,157.05,157.45,3154001,,0.0,0.0
02-09-2021,158.1,161.35,157.55,158.05,2269142,,0.0,0.0
03-09-2021,158.1,159.85,156.5,157.05,2300757,,0.0,0.0
06-09-2021,158.0,161.5,156.55,157.65,2944906,,0.0,0.0
07-09-2021,158.4,159.0,156.8,157.8,1414474,,0.0,0.0
08-09-2021,158.0,159.85,156.8,158.25,1243048,,0.0,0.0
09-09-2021,157.8,160.5,157.75,160.0,1227195,,0.0,0.0
13-09-2021,160.0,160.4,158.0,158.4,934327,,0.0,0.0
14-09-2021,158.55,161.85,158.5,159.95,1537670,,0.0,0.0
15-09-2021,160.0,163.45,159.65,162.25,1616604,,0.0,0.0
16-09-2021,159.2,162.55,159.2,160.2,1394471,,0.0,0.0
17-09-2021,161.2,167.7,161.0,164.65,4991657,,0.0,0.0
20-09-2021,163.85,166.5,160.75,161.4,1583512,,0.0,0.0
21-09-2021,161.4,162.65,157.15,160.45,1261818,,0.0,0.0
22-09-2021,160.3,162.75,159.15,159.75,1010099,,0.0,0.0
23-09-2021,161.25,162.75,159.75,160.3,1049937,,0.0,0.0
24-09-2021,160.35,161.4,158.8,159.2,799252,,0.0,0.0
27-09-2021,158.9,166.35,158.9,162.75,2855315,,0.0,0.0
28-09-2021,165.2,167.9,162.5,164.05,2548522,,0.0,0.0
29-09-2021,163.6,165.4,162.35,163.4,1046478,,0.0,0.0
30-09-2021,163.55,164.5,161.65,162.45,918262,,0.0,0.0
01-10-2021,162.35,162.35,160.1,160.5,876115,,0.0,0.0
04-10-2021,161.0,163.4,161.0,162.55,765426,,0.0,0.0
05-10-2021,162.5,163.9,162.15,162.5,802981,,0.0,0.0
06-10-2021,162.5,163.25,158.55,159.25,1373467,,0.0,0.0
07-10-2021,160.5,162.0,159.35,160.3,674808,,0.0,0.0
08-10-2021,160.5,162.4,159.6,160.25,1136174,,0.0,0.0
11-10-2021,161.15,162.75,159.75,160.15,1042550,,0.0,0.0
12-10-2021,161.1,166.35,159.75,161.7,3799681,,0.0,0.0
13-10-2021,162.7,164.65,161.55,162.6,1734025,,0.0,0.0
14-10-2021,164.55,164.8,162.0,162.35,1048397,,0.0,0.0
18-10-2021,163.4,163.6,161.2,161.45,1321942,,0.0,0.0
19-10-2021,163.0,171.9,161.0,163.1,7098027,,0.0,0.0
20-10-2021,164.25,167.0,160.25,161.95,2951044,,0.0,0.0
21-10-2021,163.15,163.85,160.85,162.45,2072422,,0.0,0.0
22-10-2021,163.7,164.5,161.2,162.85,1415582,,0.0,0.0
25-10-2021,163.55,163.7,156.15,158.0,1237709,,0.0,0.0
26-10-2021,158.85,160.4,157.25,158.25,739804,,0.0,0.0
27-10-2021,159.5,159.5,156.75,157.1,809160,,0.0,0.0
28-10-2021,158.5,158.5,149.55,150.85,1590129,,0.0,0.0
29-10-2021,153.0,154.4,149.2,152.65,972616,,0.0,0.0
01-11-2021,153.0,156.05,152.75,155.05,1323308,,0.0,0.0
02-11-2021,158.5,162.2,158.1,159.85,2238776,,0.0,0.0
03-11-2021,160.7,164.25,159.35,160.15,1590308,,0.0,0.0
04-11-2021,161.35,163.25,161.35,162.0,384910,,0.0,0.0
08-11-2021,163.1,163.55,159.85,161.9,1135873,,0.0,0.0
09-11-2021,162.0,163.3,161.15,162.25,931341,,0.0,0.0
10-11-2021,162.0,165.5,161.3,161.65,1083074,,0.0,0.0
11-11-2021,161.85,162.5,159.65,160.65,630169,,0.0,0.0
12-11-2021,161.5,166.15,160.75,162.6,2923817,,0.0,0.0
15-11-2021,167.3,169.0,161.5,162.5,2809026,,0.0,0.0
16-11-2021,162.5,165.3,161.55,162.6,1467065,,0.0,0.0
17-11-2021,162.0,162.6,159.0,159.55,851366,,0.0,0.0
18-11-2021,161.0,161.0,152.5,155.55,1920946,,0.0,0.0
22-11-2021,156.1,156.75,150.0,151.5,1139162,,0.0,0.0
23-11-2021,152.15,155.65,152.1,154.35,1425227,,0.0,0.0
24-11-2021,156.85,160.0,155.55,157.0,1163671,,0.0,0.0
25-11-2021,157.0,159.5,156.2,158.25,735891,,0.0,0.0
26-11-2021,156.0,156.8,151.95,152.6,1172741,,0.0,0.0
29-11-2021,150.85,150.85,143.0,143.75,1898981,,0.0,0.0
30-11-2021,145.9,150.0,145.0,148.45,1109910,,0.0,0.0
01-12-2021,148.0,150.4,147.1,148.0,620267,,0.0,0.0
02-12-2021,148.1,148.95,147.5,148.6,432273,,0.0,0.0
03-12-2021,149.4,153.25,149.2,152.1,809820,,0.0,0.0
06-12-2021,148.65,151.2,147.55,148.1,500988,,0.0,0.0
07-12-2021,149.5,149.85,146.3,147.8,594286,,0.0,0.0
08-12-2021,150.0,156.35,149.95,152.55,1566700,,0.0,0.0
09-12-2021,154.5,165.8,154.5,162.65,7707760,,0.0,0.0
10-12-2021,162.0,162.0,157.85,159.15,3228620,,0.0,0.0
13-12-2021,162.65,163.5,158.0,158.25,1552790,,0.0,0.0
14-12-2021,157.0,158.2,154.8,156.0,927299,,0.0,0.0
15-12-2021,156.75,160.9,154.55,155.4,2566086,,0.0,0.0
16-12-2021,158.0,158.0,152.8,153.35,808632,,0.0,0.0
17-12-2021,153.9,154.8,146.8,147.9,1387763,,0.0,0.0
20-12-2021,145.0,146.4,140.3,142.3,1213971,,0.0,0.0
21-12-2021,143.6,145.45,143.05,144.2,596431,,0.0,0.0
22-12-2021,144.0,144.0,140.0,143.05,1369555,,0.0,0.0
23-12-2021,144.2,146.4,144.05,144.9,672189,,0.0,0.0
24-12-2021,145.8,145.85,142.8,143.2,650134,,0.0,0.0
27-12-2021,142.25,142.8,140.45,142.45,501965,,0.0,0.0
28-12-2021,143.15,143.95,141.15,141.55,1235774,,0.0,0.0
29-12-2021,142.5,142.5,140.75,141.5,537017,,0.0,0.0
30-12-2021,141.5,142.9,140.75,141.45,875100,,0.0,0.0
31-12-2021,142.35,142.5,141.2,141.55,661443,,0.0,0.0
03-01-2022,142.05,143.0,141.05,142.25,628207,,0.0,0.0
04-01-2022,142.25,142.95,140.25,140.8,1237229,,0.0,0.0
05-01-2022,140.85,142.4,139.25,139.55,1302448,,0.0,0.0
06-01-2022,139.0,139.0,137.35,138.7,1147238,,0.0,0.0
07-01-2022,139.25,146.95,138.3,145.2,3585767,,0.0,0.0
