Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,62.04,63.88,60.61,62.09,660278,,0.0,0.0
09-08-2021,63.13,63.13,59.72,60.06,381760,,0.0,0.0
10-08-2021,60.66,60.91,56.99,58.43,356071,,0.0,0.0
11-08-2021,59.02,59.82,54.96,58.03,566211,,0.0,0.0
12-08-2021,57.98,59.77,57.59,58.28,218608,,0.0,0.0
13-08-2021,58.63,59.72,57.98,58.18,202110,,0.0,0.0
16-08-2021,58.53,58.68,56.94,57.89,156367,,0.0,0.0
17-08-2021,58.38,59.72,57.59,59.32,281338,,0.0,0.0
18-08-2021,60.36,60.41,56.9,57.34,511334,,0.0,0.0
20-08-2021,57.44,58.18,56.45,56.75,158387,,0.0,0.0
23-08-2021,57.39,57.54,53.28,54.32,282911,,0.0,0.0
24-08-2021,54.17,58.18,53.97,57.79,318347,,0.0,0.0
25-08-2021,58.33,58.38,56.55,56.9,179212,,0.0,0.0
26-08-2021,56.45,57.19,56.0,56.6,105051,,0.0,0.0
27-08-2021,56.85,60.21,56.5,58.28,362441,,0.0,0.0
30-08-2021,59.72,59.82,58.28,58.53,217849,,0.0,0.0
31-08-2021,58.63,59.32,57.59,58.33,136402,,0.0,0.0
01-09-2021,58.63,58.83,57.49,57.93,110832,,0.0,0.0
02-09-2021,58.18,58.53,55.86,57.74,186148,,0.0,0.0
03-09-2021,56.6,61.05,56.6,58.78,407835,,0.0,0.0
06-09-2021,58.93,64.37,58.93,61.4,1238229,,0.0,0.0
07-09-2021,61.4,64.22,59.92,62.19,748847,,0.0,0.0
08-09-2021,62.39,63.18,59.97,60.61,590220,,0.0,0.0
09-09-2021,59.77,63.08,59.12,61.6,1129740,,0.0,0.0
13-09-2021,61.8,63.04,60.21,61.3,470550,,0.0,0.0
14-09-2021,61.3,62.49,60.61,61.5,286755,,0.0,0.0
15-09-2021,62.14,63.88,61.75,62.29,1014029,,0.0,0.0
16-09-2021,62.59,65.21,62.39,63.83,1519859,,0.0,0.0
17-09-2021,64.47,67.19,63.38,64.22,2515767,,0.0,0.0
20-09-2021,64.22,70.31,63.33,65.02,3320906,,0.0,0.0
21-09-2021,65.41,66.3,62.89,64.62,726958,,0.0,0.0
22-09-2021,65.11,67.84,64.77,65.26,983848,,0.0,0.0
23-09-2021,65.81,66.6,63.18,64.08,789521,,0.0,0.0
24-09-2021,64.37,65.86,63.08,63.43,390256,,0.0,0.0
27-09-2021,64.17,67.44,63.68,65.36,1256166,,0.0,0.0
28-09-2021,65.56,66.55,64.37,65.16,546107,,0.0,0.0
29-09-2021,64.37,65.71,64.37,64.82,307091,,0.0,0.0
30-09-2021,65.21,66.35,64.62,64.97,1463553,,0.0,0.0
01-10-2021,64.97,65.76,63.88,65.26,571771,,0.0,0.0
04-10-2021,66.01,68.33,65.56,66.6,700627,,0.0,0.0
05-10-2021,66.35,71.45,65.96,70.36,2340844,,0.0,0.0
06-10-2021,72.29,73.19,65.56,67.74,1801435,,0.0,0.0
07-10-2021,69.32,71.3,65.61,70.17,804654,,0.0,0.0
08-10-2021,71.3,84.18,71.3,78.93,11422488,,0.0,0.0
11-10-2021,80.86,82.35,78.83,79.08,2493964,,0.0,0.0
12-10-2021,79.18,81.46,76.36,77.79,1305432,,0.0,0.0
13-10-2021,78.73,84.67,78.68,80.56,2923957,,0.0,0.0
14-10-2021,81.8,82.99,79.33,79.82,900112,,0.0,0.0
18-10-2021,82.15,82.54,78.83,79.28,1189870,,0.0,0.0
19-10-2021,79.97,81.7,75.17,76.65,1291735,,0.0,0.0
20-10-2021,76.65,79.23,74.87,75.27,945817,,0.0,0.0
21-10-2021,75.71,76.4,73.83,75.02,600027,,0.0,0.0
22-10-2021,76.26,80.17,75.66,76.65,1121597,,0.0,0.0
25-10-2021,77.44,77.69,69.37,70.66,1401068,,0.0,0.0
26-10-2021,70.71,73.88,69.92,73.09,563751,,0.0,0.0
27-10-2021,73.29,74.82,71.85,72.1,315838,,0.0,0.0
28-10-2021,72.49,73.24,70.12,70.61,381873,,0.0,0.0
29-10-2021,71.01,71.11,67.34,69.52,465927,,0.0,0.0
01-11-2021,70.81,72.94,69.72,71.7,248136,,0.0,0.0
02-11-2021,72.59,76.26,71.8,74.08,592865,,0.0,0.0
03-11-2021,74.67,75.36,72.49,73.19,297139,,0.0,0.0
04-11-2021,73.78,76.16,73.53,75.07,202384,,0.0,0.0
08-11-2021,76.16,77.25,74.72,76.55,534791,,0.0,0.0
09-11-2021,77.59,80.22,77.59,78.78,1162743,,0.0,0.0
10-11-2021,78.78,80.71,77.0,77.84,529789,,0.0,0.0
11-11-2021,77.84,78.24,76.36,76.6,351777,,0.0,0.0
12-11-2021,77.2,78.24,75.91,76.7,322647,,0.0,0.0
15-11-2021,76.7,77.3,72.25,72.89,606092,,0.0,0.0
16-11-2021,73.43,76.65,73.43,75.12,530865,,0.0,0.0
17-11-2021,75.07,75.07,73.43,74.03,212358,,0.0,0.0
18-11-2021,74.42,74.42,72.0,72.54,272397,,0.0,0.0
22-11-2021,72.79,73.19,68.04,69.67,529225,,0.0,0.0
23-11-2021,69.67,71.8,68.14,71.3,298979,,0.0,0.0
24-11-2021,71.3,73.19,70.71,71.35,313547,,0.0,0.0
25-11-2021,71.35,72.25,69.82,70.61,247108,,0.0,0.0
26-11-2021,69.32,69.32,64.37,64.97,942751,,0.0,0.0
29-11-2021,60.91,62.59,56.75,60.36,1232478,,0.0,0.0
30-11-2021,59.42,65.36,59.42,64.57,1044325,,0.0,0.0
01-12-2021,66.2,66.2,61.8,62.44,412770,,0.0,0.0
02-12-2021,62.29,63.13,59.72,62.09,485499,,0.0,0.0
03-12-2021,62.09,64.32,61.6,63.04,557138,,0.0,0.0
06-12-2021,60.41,62.59,60.41,61.55,281095,,0.0,0.0
07-12-2021,63.28,64.62,62.39,64.08,374400,,0.0,0.0
08-12-2021,64.87,66.11,63.83,65.02,301301,,0.0,0.0
09-12-2021,65.07,68.43,64.87,68.14,444928,,0.0,0.0
10-12-2021,68.14,68.78,65.56,67.1,228980,,0.0,0.0
13-12-2021,66.85,68.23,65.66,66.15,241744,,0.0,0.0
14-12-2021,65.51,66.85,64.87,66.2,175542,,0.0,0.0
15-12-2021,66.7,67.29,62.49,63.38,615653,,0.0,0.0
16-12-2021,63.38,63.93,61.65,62.09,408369,,0.0,0.0
17-12-2021,62.09,62.79,60.81,61.35,217373,,0.0,0.0
20-12-2021,60.61,60.61,57.93,59.12,324798,,0.0,0.0
21-12-2021,57.98,61.4,57.98,60.31,202012,,0.0,0.0
22-12-2021,60.41,62.0,59.02,59.27,301793,,0.0,0.0
23-12-2021,60.91,62.74,59.42,61.25,312842,,0.0,0.0
24-12-2021,62.19,62.19,58.83,59.92,160506,,0.0,0.0
27-12-2021,59.92,59.92,58.03,58.93,155550,,0.0,0.0
28-12-2021,60.11,60.61,58.97,59.72,194431,,0.0,0.0
29-12-2021,60.36,61.8,58.83,60.71,208179,,0.0,0.0
30-12-2021,60.61,61.4,58.68,59.07,255637,,0.0,0.0
31-12-2021,57.64,59.62,57.64,59.02,378379,,0.0,0.0
03-01-2022,60.31,60.41,58.88,59.47,319214,,0.0,0.0
04-01-2022,60.91,60.91,58.88,59.82,322278,,0.0,0.0
