Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,12.07,12.17,11.75,11.81,289260,,0.0,0.0
09-08-2021,12.08,12.08,11.5,11.64,263190,,0.0,0.0
10-08-2021,11.96,11.96,10.7,11.15,882270,,0.0,0.0
11-08-2021,11.15,11.74,10.55,11.59,1186510,,0.0,0.0
12-08-2021,11.8,11.88,11.35,11.53,156470,,0.0,0.0
13-08-2021,11.73,11.73,11.2,11.39,682430,,0.0,0.0
16-08-2021,11.23,11.69,11.01,11.6,457110,,0.0,0.0
17-08-2021,11.47,11.48,11.2,11.31,180970,,0.0,0.0
18-08-2021,11.41,11.5,10.85,11.03,296900,,0.0,0.0
20-08-2021,10.99,11.31,10.93,11.01,243220,,0.0,0.0
23-08-2021,11.11,11.19,10.46,10.68,273230,,0.0,0.0
24-08-2021,10.27,11.15,10.27,11.02,274370,,0.0,0.0
25-08-2021,11.13,11.13,10.27,10.79,300650,,0.0,0.0
26-08-2021,10.89,11.02,10.65,10.85,112560,,0.0,0.0
27-08-2021,10.85,10.98,10.71,10.77,147630,,0.0,0.0
30-08-2021,10.81,10.97,10.72,10.82,433270,,0.0,0.0
31-08-2021,10.71,10.85,10.7,10.79,164300,,0.0,0.0
01-09-2021,10.62,10.89,10.58,10.76,269100,,0.0,0.0
02-09-2021,10.7,11.45,10.53,10.93,363450,,0.0,0.0
03-09-2021,11.1,11.2,10.92,11.08,245480,,0.0,0.0
06-09-2021,10.81,12.0,10.8,11.56,794760,,0.0,0.0
07-09-2021,11.68,12.7,11.1,12.55,2206850,,0.0,0.0
08-09-2021,12.53,12.93,12.43,12.75,1171070,,0.0,0.0
09-09-2021,12.8,13.1,12.6,12.86,749820,,0.0,0.0
13-09-2021,12.98,12.98,12.44,12.66,364840,,0.0,0.0
14-09-2021,12.57,12.69,12.23,12.44,271150,,0.0,0.0
15-09-2021,12.49,12.49,12.25,12.28,219580,,0.0,0.0
16-09-2021,12.27,12.59,12.0,12.16,402850,,0.0,0.0
17-09-2021,12.16,12.28,11.84,12.1,514860,,0.0,0.0
20-09-2021,12.17,12.69,12.0,12.06,960550,,0.0,0.0
21-09-2021,12.3,12.56,12.02,12.5,885470,,0.0,0.0
22-09-2021,12.56,12.75,12.39,12.71,754610,,0.0,0.0
23-09-2021,12.74,13.98,12.74,13.98,2326630,,0.0,0.0
24-09-2021,14.8,15.38,14.65,15.38,10428350,,0.0,0.0
27-09-2021,15.83,16.14,15.6,16.14,2469510,,0.0,0.0
28-09-2021,16.4,16.4,15.34,15.34,2139690,,0.0,0.0
29-09-2021,14.7,15.19,14.57,14.76,2201850,,0.0,0.0
30-09-2021,14.6,15.4,14.53,15.02,929670,,0.0,0.0
01-10-2021,14.61,15.08,14.5,14.81,1086250,,0.0,0.0
04-10-2021,14.81,15.12,14.15,14.27,916010,,0.0,0.0
05-10-2021,14.31,14.7,14.3,14.48,806130,,0.0,0.0
06-10-2021,14.6,15.2,14.6,15.2,794930,,0.0,0.0
07-10-2021,15.96,15.96,15.22,15.64,2839120,,0.0,0.0
08-10-2021,15.96,16.3,15.79,15.9,1258130,,0.0,0.0
11-10-2021,15.9,16.68,15.9,16.68,848120,,0.0,0.0
12-10-2021,17.5,17.51,16.52,17.51,456230,,0.0,0.0
13-10-2021,18.39,18.39,18.39,18.39,83170,,0.0,0.0
14-10-2021,19.31,19.31,19.31,19.31,671020,,0.0,0.0
18-10-2021,20.27,20.27,18.34,19.47,3325750,,0.0,0.0
19-10-2021,19.8,19.8,18.5,18.5,704130,,0.0,0.0
20-10-2021,18.2,18.2,17.58,17.58,417230,,0.0,0.0
21-10-2021,16.7,17.19,16.7,16.7,434910,,0.0,0.0
22-10-2021,16.5,17.23,16.31,16.53,203670,,0.0,0.0
25-10-2021,17.35,17.35,15.8,16.08,479700,,0.0,0.0
26-10-2021,16.49,16.88,16.15,16.88,177100,,0.0,0.0
27-10-2021,17.35,17.39,16.52,16.83,96560,,0.0,0.0
28-10-2021,16.51,16.8,15.99,16.03,751060,,0.0,0.0
29-10-2021,16.0,16.34,15.26,16.27,668340,,0.0,0.0
01-11-2021,16.26,16.8,15.86,16.1,564640,,0.0,0.0
02-11-2021,16.33,16.8,15.75,16.56,156130,,0.0,0.0
03-11-2021,17.3,17.38,16.78,17.38,284840,,0.0,0.0
04-11-2021,18.0,18.25,17.5,18.24,632790,,0.0,0.0
08-11-2021,18.25,19.15,17.71,19.15,1164630,,0.0,0.0
09-11-2021,19.8,20.1,19.17,20.08,1539770,,0.0,0.0
10-11-2021,19.8,20.58,19.08,19.14,365410,,0.0,0.0
11-11-2021,18.9,20.09,18.21,19.65,813570,,0.0,0.0
12-11-2021,19.83,19.83,19.0,19.42,165910,,0.0,0.0
15-11-2021,19.04,19.42,18.45,18.65,253060,,0.0,0.0
16-11-2021,18.52,19.0,18.2,18.71,148100,,0.0,0.0
17-11-2021,18.5,18.9,18.1,18.17,84490,,0.0,0.0
18-11-2021,17.67,18.39,17.45,17.57,87100,,0.0,0.0
22-11-2021,17.3,17.77,16.69,16.7,220800,,0.0,0.0
23-11-2021,16.2,17.54,16.1,17.48,393620,,0.0,0.0
24-11-2021,17.66,18.0,17.13,17.48,116740,,0.0,0.0
25-11-2021,17.7,17.7,17.01,17.47,61940,,0.0,0.0
26-11-2021,17.4,17.4,16.59,16.6,326200,,0.0,0.0
29-11-2021,15.8,16.49,15.77,15.78,275590,,0.0,0.0
30-11-2021,16.0,16.28,15.44,15.56,190450,,0.0,0.0
01-12-2021,15.95,15.95,15.4,15.48,64750,,0.0,0.0
02-12-2021,15.5,15.85,15.2,15.45,143460,,0.0,0.0
03-12-2021,15.45,15.72,15.16,15.31,149720,,0.0,0.0
06-12-2021,15.66,16.07,15.16,15.88,284580,,0.0,0.0
07-12-2021,16.17,16.67,16.17,16.67,109570,,0.0,0.0
08-12-2021,17.5,17.5,17.5,17.5,59470,,0.0,0.0
09-12-2021,18.38,18.38,18.38,18.38,139340,,0.0,0.0
10-12-2021,19.29,19.29,17.91,18.59,1126480,,0.0,0.0
13-12-2021,18.59,18.8,17.67,18.21,267000,,0.0,0.0
14-12-2021,18.0,18.6,17.51,17.77,337210,,0.0,0.0
15-12-2021,17.42,17.77,16.93,17.42,154840,,0.0,0.0
16-12-2021,17.5,17.66,16.7,16.86,263630,,0.0,0.0
17-12-2021,17.25,17.25,16.2,16.53,78800,,0.0,0.0
20-12-2021,16.12,16.19,15.71,15.71,194210,,0.0,0.0
21-12-2021,14.93,16.24,14.93,16.02,313270,,0.0,0.0
22-12-2021,16.34,16.83,15.53,16.81,379660,,0.0,0.0
23-12-2021,16.64,17.28,16.27,16.63,344380,,0.0,0.0
24-12-2021,16.31,16.48,15.8,15.97,2525340,,0.0,0.0
27-12-2021,15.66,16.05,15.45,15.6,136000,,0.0,0.0
28-12-2021,15.6,16.37,15.12,16.18,2070280,,0.0,0.0
29-12-2021,16.1,16.5,16.1,16.39,179040,,0.0,0.0
30-12-2021,16.5,16.5,15.6,15.7,197460,,0.0,0.0
31-12-2021,15.7,16.3,15.7,16.2,186760,,0.0,0.0
03-01-2022,16.29,16.3,15.87,16.02,178220,,0.0,0.0
04-01-2022,16.21,16.21,15.51,15.77,566140,,0.0,0.0
05-01-2022,15.89,15.98,15.28,15.33,357130,,0.0,0.0
06-01-2022,15.6,15.89,15.11,15.64,276650,,0.0,0.0
07-01-2022,15.66,15.85,15.22,15.68,374780,,0.0,0.0
10-01-2022,15.35,16.18,15.35,15.52,381620,,0.0,0.0
11-01-2022,15.7,15.7,15.27,15.33,365010,,0.0,0.0
12-01-2022,15.65,16.09,15.23,16.09,455290,,0.0,0.0
13-01-2022,16.9,16.9,15.77,15.97,1041820,,0.0,0.0
14-01-2022,15.97,16.15,15.35,15.95,328910,,0.0,0.0
17-01-2022,15.95,16.08,15.62,15.7,239270,,0.0,0.0
18-01-2022,15.89,16.12,15.3,15.41,587140,,0.0,0.0
19-01-2022,15.26,15.86,15.19,15.48,312160,,0.0,0.0
20-01-2022,15.67,15.69,15.23,15.52,243630,,0.0,0.0
21-01-2022,15.2,15.86,15.2,15.55,186640,,0.0,0.0
24-01-2022,15.77,15.77,14.77,14.77,307700,,0.0,0.0
25-01-2022,14.7,15.23,14.53,14.82,235960,,0.0,0.0
27-01-2022,14.6,14.72,14.24,14.65,215060,,0.0,0.0
28-01-2022,14.9,15.15,14.72,14.82,160760,,0.0,0.0
31-01-2022,14.6,15.25,14.6,14.73,109490,,0.0,0.0
01-02-2022,15.1,15.1,14.65,14.83,92500,,0.0,0.0
02-02-2022,14.82,15.06,14.6,14.76,145650,,0.0,0.0
03-02-2022,14.9,15.49,14.9,15.49,375100,,0.0,0.0
04-02-2022,16.09,16.26,15.34,16.26,770610,,0.0,0.0
07-02-2022,16.97,16.97,15.69,15.9,683820,,0.0,0.0
08-02-2022,16.16,16.4,15.73,15.87,295790,,0.0,0.0
09-02-2022,15.76,16.0,15.31,15.47,254160,,0.0,0.0
10-02-2022,15.5,15.97,15.5,15.86,131930,,0.0,0.0
11-02-2022,15.97,16.15,15.4,15.55,836200,,0.0,0.0
14-02-2022,15.0,15.52,14.9,14.97,354530,,0.0,0.0
15-02-2022,15.09,15.6,14.78,15.37,556850,,0.0,0.0
16-02-2022,15.4,15.8,15.3,15.51,342950,,0.0,0.0
17-02-2022,15.79,15.79,15.31,15.35,143000,,0.0,0.0
18-02-2022,15.39,15.48,14.9,14.98,180600,,0.0,0.0
21-02-2022,14.6,15.1,14.48,14.91,484590,,0.0,0.0
22-02-2022,14.5,14.89,14.5,14.72,336920,,0.0,0.0
23-02-2022,15.09,15.12,14.61,14.76,74340,,0.0,0.0
24-02-2022,14.31,14.73,14.0,14.02,436980,,0.0,0.0
25-02-2022,14.11,14.8,14.11,14.6,172060,,0.0,0.0
28-02-2022,14.56,15.03,14.23,14.82,274300,,0.0,0.0
02-03-2022,14.6,15.1,14.48,14.96,209320,,0.0,0.0
03-03-2022,14.98,15.33,14.8,15.14,855180,,0.0,0.0
04-03-2022,15.1,15.27,14.9,15.03,259860,,0.0,0.0
07-03-2022,13.9,15.0,13.9,14.57,466990,,0.0,0.0
08-03-2022,14.33,14.8,14.33,14.54,177750,,0.0,0.0
09-03-2022,14.8,14.81,14.61,14.75,98760,,0.0,0.0
10-03-2022,14.8,15.15,14.69,14.76,292740,,0.0,0.0
11-03-2022,14.9,15.05,14.63,14.71,851480,,0.0,0.0
