Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,960.97,960.97,888.79,938.32,80404,,0.0,0.0
09-08-2021,940.75,942.61,912.44,916.34,38348,,0.0,0.0
10-08-2021,912.31,926.16,900.61,907.23,84412,,0.0,0.0
11-08-2021,886.84,906.23,840.66,854.67,250208,,0.0,0.0
12-08-2021,887.34,898.56,861.59,887.61,225380,,0.0,0.0
13-08-2021,874.86,909.55,873.61,882.82,80008,,0.0,0.0
16-08-2021,884.19,929.4,882.05,905.36,136244,,0.0,0.0
17-08-2021,909.9,943.5,903.81,931.32,189616,,0.0,0.0
18-08-2021,918.84,936.01,914.32,927.21,71716,,0.0,0.0
20-08-2021,929.77,929.77,882.37,912.12,82404,,0.0,0.0
23-08-2021,912.3,935.13,851.77,870.95,103304,,0.0,0.0
24-08-2021,872.11,894.48,865.25,884.16,65372,,0.0,0.0
25-08-2021,883.6,900.42,875.93,894.22,59920,,0.0,0.0
26-08-2021,908.31,913.55,873.95,883.28,45624,,0.0,0.0
27-08-2021,883.1,892.04,874.11,880.43,23912,,0.0,0.0
30-08-2021,881.61,891.07,857.2,873.96,97360,,0.0,0.0
31-08-2021,886.09,929.27,875.02,896.99,358956,,0.0,0.0
01-09-2021,908.06,938.45,897.4,904.5,175852,,0.0,0.0
02-09-2021,914.8,948.49,903.56,909.19,398724,,0.0,0.0
03-09-2021,911.05,924.78,886.84,897.51,101284,,0.0,0.0
06-09-2021,909.8,928.02,887.34,891.69,206036,,0.0,0.0
07-09-2021,901.32,904.81,881.35,883.89,90920,,0.0,0.0
08-09-2021,888.59,896.31,870.5,882.33,94580,,0.0,0.0
09-09-2021,894.57,894.57,859.13,867.45,142624,,0.0,0.0
13-09-2021,878.1,878.59,851.4,867.11,96692,,0.0,0.0
14-09-2021,866.87,873.36,856.14,861.53,92668,,0.0,0.0
15-09-2021,865.87,878.69,856.97,872.28,151044,,0.0,0.0
16-09-2021,877.33,897.3,860.38,872.2,124108,,0.0,0.0
17-09-2021,878.6,886.58,848.99,854.5,111772,,0.0,0.0
20-09-2021,854.13,867.5,845.95,849.82,56020,,0.0,0.0
21-09-2021,853.39,860.88,825.47,855.25,72080,,0.0,0.0
22-09-2021,855.25,872.86,845.87,863.89,176024,,0.0,0.0
23-09-2021,868.22,942.25,864.36,895.94,289884,,0.0,0.0
24-09-2021,919.79,919.79,875.86,882.52,128620,,0.0,0.0
27-09-2021,886.59,898.56,869.12,872.75,41932,,0.0,0.0
28-09-2021,880.85,890.11,871.63,876.31,35736,,0.0,0.0
29-09-2021,867.37,893.44,867.3,879.53,48968,,0.0,0.0
30-09-2021,883.93,893.58,878.42,885.92,61292,,0.0,0.0
01-10-2021,890.35,928.27,880.99,912.21,236416,,0.0,0.0
04-10-2021,933.27,936.0,908.57,923.39,115668,,0.0,0.0
05-10-2021,923.39,963.47,923.39,950.24,221620,,0.0,0.0
06-10-2021,958.48,983.44,912.55,929.11,240696,,0.0,0.0
07-10-2021,929.77,989.18,929.77,950.96,97144,,0.0,0.0
08-10-2021,960.72,962.69,935.41,949.23,50520,,0.0,0.0
11-10-2021,954.86,979.59,952.39,966.8,114268,,0.0,0.0
12-10-2021,968.21,996.52,963.79,988.15,78200,,0.0,0.0
13-10-2021,988.15,1070.8,983.67,1048.28,514184,,0.0,0.0
14-10-2021,1048.28,1097.26,1048.28,1079.7,289208,,0.0,0.0
18-10-2021,1097.63,1139.19,1076.19,1122.37,202676,,0.0,0.0
19-10-2021,1129.45,1129.45,1061.06,1105.74,168396,,0.0,0.0
20-10-2021,1093.51,1105.6,1013.86,1027.19,336456,,0.0,0.0
21-10-2021,1013.39,1034.53,1013.39,1030.52,57800,,0.0,0.0
22-10-2021,1035.85,1047.83,994.07,999.27,36328,,0.0,0.0
25-10-2021,1004.28,1042.82,950.99,958.54,66820,,0.0,0.0
26-10-2021,960.93,1018.38,954.73,1007.95,65232,,0.0,0.0
27-10-2021,1008.4,1045.05,1003.4,1008.55,105040,,0.0,0.0
28-10-2021,1013.6,1042.82,999.27,1011.57,90652,,0.0,0.0
29-10-2021,1011.57,1043.34,978.44,1013.91,86576,,0.0,0.0
01-11-2021,1035.84,1035.84,989.56,1001.06,105992,,0.0,0.0
02-11-2021,1006.08,1015.75,988.58,1002.93,128528,,0.0,0.0
03-11-2021,1015.87,1029.61,991.99,1014.49,178844,,0.0,0.0
04-11-2021,1035.8,1035.8,1002.28,1007.92,13608,,0.0,0.0
08-11-2021,1020.86,1023.01,996.05,1009.08,253504,,0.0,0.0
09-11-2021,1011.89,1035.35,1004.15,1023.5,155908,,0.0,0.0
10-11-2021,1028.31,1063.31,1021.18,1052.41,156148,,0.0,0.0
11-11-2021,1057.68,1210.28,1052.41,1063.77,296652,,0.0,0.0
12-11-2021,1072.51,1096.76,1041.17,1083.4,129160,,0.0,0.0
15-11-2021,1093.26,1093.26,1065.83,1072.88,62756,,0.0,0.0
16-11-2021,1073.27,1085.77,1044.71,1050.04,156724,,0.0,0.0
17-11-2021,1051.83,1062.05,1033.37,1040.57,56256,,0.0,0.0
18-11-2021,1041.74,1041.74,1003.65,1017.23,53516,,0.0,0.0
22-11-2021,1005.9,1021.95,974.84,998.2,59604,,0.0,0.0
23-11-2021,979.94,1010.04,976.04,984.1,110624,,0.0,0.0
24-11-2021,993.41,1007.4,976.24,988.99,30404,,0.0,0.0
25-11-2021,979.46,1001.15,970.97,991.17,72292,,0.0,0.0
26-11-2021,984.66,985.87,947.99,956.68,50920,,0.0,0.0
29-11-2021,942.25,956.48,904.84,922.52,85364,,0.0,0.0
30-11-2021,926.03,1003.24,926.03,985.35,103452,,0.0,0.0
01-12-2021,975.96,997.91,951.49,963.95,39380,,0.0,0.0
02-12-2021,968.78,998.41,963.47,987.39,63656,,0.0,0.0
03-12-2021,990.67,1001.92,954.49,962.2,63088,,0.0,0.0
06-12-2021,973.43,973.43,926.28,932.37,258336,,0.0,0.0
07-12-2021,937.04,948.49,922.28,944.66,54244,,0.0,0.0
