Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,536.75,543.86,524.9,532.67,54656,,0.0,0.0
09-08-2021,537.49,538.34,512.56,517.09,55779,,0.0,0.0
10-08-2021,517.54,524.51,493.65,498.98,124548,,0.0,0.0
11-08-2021,499.03,507.39,479.72,497.78,101695,,0.0,0.0
12-08-2021,502.61,524.51,502.61,520.28,126147,,0.0,0.0
13-08-2021,524.51,524.51,502.61,509.48,244388,,0.0,0.0
16-08-2021,506.54,527.44,506.49,520.57,200507,,0.0,0.0
17-08-2021,513.61,541.38,507.59,537.79,161505,,0.0,0.0
18-08-2021,541.43,544.46,532.72,538.19,100180,,0.0,0.0
20-08-2021,536.45,541.18,527.74,536.15,90875,,0.0,0.0
23-08-2021,534.46,538.24,492.96,505.75,130307,,0.0,0.0
24-08-2021,503.9,514.11,502.56,510.62,121170,,0.0,0.0
25-08-2021,513.71,515.8,506.84,510.22,41611,,0.0,0.0
26-08-2021,511.52,527.49,507.04,525.15,71659,,0.0,0.0
27-08-2021,526.5,535.16,513.96,531.77,85032,,0.0,0.0
30-08-2021,536.45,537.79,523.51,532.57,218146,,0.0,0.0
31-08-2021,537.25,551.03,526.35,547.94,205494,,0.0,0.0
01-09-2021,549.84,557.65,533.46,537.49,344164,,0.0,0.0
02-09-2021,549.79,549.79,528.49,531.97,34933,,0.0,0.0
03-09-2021,534.66,539.83,527.59,531.52,30715,,0.0,0.0
06-09-2021,537.44,543.42,525.65,534.06,23220,,0.0,0.0
07-09-2021,533.46,537.39,520.53,530.58,87098,,0.0,0.0
08-09-2021,535.45,535.45,519.53,521.87,28842,,0.0,0.0
09-09-2021,522.17,526.65,513.61,516.84,462461,,0.0,0.0
13-09-2021,524.26,531.47,511.52,527.34,136000,,0.0,0.0
14-09-2021,530.48,535.95,525.55,533.81,41284,,0.0,0.0
15-09-2021,534.46,543.71,529.48,534.86,60401,,0.0,0.0
16-09-2021,528.59,536.45,525.5,528.39,39898,,0.0,0.0
17-09-2021,528.49,554.17,525.55,540.83,187183,,0.0,0.0
20-09-2021,536.8,581.63,530.03,547.7,256789,,0.0,0.0
21-09-2021,542.42,554.91,522.91,535.95,86846,,0.0,0.0
22-09-2021,537.44,540.83,530.58,535.6,24691,,0.0,0.0
23-09-2021,537.89,581.73,536.6,567.8,247626,,0.0,0.0
24-09-2021,570.29,574.32,558.35,569.14,216876,,0.0,0.0
27-09-2021,574.27,605.12,563.82,584.37,571856,,0.0,0.0
28-09-2021,590.09,592.13,559.14,563.17,120108,,0.0,0.0
29-09-2021,561.53,567.55,548.49,560.09,61089,,0.0,0.0
30-09-2021,570.29,570.29,557.5,563.62,29643,,0.0,0.0
01-10-2021,563.62,567.2,552.47,556.21,19549,,0.0,0.0
04-10-2021,562.33,564.12,515.35,553.07,124068,,0.0,0.0
05-10-2021,556.35,560.73,550.83,554.36,24999,,0.0,0.0
06-10-2021,554.36,562.33,547.4,550.88,456291,,0.0,0.0
07-10-2021,555.61,567.1,547.4,549.69,51786,,0.0,0.0
08-10-2021,554.61,561.33,548.39,555.71,120393,,0.0,0.0
11-10-2021,561.33,565.31,550.03,557.95,270605,,0.0,0.0
12-10-2021,558.05,567.2,552.82,557.95,221634,,0.0,0.0
13-10-2021,559.34,567.2,555.01,564.96,182701,,0.0,0.0
14-10-2021,603.13,626.02,577.26,581.68,1189253,,0.0,0.0
18-10-2021,581.68,607.11,571.38,587.95,237055,,0.0,0.0
19-10-2021,593.18,607.91,568.35,574.82,195739,,0.0,0.0
20-10-2021,581.24,591.14,558.64,572.18,145950,,0.0,0.0
21-10-2021,579.74,596.17,562.38,566.95,118473,,0.0,0.0
22-10-2021,572.18,576.46,553.62,562.92,69555,,0.0,0.0
25-10-2021,572.18,572.78,549.49,566.36,99799,,0.0,0.0
26-10-2021,560.34,572.63,557.25,566.9,84909,,0.0,0.0
27-10-2021,562.82,570.89,558.44,559.74,55076,,0.0,0.0
28-10-2021,561.23,582.78,556.01,571.23,108643,,0.0,0.0
29-10-2021,571.33,587.21,556.6,577.55,123601,,0.0,0.0
01-11-2021,575.26,582.23,569.44,579.99,77167,,0.0,0.0
02-11-2021,584.42,597.16,580.24,585.91,116419,,0.0,0.0
03-11-2021,591.09,593.18,570.34,572.33,39234,,0.0,0.0
04-11-2021,575.61,591.09,575.46,586.76,19141,,0.0,0.0
08-11-2021,588.2,592.18,578.55,586.96,131478,,0.0,0.0
09-11-2021,592.18,592.18,580.29,586.11,103639,,0.0,0.0
