Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,601.31,605.68,593.71,596.28,127636,,0.0,0.0
09-08-2021,596.28,598.23,574.72,581.27,307059,,0.0,0.0
10-08-2021,579.7,587.97,570.01,573.43,224752,,0.0,0.0
11-08-2021,573.43,578.94,544.41,551.16,415972,,0.0,0.0
12-08-2021,552.15,581.36,540.8,562.56,1261882,,0.0,0.0
13-08-2021,562.37,568.07,554.34,557.76,237871,,0.0,0.0
16-08-2021,560.47,560.47,540.71,543.03,263327,,0.0,0.0
17-08-2021,541.85,550.97,533.01,540.18,233888,,0.0,0.0
18-08-2021,543.37,549.59,533.39,539.38,207319,,0.0,0.0
20-08-2021,512.97,539.38,512.92,518.43,362874,,0.0,0.0
23-08-2021,518.67,534.72,497.77,502.66,266045,,0.0,0.0
24-08-2021,500.43,520.09,500.43,511.78,263672,,0.0,0.0
25-08-2021,516.2,547.17,514.68,538.29,934066,,0.0,0.0
26-08-2021,540.33,540.99,532.92,535.86,145326,,0.0,0.0
27-08-2021,533.87,542.42,528.17,537.34,137315,,0.0,0.0
30-08-2021,539.9,547.59,533.11,538.38,200411,,0.0,0.0
31-08-2021,540.23,542.61,527.79,534.44,165137,,0.0,0.0
01-09-2021,535.86,541.47,532.68,536.01,125758,,0.0,0.0
02-09-2021,536.01,543.32,534.82,536.72,148058,,0.0,0.0
03-09-2021,536.81,538.57,525.79,532.49,273051,,0.0,0.0
06-09-2021,532.92,541.56,529.69,534.01,159281,,0.0,0.0
07-09-2021,534.82,538.9,525.32,529.64,253654,,0.0,0.0
08-09-2021,531.73,532.3,524.65,527.79,123510,,0.0,0.0
09-09-2021,528.12,543.37,527.79,530.35,198748,,0.0,0.0
13-09-2021,533.44,539.57,529.21,536.2,124718,,0.0,0.0
14-09-2021,536.77,548.92,532.92,536.2,239599,,0.0,0.0
15-09-2021,538.9,539.09,529.88,532.63,140494,,0.0,0.0
16-09-2021,533.82,536.86,527.27,532.97,127289,,0.0,0.0
17-09-2021,535.1,541.28,525.32,526.55,180559,,0.0,0.0
20-09-2021,524.37,530.64,519.05,527.31,121515,,0.0,0.0
21-09-2021,527.22,530.07,520.57,527.6,212851,,0.0,0.0
22-09-2021,527.6,535.77,519.62,521.38,225218,,0.0,0.0
23-09-2021,524.18,528.17,521.52,523.23,213748,,0.0,0.0
24-09-2021,524.18,529.17,523.66,526.7,192283,,0.0,0.0
27-09-2021,530.07,530.07,520.57,522.56,126403,,0.0,0.0
28-09-2021,519.62,523.42,514.87,516.25,131626,,0.0,0.0
29-09-2021,515.77,518.86,511.4,512.73,125315,,0.0,0.0
30-09-2021,513.54,517.1,511.31,512.16,97333,,0.0,0.0
01-10-2021,511.97,524.13,508.22,522.14,210289,,0.0,0.0
04-10-2021,525.98,530.02,522.47,525.79,139238,,0.0,0.0
05-10-2021,527.22,550.02,526.74,545.27,688358,,0.0,0.0
06-10-2021,548.78,559.85,541.28,542.56,445372,,0.0,0.0
07-10-2021,546.88,554.77,541.09,551.11,252177,,0.0,0.0
08-10-2021,555.43,561.8,546.79,553.63,300614,,0.0,0.0
11-10-2021,555.67,560.42,545.6,548.45,178535,,0.0,0.0
12-10-2021,548.07,558.57,546.03,554.2,158669,,0.0,0.0
13-10-2021,557.0,561.32,547.5,548.78,214727,,0.0,0.0
14-10-2021,546.31,550.92,539.95,541.66,129719,,0.0,0.0
18-10-2021,546.07,549.54,522.47,525.98,348795,,0.0,0.0
19-10-2021,528.12,545.27,527.22,531.54,204873,,0.0,0.0
20-10-2021,532.92,535.72,520.57,524.56,146041,,0.0,0.0
21-10-2021,531.02,536.72,520.57,523.37,143814,,0.0,0.0
22-10-2021,525.22,532.44,522.8,529.26,154103,,0.0,0.0
25-10-2021,536.72,539.57,512.45,516.25,130300,,0.0,0.0
26-10-2021,515.82,527.22,515.82,523.94,89936,,0.0,0.0
27-10-2021,526.74,530.07,520.57,524.51,78152,,0.0,0.0
28-10-2021,526.22,532.35,509.17,524.75,136083,,0.0,0.0
29-10-2021,524.75,536.58,513.92,528.93,122402,,0.0,0.0
01-11-2021,527.22,529.36,519.57,522.8,106828,,0.0,0.0
02-11-2021,523.42,529.97,522.99,527.74,64790,,0.0,0.0
03-11-2021,528.64,531.83,521.99,525.03,63210,,0.0,0.0
04-11-2021,528.12,530.07,525.79,528.74,23312,,0.0,0.0
08-11-2021,531.97,543.6,525.84,537.05,123605,,0.0,0.0
09-11-2021,539.28,550.97,534.96,545.17,175264,,0.0,0.0
10-11-2021,545.27,558.57,541.75,544.46,238970,,0.0,0.0
11-11-2021,544.22,562.51,541.94,546.69,214034,,0.0,0.0
12-11-2021,550.97,553.34,518.76,533.01,467839,,0.0,0.0
15-11-2021,503.47,524.84,503.47,522.42,261500,,0.0,0.0
16-11-2021,522.42,531.87,516.77,523.75,108577,,0.0,0.0
