Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,84.39,84.39,82.95,83.23,699990,,0.0,0.0
09-08-2021,83.23,83.7,81.67,81.82,917400,,0.0,0.0
10-08-2021,82.14,82.14,78.73,79.84,1574365,,0.0,0.0
11-08-2021,79.15,79.66,74.77,78.28,1433030,,0.0,0.0
12-08-2021,79.32,80.18,78.28,79.43,744800,,0.0,0.0
13-08-2021,80.1,80.62,78.53,79.4,693500,,0.0,0.0
16-08-2021,79.22,79.31,77.24,78.12,579020,,0.0,0.0
17-08-2021,79.12,79.12,76.67,77.66,469390,,0.0,0.0
18-08-2021,77.65,77.93,76.64,77.27,413575,,0.0,0.0
20-08-2021,77.36,80.2,75.54,79.18,1273275,,0.0,0.0
23-08-2021,80.67,80.67,75.6,76.66,971300,,0.0,0.0
24-08-2021,76.51,78.32,75.85,78.0,602475,,0.0,0.0
25-08-2021,78.33,79.02,77.43,78.39,374945,,0.0,0.0
26-08-2021,79.08,79.08,76.97,77.24,675045,,0.0,0.0
27-08-2021,77.71,77.95,76.79,77.34,442200,,0.0,0.0
30-08-2021,77.75,78.44,77.4,77.74,350725,,0.0,0.0
31-08-2021,77.74,78.3,76.63,77.46,543385,,0.0,0.0
01-09-2021,78.34,78.34,75.99,76.11,942220,,0.0,0.0
02-09-2021,76.38,77.1,76.15,76.27,566025,,0.0,0.0
03-09-2021,76.39,77.16,75.99,76.09,507545,,0.0,0.0
06-09-2021,76.38,77.06,76.2,76.42,476605,,0.0,0.0
07-09-2021,76.94,77.22,76.38,76.62,473945,,0.0,0.0
08-09-2021,77.03,77.03,76.38,76.55,325550,,0.0,0.0
09-09-2021,76.66,76.85,76.09,76.35,502810,,0.0,0.0
13-09-2021,76.38,81.34,76.35,80.83,3956040,,0.0,0.0
14-09-2021,83.23,83.81,81.91,82.82,3194060,,0.0,0.0
15-09-2021,83.04,83.04,80.69,80.99,1013365,,0.0,0.0
16-09-2021,81.65,81.67,79.42,79.59,591365,,0.0,0.0
17-09-2021,79.71,82.65,78.43,79.79,2808405,,0.0,0.0
20-09-2021,80.23,82.65,79.51,80.38,1143675,,0.0,0.0
21-09-2021,80.38,80.87,77.36,79.27,622880,,0.0,0.0
22-09-2021,79.22,80.49,76.98,78.0,631455,,0.0,0.0
23-09-2021,78.33,80.78,78.33,80.35,936825,,0.0,0.0
24-09-2021,81.28,82.06,79.91,80.1,990305,,0.0,0.0
27-09-2021,81.26,81.46,80.3,80.56,835280,,0.0,0.0
28-09-2021,80.79,81.76,80.3,81.12,2341815,,0.0,0.0
29-09-2021,80.97,81.67,80.21,80.76,499985,,0.0,0.0
30-09-2021,80.93,81.53,80.53,80.7,532875,,0.0,0.0
01-10-2021,80.3,80.68,79.63,80.31,471230,,0.0,0.0
04-10-2021,80.51,81.18,80.1,80.5,1391980,,0.0,0.0
05-10-2021,80.42,81.08,79.63,80.63,773270,,0.0,0.0
06-10-2021,80.87,81.07,80.03,80.5,707405,,0.0,0.0
07-10-2021,80.39,81.64,80.0,80.33,592015,,0.0,0.0
08-10-2021,82.25,86.15,81.86,85.0,6979165,,0.0,0.0
11-10-2021,86.17,86.78,84.8,85.23,1949310,,0.0,0.0
12-10-2021,85.19,85.26,83.37,83.67,1150165,,0.0,0.0
13-10-2021,83.72,84.51,82.8,83.32,937550,,0.0,0.0
14-10-2021,83.82,83.92,82.8,83.23,691540,,0.0,0.0
18-10-2021,84.21,84.21,81.47,81.69,1199490,,0.0,0.0
19-10-2021,82.25,84.41,80.69,81.34,1438335,,0.0,0.0
20-10-2021,81.43,82.66,80.34,81.32,796770,,0.0,0.0
21-10-2021,82.16,82.25,79.95,80.25,520555,,0.0,0.0
22-10-2021,80.55,81.08,79.32,79.44,432085,,0.0,0.0
25-10-2021,79.51,79.7,77.36,78.39,627380,,0.0,0.0
26-10-2021,79.19,79.88,78.45,79.18,475615,,0.0,0.0
27-10-2021,80.05,80.37,78.77,79.04,352225,,0.0,0.0
28-10-2021,79.32,79.32,78.14,78.47,452520,,0.0,0.0
29-10-2021,78.47,79.26,76.59,78.75,509025,,0.0,0.0
01-11-2021,78.77,79.58,78.35,78.51,297975,,0.0,0.0
02-11-2021,78.57,83.23,78.57,81.41,1308825,,0.0,0.0
03-11-2021,82.06,82.06,79.36,79.93,395240,,0.0,0.0
04-11-2021,82.06,83.01,81.77,82.62,705175,,0.0,0.0
08-11-2021,83.76,83.76,81.67,82.31,796115,,0.0,0.0
09-11-2021,83.04,83.04,80.82,81.08,523595,,0.0,0.0
10-11-2021,81.08,82.16,79.83,80.36,489995,,0.0,0.0
11-11-2021,81.03,81.12,79.05,79.74,559160,,0.0,0.0
12-11-2021,80.05,81.08,78.81,79.28,1561845,,0.0,0.0
15-11-2021,79.55,80.28,78.34,79.75,599215,,0.0,0.0
16-11-2021,79.67,80.84,79.03,79.84,477510,,0.0,0.0
17-11-2021,79.61,79.96,78.93,79.51,509880,,0.0,0.0
18-11-2021,80.69,80.88,77.27,78.35,1102305,,0.0,0.0
22-11-2021,78.53,78.92,76.39,77.06,556920,,0.0,0.0
23-11-2021,76.59,77.95,76.01,77.44,344945,,0.0,0.0
24-11-2021,77.55,79.62,77.55,78.06,453500,,0.0,0.0
25-11-2021,78.13,78.61,77.36,77.75,259755,,0.0,0.0
26-11-2021,77.36,77.68,76.38,76.98,558350,,0.0,0.0
29-11-2021,76.38,76.97,73.46,75.21,470305,,0.0,0.0
30-11-2021,75.4,77.02,74.62,75.26,495700,,0.0,0.0
01-12-2021,75.65,76.59,73.25,74.68,374360,,0.0,0.0
02-12-2021,75.05,76.58,74.81,76.24,355845,,0.0,0.0
03-12-2021,76.77,78.08,76.37,77.17,408290,,0.0,0.0
06-12-2021,76.99,77.93,75.94,77.42,383955,,0.0,0.0
07-12-2021,77.46,77.71,76.19,76.42,283940,,0.0,0.0
08-12-2021,76.79,77.36,76.0,76.38,398150,,0.0,0.0
09-12-2021,75.6,80.0,75.6,79.02,1614360,,0.0,0.0
10-12-2021,79.26,79.89,78.53,78.95,390815,,0.0,0.0
13-12-2021,79.71,79.81,77.55,78.0,393490,,0.0,0.0
14-12-2021,77.48,78.3,77.01,77.89,731115,,0.0,0.0
15-12-2021,78.14,78.14,77.21,77.41,756865,,0.0,0.0
16-12-2021,78.11,78.14,76.36,76.67,210010,,0.0,0.0
17-12-2021,76.67,76.97,74.53,74.79,458790,,0.0,0.0
20-12-2021,75.18,75.18,71.87,72.41,512740,,0.0,0.0
21-12-2021,72.66,74.36,72.66,73.21,258750,,0.0,0.0
22-12-2021,73.6,74.56,73.33,73.65,270135,,0.0,0.0
23-12-2021,74.4,75.4,73.83,74.03,284745,,0.0,0.0
24-12-2021,74.79,75.2,73.46,74.13,256620,,0.0,0.0
27-12-2021,74.42,74.42,73.24,73.53,204790,,0.0,0.0
28-12-2021,73.64,74.38,73.54,73.69,188580,,0.0,0.0
29-12-2021,74.06,74.75,73.83,74.48,198170,,0.0,0.0
30-12-2021,74.62,75.1,74.03,74.22,199110,,0.0,0.0
31-12-2021,74.03,75.09,74.03,74.79,195725,,0.0,0.0
03-01-2022,74.99,75.95,74.81,75.05,344520,,0.0,0.0
04-01-2022,75.3,75.95,74.48,74.71,327340,,0.0,0.0
05-01-2022,74.43,75.19,73.98,74.2,232005,,0.0,0.0
06-01-2022,74.23,74.57,73.84,74.11,208835,,0.0,0.0
07-01-2022,75.5,75.55,73.84,74.24,373140,,0.0,0.0
10-01-2022,74.73,75.54,74.2,74.7,388965,,0.0,0.0
11-01-2022,75.36,75.57,74.52,74.69,362350,,0.0,0.0
12-01-2022,74.13,75.23,74.13,74.4,637860,,0.0,0.0
13-01-2022,74.45,75.27,74.42,74.47,274040,,0.0,0.0
14-01-2022,73.83,74.93,73.83,74.35,364245,,0.0,0.0
17-01-2022,74.52,74.7,73.86,74.04,373310,,0.0,0.0
18-01-2022,74.41,74.91,73.48,73.76,293040,,0.0,0.0
19-01-2022,73.78,74.0,73.06,73.2,333985,,0.0,0.0
20-01-2022,73.88,75.22,72.85,74.31,1458635,,0.0,0.0
21-01-2022,74.23,74.23,72.5,72.93,391375,,0.0,0.0
