Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,2.24,2.31,2.23,2.29,9946900,,0.0,0.0
09-08-2021,2.32,2.4,2.3,2.31,9205300,,0.0,0.0
10-08-2021,2.3,2.34,2.19,2.26,9052700,,0.0,0.0
11-08-2021,2.28,2.28,2.12,2.2,12042800,,0.0,0.0
12-08-2021,2.22,2.32,2.21,2.31,5964700,,0.0,0.0
13-08-2021,2.26,2.31,2.25,2.26,5876800,,0.0,0.0
16-08-2021,2.27,2.33,2.2,2.24,5175100,,0.0,0.0
17-08-2021,2.26,2.27,2.2,2.22,3505100,,0.0,0.0
18-08-2021,2.23,2.26,2.17,2.18,2706100,,0.0,0.0
20-08-2021,2.17,2.21,2.14,2.19,5535100,,0.0,0.0
23-08-2021,2.25,2.25,2.11,2.14,3906500,,0.0,0.0
24-08-2021,2.14,2.18,2.14,2.15,1888500,,0.0,0.0
25-08-2021,2.19,2.21,2.15,2.19,3194700,,0.0,0.0
26-08-2021,2.21,2.22,2.17,2.17,2382100,,0.0,0.0
27-08-2021,2.17,2.22,2.15,2.16,2174200,,0.0,0.0
30-08-2021,2.16,2.2,2.16,2.17,1756000,,0.0,0.0
31-08-2021,2.18,2.2,2.15,2.16,4170000,,0.0,0.0
01-09-2021,2.18,2.18,2.14,2.15,2589600,,0.0,0.0
02-09-2021,2.16,2.18,2.14,2.16,2492100,,0.0,0.0
03-09-2021,2.15,2.35,2.14,2.31,18960000,,0.0,0.0
06-09-2021,2.33,2.33,2.24,2.25,7804100,,0.0,0.0
07-09-2021,2.24,2.27,2.19,2.2,4218300,,0.0,0.0
08-09-2021,2.2,2.23,2.14,2.17,7440000,,0.0,0.0
09-09-2021,2.17,2.21,2.15,2.18,3707500,,0.0,0.0
13-09-2021,2.25,2.28,2.2,2.23,8105200,,0.0,0.0
14-09-2021,2.24,2.25,2.19,2.21,4048500,,0.0,0.0
15-09-2021,2.21,2.26,2.21,2.23,5860600,,0.0,0.0
16-09-2021,2.23,2.25,2.22,2.24,3645600,,0.0,0.0
17-09-2021,2.26,2.27,2.2,2.22,5357700,,0.04,0.0
20-09-2021,2.17,2.26,2.17,2.21,3248500,,0.0,0.0
21-09-2021,2.19,2.23,2.17,2.2,2635100,,0.0,0.0
22-09-2021,2.21,2.24,2.19,2.2,2249700,,0.0,0.0
23-09-2021,2.21,2.24,2.19,2.22,3386800,,0.0,0.0
24-09-2021,2.23,2.24,2.19,2.2,5012500,,0.0,0.0
27-09-2021,2.21,2.22,2.19,2.19,2309600,,0.0,0.0
28-09-2021,2.19,2.21,2.17,2.19,3127200,,0.0,0.0
29-09-2021,2.17,2.21,2.15,2.2,4111100,,0.0,0.0
30-09-2021,2.2,2.24,2.2,2.22,4396700,,0.0,0.0
01-10-2021,2.21,2.29,2.18,2.24,7682500,,0.0,0.0
04-10-2021,2.25,2.31,2.25,2.3,8739000,,0.0,0.0
05-10-2021,2.31,2.34,2.26,2.27,5543300,,0.0,0.0
06-10-2021,2.28,2.34,2.27,2.27,8380300,,0.0,0.0
07-10-2021,2.26,2.29,2.24,2.25,4603600,,0.0,0.0
08-10-2021,2.27,2.27,2.25,2.26,2631300,,0.0,0.0
11-10-2021,2.25,2.33,2.25,2.29,8001700,,0.0,0.0
12-10-2021,2.31,2.34,2.25,2.3,8445100,,0.0,0.0
13-10-2021,2.32,2.37,2.32,2.35,9503400,,0.0,0.0
14-10-2021,2.37,2.38,2.33,2.33,5512800,,0.0,0.0
18-10-2021,2.35,2.37,2.32,2.33,7599100,,0.0,0.0
19-10-2021,2.33,2.37,2.29,2.3,6029300,,0.0,0.0
20-10-2021,2.34,2.34,2.24,2.25,3934600,,0.0,0.0
21-10-2021,2.26,2.26,2.2,2.24,3577400,,0.0,0.0
22-10-2021,2.24,2.26,2.15,2.17,7016100,,0.0,0.0
25-10-2021,2.17,2.21,2.15,2.19,2342700,,0.0,0.0
26-10-2021,2.21,2.22,2.18,2.21,1246500,,0.0,0.0
27-10-2021,2.22,2.24,2.19,2.22,2552300,,0.0,0.0
28-10-2021,2.22,2.22,2.17,2.18,2063900,,0.0,0.0
29-10-2021,2.16,2.19,2.14,2.17,3150200,,0.0,0.0
01-11-2021,2.18,2.2,2.17,2.18,2282200,,0.0,0.0
02-11-2021,2.19,2.3,2.18,2.24,3999300,,0.0,0.0
03-11-2021,2.25,2.25,2.15,2.19,3626900,,0.0,0.0
04-11-2021,2.21,2.25,2.19,2.21,1368000,,0.0,0.0
08-11-2021,2.27,2.27,2.21,2.24,2991200,,0.0,0.0
09-11-2021,2.22,2.25,2.21,2.23,3491100,,0.0,0.0
10-11-2021,2.23,2.34,2.2,2.3,7099200,,0.0,0.0
11-11-2021,2.29,2.31,2.26,2.27,2435500,,0.0,0.0
12-11-2021,2.29,2.3,2.22,2.25,2176900,,0.0,0.0
15-11-2021,2.23,2.25,2.12,2.14,9263100,,0.0,0.0
16-11-2021,2.14,2.17,2.12,2.13,4337800,,0.0,0.0
17-11-2021,2.14,2.16,2.13,2.13,2775400,,0.0,0.0
18-11-2021,2.13,2.18,2.09,2.13,4904800,,0.0,0.0
22-11-2021,2.11,2.16,2.09,2.1,2866400,,0.0,0.0
23-11-2021,2.09,2.17,2.08,2.13,2807700,,0.0,0.0
24-11-2021,2.15,2.16,2.11,2.12,1717900,,0.0,0.0
25-11-2021,2.13,2.15,2.12,2.14,1717900,,0.01,0.0
26-11-2021,2.11,2.13,2.04,2.07,3946300,,0.0,0.0
29-11-2021,2.08,2.1,1.99,2.01,2967700,,0.0,0.0
30-11-2021,2.06,2.07,2.02,2.03,2356300,,0.0,0.0
01-12-2021,2.08,2.17,2.05,2.06,1431100,,0.0,0.0
02-12-2021,2.07,2.09,2.05,2.07,995900,,0.0,0.0
03-12-2021,2.08,2.1,2.04,2.07,2594600,,0.0,0.0
06-12-2021,2.08,2.12,2.05,2.05,1389900,,0.0,0.0
07-12-2021,2.05,2.08,2.04,2.06,1565900,,0.0,0.0
08-12-2021,2.07,2.1,2.06,2.08,2161700,,0.0,0.0
09-12-2021,2.09,2.09,2.06,2.07,1023600,,0.0,0.0
10-12-2021,2.08,2.12,2.07,2.09,2209800,,0.0,0.0
13-12-2021,2.11,2.14,2.1,2.11,2957400,,0.0,0.0
14-12-2021,2.11,2.13,2.1,2.11,1976700,,0.0,0.0
15-12-2021,2.12,2.32,2.11,2.16,24200100,,0.0,0.0
16-12-2021,2.18,2.28,2.14,2.18,8385900,,0.0,0.0
17-12-2021,2.18,2.22,2.13,2.14,4857100,,0.0,0.0
20-12-2021,2.12,2.13,2.09,2.09,3875000,,0.0,0.0
21-12-2021,2.11,2.13,2.08,2.09,1623600,,0.0,0.0
22-12-2021,2.09,2.15,2.08,2.08,4845200,,0.0,0.0
23-12-2021,2.1,2.13,2.09,2.1,2092500,,0.0,0.0
24-12-2021,2.11,2.11,2.07,2.08,1697500,,0.0,0.0
27-12-2021,2.13,2.13,2.07,2.07,2081900,,0.0,0.0
28-12-2021,2.08,2.15,2.08,2.13,4045500,,0.0,0.0
29-12-2021,2.16,2.16,2.1,2.11,1527800,,0.0,0.0
30-12-2021,2.08,2.15,2.08,2.12,2408100,,0.0,0.0
31-12-2021,2.13,2.18,2.13,2.16,3108500,,0.0,0.0
03-01-2022,2.18,2.19,2.15,2.16,2422900,,0.0,0.0
04-01-2022,2.16,2.18,2.15,2.17,2035600,,0.0,0.0
05-01-2022,2.19,2.19,2.14,2.16,2559800,,0.0,0.0
06-01-2022,2.13,2.21,2.11,2.19,4677000,,0.0,0.0
07-01-2022,2.16,2.2,2.07,2.16,4956600,,0.0,0.0
10-01-2022,2.12,2.21,2.11,2.17,4078300,,0.0,0.0
11-01-2022,2.17,2.19,2.15,2.17,2210200,,0.0,0.0
12-01-2022,2.2,2.2,2.16,2.18,2193100,,0.0,0.0
13-01-2022,2.18,2.21,2.14,2.18,3188600,,0.0,0.0
14-01-2022,2.18,2.19,2.15,2.16,2905500,,0.0,0.0
17-01-2022,2.17,2.2,2.16,2.17,4218500,,0.0,0.0
18-01-2022,2.18,2.19,2.14,2.15,2418200,,0.0,0.0
19-01-2022,2.16,2.16,2.11,2.13,1369200,,0.0,0.0
20-01-2022,2.13,2.14,2.11,2.13,1960000,,0.0,0.0
21-01-2022,2.11,2.13,2.1,2.11,1685800,,0.0,0.0
24-01-2022,2.11,2.11,1.99,2.05,3677600,,0.0,0.0
25-01-2022,2.0,2.08,2.0,2.04,2482900,,0.0,0.0
27-01-2022,2.03,2.04,2.0,2.01,2716900,,0.0,0.0
28-01-2022,2.04,2.08,2.02,2.06,1775300,,0.0,0.0
31-01-2022,2.1,2.14,2.03,2.07,3311600,,0.0,0.0
01-02-2022,2.08,2.11,2.04,2.07,2232400,,0.0,0.0
02-02-2022,2.09,2.1,2.07,2.09,2047300,,0.0,0.0
03-02-2022,2.17,2.32,2.17,2.25,41560500,,0.0,0.0
04-02-2022,2.27,2.29,2.22,2.23,5944800,,0.0,0.0
07-02-2022,2.23,2.26,2.17,2.18,3053200,,0.0,0.0
08-02-2022,2.17,2.23,2.13,2.2,3046400,,0.0,0.0
09-02-2022,2.22,2.23,2.16,2.17,1869700,,0.0,0.0
10-02-2022,2.15,2.2,2.14,2.15,2347900,,0.0,0.0
11-02-2022,2.13,2.18,2.13,2.17,1888100,,0.0,0.0
14-02-2022,2.11,2.25,2.11,2.18,8200200,,0.0,0.0
15-02-2022,2.09,2.09,1.98,2.04,10143200,,0.0,0.0
16-02-2022,2.06,2.11,2.04,2.1,5499500,,0.0,0.0
17-02-2022,2.13,2.14,2.09,2.1,1829000,,0.0,0.0
18-02-2022,2.1,2.13,2.08,2.08,3347800,,0.0,0.0
21-02-2022,2.08,2.08,2.04,2.05,2297800,,0.0,0.0
22-02-2022,2.02,2.05,2.0,2.04,2089600,,0.0,0.0
23-02-2022,2.08,2.08,2.04,2.06,1040100,,0.0,0.0
24-02-2022,1.94,2.06,1.86,1.93,6827300,,0.0,0.0
25-02-2022,2.02,2.08,1.98,2.05,4038800,,0.0,0.0
28-02-2022,2.03,2.07,1.96,2.07,1676800,,0.0,0.0
02-03-2022,2.04,2.14,2.02,2.13,4600000,,0.0,0.0
03-03-2022,2.12,2.17,2.11,2.12,1943600,,0.0,0.0
04-03-2022,2.06,2.18,2.06,2.08,2628500,,0.0,0.0
07-03-2022,2.03,2.08,2.03,2.07,3247200,,0.0,0.0
08-03-2022,2.04,2.23,2.04,2.22,13287100,,0.0,0.0
09-03-2022,2.24,2.31,2.2,2.27,9301300,,0.0,0.0
10-03-2022,2.28,2.32,2.21,2.24,5735800,,0.0,0.0
11-03-2022,2.28,2.28,2.22,2.24,3283600,,0.0,0.0
14-03-2022,2.22,2.28,2.18,2.2,2556600,,0.0,0.0
15-03-2022,2.19,2.32,2.19,2.29,11865800,,0.0,0.0
16-03-2022,2.28,2.35,2.28,2.34,8976600,,0.0,0.0
17-03-2022,2.36,2.38,2.3,2.32,7186500,,0.0,0.0
21-03-2022,2.32,2.38,2.31,2.35,5345100,,0.0,0.0
22-03-2022,2.31,2.37,2.31,2.36,4127600,,0.0,0.0
23-03-2022,2.38,2.4,2.31,2.36,5303600,,0.0,0.0
24-03-2022,2.36,2.38,2.26,2.33,4493400,,0.0,0.0
25-03-2022,2.31,2.32,2.25,2.27,5424800,,0.0,0.0
28-03-2022,2.27,2.32,2.26,2.28,4523300,,0.0,0.0
29-03-2022,2.31,2.36,2.28,2.3,3487000,,0.0,0.0
30-03-2022,2.3,2.34,2.25,2.26,3565900,,0.0,0.0
31-03-2022,2.26,2.39,2.21,2.3,9655400,,0.0,0.0
01-04-2022,2.28,2.32,2.26,2.28,4061900,,0.0,0.0
04-04-2022,2.26,2.4,2.26,2.38,11447300,,0.0,0.0
