Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,94.12,95.55,93.8,93.87,502142,,0.0,0.0
09-08-2021,95.65,96.46,93.41,93.87,799002,,0.0,0.0
10-08-2021,94.52,95.72,86.15,87.46,1337820,,0.0,0.0
11-08-2021,87.95,88.94,83.39,86.25,1407046,,0.0,0.0
12-08-2021,86.97,92.76,86.65,91.36,1063296,,0.0,0.0
13-08-2021,91.43,93.11,89.24,89.95,713484,,0.0,0.0
16-08-2021,90.4,90.4,86.94,87.56,612744,,0.0,0.0
17-08-2021,88.25,88.47,85.86,86.1,412726,,0.0,0.0
18-08-2021,87.09,87.64,84.54,85.26,504672,,0.3,0.0
20-08-2021,82.69,86.85,81.75,83.11,944444,,0.0,0.0
23-08-2021,83.11,83.92,76.87,78.75,1820518,,0.0,0.0
24-08-2021,78.73,80.61,77.24,80.19,1101180,,0.0,0.0
25-08-2021,80.71,82.64,80.68,81.08,577066,,0.0,0.0
26-08-2021,81.57,83.58,80.41,82.41,776678,,0.0,0.0
27-08-2021,82.69,82.69,80.71,81.57,298476,,0.0,0.0
30-08-2021,81.94,85.66,81.7,84.37,769238,,0.0,0.0
31-08-2021,84.2,92.99,83.33,90.53,3223808,,0.0,0.0
01-09-2021,90.63,91.8,87.19,87.64,786014,,0.0,0.0
02-09-2021,87.19,92.49,87.19,91.5,1083144,,0.0,0.0
03-09-2021,91.5,92.14,88.78,89.15,619664,,0.0,0.0
06-09-2021,90.09,90.58,85.16,85.95,1028044,,0.0,0.0
07-09-2021,86.5,88.13,85.51,86.08,505976,,0.0,0.0
08-09-2021,86.08,88.08,85.78,86.25,401444,,0.0,0.0
09-09-2021,86.65,88.78,85.51,87.54,608324,,0.0,0.0
13-09-2021,87.59,89.2,87.19,87.46,630676,,0.0,0.0
14-09-2021,88.48,88.97,87.66,87.93,320978,,0.0,0.0
15-09-2021,88.93,88.93,87.39,87.74,298080,,0.0,0.0
16-09-2021,88.13,88.7,84.67,86.87,614852,,0.0,0.0
17-09-2021,87.51,91.55,85.16,89.89,1262820,,0.0,0.0
20-09-2021,85.71,89.62,85.71,86.82,889162,,0.0,0.0
21-09-2021,86.82,87.12,84.74,85.73,430954,,0.0,0.0
22-09-2021,85.78,87.04,85.38,86.03,378996,,0.0,0.0
23-09-2021,87.41,87.56,85.9,86.13,315264,,0.0,0.0
24-09-2021,86.85,87.32,85.16,85.36,415512,,0.0,0.0
27-09-2021,86.62,86.62,84.17,85.51,389798,,0.0,0.0
28-09-2021,86.0,86.6,85.16,85.95,298144,,0.0,0.0
29-09-2021,84.67,87.51,84.67,86.28,395622,,0.0,0.0
30-09-2021,87.24,87.84,85.21,85.78,428476,,0.0,0.0
01-10-2021,86.15,86.15,83.63,84.25,680492,,0.0,0.0
04-10-2021,86.15,86.23,83.58,84.32,776456,,0.0,0.0
05-10-2021,84.62,85.66,84.25,84.59,579596,,0.0,0.0
06-10-2021,85.46,85.93,83.43,83.63,710620,,0.0,0.0
07-10-2021,84.52,84.52,82.88,83.68,557548,,0.0,0.0
08-10-2021,83.7,86.47,83.6,83.9,663086,,0.0,0.0
11-10-2021,84.67,85.86,84.17,85.09,603612,,0.0,0.0
12-10-2021,85.38,86.45,84.91,86.0,573458,,0.0,0.0
13-10-2021,86.65,90.09,86.42,88.9,1930104,,0.0,0.0
14-10-2021,90.11,90.46,87.39,87.86,748496,,0.0,0.0
18-10-2021,88.63,90.63,87.96,88.55,1008426,,0.0,0.0
19-10-2021,89.05,90.01,85.34,86.3,725020,,0.0,0.0
20-10-2021,86.13,86.65,83.18,83.83,556028,,0.0,0.0
21-10-2021,84.15,85.06,81.99,83.65,624286,,0.0,0.0
22-10-2021,84.32,84.86,83.18,84.07,395362,,0.0,0.0
25-10-2021,84.39,84.39,81.75,83.23,372440,,0.0,0.0
26-10-2021,83.68,84.47,82.19,83.33,406592,,0.0,0.0
27-10-2021,83.48,87.61,82.83,86.23,927886,,0.0,0.0
28-10-2021,86.25,86.25,82.24,82.54,634594,,0.0,0.0
29-10-2021,83.18,83.55,80.95,81.37,672064,,0.0,0.0
01-11-2021,81.37,85.56,80.71,84.67,1287998,,0.0,0.0
02-11-2021,85.31,86.55,83.5,83.95,736250,,0.0,0.0
03-11-2021,84.59,85.21,82.71,83.18,396024,,0.0,0.0
04-11-2021,83.83,85.16,83.58,84.94,152256,,0.0,0.0
08-11-2021,85.29,85.34,82.79,83.4,337188,,0.0,0.0
09-11-2021,84.12,85.34,83.6,84.67,534042,,0.0,0.0
10-11-2021,85.06,86.38,84.37,85.51,925292,,0.0,0.0
11-11-2021,85.51,89.07,85.48,87.54,1256916,,0.0,0.0
12-11-2021,87.54,89.02,87.04,87.84,586636,,0.0,0.0
15-11-2021,88.45,88.93,85.98,86.8,485218,,0.0,0.0
16-11-2021,87.07,88.33,85.61,86.38,366164,,0.0,0.0
17-11-2021,86.13,88.11,85.66,87.71,446188,,0.0,0.0
18-11-2021,88.13,88.13,83.08,84.02,601428,,0.0,0.0
22-11-2021,84.17,85.14,81.1,81.77,607962,,0.0,0.0
23-11-2021,81.7,83.65,80.8,83.21,292828,,0.0,0.0
24-11-2021,83.55,85.71,83.16,84.84,429036,,0.0,0.0
25-11-2021,85.41,85.86,83.73,84.17,186308,,0.0,0.0
26-11-2021,83.16,84.44,80.31,80.76,376080,,0.0,0.0
29-11-2021,80.76,80.8,76.74,78.23,334186,,0.0,0.0
30-11-2021,78.53,80.56,77.83,78.48,240150,,0.0,0.0
01-12-2021,78.87,79.69,77.17,77.91,246300,,0.0,0.0
02-12-2021,78.26,79.47,77.83,78.95,192188,,0.0,0.0
03-12-2021,79.34,80.58,78.73,79.72,245628,,0.0,0.0
06-12-2021,79.77,80.9,77.98,78.28,156642,,0.0,0.0
07-12-2021,78.58,84.17,78.3,80.71,214620,,0.0,0.0
08-12-2021,82.66,83.63,79.79,80.76,370216,,0.0,0.0
09-12-2021,82.69,82.88,79.57,79.96,442300,,0.0,0.0
10-12-2021,80.38,81.99,79.96,81.62,410512,,0.0,0.0
13-12-2021,82.24,83.18,81.0,81.7,329184,,0.0,0.0
14-12-2021,81.67,82.02,80.24,80.48,211814,,0.0,0.0
15-12-2021,80.36,81.94,79.49,80.33,253852,,0.0,0.0
16-12-2021,81.5,82.93,80.21,80.58,387714,,0.0,0.0
17-12-2021,80.66,80.9,78.82,79.1,190646,,0.0,0.0
20-12-2021,78.23,78.23,74.29,75.09,432606,,0.0,0.0
21-12-2021,75.66,78.01,75.66,77.24,241114,,0.0,0.0
22-12-2021,77.64,79.69,77.61,79.02,177886,,0.0,0.0
23-12-2021,79.47,80.71,79.47,79.81,177866,,0.0,0.0
24-12-2021,80.46,80.78,78.73,79.64,131788,,0.0,0.0
27-12-2021,79.69,82.56,77.59,81.7,478408,,0.0,0.0
28-12-2021,82.34,84.1,80.61,81.62,449240,,0.0,0.0
29-12-2021,81.67,82.64,80.71,81.15,167058,,0.0,0.0
30-12-2021,81.15,81.89,80.71,80.85,149640,,0.0,0.0
31-12-2021,81.28,86.55,81.1,83.85,840694,,0.0,0.0
03-01-2022,84.52,84.62,82.17,82.49,300278,,0.0,0.0
04-01-2022,83.16,83.33,81.2,81.77,242474,,0.0,0.0
05-01-2022,82.19,84.89,80.73,83.33,675560,,0.0,0.0
06-01-2022,82.88,83.73,82.34,82.69,269824,,0.0,0.0
07-01-2022,82.69,85.31,82.51,83.78,1035978,,0.0,0.0
10-01-2022,84.44,87.14,84.17,86.38,1087620,,0.0,0.0
11-01-2022,87.02,87.89,85.26,85.81,560332,,0.0,0.0
12-01-2022,86.25,88.03,85.06,85.61,435060,,0.0,0.0
13-01-2022,86.28,86.28,84.17,84.54,407522,,0.0,0.0
14-01-2022,84.39,86.15,83.75,84.39,485970,,0.0,0.0
17-01-2022,84.67,90.86,84.32,90.56,4160588,,0.0,0.0
18-01-2022,91.6,96.25,89.2,94.15,6233418,,0.0,0.0
19-01-2022,95.06,98.98,94.69,97.02,5573368,,0.0,0.0
20-01-2022,97.64,98.38,94.07,94.42,1186036,,0.0,0.0
21-01-2022,94.05,94.62,89.67,91.75,1288860,,0.0,0.0
24-01-2022,92.51,94.32,86.23,89.27,1648252,,0.0,0.0
25-01-2022,88.63,94.12,86.92,93.73,1279158,,0.0,0.0
27-01-2022,93.98,109.32,92.64,107.27,11160416,,0.0,0.0
28-01-2022,109.42,112.39,101.85,103.31,7772032,,0.0,0.0
31-01-2022,106.3,111.4,104.97,106.16,6289022,,0.0,0.0
01-02-2022,107.2,107.59,101.5,104.65,1608930,,0.0,0.0
02-02-2022,99.03,101.01,96.75,97.99,3503436,,0.0,0.0
03-02-2022,99.12,102.49,99.12,100.71,1812588,,0.0,0.0
04-02-2022,100.71,102.89,99.42,100.26,995844,,0.0,0.0
07-02-2022,100.46,101.25,95.56,96.33,931404,,0.0,0.0
08-02-2022,97.09,98.28,92.66,97.34,1026330,,0.0,0.0
09-02-2022,98.13,98.36,94.15,95.06,590148,,0.0,0.0
10-02-2022,95.06,96.85,93.58,94.1,831726,,0.0,0.0
11-02-2022,92.64,95.09,91.1,92.09,612660,,0.0,0.0
14-02-2022,90.01,92.27,87.61,88.16,923872,,0.0,0.0
15-02-2022,88.13,95.56,87.71,93.88,1035498,,0.0,0.0
16-02-2022,95.56,96.05,92.07,92.71,664720,,0.0,0.0
17-02-2022,93.18,94.02,91.38,91.95,308034,,0.0,0.0
18-02-2022,91.1,95.04,91.1,92.19,540304,,0.0,0.0
21-02-2022,92.66,92.81,88.63,89.57,476814,,0.0,0.0
22-02-2022,86.65,90.26,84.49,86.35,1045910,,0.0,0.0
23-02-2022,87.64,96.05,87.32,93.31,3119504,,0.0,0.0
24-02-2022,88.18,91.7,86.4,87.81,1296670,,0.0,0.0
25-02-2022,89.22,93.83,89.22,92.14,776020,,0.0,0.0
28-02-2022,92.14,96.92,90.34,95.91,1467728,,0.0,0.0
02-03-2022,94.57,103.48,94.4,100.66,2907466,,0.0,0.0
03-03-2022,102.49,103.48,95.24,97.19,1205354,,0.0,0.0
04-03-2022,96.05,101.8,95.09,97.12,1192796,,0.0,0.0
07-03-2022,96.55,99.0,92.69,96.25,1255696,,0.0,0.0
08-03-2022,96.55,109.37,96.55,107.86,11826654,,0.0,0.0
09-03-2022,109.92,110.83,104.47,107.59,5297510,,0.0,0.0
10-03-2022,108.83,111.9,106.01,108.88,3320828,,0.0,0.0
11-03-2022,108.14,120.96,107.54,118.06,10817534,,0.0,0.0
14-03-2022,118.83,120.76,115.93,117.15,4536216,,0.0,0.0
15-03-2022,117.35,120.07,111.6,114.5,2664262,,0.0,0.0
16-03-2022,118.53,131.38,115.44,129.1,13904034,,0.0,0.0
17-03-2022,130.27,131.04,123.78,124.6,4992928,,0.0,0.0
21-03-2022,125.76,125.76,119.82,120.49,980358,,0.0,0.0
22-03-2022,120.81,128.49,120.81,124.7,2388166,,0.0,0.0
23-03-2022,125.02,126.46,121.28,121.93,741712,,0.0,0.0
24-03-2022,119.82,126.26,119.82,124.45,689322,,0.0,0.0
25-03-2022,125.59,125.59,121.6,123.48,503250,,0.0,0.0
28-03-2022,124.28,133.39,121.9,132.52,1945944,,0.0,0.0
29-03-2022,133.68,136.41,129.82,131.58,1884210,,0.0,0.0
30-03-2022,132.69,136.06,126.75,128.49,979740,,0.0,0.0
31-03-2022,128.21,131.06,127.74,128.83,391178,,0.0,0.0
01-04-2022,129.2,133.14,128.29,130.74,611128,,0.0,0.0
