Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,641.67,648.25,632.04,639.55,108566,,0.0,0.0
09-08-2021,639.55,642.45,628.59,637.2,118373,,0.0,0.0
10-08-2021,639.82,657.46,616.94,626.8,336945,,0.0,0.0
11-08-2021,630.66,630.66,577.26,595.63,639148,,0.0,0.0
12-08-2021,596.78,623.71,596.78,610.82,284960,,0.0,0.0
13-08-2021,605.06,615.7,597.61,602.9,99131,,0.0,0.0
16-08-2021,600.37,611.28,593.92,597.61,108976,,0.0,0.0
17-08-2021,594.15,601.29,585.64,586.56,142132,,0.0,0.0
18-08-2021,594.84,594.84,568.37,570.99,153867,,0.0,0.0
20-08-2021,569.98,597.51,549.72,588.95,382575,,0.0,0.0
23-08-2021,591.16,597.05,562.75,567.22,138201,,0.0,0.0
24-08-2021,566.3,571.5,555.25,566.94,146042,,0.0,0.0
25-08-2021,582.83,589.87,569.06,576.75,299603,,0.0,0.0
26-08-2021,581.68,583.61,574.36,576.1,98804,,0.0,0.0
27-08-2021,576.34,581.81,570.72,572.47,86598,,0.0,0.0
30-08-2021,576.47,580.16,572.05,577.49,62969,,0.0,0.0
31-08-2021,580.39,593.28,580.11,581.95,115172,,0.0,0.0
01-09-2021,584.71,590.93,582.64,584.94,80697,,0.0,0.0
02-09-2021,588.12,594.84,582.27,585.87,105074,,0.0,0.0
03-09-2021,585.87,593.0,582.78,585.41,70093,,0.0,0.0
06-09-2021,585.41,621.45,582.87,616.8,649982,,0.0,0.0
07-09-2021,622.42,631.68,606.81,611.46,486779,,0.0,0.0
08-09-2021,610.27,615.1,605.89,607.87,82383,,0.0,0.0
09-09-2021,608.66,621.32,607.04,608.75,66767,,0.0,0.0
13-09-2021,614.64,616.94,591.39,602.49,98004,,0.0,0.0
14-09-2021,600.97,603.59,589.41,594.75,125218,,0.0,0.0
15-09-2021,598.34,621.5,595.3,610.68,256206,,0.0,0.0
16-09-2021,612.29,615.84,604.05,605.39,71053,,0.0,0.0
17-09-2021,612.34,623.39,602.21,617.45,167193,,0.0,0.0
20-09-2021,617.45,634.39,594.11,600.18,291939,,0.0,0.0
21-09-2021,600.87,606.81,579.74,594.71,167125,,0.0,0.0
22-09-2021,594.71,607.09,594.71,599.13,80031,,0.0,0.0
23-09-2021,605.89,605.89,594.15,595.9,63643,,0.0,0.0
24-09-2021,604.28,605.89,593.23,594.66,92452,,0.0,0.0
27-09-2021,598.53,600.0,581.03,586.19,73173,,0.0,0.0
28-09-2021,589.78,601.06,584.81,590.24,100127,,0.0,0.0
29-09-2021,586.37,593.05,583.1,583.66,128293,,0.0,0.0
30-09-2021,586.56,602.21,570.9,589.32,201719,,0.0,0.0
01-10-2021,585.64,592.96,578.27,581.22,93951,,0.0,0.0
04-10-2021,584.16,589.32,579.19,580.06,62272,,0.0,0.0
05-10-2021,579.97,585.73,576.43,576.93,102284,,0.0,0.0
06-10-2021,578.73,587.48,576.43,579.05,85466,,0.0,0.0
07-10-2021,580.11,584.58,574.95,579.79,94120,,0.0,0.0
08-10-2021,582.69,584.53,575.6,576.38,59871,,0.0,0.0
11-10-2021,576.43,581.54,571.92,574.77,67631,,0.0,0.0
12-10-2021,574.77,578.22,572.74,573.85,48977,,0.0,0.0
13-10-2021,573.99,610.36,573.99,599.68,315074,,0.0,0.0
14-10-2021,603.13,607.83,582.32,586.74,133571,,0.0,0.0
18-10-2021,589.23,595.81,582.87,585.45,82195,,0.0,0.0
19-10-2021,589.13,597.42,572.74,580.34,159993,,0.0,0.0
20-10-2021,580.34,584.67,573.71,575.09,51377,,0.0,0.0
21-10-2021,575.09,580.2,572.74,574.82,57062,,0.0,0.0
22-10-2021,579.19,582.78,561.92,569.75,45459,,0.0,0.0
25-10-2021,571.04,573.62,538.21,538.9,174271,,0.0,0.0
26-10-2021,540.61,555.25,540.15,546.45,59622,,0.0,0.0
27-10-2021,550.55,551.61,540.98,545.26,39117,,0.0,0.0
28-10-2021,548.02,552.49,543.28,546.45,46794,,0.0,0.0
29-10-2021,548.3,551.29,537.75,546.59,40704,,0.0,0.0
01-11-2021,537.75,550.69,532.32,540.38,63655,,0.0,0.0
02-11-2021,545.76,551.57,543.0,550.05,46053,,0.0,0.0
03-11-2021,552.44,586.56,544.24,547.38,87955,,0.0,0.0
04-11-2021,548.8,555.8,548.3,550.09,12773,,0.0,0.0
08-11-2021,552.49,579.19,544.43,575.92,407606,,0.0,0.0
09-11-2021,578.27,584.71,570.99,581.22,138747,,0.0,0.0
10-11-2021,575.51,585.87,558.01,568.97,188967,,0.0,0.0
11-11-2021,568.88,572.74,564.0,566.9,44372,,0.0,0.0
12-11-2021,567.08,571.32,556.17,558.89,95456,,0.0,0.0
15-11-2021,558.89,564.32,555.25,556.03,48095,,0.0,0.0
16-11-2021,558.01,559.85,543.28,545.49,85936,,0.0,0.0
17-11-2021,544.11,548.02,538.67,542.96,53494,,0.0,0.0
18-11-2021,542.91,546.22,534.39,535.91,68563,,0.0,0.0
22-11-2021,534.07,537.06,515.65,530.52,73237,,0.0,0.0
23-11-2021,530.39,534.99,521.41,529.7,57691,,0.0,0.0
24-11-2021,538.58,542.13,523.07,527.12,70249,,0.0,0.0
25-11-2021,529.47,529.56,522.61,525.09,48925,,0.0,0.0
26-11-2021,524.72,527.39,514.73,516.76,74676,,0.0,0.0
29-11-2021,520.26,520.67,493.09,495.21,101600,,0.0,0.0
30-11-2021,487.06,501.8,483.43,485.5,114100,,0.0,0.0
01-12-2021,493.46,494.38,470.53,480.06,88005,,0.0,0.0
02-12-2021,480.99,488.86,471.32,473.89,204814,,0.0,0.0
03-12-2021,474.22,492.17,474.13,483.15,169658,,0.0,0.0
06-12-2021,486.19,494.38,482.5,490.38,102411,,0.0,0.0
07-12-2021,490.98,501.84,486.0,495.99,111756,,0.0,0.0
08-12-2021,504.51,504.51,495.35,496.64,123292,,0.0,0.0
09-12-2021,499.13,502.72,491.76,492.59,121141,,0.0,0.0
10-12-2021,493.55,500.92,493.51,498.43,134670,,0.0,0.0
13-12-2021,502.58,502.58,486.19,487.34,192174,,0.0,0.0
14-12-2021,483.43,492.63,483.43,491.76,55571,,0.0,0.0
15-12-2021,489.0,495.49,486.6,493.05,39238,,0.0,0.0
16-12-2021,494.8,496.32,487.11,491.85,43430,,0.0,0.0
17-12-2021,496.13,496.13,484.07,488.35,50111,,0.0,0.0
20-12-2021,488.03,488.35,475.46,481.31,70682,,0.0,0.0
21-12-2021,482.5,486.23,476.24,481.26,224850,,0.0,0.0
22-12-2021,482.96,484.35,477.3,482.41,158513,,0.0,0.0
23-12-2021,487.8,500.92,486.56,490.24,164820,,0.0,0.0
24-12-2021,497.93,511.05,488.26,491.8,249590,,0.0,0.0
27-12-2021,485.54,490.61,479.42,482.87,116421,,0.0,0.0
28-12-2021,484.39,489.59,483.93,485.73,64972,,0.0,0.0
29-12-2021,488.03,492.4,486.65,489.59,103434,,0.0,0.0
30-12-2021,490.7,493.28,477.9,478.64,252507,,0.0,0.0
31-12-2021,482.46,483.29,471.69,476.75,170941,,0.0,0.0
03-01-2022,478.68,487.94,477.21,483.24,210355,,0.0,0.0
04-01-2022,487.89,491.71,482.73,489.59,86272,,0.0,0.0
05-01-2022,488.03,495.35,485.27,486.88,60617,,0.0,0.0
06-01-2022,483.61,486.97,481.22,483.98,60122,,0.0,0.0
07-01-2022,487.11,491.99,477.44,481.17,95989,,0.0,0.0
10-01-2022,485.73,487.02,481.22,485.77,72105,,0.0,0.0
11-01-2022,486.65,494.34,485.04,489.78,97795,,0.0,0.0
12-01-2022,493.37,504.33,491.67,499.82,161987,,0.0,0.0
13-01-2022,501.84,505.16,495.86,498.02,63589,,0.0,0.0
14-01-2022,498.16,509.48,493.0,506.77,110163,,0.0,0.0
17-01-2022,511.05,516.9,501.84,504.24,126917,,0.0,0.0
18-01-2022,506.45,506.77,490.1,494.15,47348,,0.0,0.0
19-01-2022,494.15,494.15,482.18,489.5,64988,,0.0,0.0
20-01-2022,491.99,492.54,479.83,481.91,293201,,0.0,0.0
21-01-2022,481.58,487.02,476.06,479.42,90979,,0.0,0.0
24-01-2022,485.68,485.68,458.33,462.43,123719,,0.0,0.0
25-01-2022,464.78,482.32,454.24,478.68,133082,,0.0,0.0
27-01-2022,475.6,483.89,466.02,478.18,120462,,0.0,0.0
28-01-2022,480.57,495.49,480.57,493.0,113973,,0.0,0.0
31-01-2022,495.4,497.24,488.03,492.59,251729,,0.0,0.0
01-02-2022,495.07,501.84,482.04,483.29,148700,,0.0,0.0
02-02-2022,488.03,491.57,480.66,482.14,369395,,0.0,0.0
03-02-2022,484.85,488.03,480.25,485.54,69276,,0.0,0.0
04-02-2022,483.43,488.72,476.06,479.24,70090,,0.0,0.0
07-02-2022,476.06,476.52,465.01,467.59,129246,,0.0,0.0
08-02-2022,472.84,472.84,462.25,466.39,51990,,0.0,0.0
09-02-2022,466.39,470.53,464.64,467.22,41671,,0.0,0.0
10-02-2022,471.45,471.45,465.01,466.85,41216,,0.0,0.0
11-02-2022,465.01,467.31,459.02,461.1,73322,,0.0,0.0
14-02-2022,460.41,460.41,449.31,453.27,70080,,0.0,0.0
15-02-2022,455.57,465.38,444.06,454.33,82871,,0.0,0.0
16-02-2022,456.72,461.33,449.36,451.57,104510,,0.0,0.0
17-02-2022,458.52,458.52,446.59,450.28,71819,,0.0,0.0
18-02-2022,453.5,453.5,443.83,449.45,63902,,0.0,0.0
21-02-2022,445.07,449.36,439.69,443.92,48183,,0.0,0.0
22-02-2022,439.23,440.01,435.22,437.38,55803,,0.0,0.0
23-02-2022,437.85,450.0,437.85,445.07,34647,,0.0,0.0
24-02-2022,436.46,439.69,423.57,428.55,120895,,0.0,0.0
25-02-2022,429.6,442.82,429.1,433.38,54903,,0.0,0.0
28-02-2022,430.85,432.09,421.32,427.58,64654,,0.0,0.0
02-03-2022,428.08,450.51,428.04,446.59,96559,,0.0,0.0
03-03-2022,453.04,464.04,448.16,460.41,127745,,0.0,0.0
04-03-2022,460.45,465.01,442.22,445.3,97990,,0.0,0.0
07-03-2022,441.62,449.26,429.33,434.9,81198,,0.0,0.0
08-03-2022,436.46,453.04,434.62,446.87,141594,,0.0,0.0
09-03-2022,451.2,460.41,443.83,446.59,419076,,0.0,0.0
10-03-2022,455.8,457.27,444.75,445.21,141256,,0.0,0.0
11-03-2022,445.21,448.57,443.42,444.24,84433,,0.0,0.0
14-03-2022,444.75,449.36,442.45,443.51,91359,,0.0,0.0
15-03-2022,445.4,445.4,435.17,437.15,96750,,0.0,0.0
16-03-2022,439.36,444.48,436.0,437.25,85317,,0.0,0.0
17-03-2022,441.85,443.88,437.62,439.23,101304,,0.0,0.0
21-03-2022,446.45,446.45,434.07,434.67,174467,,0.0,0.0
22-03-2022,432.87,436.46,424.31,427.99,129451,,0.0,0.0
23-03-2022,429.97,432.27,421.73,423.02,120878,,0.0,0.0
