Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,248.79,249.76,242.46,245.38,302195,,0.0,0.0
09-08-2021,245.38,248.01,241.97,243.53,185998,,0.0,0.0
10-08-2021,242.07,247.57,230.67,236.03,496542,,0.0,0.0
11-08-2021,238.56,240.92,219.82,230.31,325624,,0.0,0.0
12-08-2021,231.14,238.56,231.11,236.27,143555,,0.0,0.0
13-08-2021,239.88,245.35,235.01,237.0,222859,,0.0,0.0
16-08-2021,237.1,238.29,232.23,233.13,99319,,0.0,0.0
17-08-2021,231.53,235.64,228.44,231.14,86095,,0.0,0.0
18-08-2021,231.75,237.15,226.37,228.61,178769,,0.0,0.0
20-08-2021,226.39,226.76,218.11,221.47,347524,,0.0,0.0
23-08-2021,222.01,231.72,207.18,226.17,368474,,0.0,0.0
24-08-2021,228.82,230.29,218.45,221.33,270825,,0.0,0.0
25-08-2021,222.91,225.59,217.38,218.55,208549,,0.0,0.0
26-08-2021,220.99,222.54,216.65,217.68,185256,,0.0,0.0
27-08-2021,217.68,223.13,216.85,220.82,141856,,0.0,0.0
30-08-2021,222.11,230.53,221.57,228.68,172362,,0.0,0.0
31-08-2021,229.31,233.21,224.78,227.0,112840,,0.0,0.0
01-09-2021,227.0,230.72,221.81,222.84,134496,,0.0,0.0
02-09-2021,222.98,226.78,221.55,222.47,105449,,0.0,0.0
03-09-2021,222.98,225.49,216.63,218.99,185404,,0.0,0.0
06-09-2021,221.04,221.5,211.96,213.88,360436,,0.0,0.0
07-09-2021,215.87,215.87,208.13,210.64,288204,,0.0,0.0
08-09-2021,211.91,220.96,208.62,218.55,748688,,0.0,0.0
09-09-2021,218.11,220.06,215.19,216.46,152942,,0.0,0.0
13-09-2021,215.44,225.32,213.51,221.81,360927,,0.0,0.0
14-09-2021,223.86,224.93,219.57,221.42,217405,,0.0,0.0
15-09-2021,222.5,226.39,217.7,219.4,315107,,0.0,0.0
16-09-2021,220.89,229.99,220.55,225.88,453520,,0.0,0.0
17-09-2021,227.29,235.64,221.23,233.6,721585,,0.0,0.0
20-09-2021,226.88,230.67,219.72,224.81,225547,,0.0,0.0
21-09-2021,224.44,231.26,221.59,229.36,193051,,0.0,0.0
22-09-2021,230.72,233.86,224.13,227.66,157030,,0.0,0.0
23-09-2021,229.19,239.37,229.17,230.94,307255,,0.0,0.0
24-09-2021,231.99,236.32,224.98,226.03,193341,,0.0,0.0
27-09-2021,226.03,229.43,222.01,223.25,398276,,0.0,0.0
28-09-2021,225.42,231.26,221.67,227.19,384295,,0.0,0.0
29-09-2021,226.39,228.34,222.42,223.52,203759,,0.0,0.0
30-09-2021,224.76,230.29,220.6,222.28,213727,,0.0,0.0
01-10-2021,220.89,226.39,220.43,225.08,128509,,0.0,0.0
04-10-2021,226.83,227.68,224.0,225.2,110001,,0.0,0.0
05-10-2021,223.96,233.69,223.96,228.61,465733,,0.0,0.0
06-10-2021,230.77,233.08,223.47,225.03,196163,,0.0,0.0
07-10-2021,226.39,229.38,224.0,225.39,76062,,0.0,0.0
08-10-2021,228.46,228.46,223.03,224.13,110870,,0.0,0.0
11-10-2021,226.37,230.77,223.03,226.27,200939,,0.0,0.0
12-10-2021,226.39,229.17,224.44,225.08,138870,,0.0,0.0
13-10-2021,225.42,233.23,225.42,227.46,295800,,0.0,0.0
14-10-2021,228.78,231.26,226.39,230.5,181208,,0.0,0.0
18-10-2021,232.33,235.57,228.87,231.87,427471,,0.0,0.0
19-10-2021,233.21,235.13,222.01,223.86,404644,,0.0,0.0
20-10-2021,226.39,227.27,217.16,225.05,292944,,0.0,0.0
21-10-2021,226.39,239.49,223.23,236.01,1568009,,0.0,0.0
22-10-2021,238.56,250.25,238.56,245.69,1731036,,0.0,0.0
25-10-2021,250.25,254.09,236.61,243.67,902405,,0.0,0.0
26-10-2021,245.82,250.22,239.54,243.75,247300,,0.0,0.0
27-10-2021,246.11,267.73,243.92,261.18,2180104,,0.0,0.0
28-10-2021,262.86,275.08,241.05,244.72,1415569,,0.0,0.0
29-10-2021,243.92,256.26,234.55,254.7,941207,,0.0,0.0
01-11-2021,257.76,261.31,252.43,255.88,513584,,1.27,0.0
02-11-2021,257.32,262.94,255.63,261.55,375881,,0.0,0.0
03-11-2021,262.92,266.52,254.38,256.02,402656,,0.0,0.0
04-11-2021,257.47,262.77,256.34,260.08,93450,,0.0,0.0
08-11-2021,260.77,261.16,252.08,253.01,222299,,0.0,0.0
09-11-2021,254.38,255.66,249.49,250.89,316162,,0.0,0.0
10-11-2021,251.01,253.41,247.05,247.78,179155,,0.0,0.0
11-11-2021,250.15,253.5,246.56,247.85,130367,,0.0,0.0
12-11-2021,247.85,249.2,242.2,245.33,208766,,0.0,0.0
15-11-2021,245.09,248.27,240.32,244.8,213570,,0.0,0.0
16-11-2021,245.58,248.59,240.2,241.08,126407,,0.0,0.0
17-11-2021,240.2,243.38,238.04,238.92,110930,,0.0,0.0
18-11-2021,241.88,243.62,231.49,236.94,123802,,0.0,0.0
22-11-2021,238.9,238.9,221.17,232.13,268145,,0.0,0.0
23-11-2021,235.77,235.77,222.78,225.15,468625,,0.0,0.0
24-11-2021,226.45,232.37,224.54,225.28,180597,,0.0,0.0
25-11-2021,225.42,228.48,217.2,218.62,433132,,0.0,0.0
26-11-2021,215.25,220.12,203.9,213.24,463627,,0.0,0.0
29-11-2021,210.36,213.54,193.28,206.69,1096916,,0.0,0.0
30-11-2021,208.4,212.8,204.02,208.84,444645,,0.0,0.0
01-12-2021,210.84,212.07,200.62,201.55,286524,,0.0,0.0
02-12-2021,202.04,208.89,199.35,205.41,358429,,0.0,0.0
03-12-2021,207.93,213.63,204.97,208.64,425945,,0.0,0.0
06-12-2021,209.87,212.07,202.28,203.41,368681,,0.0,0.0
07-12-2021,204.97,209.08,204.49,207.64,106459,,0.0,0.0
08-12-2021,209.62,209.99,206.69,208.2,160518,,0.0,0.0
09-12-2021,210.06,212.19,207.44,208.2,141477,,0.0,0.0
10-12-2021,209.38,209.99,203.51,205.49,192886,,0.0,0.0
13-12-2021,206.66,207.03,203.14,204.31,124779,,0.0,0.0
14-12-2021,203.04,210.36,202.55,208.11,294966,,0.0,0.0
15-12-2021,210.23,211.8,205.46,205.86,134776,,0.0,0.0
16-12-2021,208.4,208.99,201.06,202.99,131862,,0.0,0.0
17-12-2021,201.23,204.66,198.13,200.6,158523,,0.0,0.0
20-12-2021,200.57,201.33,191.57,194.95,325795,,0.0,0.0
21-12-2021,195.7,204.97,195.21,198.69,107820,,0.0,0.0
22-12-2021,199.62,202.33,198.2,198.88,56174,,0.0,0.0
23-12-2021,199.47,204.07,197.64,197.95,95663,,0.0,0.0
24-12-2021,197.66,200.06,195.51,196.39,113385,,0.0,0.0
27-12-2021,195.78,197.05,194.26,195.39,137251,,0.0,0.0
28-12-2021,195.7,199.18,194.9,195.68,168211,,0.0,0.0
29-12-2021,196.49,208.89,196.49,203.82,334586,,0.0,0.0
30-12-2021,205.32,205.32,200.6,201.31,104832,,0.0,0.0
31-12-2021,203.51,204.05,199.01,199.54,144695,,0.0,0.0
03-01-2022,199.72,204.88,199.69,203.43,90873,,0.0,0.0
04-01-2022,206.93,206.93,201.06,201.6,123692,,0.0,0.0
05-01-2022,203.97,205.12,200.62,202.11,192251,,0.0,0.0
06-01-2022,201.55,204.27,199.03,199.84,192312,,0.0,0.0
07-01-2022,200.08,203.43,195.75,196.36,317694,,0.0,0.0
10-01-2022,199.5,199.5,196.12,196.56,167777,,0.0,0.0
11-01-2022,197.98,198.93,193.97,194.41,231980,,0.0,0.0
12-01-2022,196.66,197.64,195.31,196.17,268287,,0.0,0.0
13-01-2022,198.03,217.4,196.66,215.22,2150028,,0.0,0.0
14-01-2022,213.24,221.09,211.48,213.1,855717,,0.0,0.0
17-01-2022,214.1,220.14,212.97,218.23,407469,,0.0,0.0
18-01-2022,218.67,219.72,208.01,210.5,310240,,0.0,0.0
19-01-2022,209.87,210.36,204.31,206.88,219006,,0.0,0.0
20-01-2022,207.91,210.36,203.07,204.51,259007,,0.0,0.0
21-01-2022,204.36,204.36,191.55,194.95,1094246,,0.0,0.0
24-01-2022,192.26,195.19,181.0,182.45,401354,,0.0,0.0
25-01-2022,181.98,193.26,179.07,185.36,276068,,0.0,0.0
27-01-2022,185.41,188.02,182.47,183.89,196021,,0.0,0.0
28-01-2022,186.38,189.74,181.0,182.23,237752,,0.0,0.0
31-01-2022,190.27,190.27,184.38,186.31,113020,,0.0,0.0
01-02-2022,186.95,187.66,183.5,184.16,123505,,0.0,0.0
02-02-2022,185.9,187.36,184.18,185.75,156156,,0.0,0.0
03-02-2022,187.8,187.8,181.37,182.89,134997,,0.0,0.0
04-02-2022,183.45,184.72,180.03,181.03,163007,,0.0,0.0
07-02-2022,179.1,182.94,176.55,177.46,206543,,0.0,0.0
08-02-2022,179.51,180.2,171.71,172.61,192870,,0.0,0.0
09-02-2022,174.6,174.64,165.1,167.7,576008,,0.0,0.0
10-02-2022,170.22,170.22,162.9,164.0,355499,,0.0,0.0
11-02-2022,162.46,163.37,157.52,159.67,372966,,0.0,0.0
14-02-2022,159.48,159.48,149.3,150.65,385366,,0.0,0.0
15-02-2022,153.09,158.26,146.78,155.39,362420,,0.0,0.0
16-02-2022,156.54,162.88,154.49,158.01,335838,,0.0,0.0
17-02-2022,158.11,159.87,155.52,156.3,225399,,0.0,0.0
18-02-2022,155.57,158.99,154.93,158.13,110606,,0.0,0.0
21-02-2022,159.48,159.48,154.1,154.66,124863,,0.0,0.0
22-02-2022,152.09,159.28,149.13,158.21,316038,,0.0,0.0
23-02-2022,158.21,159.23,151.7,152.75,217985,,0.0,0.0
24-02-2022,149.21,151.16,140.62,146.1,961009,,0.0,0.0
25-02-2022,149.25,154.32,149.25,152.68,131316,,0.0,0.0
28-02-2022,153.12,155.05,148.67,151.11,195390,,0.0,0.0
02-03-2022,151.16,156.54,151.16,155.25,172066,,0.0,0.0
03-03-2022,156.71,158.06,151.63,152.56,115540,,0.0,0.0
04-03-2022,151.16,156.54,150.06,151.9,244440,,0.0,0.0
07-03-2022,149.69,155.57,145.9,152.48,200241,,0.0,0.0
08-03-2022,152.87,156.03,149.57,153.29,187859,,0.0,0.0
09-03-2022,153.98,162.1,152.53,159.97,267254,,0.0,0.0
10-03-2022,162.41,166.82,160.29,162.05,292511,,0.0,0.0
11-03-2022,160.95,164.59,159.38,162.51,170547,,0.0,0.0
14-03-2022,164.37,164.37,158.43,159.28,257574,,0.0,0.0
15-03-2022,160.8,160.92,155.96,157.28,158260,,0.0,0.0
16-03-2022,159.23,164.3,158.99,161.78,239548,,0.0,0.0
17-03-2022,161.95,164.25,161.44,162.1,189208,,0.0,0.0
21-03-2022,163.78,166.96,161.85,162.17,225774,,0.0,0.0
22-03-2022,164.59,167.13,162.22,165.62,159096,,0.0,0.0
23-03-2022,166.33,169.75,164.86,166.45,307752,,0.0,0.0
24-03-2022,169.75,169.75,159.97,161.9,194382,,0.0,0.0
25-03-2022,162.51,163.88,160.58,161.07,149929,,0.0,0.0
28-03-2022,161.53,163.1,153.22,155.0,210923,,0.0,0.0
29-03-2022,155.54,158.08,149.3,150.09,262060,,0.0,0.0
30-03-2022,151.16,156.54,151.04,154.81,287362,,0.0,0.0
31-03-2022,155.88,159.97,155.1,156.67,243622,,0.0,0.0
01-04-2022,158.26,164.25,157.84,162.54,149818,,0.0,0.0
04-04-2022,162.93,166.28,159.94,162.34,197908,,0.0,0.0
05-04-2022,163.98,167.01,161.7,165.86,393013,,0.0,0.0
06-04-2022,165.72,171.22,164.86,169.31,293909,,0.0,0.0
07-04-2022,169.31,172.05,163.17,164.81,279815,,0.0,0.0
08-04-2022,164.84,169.7,164.84,166.38,166848,,0.0,0.0
11-04-2022,168.87,169.56,166.35,167.45,124560,,0.0,0.0
12-04-2022,165.37,166.4,159.16,162.07,168735,,0.0,0.0
13-04-2022,163.78,164.84,161.34,164.4,169631,,0.0,0.0
18-04-2022,161.58,165.1,157.33,158.79,193396,,0.0,0.0
19-04-2022,159.43,165.35,159.43,161.04,174166,,0.0,0.0
20-04-2022,159.92,162.05,159.36,161.53,74348,,0.0,0.0
21-04-2022,161.92,171.93,161.92,168.55,1396104,,0.0,0.0
22-04-2022,167.8,173.18,166.43,168.7,759857,,0.0,0.0
25-04-2022,168.04,168.04,158.5,159.23,366062,,0.0,0.0
26-04-2022,161.53,161.53,159.16,160.34,131229,,0.0,0.0
