Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,162.02,163.43,160.53,161.18,478887,,0.0,0.0
09-08-2021,161.18,161.84,158.23,159.68,302842,,0.0,0.0
10-08-2021,160.06,160.06,154.58,156.17,463845,,0.0,0.0
11-08-2021,156.17,158.84,150.51,156.5,595001,,0.0,0.0
12-08-2021,156.5,159.03,154.72,157.81,289640,,0.0,0.0
13-08-2021,159.12,162.49,157.2,160.15,560922,,0.0,0.0
16-08-2021,161.7,161.74,154.91,156.45,337932,,0.0,0.0
17-08-2021,158.94,160.9,153.79,155.71,709951,,0.0,0.0
18-08-2021,152.76,156.31,152.1,154.82,428237,,0.0,0.0
20-08-2021,153.51,156.13,143.68,151.03,318472,,0.0,0.0
23-08-2021,150.51,153.46,145.69,147.56,546886,,0.0,0.0
24-08-2021,146.02,147.84,145.69,147.09,205151,,0.0,0.0
25-08-2021,147.42,151.17,146.77,148.78,265958,,0.0,0.0
26-08-2021,149.95,153.32,148.17,148.73,359235,,0.0,0.0
27-08-2021,150.37,150.7,147.61,148.73,192156,,0.0,0.0
30-08-2021,151.54,152.57,148.73,151.63,839266,,0.0,0.0
31-08-2021,152.62,153.27,149.76,151.54,474441,,0.0,0.0
01-09-2021,150.14,151.63,148.17,148.59,207939,,0.0,0.0
02-09-2021,148.83,160.29,148.83,159.03,1549947,,0.0,0.0
03-09-2021,160.81,162.3,156.31,157.58,759881,,0.0,0.0
06-09-2021,158.37,167.08,158.19,165.63,1623066,,0.0,0.0
07-09-2021,166.66,170.35,163.9,164.97,2072240,,0.0,0.0
08-09-2021,166.14,171.24,163.8,166.14,2323333,,0.0,0.0
09-09-2021,166.14,169.32,164.83,165.58,562602,,0.0,0.0
13-09-2021,165.58,167.41,163.57,165.77,532279,,0.0,0.0
14-09-2021,165.39,168.01,165.25,166.1,724797,,0.0,0.0
15-09-2021,166.05,168.48,165.49,166.42,627628,,0.0,0.0
16-09-2021,167.08,167.97,163.62,165.77,1115004,,0.0,0.0
17-09-2021,165.49,165.72,160.53,160.9,387239,,0.0,0.0
20-09-2021,160.06,160.99,154.68,155.52,284402,,0.0,0.0
21-09-2021,155.38,156.31,152.57,154.4,914295,,0.0,0.0
22-09-2021,155.38,157.77,154.54,155.57,285956,,0.0,0.0
23-09-2021,157.25,158.94,156.83,157.3,199370,,0.0,0.0
24-09-2021,158.37,158.65,153.55,154.96,237191,,0.0,0.0
27-09-2021,155.75,157.81,154.54,156.13,257607,,0.0,0.0
28-09-2021,158.51,158.51,155.66,156.78,168176,,0.0,0.0
29-09-2021,156.78,156.78,155.0,156.03,682578,,0.0,0.0
30-09-2021,156.31,160.81,156.31,157.81,327842,,0.0,0.0
01-10-2021,158.42,158.47,155.57,156.69,126317,,0.0,0.0
04-10-2021,159.03,159.68,156.31,157.06,237972,,0.0,0.0
05-10-2021,157.67,159.31,155.57,156.64,322795,,0.0,0.0
06-10-2021,157.06,157.77,155.47,156.22,141415,,0.0,0.0
07-10-2021,157.06,157.72,155.85,156.08,183198,,0.0,0.0
08-10-2021,156.92,156.97,154.21,154.4,321069,,0.0,0.0
11-10-2021,154.44,156.31,153.27,154.96,235667,,0.0,0.0
12-10-2021,156.31,156.31,151.63,152.8,441792,,0.0,0.0
13-10-2021,152.94,154.91,152.29,152.62,324972,,0.0,0.0
14-10-2021,153.88,153.97,151.4,151.96,465336,,0.0,0.0
18-10-2021,153.13,153.23,152.01,152.62,717240,,0.0,0.0
19-10-2021,153.04,153.04,151.63,152.62,840993,,0.0,0.0
20-10-2021,152.57,152.62,148.87,150.46,334626,,0.0,0.0
21-10-2021,150.51,151.12,143.49,145.04,853266,,0.0,0.0
22-10-2021,145.5,148.36,144.52,145.78,457627,,0.0,0.0
25-10-2021,146.95,146.95,142.27,143.91,326141,,0.0,0.0
26-10-2021,145.36,145.36,143.49,144.15,298404,,0.0,0.0
27-10-2021,145.32,145.32,143.58,144.71,457498,,0.0,0.0
28-10-2021,146.02,146.02,142.7,144.33,350608,,0.0,0.0
29-10-2021,144.15,147.75,141.81,146.53,418004,,0.0,0.0
01-11-2021,147.33,148.31,143.87,145.88,195983,,0.0,0.0
02-11-2021,146.39,149.67,143.3,147.94,764744,,0.0,0.0
03-11-2021,144.15,147.61,144.15,145.5,1769909,,0.0,0.0
04-11-2021,147.84,149.25,146.81,148.03,116945,,0.0,0.0
08-11-2021,149.67,152.15,147.0,151.31,366725,,0.0,0.0
09-11-2021,151.63,153.13,150.28,150.98,288884,,0.0,0.0
10-11-2021,150.98,152.8,148.92,149.58,181108,,0.0,0.0
11-11-2021,150.51,150.51,147.28,147.61,1179997,,0.0,0.0
12-11-2021,148.55,150.23,147.84,148.55,181544,,0.0,0.0
15-11-2021,149.29,149.48,146.58,147.09,251926,,0.0,0.0
16-11-2021,147.24,147.89,144.24,145.64,251684,,0.0,0.0
17-11-2021,145.08,147.0,144.15,145.08,245671,,0.0,0.0
18-11-2021,145.08,145.64,141.53,142.13,289212,,0.0,0.0
22-11-2021,143.4,143.54,139.56,140.07,421046,,0.0,0.0
23-11-2021,140.07,141.38,138.53,140.4,928556,,0.0,0.0
24-11-2021,141.15,143.4,140.07,141.38,379986,,0.0,0.0
25-11-2021,142.09,142.93,140.59,141.76,197016,,0.0,0.0
26-11-2021,142.93,143.3,139.93,141.71,226928,,0.0,0.0
29-11-2021,140.4,143.21,135.3,141.01,450017,,0.0,0.0
30-11-2021,143.02,145.88,140.87,144.66,397995,,0.0,0.0
01-12-2021,145.08,146.07,140.03,143.54,534677,,0.0,0.0
02-12-2021,145.08,145.08,140.87,143.26,251885,,0.0,0.0
03-12-2021,143.21,143.21,140.36,141.29,563678,,0.0,0.0
06-12-2021,140.64,141.29,139.47,139.61,195198,,0.0,0.0
07-12-2021,139.65,141.29,139.0,140.4,138870,,0.0,0.0
08-12-2021,141.34,141.34,139.47,139.84,288472,,0.0,0.0
09-12-2021,140.07,140.68,139.23,139.75,1465203,,0.0,0.0
10-12-2021,140.07,140.96,139.7,139.93,1706555,,0.0,0.0
13-12-2021,141.34,141.99,138.53,138.76,221779,,0.0,0.0
14-12-2021,139.98,146.58,139.09,145.18,1133852,,0.0,0.0
15-12-2021,146.02,146.25,139.79,140.07,708734,,0.0,0.0
