Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,258.52,261.96,253.71,256.52,1324506,,0.0,0.0
09-08-2021,257.81,262.81,252.0,255.0,667370,,0.0,0.0
10-08-2021,256.05,258.33,241.56,247.33,539588,,0.0,0.0
11-08-2021,247.33,255.38,236.37,245.57,753973,,0.0,0.0
12-08-2021,247.76,253.05,245.99,251.71,287732,,0.0,0.0
13-08-2021,253.28,257.1,246.52,251.33,1041355,,0.0,0.0
16-08-2021,251.38,255.38,244.52,246.99,413694,,0.0,0.0
17-08-2021,247.28,253.95,245.9,250.09,606343,,0.0,0.0
18-08-2021,250.04,250.33,238.23,240.09,481633,,0.0,0.0
20-08-2021,237.27,238.13,224.89,226.7,630341,,0.0,0.0
23-08-2021,230.13,230.6,215.36,218.17,426080,,0.0,0.0
24-08-2021,217.26,230.6,216.26,227.46,493555,,0.0,0.0
25-08-2021,228.7,232.8,223.93,225.32,335209,,0.0,0.0
26-08-2021,226.41,230.99,225.55,228.46,353742,,0.0,0.0
27-08-2021,229.6,230.51,224.03,226.08,240120,,0.0,0.0
30-08-2021,228.7,233.08,227.75,230.32,358179,,0.0,0.0
31-08-2021,231.32,235.13,230.75,233.94,325937,,0.0,0.0
01-09-2021,234.42,235.37,230.7,231.99,213187,,0.0,0.0
02-09-2021,231.75,243.52,231.75,240.51,619606,,0.0,0.0
03-09-2021,241.56,249.9,240.56,246.38,735397,,0.0,0.0
06-09-2021,246.38,249.62,237.75,241.18,327795,,0.0,0.0
07-09-2021,242.75,246.8,238.32,240.28,316679,,0.0,0.0
08-09-2021,241.9,247.66,237.61,246.09,844834,,0.0,0.0
09-09-2021,247.76,248.61,242.75,245.09,647329,,0.0,0.0
13-09-2021,244.04,249.66,244.04,245.47,289140,,0.0,0.0
14-09-2021,248.71,255.86,248.61,251.09,1101512,,0.0,0.0
15-09-2021,255.38,261.76,250.9,257.14,1651257,,0.0,0.0
16-09-2021,260.43,265.98,259.41,261.97,561395,,3.5,0.0
17-09-2021,263.23,263.95,251.5,256.42,522234,,0.0,0.0
20-09-2021,256.32,262.36,251.88,257.43,789766,,0.0,0.0
21-09-2021,256.81,260.38,249.85,253.72,306767,,0.0,0.0
22-09-2021,254.87,265.49,252.22,263.32,1006977,,0.0,0.0
23-09-2021,265.49,293.01,264.05,280.07,5551409,,0.0,0.0
24-09-2021,278.91,283.16,273.31,275.68,1194351,,0.0,0.0
27-09-2021,278.04,286.73,275.82,283.45,1325934,,0.0,0.0
28-09-2021,281.95,297.26,281.95,285.91,1950724,,0.0,0.0
29-09-2021,284.8,297.35,282.1,295.42,1529776,,0.0,0.0
30-09-2021,300.25,319.9,295.66,305.22,4103109,,0.0,0.0
01-10-2021,303.63,314.73,296.82,310.43,1482297,,0.0,0.0
04-10-2021,313.77,317.05,307.01,310.15,1314376,,0.0,0.0
05-10-2021,308.94,318.54,305.95,314.59,1063933,,0.0,0.0
06-10-2021,317.63,317.63,303.63,305.99,873863,,0.0,0.0
07-10-2021,307.97,313.67,293.88,300.78,914999,,0.0,0.0
08-10-2021,302.95,310.87,298.56,302.13,854793,,0.0,0.0
11-10-2021,304.11,310.82,300.88,305.03,647338,,0.0,0.0
12-10-2021,305.03,307.88,285.0,296.82,508238,,0.0,0.0
13-10-2021,299.19,320.96,297.88,313.23,1748360,,0.0,0.0
14-10-2021,314.44,326.27,305.08,309.76,1358416,,0.0,0.0
18-10-2021,310.87,312.7,305.08,306.91,583840,,0.0,0.0
19-10-2021,308.79,311.83,289.92,293.15,588670,,0.0,0.0
20-10-2021,295.28,296.19,275.44,280.51,606315,,0.0,0.0
21-10-2021,281.81,287.6,278.72,281.76,278393,,0.0,0.0
22-10-2021,282.39,292.91,271.48,276.74,535577,,0.0,0.0
25-10-2021,279.11,279.35,265.3,268.29,372012,,0.0,0.0
26-10-2021,269.98,284.08,268.39,281.42,379169,,0.0,0.0
27-10-2021,283.79,286.59,269.36,271.19,596437,,0.0,0.0
28-10-2021,273.6,276.11,266.94,269.21,497153,,0.0,0.0
29-10-2021,269.26,276.02,258.98,273.12,670854,,0.0,0.0
01-11-2021,279.98,279.98,272.49,274.67,273450,,0.0,0.0
02-11-2021,276.11,284.75,273.41,274.67,415364,,0.0,0.0
03-11-2021,276.55,278.04,269.36,271.62,217230,,0.0,0.0
04-11-2021,274.96,277.71,272.25,275.63,76096,,0.0,0.0
08-11-2021,277.27,286.73,275.2,284.95,572333,,0.0,0.0
