Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,699.41,748.65,697.38,734.37,786929,,0.0,0.0
03-08-2021,744.64,761.76,733.07,739.34,430805,,0.0,0.0
04-08-2021,737.89,742.14,698.25,700.56,350737,,0.0,0.0
05-08-2021,703.17,706.74,684.84,703.02,128416,,0.0,0.0
06-08-2021,699.31,707.99,692.75,701.19,111535,,0.0,0.0
09-08-2021,706.06,706.06,686.77,687.44,79662,,0.0,0.0
10-08-2021,687.83,692.85,671.63,681.42,134740,,0.0,0.0
11-08-2021,682.67,683.97,648.86,679.92,234762,,0.0,0.0
12-08-2021,683.83,692.32,673.27,690.34,125757,,0.0,0.0
13-08-2021,687.73,696.13,617.32,626.34,1176037,,0.0,0.0
16-08-2021,622.14,626.73,579.94,585.44,979172,,0.0,0.0
17-08-2021,593.21,593.21,550.86,556.12,995807,,0.0,0.0
18-08-2021,583.56,600.92,558.48,563.02,3931338,,0.0,0.0
20-08-2021,555.01,563.31,539.19,544.26,1035026,,0.0,0.0
23-08-2021,552.55,552.55,525.3,541.17,449966,,0.0,0.0
24-08-2021,544.88,564.27,537.46,559.69,407215,,0.0,0.0
25-08-2021,565.23,596.92,554.62,558.63,3478581,,0.0,0.0
26-08-2021,568.61,576.33,560.7,570.97,1343359,,0.0,0.0
27-08-2021,571.99,575.65,558.48,560.85,514558,,0.0,0.0
30-08-2021,561.38,565.23,556.41,559.25,303120,,0.0,0.0
31-08-2021,555.78,560.51,555.78,557.71,362614,,0.0,0.0
01-09-2021,555.59,562.24,549.85,550.77,239111,,0.0,0.0
02-09-2021,553.32,569.48,551.06,567.69,685534,,0.0,0.0
03-09-2021,575.75,586.45,572.08,577.97,887193,,0.0,0.0
06-09-2021,581.63,581.92,570.35,578.35,314562,,0.0,0.0
07-09-2021,578.35,585.49,572.13,579.51,383379,,0.0,0.0
08-09-2021,581.44,584.14,571.99,580.04,266203,,0.0,0.0
09-09-2021,579.41,586.45,575.84,581.34,243607,,0.0,0.0
13-09-2021,581.54,591.28,578.21,583.27,344989,,0.0,0.0
14-09-2021,585.39,589.83,582.64,588.29,244819,,0.0,0.0
15-09-2021,590.02,594.27,585.54,587.32,237556,,0.0,0.0
16-09-2021,587.52,588.58,578.74,582.16,279276,,0.0,0.0
17-09-2021,583.66,587.42,577.39,585.35,322199,,0.0,0.0
20-09-2021,579.7,583.66,574.11,578.98,274826,,0.0,0.0
21-09-2021,578.83,579.7,562.39,572.03,225628,,0.0,0.0
22-09-2021,572.03,575.94,570.78,573.39,160459,,0.0,0.0
23-09-2021,575.75,578.74,567.74,569.43,126543,,0.0,0.0
24-09-2021,570.93,572.9,559.45,560.32,151467,,0.0,0.0
27-09-2021,562.24,564.27,548.84,549.8,187610,,0.0,0.0
28-09-2021,552.65,554.62,545.46,549.99,114282,,0.0,0.0
29-09-2021,548.84,567.94,544.79,558.96,276130,,0.0,0.0
30-09-2021,564.08,564.08,554.62,558.58,79511,,0.0,0.0
01-10-2021,552.74,566.01,552.74,562.53,97041,,0.0,0.0
04-10-2021,567.55,569.09,560.41,565.38,168306,,0.0,0.0
05-10-2021,565.72,565.72,556.55,558.39,103096,,0.0,0.0
06-10-2021,561.18,561.18,550.77,551.63,184747,,0.0,0.0
07-10-2021,553.66,554.38,546.91,547.87,196173,,0.0,0.0
08-10-2021,551.63,552.5,536.78,537.84,262228,,0.0,0.0
11-10-2021,542.09,543.77,535.91,537.74,144951,,0.0,0.0
12-10-2021,541.75,544.93,535.57,538.66,163325,,0.0,0.0
13-10-2021,541.51,541.51,533.4,534.32,163685,,0.0,0.0
14-10-2021,539.19,539.19,533.6,534.8,113005,,0.0,0.0
18-10-2021,540.11,540.11,531.67,533.6,123800,,0.0,0.0
19-10-2021,534.37,536.25,527.62,528.24,118550,,0.0,0.0
20-10-2021,527.18,530.99,503.98,505.58,272927,,0.0,0.0
21-10-2021,507.75,517.87,506.15,508.57,161987,,0.0,0.0
22-10-2021,512.18,516.96,501.86,509.92,101576,,0.0,0.0
25-10-2021,516.04,516.04,498.68,500.51,83306,,0.0,0.0
26-10-2021,503.98,509.05,502.54,506.11,47978,,0.0,0.0
27-10-2021,509.19,519.9,505.72,514.74,88323,,0.0,0.0
28-10-2021,518.89,518.89,501.57,504.66,49712,,0.0,0.0
29-10-2021,504.47,508.95,494.63,502.49,68778,,0.0,0.0
01-11-2021,508.76,508.76,494.29,501.96,63833,,0.0,0.0
