Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
01-07-2022,199.61,207.6,199.6,204.76,4335,,0.0,0.0
04-07-2022,209.58,209.58,163.81,201.71,4865,,0.0,0.0
05-07-2022,238.9,238.9,190.42,195.9,12395,,0.0,0.0
06-07-2022,197.84,216.55,193.56,205.33,12775,,0.0,0.0
07-07-2022,202.09,206.15,198.6,201.66,6105,,0.0,0.0
08-07-2022,209.37,213.38,198.42,200.54,13555,,0.0,0.0
11-07-2022,202.59,204.76,197.61,201.29,11915,,0.0,0.0
12-07-2022,200.76,203.26,196.61,198.31,23025,,0.0,0.0
13-07-2022,198.31,204.59,198.01,200.86,5465,,0.0,0.0
14-07-2022,204.59,209.38,198.98,203.77,8885,,0.0,0.0
15-07-2022,205.23,206.19,199.61,204.05,10685,,0.0,0.0
18-07-2022,209.38,227.55,203.62,223.29,77530,,0.0,0.0
19-07-2022,229.52,265.01,224.64,257.25,282275,,0.0,0.0
20-07-2022,269.04,271.26,236.66,242.79,174940,,0.0,0.0
21-07-2022,235.53,245.52,235.53,242.95,23250,,0.0,0.0
22-07-2022,239.5,241.72,233.27,236.75,22180,,0.0,0.0
25-07-2022,240.17,248.38,233.34,235.67,44205,,0.0,0.0
26-07-2022,233.86,235.49,225.68,228.63,12980,,0.0,0.0
27-07-2022,229.66,233.05,218.57,220.57,54375,,0.0,0.0
28-07-2022,220.94,228.49,219.79,224.4,8555,,0.0,0.0
29-07-2022,225.17,226.64,220.66,223.42,10450,,0.0,0.0
01-08-2022,227.87,227.87,212.02,218.81,19205,,0.0,0.0
02-08-2022,223.56,234.33,212.78,216.95,29055,,0.0,0.0
03-08-2022,217.46,223.76,212.6,221.64,20930,,0.0,0.0
04-08-2022,219.68,229.14,219.32,227.68,26125,,0.0,0.0
05-08-2022,229.68,234.43,225.11,231.56,18690,,0.0,0.0
08-08-2022,236.13,246.24,232.35,242.5,30690,,0.0,0.0
10-08-2022,237.53,246.11,235.73,238.95,21785,,0.0,0.0
11-08-2022,239.73,241.01,233.55,239.47,31465,,0.0,0.0
12-08-2022,249.48,249.5,237.35,241.26,9690,,0.0,0.0
16-08-2022,246.74,246.74,239.52,243.74,6940,,0.0,0.0
17-08-2022,241.79,244.31,239.52,240.87,6610,,0.0,0.0
18-08-2022,242.15,242.3,236.87,240.31,5200,,0.0,0.0
19-08-2022,245.86,249.49,221.92,230.99,22305,,0.0,0.0
22-08-2022,238.83,238.83,228.19,236.43,5750,,0.0,0.0
23-08-2022,227.95,239.31,227.95,236.71,4080,,0.0,0.0
24-08-2022,243.44,254.29,236.71,249.34,56675,,0.0,0.0
25-08-2022,249.34,259.28,243.19,253.57,37535,,0.0,0.0
26-08-2022,258.29,259.93,248.71,250.89,20045,,0.0,0.0
29-08-2022,245.15,258.48,240.74,254.44,16885,,0.0,0.0
30-08-2022,245.51,263.48,245.51,255.96,28035,,0.0,0.0
01-09-2022,255.59,264.47,240.23,244.15,211105,,0.0,0.0
02-09-2022,244.15,250.6,238.53,240.82,27630,,0.0,0.0
05-09-2022,246.91,248.51,240.2,247.03,17185,,0.0,0.0
06-09-2022,249.48,254.49,245.21,251.82,31315,,0.0,0.0
07-09-2022,253.5,253.52,249.41,252.95,12745,,0.0,0.0
08-09-2022,254.29,254.29,247.91,250.65,12695,,0.0,0.0
09-09-2022,252.5,256.29,249.52,254.18,20830,,0.0,0.0
12-09-2022,254.67,262.48,251.5,254.08,28505,,0.0,0.0
13-09-2022,255.46,255.49,248.92,250.84,16920,,0.0,0.0
14-09-2022,249.5,257.09,241.72,251.73,42400,,0.0,0.0
15-09-2022,245.11,254.28,241.03,247.99,24625,,0.0,0.0
16-09-2022,248.01,251.89,240.92,246.04,31230,,0.0,0.0
19-09-2022,245.51,249.5,243.52,245.3,13395,,0.0,0.0
20-09-2022,244.0,253.31,244.0,246.96,10245,,0.0,0.0
21-09-2022,246.96,251.28,240.57,242.44,22240,,0.0,0.0
22-09-2022,249.1,249.1,241.71,245.43,14890,,0.0,0.0
23-09-2022,248.71,248.71,238.53,242.53,20930,,0.0,0.0
26-09-2022,259.47,259.47,234.93,235.93,21935,,0.0,0.0
27-09-2022,235.93,248.31,234.13,246.12,15635,,0.0,0.0
28-09-2022,249.5,251.5,242.2,248.72,26415,,0.0,0.0
29-09-2022,249.3,252.41,243.52,245.27,24200,,0.0,0.0
30-09-2022,254.7,254.7,244.73,249.2,17880,,0.0,0.0
03-10-2022,253.3,253.64,242.63,250.7,36350,,0.0,0.0
04-10-2022,253.29,264.47,248.32,262.44,72070,,0.0,0.0
06-10-2022,270.74,270.74,259.68,261.94,43495,,0.0,0.0
07-10-2022,259.49,269.41,259.49,267.22,9275,,0.0,0.0
10-10-2022,271.26,271.26,262.29,268.05,17720,,0.0,0.0
11-10-2022,269.26,269.26,254.72,259.27,36825,,0.0,0.0
12-10-2022,268.27,268.27,255.47,258.28,11505,,0.0,0.0
13-10-2022,264.27,264.27,253.63,256.88,6720,,0.0,0.0
14-10-2022,258.88,262.47,254.31,255.41,4135,,0.0,0.0
17-10-2022,257.97,259.28,251.72,256.65,8975,,0.0,0.0
18-10-2022,262.83,262.83,252.91,254.06,4355,,0.0,0.0
19-10-2022,254.49,261.48,242.01,250.25,10740,,0.0,0.0
20-10-2022,249.49,255.89,249.49,252.6,3520,,0.0,0.0
21-10-2022,255.04,257.08,242.84,245.76,11965,,0.0,0.0
24-10-2022,246.51,256.49,246.51,252.45,10640,,0.0,0.0
25-10-2022,255.29,255.29,242.43,246.93,7070,,0.0,0.0
