Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-11-2025,750.1,760.0,692.55,713.65,16614143,,0.0,0.0
07-11-2025,714.0,727.0,702.2,706.95,1427316,,0.0,0.0
10-11-2025,704.95,708.95,672.05,675.4,1032335,,0.0,0.0
11-11-2025,673.0,690.5,671.05,686.65,530962,,0.0,0.0
12-11-2025,691.95,691.95,663.4,667.75,535229,,0.0,0.0
13-11-2025,667.0,678.95,656.1,664.85,752964,,0.0,0.0
14-11-2025,654.1,682.4,645.7,667.15,911209,,0.0,0.0
17-11-2025,667.2,690.5,664.2,679.7,448303,,0.0,0.0
18-11-2025,680.0,682.8,667.25,671.8,266069,,0.0,0.0
19-11-2025,670.5,716.9,670.5,707.2,1777363,,0.0,0.0
20-11-2025,714.25,714.25,675.0,678.7,420738,,0.0,0.0
21-11-2025,678.7,679.95,662.55,666.6,295570,,0.0,0.0
24-11-2025,670.0,670.3,645.0,648.75,253811,,0.0,0.0
25-11-2025,651.9,658.0,642.0,655.55,151982,,0.0,0.0
26-11-2025,657.9,667.8,655.65,661.35,140884,,0.0,0.0
27-11-2025,663.95,667.8,656.0,657.7,130544,,0.0,0.0
28-11-2025,663.7,666.5,646.5,648.35,169219,,0.0,0.0
01-12-2025,648.35,653.0,625.8,632.45,231646,,0.0,0.0
02-12-2025,632.6,636.2,618.0,620.15,192738,,0.0,0.0
03-12-2025,615.1,617.55,602.3,610.85,274605,,0.0,0.0
04-12-2025,615.0,625.0,603.05,618.8,324321,,0.0,0.0
05-12-2025,618.7,633.2,616.1,630.85,190117,,0.0,0.0
08-12-2025,625.95,625.95,605.0,609.3,168008,,0.0,0.0
09-12-2025,609.0,618.85,597.2,613.7,211534,,0.0,0.0
10-12-2025,615.0,618.5,612.15,615.0,189146,,0.0,0.0
11-12-2025,615.1,623.0,615.1,622.2,131469,,0.0,0.0
12-12-2025,621.95,626.3,621.0,624.65,46483,,0.0,0.0
15-12-2025,623.7,624.0,608.4,611.2,106811,,0.0,0.0
16-12-2025,611.75,616.0,609.05,614.4,71997,,0.0,0.0
17-12-2025,627.0,627.0,601.0,606.05,114888,,0.0,0.0
18-12-2025,606.05,606.9,591.1,598.6,135330,,0.0,0.0
19-12-2025,597.0,601.25,587.05,596.65,160835,,0.0,0.0
22-12-2025,599.6,611.9,594.05,606.4,173518,,0.0,0.0
23-12-2025,610.0,615.9,598.1,609.6,150516,,0.0,0.0
24-12-2025,609.4,615.5,609.0,612.0,227397,,0.0,0.0
26-12-2025,619.0,619.0,600.0,604.05,208676,,0.0,0.0
29-12-2025,605.0,637.95,604.05,624.1,458213,,0.0,0.0
30-12-2025,624.1,632.65,614.1,628.65,193887,,0.0,0.0
31-12-2025,623.5,636.85,623.5,634.95,248099,,0.0,0.0
01-01-2026,633.3,638.5,630.2,633.5,58929,,0.0,0.0
02-01-2026,635.0,641.75,625.75,635.4,81248,,0.0,0.0
05-01-2026,630.0,632.25,616.4,617.45,55565,,0.0,0.0
06-01-2026,617.45,636.9,613.0,616.45,104669,,0.0,0.0
07-01-2026,617.0,624.05,616.2,620.75,73353,,0.0,0.0
08-01-2026,620.75,620.75,600.0,604.95,110606,,0.0,0.0
09-01-2026,604.85,612.85,597.45,604.8,84629,,0.0,0.0
12-01-2026,603.45,607.0,592.05,605.45,76007,,0.0,0.0
13-01-2026,609.0,613.35,602.0,611.45,54465,,0.0,0.0
14-01-2026,608.35,612.0,604.5,609.35,42771,,0.0,0.0
15-01-2026,609.35,609.35,609.35,609.35,0,,0.0,0.0
