Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-07-2025,628.95,630.0,600.05,603.5,110937,,0.0,0.0
03-07-2025,607.8,608.9,589.0,595.5,60979,,0.0,0.0
04-07-2025,595.8,612.0,590.5,600.45,79157,,0.0,0.0
07-07-2025,598.05,610.05,598.05,605.6,87792,,0.0,0.0
08-07-2025,606.7,609.85,579.6,598.75,64900,,0.0,0.0
09-07-2025,595.75,597.95,585.15,587.3,46651,,0.0,0.0
10-07-2025,593.0,600.0,582.55,595.2,61773,,0.0,0.0
11-07-2025,596.95,600.0,584.5,587.15,53426,,0.0,0.0
14-07-2025,584.6,589.8,569.1,577.4,68250,,0.0,0.0
15-07-2025,581.75,599.4,578.0,588.15,46863,,0.0,0.0
16-07-2025,588.0,591.5,574.9,581.2,47728,,0.0,0.0
17-07-2025,584.15,617.7,577.1,597.35,188403,,0.0,0.0
18-07-2025,603.0,612.2,591.0,602.5,96348,,0.0,0.0
21-07-2025,602.5,625.3,584.85,590.3,194203,,0.0,0.0
22-07-2025,592.0,606.0,590.8,602.0,76354,,0.0,0.0
23-07-2025,606.9,608.2,599.9,607.3,62250,,0.0,0.0
24-07-2025,604.35,631.75,604.1,618.7,263470,,0.0,0.0
25-07-2025,615.7,625.0,602.2,608.0,152172,,0.0,0.0
28-07-2025,611.0,617.35,593.0,596.65,111860,,0.0,0.0
29-07-2025,596.65,618.0,590.0,610.15,81419,,0.0,0.0
30-07-2025,614.85,622.95,603.3,621.25,94033,,0.0,0.0
31-07-2025,606.1,646.0,603.05,618.4,215378,,0.0,0.0
01-08-2025,620.05,642.45,620.05,630.2,149313,,0.0,0.0
04-08-2025,638.95,697.0,630.4,672.3,595974,,0.0,0.0
05-08-2025,684.9,700.0,654.5,660.1,245268,,0.0,0.0
06-08-2025,640.0,667.0,632.55,641.2,131285,,0.0,0.0
07-08-2025,640.6,646.75,621.95,640.2,108170,,0.0,0.0
08-08-2025,632.0,656.9,630.2,634.05,75391,,0.0,0.0
11-08-2025,634.05,640.05,611.65,636.25,130133,,0.0,0.0
12-08-2025,640.0,647.05,575.0,601.35,362905,,0.0,0.0
13-08-2025,617.0,638.4,589.45,628.6,219094,,0.0,0.0
14-08-2025,629.1,634.85,619.45,620.5,55101,,0.0,0.0
18-08-2025,620.5,624.75,601.0,604.45,87421,,0.0,0.0
19-08-2025,605.05,617.9,601.1,607.25,57972,,0.0,0.0
20-08-2025,607.8,610.0,598.0,603.5,77301,,0.0,0.0
21-08-2025,612.55,621.7,596.1,598.8,83739,,0.0,0.0
22-08-2025,595.65,602.2,593.6,595.9,48829,,0.0,0.0
25-08-2025,596.05,604.45,587.15,599.05,83134,,0.0,0.0
26-08-2025,600.45,600.5,584.5,595.85,83757,,0.0,0.0
28-08-2025,602.0,604.05,583.85,585.85,63453,,0.0,0.0
29-08-2025,586.0,593.3,581.1,582.8,44472,,0.0,0.0
01-09-2025,594.95,600.1,586.5,592.4,55142,,0.0,0.0
02-09-2025,592.4,609.6,591.55,602.75,90645,,0.0,0.0
03-09-2025,602.0,621.0,599.05,609.0,188719,,0.0,0.0
04-09-2025,613.4,613.5,595.0,599.85,57960,,0.0,0.0
05-09-2025,604.9,605.0,594.85,600.0,44553,,0.0,0.0
08-09-2025,604.95,605.1,592.85,594.0,44665,,0.0,0.0
09-09-2025,594.05,604.95,590.65,601.6,72465,,0.0,0.0
10-09-2025,604.55,667.55,596.6,637.25,616268,,0.0,0.0
11-09-2025,640.0,744.0,639.6,723.8,3848356,,0.0,0.0
12-09-2025,722.8,755.0,705.25,713.8,599854,,0.0,0.0
15-09-2025,715.8,737.7,703.5,708.5,276541,,0.0,0.0
16-09-2025,709.0,734.0,707.6,715.0,162139,,0.0,0.0
17-09-2025,727.85,735.5,710.7,717.25,142890,,0.0,0.0
18-09-2025,721.3,728.0,708.2,719.9,93513,,0.0,0.0
19-09-2025,727.95,741.2,717.0,723.15,181813,,0.0,0.0
22-09-2025,741.0,805.5,729.35,759.4,867705,,0.0,0.0
23-09-2025,777.6,779.0,738.05,742.4,158349,,0.0,0.0
24-09-2025,740.0,744.9,710.5,714.35,125167,,0.0,0.0
25-09-2025,719.0,722.05,700.0,702.9,86247,,0.0,0.0
26-09-2025,699.0,703.4,667.25,672.6,133212,,0.0,0.0
29-09-2025,680.0,688.2,667.4,678.3,86288,,0.0,0.0
30-09-2025,680.0,680.0,655.05,661.4,52842,,0.0,0.0
01-10-2025,670.0,678.4,664.55,675.15,71764,,0.0,0.0
03-10-2025,680.1,702.7,677.0,689.5,90317,,0.0,0.0
06-10-2025,705.75,705.75,671.05,676.85,150171,,0.0,0.0
07-10-2025,677.0,681.9,659.0,664.45,59237,,0.0,0.0
08-10-2025,664.8,681.0,656.7,672.55,95363,,0.0,0.0
09-10-2025,677.45,682.15,662.8,673.95,80078,,0.0,0.0
10-10-2025,673.95,676.85,635.0,647.9,153889,,0.0,0.0
13-10-2025,647.9,666.0,641.7,651.55,95632,,0.0,0.0
14-10-2025,652.0,656.55,634.95,641.0,56703,,0.0,0.0
15-10-2025,638.8,652.5,634.0,650.7,57646,,0.0,0.0
16-10-2025,651.0,675.0,649.9,670.8,125378,,0.0,0.0
17-10-2025,668.9,669.65,646.55,648.45,55962,,0.0,0.0
20-10-2025,648.0,659.35,641.0,654.75,73428,,0.0,0.0
21-10-2025,668.0,668.0,656.3,663.45,23881,,0.0,0.0
23-10-2025,665.0,688.4,661.05,671.95,134138,,0.0,0.0
24-10-2025,677.95,677.95,655.05,660.2,41216,,0.0,0.0
27-10-2025,653.65,664.95,650.0,651.45,64742,,0.0,0.0
28-10-2025,649.95,660.0,645.0,646.55,52047,,0.0,0.0
29-10-2025,654.6,659.4,644.85,651.8,56766,,0.0,0.0
30-10-2025,652.1,658.6,647.45,650.95,37653,,0.0,0.0
31-10-2025,657.85,705.0,651.6,680.05,473882,,0.0,0.0
03-11-2025,699.0,712.35,690.35,707.25,318631,,0.0,0.0
04-11-2025,710.7,715.0,686.0,689.25,103161,,0.0,0.0
06-11-2025,689.25,689.25,662.2,666.5,152007,,0.0,0.0
07-11-2025,659.0,715.0,656.0,700.2,245255,,0.0,0.0
10-11-2025,689.95,690.95,619.6,645.0,345322,,0.0,0.0
11-11-2025,645.0,657.9,640.05,644.2,101999,,0.0,0.0
12-11-2025,652.95,659.95,634.05,639.55,101841,,0.0,0.0
13-11-2025,642.0,644.45,620.0,621.4,139288,,0.0,0.0
14-11-2025,621.65,630.7,612.05,620.3,109793,,0.0,0.0
17-11-2025,621.95,638.95,614.25,628.8,147128,,0.0,0.0
18-11-2025,636.65,644.0,628.15,637.1,75527,,0.0,0.0
19-11-2025,635.0,637.1,619.95,626.9,80103,,0.0,0.0
20-11-2025,632.0,640.45,624.5,626.7,82024,,0.0,0.0
21-11-2025,626.75,632.7,621.0,623.55,41025,,0.0,0.0
24-11-2025,630.05,630.05,614.55,617.2,47852,,0.0,0.0
25-11-2025,618.95,620.2,606.0,607.9,47563,,0.0,0.0
26-11-2025,612.0,615.0,603.8,609.55,41025,,0.0,0.0
27-11-2025,614.05,619.7,610.0,614.0,47102,,0.0,0.0
28-11-2025,610.05,615.45,604.85,607.7,51441,,0.0,0.0
01-12-2025,610.0,620.2,606.1,610.3,64793,,0.0,0.0
02-12-2025,613.55,613.55,583.55,588.05,137517,,0.0,0.0
03-12-2025,591.7,595.2,580.0,581.8,81783,,0.0,0.0
04-12-2025,581.8,591.5,571.65,589.75,52190,,0.0,0.0
05-12-2025,589.75,596.4,577.0,582.35,42097,,0.0,0.0
08-12-2025,580.0,582.3,555.0,563.4,107837,,0.0,0.0
09-12-2025,568.25,568.25,533.15,563.15,155639,,0.0,0.0
10-12-2025,563.0,570.0,557.8,558.7,62462,,0.0,0.0
11-12-2025,561.5,562.7,547.0,558.4,58597,,0.0,0.0
12-12-2025,553.0,571.85,551.0,556.7,57366,,0.0,0.0
15-12-2025,554.8,574.0,552.0,569.6,83899,,0.0,0.0
16-12-2025,570.55,574.95,556.0,557.65,48018,,0.0,0.0
17-12-2025,557.0,559.3,545.0,547.55,57119,,0.0,0.0
18-12-2025,552.0,552.0,537.25,543.35,54489,,0.0,0.0
19-12-2025,550.0,562.5,545.3,559.25,58464,,0.0,0.0
22-12-2025,560.0,571.9,560.0,564.45,63644,,0.0,0.0
23-12-2025,570.1,570.2,562.85,567.85,43837,,0.0,0.0
24-12-2025,574.0,574.0,561.3,564.85,47661,,0.0,0.0
26-12-2025,564.0,568.75,560.0,560.35,49032,,0.0,0.0
29-12-2025,561.0,564.3,545.15,548.9,56118,,0.0,0.0
30-12-2025,550.1,550.1,541.0,544.4,54638,,0.0,0.0
31-12-2025,550.0,571.6,543.35,565.85,101810,,0.0,0.0
01-01-2026,573.0,648.8,573.0,604.55,7531332,,0.0,0.0
02-01-2026,613.8,629.95,601.35,613.75,763852,,0.0,0.0
05-01-2026,617.75,634.4,615.2,628.05,325641,,0.0,0.0
06-01-2026,625.0,633.0,610.8,612.8,205031,,0.0,0.0
07-01-2026,616.0,616.0,600.0,604.1,110450,,0.0,0.0
08-01-2026,604.1,605.4,582.4,585.65,110631,,0.0,0.0
09-01-2026,582.0,586.85,565.0,567.1,92835,,0.0,0.0
12-01-2026,561.0,567.0,548.0,562.75,122687,,0.0,0.0
13-01-2026,569.8,587.4,564.95,578.7,144002,,0.0,0.0
14-01-2026,584.8,584.8,569.2,575.0,58765,,0.0,0.0
15-01-2026,575.0,575.0,575.0,575.0,0,,0.0,0.0
16-01-2026,575.5,596.7,573.5,584.5,116912,,0.0,0.0
19-01-2026,583.95,593.25,565.7,575.0,88257,,0.0,0.0
20-01-2026,576.0,576.0,551.65,554.25,102580,,0.0,0.0
21-01-2026,546.05,634.9,542.25,595.3,3901923,,0.0,0.0
22-01-2026,603.0,633.0,589.3,628.45,867436,,0.0,0.0
23-01-2026,627.7,632.1,595.95,602.65,313822,,0.0,0.0
27-01-2026,602.7,606.25,579.35,597.1,164697,,0.0,0.0
28-01-2026,605.0,608.5,585.8,590.0,117421,,0.0,0.0
29-01-2026,590.2,594.7,567.25,570.1,208060,,0.0,0.0
30-01-2026,570.0,583.85,562.5,580.85,67818,,0.0,0.0
02-02-2026,574.6,579.0,561.65,574.55,78793,,0.0,0.0
03-02-2026,599.0,609.0,581.0,588.9,79943,,0.0,0.0
04-02-2026,596.0,596.0,580.1,585.3,52538,,0.0,0.0
05-02-2026,576.45,588.9,565.1,577.1,108560,,0.0,0.0
06-02-2026,571.0,590.0,566.65,585.7,65053,,0.0,0.0
09-02-2026,589.9,612.55,577.45,602.0,151740,,0.0,0.0
10-02-2026,611.7,655.0,600.4,624.15,399417,,0.0,0.0
11-02-2026,624.15,628.15,612.35,622.1,74723,,0.0,0.0
12-02-2026,622.1,625.95,609.4,612.35,62147,,0.0,0.0
13-02-2026,615.45,615.45,578.8,583.55,120267,,0.0,0.0
16-02-2026,584.75,584.75,575.0,578.95,62968,,0.0,0.0
17-02-2026,578.0,583.7,565.8,576.25,103900,,0.0,0.0
18-02-2026,575.1,607.0,566.0,598.3,239350,,0.0,0.0
19-02-2026,604.75,643.9,598.15,606.3,393986,,0.0,0.0
20-02-2026,612.2,612.2,587.0,590.8,107048,,0.0,0.0
23-02-2026,590.0,598.15,579.35,582.4,67104,,0.0,0.0
24-02-2026,575.4,579.25,555.0,569.95,274528,,0.0,0.0
25-02-2026,570.3,581.85,568.4,575.15,112268,,0.0,0.0
26-02-2026,579.95,583.0,562.4,577.8,134675,,0.0,0.0
27-02-2026,582.95,582.95,556.7,560.75,622454,,0.0,0.0
02-03-2026,532.65,557.95,530.0,535.3,261005,,0.0,0.0
04-03-2026,525.0,537.85,517.8,525.8,238965,,0.0,0.0
05-03-2026,536.3,540.4,522.0,537.1,127447,,0.0,0.0
06-03-2026,533.1,554.85,532.1,543.45,198117,,0.0,0.0
09-03-2026,535.5,540.0,515.0,534.3,133585,,0.0,0.0
10-03-2026,538.2,558.95,536.2,547.35,163174,,0.0,0.0
11-03-2026,547.35,557.4,540.35,542.0,136859,,0.0,0.0
12-03-2026,536.4,555.9,532.2,541.3,92801,,0.0,0.0
13-03-2026,541.25,542.05,529.3,531.8,125928,,0.0,0.0
16-03-2026,531.8,544.8,524.0,540.65,421309,,0.0,0.0
17-03-2026,541.0,552.0,537.7,547.8,305032,,0.0,0.0
18-03-2026,553.3,564.8,545.0,546.2,139834,,0.0,0.0
19-03-2026,540.0,561.4,535.0,541.65,143060,,0.0,0.0
20-03-2026,542.0,549.8,534.0,540.45,138322,,0.0,0.0
23-03-2026,532.0,537.75,522.0,526.35,258082,,0.0,0.0
24-03-2026,530.0,551.15,528.0,542.3,124578,,0.0,0.0
25-03-2026,554.0,554.9,538.0,541.5,92591,,0.0,0.0
27-03-2026,539.0,548.0,527.4,534.35,295200,,0.0,0.0
30-03-2026,525.0,534.05,515.0,517.35,165433,,0.0,0.0
01-04-2026,545.0,545.0,528.7,541.45,72852,,0.0,0.0
02-04-2026,535.0,541.0,523.85,539.15,61688,,0.0,0.0
06-04-2026,539.15,539.15,519.55,534.05,149712,,0.0,0.0
07-04-2026,538.0,540.0,529.85,537.45,58544,,0.0,0.0
08-04-2026,551.45,565.0,545.15,563.4,167800,,0.0,0.0
09-04-2026,569.9,569.9,553.35,556.85,95666,,0.0,0.0
10-04-2026,564.95,580.7,560.35,570.05,111292,,0.0,0.0
13-04-2026,555.55,568.0,548.25,559.4,104141,,0.0,0.0
15-04-2026,572.4,576.4,566.35,569.7,117832,,0.0,0.0
16-04-2026,576.0,578.0,566.8,574.85,116735,,0.0,0.0
17-04-2026,570.15,595.65,570.15,584.55,144200,,0.0,0.0
20-04-2026,589.7,618.0,571.55,601.0,344942,,0.0,0.0
21-04-2026,608.9,619.0,601.95,603.55,110152,,0.0,0.0
22-04-2026,605.0,618.0,601.0,607.9,105425,,0.0,0.0
23-04-2026,609.95,628.95,607.8,624.75,217866,,0.0,0.0
24-04-2026,621.35,635.9,621.35,627.6,177368,,0.0,0.0
27-04-2026,635.15,660.0,630.2,656.7,249506,,0.0,0.0
28-04-2026,662.0,685.0,647.35,674.9,386507,,0.0,0.0
29-04-2026,657.1,697.0,604.1,611.2,1248966,,0.0,0.0
30-04-2026,620.3,624.35,602.3,607.25,253193,,0.0,0.0
01-05-2026,607.25,607.25,607.25,607.25,0,,0.0,0.0
04-05-2026,618.85,624.1,606.4,621.45,189561,,0.0,0.0
05-05-2026,620.05,628.2,604.0,607.45,145434,,0.0,0.0
06-05-2026,615.9,617.4,607.55,614.15,113025,,0.0,0.0
07-05-2026,619.0,638.0,614.8,634.4,226887,,0.0,0.0
08-05-2026,616.3,635.4,616.3,621.1,131503,,0.0,0.0
11-05-2026,620.0,634.9,609.05,619.15,138274,,0.0,0.0
12-05-2026,614.2,621.45,585.05,591.0,180900,,0.0,0.0
13-05-2026,595.0,608.8,590.8,592.9,77971,,0.0,0.0
14-05-2026,595.4,599.05,582.5,596.85,76164,,0.0,0.0
15-05-2026,600.0,600.0,590.0,593.4,56612,,0.0,0.0
18-05-2026,586.65,593.45,571.25,580.25,104584,,0.0,0.0
19-05-2026,575.6,593.45,573.3,577.4,56592,,0.0,0.0
20-05-2026,574.5,582.25,570.5,578.2,64128,,0.0,0.0
21-05-2026,579.9,588.0,571.2,575.0,47401,,0.0,0.0
22-05-2026,578.0,578.0,564.8,568.3,70513,,0.0,0.0
25-05-2026,570.15,609.75,570.15,598.35,241330,,0.0,0.0
26-05-2026,597.0,606.0,578.3,584.5,384604,,0.0,0.0
27-05-2026,580.15,585.15,575.05,579.2,91248,,0.0,0.0
28-05-2026,579.2,579.2,579.2,579.2,0,,0.0,0.0
29-05-2026,580.0,590.35,575.05,579.55,158968,,0.0,0.0
