Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,28.1,30.25,28.1,28.35,14521773,,0.0,0.0
09-08-2021,27.8,27.85,26.95,26.95,3466293,,0.0,0.0
10-08-2021,25.65,28.25,25.65,25.95,14217510,,0.0,0.0
11-08-2021,26.0,27.2,24.7,26.7,11607640,,0.0,0.0
12-08-2021,27.1,28.0,26.1,27.75,6169968,,0.0,0.0
13-08-2021,28.05,28.1,26.6,26.8,3025880,,0.0,0.0
16-08-2021,26.8,26.8,25.5,26.2,3978366,,0.0,0.0
17-08-2021,26.9,27.3,25.5,26.25,3911750,,0.0,0.0
18-08-2021,26.4,26.45,24.95,24.95,3948477,,0.0,0.0
20-08-2021,24.0,24.4,23.75,23.75,4089116,,0.0,0.0
23-08-2021,24.75,24.85,22.6,22.6,4474876,,0.0,0.0
24-08-2021,22.3,23.7,21.5,23.7,9750640,,0.0,0.0
25-08-2021,23.7,24.85,23.4,24.85,6092451,,0.0,0.0
26-08-2021,25.45,26.05,25.15,26.05,4715340,,0.0,0.0
27-08-2021,27.35,27.35,25.5,26.5,6441244,,0.0,0.0
30-08-2021,25.9,26.55,25.2,25.45,3050165,,0.0,0.0
31-08-2021,25.4,26.3,25.0,25.15,2450956,,0.0,0.0
01-09-2021,25.25,25.6,23.9,23.95,3455694,,0.0,0.0
02-09-2021,23.95,25.1,23.4,25.1,2134408,,0.0,0.0
03-09-2021,25.95,26.1,25.1,25.4,2636989,,0.0,0.0
06-09-2021,25.85,26.1,25.0,25.75,2231476,,0.0,0.0
07-09-2021,25.75,26.1,24.5,25.05,1297407,,0.0,0.0
08-09-2021,25.05,26.3,24.95,26.3,2853581,,0.0,0.0
09-09-2021,26.5,26.7,25.3,26.15,2176137,,0.0,0.0
13-09-2021,26.15,26.5,25.45,26.1,1938285,,0.0,0.0
14-09-2021,26.5,27.4,25.6,27.35,3023639,,0.0,0.0
15-09-2021,28.6,28.7,28.3,28.7,2623923,,0.0,0.0
16-09-2021,30.1,30.1,30.1,30.1,2677317,,0.0,0.0
17-09-2021,30.5,30.5,28.6,29.1,8185301,,0.0,0.0
20-09-2021,27.8,28.8,27.65,27.65,2395173,,0.0,0.0
21-09-2021,27.0,27.8,26.3,27.5,2852830,,0.0,0.0
22-09-2021,27.5,28.6,26.75,28.3,2057434,,0.0,0.0
23-09-2021,28.7,29.1,27.5,27.75,2110644,,0.0,0.0
24-09-2021,28.9,29.0,27.2,27.95,2794997,,0.0,0.0
27-09-2021,28.0,28.0,27.1,27.55,1191848,,0.0,0.0
28-09-2021,27.5,27.8,26.25,26.8,1931683,,0.0,0.0
29-09-2021,26.55,28.1,26.05,28.05,2667950,,0.0,0.0
30-09-2021,28.05,28.7,27.65,28.05,2252207,,0.0,0.0
01-10-2021,27.7,28.3,27.1,28.0,1793038,,0.0,0.0
04-10-2021,29.2,29.4,28.5,29.4,3733100,,0.0,0.0
05-10-2021,30.85,30.85,30.1,30.85,8381270,,0.0,0.0
06-10-2021,30.9,30.9,29.35,29.35,4973887,,0.0,0.0
07-10-2021,29.25,29.45,28.3,28.75,2768193,,0.0,0.0
08-10-2021,29.5,30.15,28.15,30.15,3419080,,0.0,0.0
11-10-2021,30.9,30.9,29.4,29.6,3263638,,0.0,0.0
12-10-2021,30.5,30.5,28.15,29.5,4563040,,0.0,0.0
13-10-2021,29.8,30.95,29.25,30.15,10863578,,0.0,0.0
14-10-2021,30.4,30.45,29.4,29.75,3490491,,0.0,0.0
18-10-2021,30.25,31.2,29.3,31.2,7943285,,0.0,0.0
19-10-2021,31.85,32.75,30.1,30.6,17006110,,0.0,0.0
20-10-2021,29.25,30.3,29.1,29.5,9100733,,0.0,0.0
21-10-2021,29.8,30.5,28.75,29.35,3713536,,0.0,0.0
22-10-2021,29.1,29.75,28.05,28.3,4006934,,0.0,0.0
25-10-2021,28.3,28.8,26.95,27.75,3798927,,0.0,0.0
26-10-2021,27.9,29.1,27.7,29.1,2811148,,0.0,0.0
27-10-2021,30.2,30.5,29.35,29.85,4700356,,0.0,0.0
28-10-2021,29.0,29.9,28.4,28.45,4316736,,0.0,0.0
29-10-2021,27.05,27.05,27.05,27.05,1594228,,0.0,0.0
01-11-2021,26.2,26.95,25.7,25.7,13401800,,0.0,0.0
02-11-2021,25.15,26.95,24.9,26.95,11315049,,0.0,0.0
03-11-2021,27.05,27.5,26.25,26.4,4636793,,0.0,0.0
04-11-2021,26.95,27.25,26.55,27.05,1689405,,0.0,0.0
08-11-2021,27.75,27.75,26.7,26.85,2894418,,0.0,0.0
09-11-2021,26.85,27.2,26.55,26.75,2913467,,0.0,0.0
10-11-2021,26.65,28.05,26.4,28.05,9989132,,0.0,0.0
11-11-2021,28.8,29.45,27.0,29.4,12363454,,0.0,0.0
12-11-2021,29.7,29.85,28.15,28.9,5903747,,0.0,0.0
15-11-2021,29.05,29.5,27.55,27.75,4133948,,0.0,0.0
16-11-2021,27.95,28.75,27.25,27.55,3649545,,0.0,0.0
17-11-2021,27.65,28.4,27.2,27.4,3093623,,0.0,0.0
