Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,40.74,42.63,40.64,42.63,298130,,0.0,0.0
09-08-2021,43.47,44.72,42.63,43.47,521871,,0.0,0.0
10-08-2021,42.83,42.88,41.34,41.34,214146,,0.0,0.0
11-08-2021,39.75,41.14,39.3,40.64,329779,,0.0,0.0
12-08-2021,39.2,42.48,39.2,41.14,113119,,0.0,0.0
13-08-2021,41.34,42.03,40.74,41.34,110199,,0.0,0.0
16-08-2021,41.84,42.63,40.0,40.39,111671,,0.0,0.0
17-08-2021,39.75,41.74,39.75,40.94,896012,,0.0,0.0
18-08-2021,40.74,42.23,40.05,41.69,235033,,0.0,0.0
20-08-2021,41.44,41.74,39.65,39.7,239829,,0.0,0.0
23-08-2021,38.85,39.75,37.96,38.51,375320,,0.0,0.0
24-08-2021,38.11,40.39,38.11,39.95,121278,,0.0,0.0
25-08-2021,40.69,40.74,38.85,39.6,68821,,0.0,0.0
26-08-2021,39.25,39.75,38.75,39.1,34584,,0.0,0.0
27-08-2021,40.15,40.94,38.61,40.54,376788,,0.0,0.0
30-08-2021,40.25,41.09,39.35,40.2,105606,,0.0,0.0
31-08-2021,41.04,41.04,39.15,39.45,77222,,0.0,0.0
01-09-2021,40.1,40.25,38.75,39.45,245953,,0.0,0.0
02-09-2021,39.35,41.14,39.35,40.44,163446,,0.0,0.0
03-09-2021,40.74,41.74,40.25,40.3,81821,,0.0,0.0
06-09-2021,41.09,41.09,39.3,39.85,123476,,0.0,0.0
07-09-2021,40.25,40.25,39.25,39.75,58318,,0.0,0.0
08-09-2021,39.0,40.74,39.0,40.3,95994,,0.0,0.0
09-09-2021,40.74,40.74,39.5,40.34,102906,,0.0,0.0
13-09-2021,42.23,42.23,40.0,40.69,97724,,0.0,0.0
14-09-2021,39.75,40.89,39.75,40.1,90205,,0.0,0.0
15-09-2021,40.1,40.74,39.55,39.85,126337,,0.0,0.0
16-09-2021,40.54,41.09,39.8,40.74,142221,,0.0,0.0
17-09-2021,40.74,41.09,39.9,39.95,94754,,0.0,0.0
20-09-2021,39.65,40.34,38.26,38.66,179644,,0.0,0.0
21-09-2021,38.11,39.55,38.11,38.9,81957,,0.0,0.0
22-09-2021,38.75,39.9,38.66,39.35,92413,,0.0,0.0
23-09-2021,38.8,41.19,38.8,41.04,344677,,0.0,0.0
24-09-2021,41.29,41.64,39.55,39.85,67049,,0.0,0.0
27-09-2021,39.55,40.49,38.71,39.0,176317,,0.0,0.0
28-09-2021,39.45,39.7,38.85,39.0,93395,,0.0,0.0
29-09-2021,38.75,39.35,38.51,38.71,130474,,0.0,0.0
30-09-2021,38.56,39.6,38.51,38.61,130076,,0.0,0.0
01-10-2021,38.26,39.2,38.26,38.8,62475,,0.0,0.0
04-10-2021,39.5,39.55,38.56,39.3,206848,,0.0,0.0
05-10-2021,38.85,41.04,38.85,40.74,218957,,0.0,0.0
06-10-2021,39.9,41.19,39.9,40.25,274786,,0.0,0.0
07-10-2021,41.04,41.24,40.25,41.04,216113,,0.0,0.0
08-10-2021,41.64,42.23,40.84,41.98,341944,,0.0,0.0
11-10-2021,42.58,44.02,41.84,43.62,594013,,0.0,0.0
12-10-2021,43.43,45.76,43.43,45.76,474885,,0.0,0.0
13-10-2021,48.05,48.05,48.05,48.05,442278,,0.0,0.0
14-10-2021,50.43,50.43,45.66,45.81,1606531,,0.0,0.0
18-10-2021,47.15,48.1,44.97,48.1,1050044,,0.0,0.0
19-10-2021,50.48,50.48,45.71,46.51,1174240,,0.0,0.0
20-10-2021,47.6,48.79,46.75,48.79,970019,,0.0,0.0
21-10-2021,50.48,51.23,49.74,51.23,520901,,0.0,0.0
22-10-2021,53.76,53.76,53.76,53.76,318876,,0.0,0.0
25-10-2021,56.44,56.44,56.44,56.44,258505,,0.0,0.0
26-10-2021,59.23,59.23,59.23,59.23,336636,,0.0,0.0
27-10-2021,62.16,62.16,62.16,62.16,582392,,0.0,0.0
28-10-2021,65.24,65.24,59.08,65.24,5560931,,0.0,0.0
29-10-2021,66.08,68.47,62.06,68.47,2560826,,0.0,0.0
01-11-2021,71.85,71.85,71.85,71.85,351678,,0.0,0.0
02-11-2021,75.42,75.42,71.05,75.42,3095193,,0.0,0.0
03-11-2021,77.21,79.15,74.53,79.15,1405616,,0.0,0.0
04-11-2021,82.78,83.07,80.84,82.48,611890,,0.0,0.0
08-11-2021,82.38,85.41,78.35,78.35,111415,,0.0,0.0
09-11-2021,74.48,82.23,74.48,82.08,844157,,0.0,0.0
10-11-2021,80.24,85.11,78.11,80.09,570762,,0.0,0.0
11-11-2021,81.29,81.29,76.12,77.01,340654,,0.0,0.0
12-11-2021,77.36,80.49,73.19,79.55,834720,,0.0,0.0
15-11-2021,83.47,83.47,76.42,77.81,515952,,0.0,0.0
16-11-2021,77.51,78.4,74.83,75.47,386571,,0.0,0.0
17-11-2021,75.97,79.0,74.63,77.41,264953,,0.0,0.0
18-11-2021,78.4,78.6,73.58,76.22,319475,,0.0,0.0
22-11-2021,78.21,79.99,74.03,78.7,433449,,0.0,0.0
23-11-2021,78.8,82.63,75.87,82.18,669464,,0.0,0.0
24-11-2021,82.48,86.25,81.98,86.25,337411,,0.0,0.0
25-11-2021,90.13,90.53,88.44,90.53,634955,,0.0,0.0
26-11-2021,93.51,94.25,86.01,86.35,681470,,0.0,0.0
29-11-2021,86.3,86.3,82.08,82.08,411649,,0.0,0.0
30-11-2021,79.99,83.32,78.11,80.09,149609,,0.0,0.0
01-12-2021,78.55,82.88,76.62,81.19,194520,,0.0,0.0
02-12-2021,80.84,83.42,79.1,80.39,114935,,0.0,0.0
03-12-2021,81.98,81.98,79.5,80.49,136022,,0.0,0.0
06-12-2021,80.49,83.47,78.75,82.73,277481,,0.0,0.0
07-12-2021,83.67,86.85,83.47,86.85,140728,,0.0,0.0
08-12-2021,91.17,91.17,90.43,91.17,181144,,0.0,0.0
09-12-2021,94.4,94.4,87.45,88.79,371789,,0.0,0.0
10-12-2021,88.44,89.43,85.46,88.64,172145,,0.0,0.0
13-12-2021,91.32,92.91,87.45,88.04,190873,,0.0,0.0
14-12-2021,86.06,89.83,83.92,86.15,191633,,0.0,0.0
15-12-2021,86.45,88.44,86.45,87.55,111556,,0.0,0.0
16-12-2021,88.44,91.92,84.52,91.92,329718,,0.0,0.0
17-12-2021,93.31,94.4,88.29,90.78,272645,,0.0,0.0
20-12-2021,90.43,90.43,86.25,86.25,244810,,0.0,0.0
21-12-2021,85.56,90.53,85.56,90.03,281735,,0.0,0.0
22-12-2021,93.11,93.11,89.43,90.48,112911,,0.0,0.0
23-12-2021,91.72,92.42,90.28,90.73,104689,,0.0,0.0
24-12-2021,92.22,92.86,89.48,90.28,85134,,0.0,0.0
27-12-2021,89.58,89.58,87.1,87.79,57526,,0.0,0.0
28-12-2021,87.45,89.43,85.81,88.69,189315,,0.0,0.0
29-12-2021,90.18,90.92,85.46,89.29,107226,,0.0,0.0
30-12-2021,89.29,89.38,86.75,88.39,93250,,0.0,0.0
31-12-2021,88.94,92.76,86.9,92.76,361854,,0.0,0.0
03-01-2022,93.41,97.38,91.42,97.38,247288,,0.0,0.0
04-01-2022,102.25,102.25,97.38,99.07,501157,,0.0,0.0
05-01-2022,99.32,101.31,94.5,99.17,289085,,0.0,0.0
06-01-2022,97.43,100.86,96.49,98.13,126262,,0.0,0.0
07-01-2022,97.68,99.02,93.26,93.66,318851,,0.0,0.0
10-01-2022,96.09,96.09,90.63,91.22,195480,,0.0,0.0
11-01-2022,91.82,95.15,89.43,92.42,220908,,0.0,0.0
12-01-2022,94.2,94.2,87.84,91.07,188943,,0.0,0.0
13-01-2022,89.43,91.42,88.19,90.38,120794,,0.0,0.0
14-01-2022,89.43,90.92,88.44,90.08,146481,,0.0,0.0
17-01-2022,90.03,90.08,87.99,89.43,70126,,0.0,0.0
18-01-2022,88.04,91.27,87.45,88.04,134446,,0.0,0.0
19-01-2022,88.04,89.83,86.45,89.14,95260,,0.0,0.0
20-01-2022,88.44,90.43,87.45,88.39,72336,,0.0,0.0
21-01-2022,86.25,89.38,84.12,84.86,148682,,0.0,0.0
24-01-2022,85.86,85.86,80.64,80.64,191423,,0.0,0.0
25-01-2022,76.62,81.48,76.62,80.79,289950,,0.0,0.0
