Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,176.8,181.31,173.42,175.44,627066,,0.0,0.0
03-08-2021,176.33,177.03,170.97,173.6,667384,,0.0,0.0
04-08-2021,173.75,175.39,165.9,169.33,761616,,0.0,0.0
05-08-2021,169.1,169.94,164.4,167.97,590860,,0.0,0.0
06-08-2021,169.66,173.51,169.28,170.18,360366,,0.0,0.0
09-08-2021,170.36,170.88,163.51,164.4,497884,,0.0,0.0
10-08-2021,164.3,166.56,153.13,155.24,671099,,0.0,0.0
11-08-2021,159.7,164.4,157.4,162.43,873269,,0.0,0.0
12-08-2021,163.93,167.22,161.06,163.36,686053,,0.0,0.0
13-08-2021,164.21,167.22,162.52,163.04,361447,,0.0,0.0
16-08-2021,166.51,169.1,164.49,167.08,518320,,0.0,0.0
17-08-2021,170.5,174.26,168.25,169.71,994763,,0.0,0.0
18-08-2021,169.99,172.85,164.49,168.39,665467,,0.0,0.0
20-08-2021,167.5,168.95,162.61,163.6,484150,,0.0,0.0
23-08-2021,164.4,166.04,154.3,155.61,350325,,0.0,0.0
24-08-2021,155.94,163.22,155.94,160.31,521323,,0.0,0.0
25-08-2021,161.25,166.14,161.25,163.36,606949,,0.0,0.0
26-08-2021,164.16,167.17,160.88,161.77,449343,,0.0,0.0
27-08-2021,161.77,161.91,157.16,158.48,238667,,0.0,0.0
30-08-2021,160.64,162.19,159.04,160.5,269040,,0.0,0.0
31-08-2021,163.46,165.76,162.33,162.75,251623,,0.0,0.0
01-09-2021,163.55,166.09,163.08,163.55,260076,,0.0,0.0
02-09-2021,163.55,164.4,157.82,160.17,404213,,0.0,0.0
03-09-2021,160.92,164.87,160.08,163.6,382286,,0.0,0.0
06-09-2021,164.49,165.81,158.76,159.47,374594,,0.0,0.0
07-09-2021,159.51,161.49,155.52,158.06,292124,,0.0,0.0
08-09-2021,158.15,162.61,158.1,160.53,210627,,1.75,0.0
09-09-2021,160.05,163.61,159.72,160.81,232157,,0.0,0.0
13-09-2021,160.86,162.76,157.58,161.81,297442,,0.0,0.0
14-09-2021,163.14,168.64,161.76,166.7,528892,,0.0,0.0
15-09-2021,168.97,174.29,168.4,169.12,640540,,0.0,0.0
16-09-2021,170.83,173.15,168.59,169.26,440559,,0.0,0.0
17-09-2021,169.54,170.64,162.9,169.21,485450,,0.0,0.0
20-09-2021,165.65,169.16,160.1,161.24,406679,,0.0,0.0
