Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,21.87,22.17,21.82,22.07,4578320,,0.0,0.0
09-08-2021,22.14,22.71,21.92,22.09,7289866,,0.0,0.0
10-08-2021,22.12,22.32,21.17,21.47,5422622,,0.0,0.0
11-08-2021,21.62,21.77,20.38,20.87,13422302,,0.0,0.0
12-08-2021,20.97,21.32,20.92,21.15,3160716,,0.0,0.0
13-08-2021,21.27,21.62,21.22,21.45,3677222,,0.0,0.0
16-08-2021,21.62,21.62,20.7,20.8,3005316,,0.0,0.0
17-08-2021,20.8,21.07,20.38,20.4,4926984,,0.0,0.0
18-08-2021,20.48,20.55,20.03,20.1,3075962,,0.0,0.0
20-08-2021,19.88,21.45,19.88,21.1,12625946,,0.0,0.0
23-08-2021,21.25,21.62,20.53,20.9,6481788,,0.0,0.0
24-08-2021,20.92,21.15,20.7,20.78,2531862,,0.0,0.0
25-08-2021,20.87,21.0,20.68,20.73,2133370,,0.0,0.0
26-08-2021,20.75,20.85,20.28,20.5,3084314,,0.0,0.0
27-08-2021,20.65,20.82,19.63,19.96,7649592,,0.0,0.0
30-08-2021,20.13,20.2,19.76,19.83,5303844,,0.0,0.0
31-08-2021,19.83,23.78,19.83,23.53,63364628,,0.0,0.0
01-09-2021,23.66,24.11,22.22,23.01,44820246,,0.0,0.0
02-09-2021,22.86,23.26,22.74,22.86,8847306,,0.0,0.0
03-09-2021,22.96,23.61,22.44,22.61,17315064,,0.0,0.0
06-09-2021,22.59,23.21,22.42,22.79,9358248,,0.0,0.0
07-09-2021,22.94,22.96,22.02,22.19,6076674,,0.0,0.0
08-09-2021,22.19,22.22,21.67,21.77,4596150,,0.0,0.0
09-09-2021,21.84,22.76,21.37,22.27,5802162,,0.0,0.0
13-09-2021,22.32,23.36,21.92,22.89,13490236,,0.0,0.0
14-09-2021,22.99,23.11,22.29,22.46,5934046,,0.0,0.0
15-09-2021,22.56,22.76,22.34,22.46,3888484,,0.02,0.0
16-09-2021,22.56,23.01,21.89,22.26,6117776,,0.0,0.0
17-09-2021,22.36,22.44,20.9,20.97,13772356,,0.0,0.0
20-09-2021,20.87,21.54,20.8,21.07,5439016,,0.0,0.0
21-09-2021,21.07,21.27,20.37,20.45,7175444,,0.0,0.0
22-09-2021,20.65,21.17,20.6,20.67,5152974,,0.0,0.0
23-09-2021,20.87,21.79,20.82,21.29,10715702,,0.0,0.0
24-09-2021,21.39,21.64,20.9,21.39,8606140,,0.0,0.0
27-09-2021,21.42,21.89,21.07,21.72,8484522,,0.0,0.0
28-09-2021,21.74,21.74,21.07,21.19,6537870,,0.0,0.0
29-09-2021,21.04,21.32,20.65,20.85,14631888,,0.0,0.0
30-09-2021,20.87,20.97,20.52,20.57,10614720,,0.0,0.0
01-10-2021,20.55,21.04,20.52,20.77,4708860,,0.0,0.0
04-10-2021,20.9,22.01,20.85,21.64,12621746,,0.0,0.0
05-10-2021,21.64,22.14,21.37,21.64,7225960,,0.0,0.0
06-10-2021,21.64,23.76,21.64,23.08,57267604,,0.0,0.0
07-10-2021,23.38,24.08,22.98,23.63,19531450,,0.0,0.0
08-10-2021,23.63,23.76,22.69,22.86,10235908,,0.0,0.0
11-10-2021,23.13,23.51,22.93,23.06,7644984,,0.0,0.0
12-10-2021,23.06,25.97,22.54,25.3,58374260,,0.0,0.0
13-10-2021,25.77,25.85,24.45,25.27,47206370,,0.0,0.0
14-10-2021,25.05,26.37,24.73,25.72,33768896,,0.0,0.0
18-10-2021,25.55,26.37,25.47,25.6,20734322,,0.0,0.0
19-10-2021,25.75,25.82,23.38,23.73,16145376,,0.0,0.0
20-10-2021,23.73,23.73,22.89,23.08,8002188,,0.0,0.0
21-10-2021,23.38,23.68,22.26,22.54,11219302,,0.0,0.0
22-10-2021,22.79,23.11,22.14,22.49,11145732,,0.0,0.0
25-10-2021,22.76,23.38,22.11,22.24,11182184,,0.0,0.0
26-10-2021,22.36,22.89,22.24,22.34,4802996,,0.0,0.0
27-10-2021,22.54,23.33,22.41,22.66,10066476,,0.0,0.0
28-10-2021,22.89,23.66,22.39,22.61,22807692,,0.0,0.0
29-10-2021,22.76,23.63,22.29,22.54,21941566,,0.0,0.0
01-11-2021,22.71,22.96,22.19,22.34,5839310,,0.0,0.0
02-11-2021,22.49,22.69,22.31,22.49,5002352,,0.0,0.0
03-11-2021,22.74,23.31,22.34,22.51,11125596,,0.0,0.0
04-11-2021,22.64,22.69,22.54,22.66,1529704,,0.0,0.0
08-11-2021,22.86,22.96,22.51,22.69,5178678,,0.0,0.0
09-11-2021,22.69,22.84,22.39,22.49,5011036,,0.0,0.0
10-11-2021,22.41,22.61,22.24,22.29,4596486,,0.0,0.0
11-11-2021,22.31,22.46,21.69,21.79,5175784,,0.0,0.0
12-11-2021,21.89,22.24,21.69,22.09,3781194,,0.0,0.0
15-11-2021,22.24,22.24,21.77,21.96,2721338,,0.0,0.0
16-11-2021,22.01,22.19,21.82,22.01,3684688,,0.0,0.0
17-11-2021,22.01,22.26,21.92,21.96,2678010,,0.0,0.0
18-11-2021,21.89,22.06,21.09,21.27,6413416,,0.0,0.0
22-11-2021,21.14,21.27,20.4,20.45,4918412,,0.0,0.0
23-11-2021,20.15,21.02,20.07,20.82,3836010,,0.0,0.0
24-11-2021,21.09,21.27,20.7,20.8,5514182,,0.0,0.0
25-11-2021,20.92,22.39,20.7,21.92,9206394,,0.0,0.0
26-11-2021,21.59,21.82,20.57,20.67,6795122,,0.0,0.0
29-11-2021,20.67,20.67,19.75,19.85,6064660,,0.0,0.0
30-11-2021,19.9,20.4,19.18,19.63,6659256,,0.0,0.0
01-12-2021,20.0,20.27,19.78,20.07,2884412,,0.0,0.0
02-12-2021,20.15,20.57,19.9,20.32,3512346,,0.0,0.0
03-12-2021,20.27,20.57,19.83,19.95,4714568,,0.0,0.0
06-12-2021,19.9,20.25,19.78,19.88,3486638,,0.0,0.0
07-12-2021,20.07,20.25,19.83,19.97,3559790,,0.0,0.0
08-12-2021,20.17,20.6,20.0,20.45,3813644,,0.0,0.0
09-12-2021,20.6,21.39,20.3,20.57,6793636,,0.0,0.0
10-12-2021,20.67,21.39,20.47,21.22,8359440,,0.0,0.0
13-12-2021,21.37,21.47,20.72,20.8,3803106,,0.0,0.0
14-12-2021,20.7,21.47,20.57,20.94,4830356,,0.0,0.0
15-12-2021,20.99,21.12,19.83,19.93,11870630,,0.0,0.0
16-12-2021,20.15,20.99,19.85,19.9,15455122,,0.0,0.0
17-12-2021,20.02,20.1,19.73,19.83,5293800,,0.0,0.0
20-12-2021,19.68,19.68,18.93,19.2,4725730,,0.0,0.0
21-12-2021,19.43,20.07,19.33,19.9,8494722,,0.0,0.0
22-12-2021,20.15,20.6,19.75,19.97,10514296,,0.0,0.0
23-12-2021,20.12,20.3,19.8,19.88,4303360,,0.0,0.0
24-12-2021,19.95,20.02,19.58,19.65,3115078,,0.0,0.0
27-12-2021,19.63,19.75,19.4,19.53,2880594,,0.0,0.0
28-12-2021,19.78,20.3,19.58,19.73,3295528,,0.0,0.0
29-12-2021,19.83,20.6,19.65,20.07,6021842,,0.0,0.0
30-12-2021,20.15,20.2,19.85,19.95,2460492,,0.0,0.0
31-12-2021,20.05,20.25,19.9,20.0,3941206,,0.0,0.0
03-01-2022,20.02,20.2,19.93,19.95,5498812,,0.0,0.0
04-01-2022,20.2,20.2,19.78,19.83,4264484,,0.0,0.0
05-01-2022,19.8,20.32,19.75,19.95,5350120,,0.0,0.0
06-01-2022,19.9,20.05,19.7,19.8,4147602,,0.0,0.0
07-01-2022,20.0,20.02,19.75,19.8,3825074,,0.0,0.0
10-01-2022,19.95,20.85,19.85,20.67,18152356,,0.0,0.0
11-01-2022,20.9,21.87,20.67,20.99,19605840,,0.0,0.0
12-01-2022,21.24,21.34,20.07,20.37,9580812,,0.0,0.0
13-01-2022,20.5,20.8,20.15,20.35,5165282,,0.0,0.0
14-01-2022,20.37,20.5,20.2,20.25,2927140,,0.0,0.0
17-01-2022,20.35,20.52,20.27,20.32,3999424,,0.0,0.0
18-01-2022,21.74,23.33,21.54,22.04,73446052,,0.0,0.0
19-01-2022,22.41,22.69,21.84,22.26,14678604,,0.0,0.0
20-01-2022,22.39,22.59,21.67,21.92,15198364,,0.0,0.0
21-01-2022,21.74,21.77,20.8,21.14,6591776,,0.0,0.0
24-01-2022,21.12,21.14,20.02,20.35,8149308,,0.0,0.0
25-01-2022,19.9,21.82,19.73,21.64,13149668,,0.0,0.0
27-01-2022,21.64,23.28,21.17,22.79,21741606,,0.0,0.0
28-01-2022,23.13,23.58,22.41,23.23,18103046,,0.0,0.0
31-01-2022,23.88,23.88,21.49,21.92,26706436,,0.0,0.0
01-02-2022,22.86,22.86,20.9,21.22,18486898,,0.0,0.0
02-02-2022,21.62,21.62,21.04,21.14,6922944,,0.0,0.0
03-02-2022,21.14,21.64,21.09,21.34,6622094,,0.0,0.0
04-02-2022,21.47,21.62,21.14,21.37,3444080,,0.0,0.0
07-02-2022,21.91,22.26,21.69,21.74,6623752,,0.02,0.0
08-02-2022,21.69,21.86,20.82,21.51,3868294,,0.0,0.0
09-02-2022,21.41,21.61,20.72,20.79,5422806,,0.0,0.0
10-02-2022,20.79,22.56,20.62,22.06,12160404,,0.0,0.0
11-02-2022,21.61,21.76,21.02,21.24,8739588,,0.0,0.0
14-02-2022,20.49,20.92,20.19,20.39,4998322,,0.0,0.0
15-02-2022,20.47,21.07,20.07,20.87,5669296,,0.0,0.0
16-02-2022,20.89,21.29,20.62,20.79,3578080,,0.0,0.0
17-02-2022,20.99,21.02,20.42,20.54,2883154,,0.0,0.0
18-02-2022,20.17,20.57,20.1,20.24,2637894,,0.0,0.0
21-02-2022,20.27,20.42,19.82,19.9,3612756,,0.0,0.0
22-02-2022,19.45,19.6,19.17,19.3,3900256,,0.0,0.0
23-02-2022,19.5,20.0,19.5,19.77,2925336,,0.0,0.0
24-02-2022,18.85,19.42,18.18,18.25,6122816,,0.0,0.0
25-02-2022,18.65,19.17,18.6,19.02,4745620,,0.0,0.0
28-02-2022,19.02,19.57,18.73,19.45,5232508,,0.0,0.0
02-03-2022,19.42,19.72,19.12,19.22,3318228,,0.0,0.0
03-03-2022,19.52,19.72,19.22,19.45,2800850,,0.0,0.0
04-03-2022,19.57,19.77,19.45,19.6,3666614,,0.0,0.0
07-03-2022,19.6,19.67,19.3,19.57,8007366,,0.0,0.0
08-03-2022,19.57,19.87,19.45,19.65,8624216,,0.0,0.0
09-03-2022,19.85,21.02,19.4,20.79,16963246,,0.0,0.0
10-03-2022,20.87,22.29,20.72,21.81,38437368,,0.0,0.0
11-03-2022,21.81,23.01,21.66,22.29,66752212,,0.0,0.0
14-03-2022,21.41,21.76,21.12,21.41,14116279,,0.0,2.0
15-03-2022,21.61,21.66,20.72,20.97,13177919,,0.0,0.0
16-03-2022,21.07,21.32,20.72,20.92,17265634,,0.0,0.0
17-03-2022,21.22,21.22,20.82,20.92,4942520,,0.0,0.0
21-03-2022,21.17,21.17,20.57,20.67,5702802,,0.0,0.0
22-03-2022,20.67,20.72,19.92,20.07,6726372,,0.0,0.0
23-03-2022,20.07,22.66,19.67,21.66,10730867,,0.0,0.0
24-03-2022,20.87,21.02,20.22,20.67,15054879,,0.0,0.0
25-03-2022,20.77,21.32,20.17,20.27,9272459,,0.0,0.0
28-03-2022,20.27,20.37,19.47,19.52,6295132,,0.0,0.0
29-03-2022,19.47,19.92,18.88,19.07,6825346,,0.0,0.0
30-03-2022,19.27,20.52,19.17,19.87,4490750,,0.0,0.0
31-03-2022,20.07,20.07,19.17,19.27,2771761,,0.0,0.0
01-04-2022,19.22,20.12,19.17,19.97,8286804,,0.0,0.0
04-04-2022,20.22,20.32,20.02,20.17,5626701,,0.0,0.0
05-04-2022,20.27,20.42,20.12,20.17,6668168,,0.0,0.0
06-04-2022,20.17,20.32,19.97,20.12,2359442,,0.0,0.0
07-04-2022,20.12,20.72,20.02,20.07,3871931,,0.0,0.0
08-04-2022,20.12,20.37,20.02,20.07,3037074,,0.0,0.0
11-04-2022,20.17,20.17,19.82,19.92,4359575,,0.0,0.0
12-04-2022,20.02,20.12,19.52,19.97,3964917,,0.0,0.0
13-04-2022,20.12,20.12,19.67,19.77,2666056,,0.0,0.0
18-04-2022,19.72,19.72,19.32,19.37,1442692,,0.0,0.0
19-04-2022,19.52,19.67,19.12,19.22,3371675,,0.0,0.0
20-04-2022,19.27,19.47,18.83,18.92,2551713,,0.0,0.0
