Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
16-10-2025,276.22,313.42,276.22,296.13,52008010,,0.0,0.0
17-10-2025,295.78,306.87,294.99,300.07,6953620,,0.0,0.0
20-10-2025,305.24,305.24,295.68,299.53,2344534,,0.0,0.0
21-10-2025,302.58,306.33,300.76,303.62,1623567,,0.0,0.0
23-10-2025,305.34,330.13,301.2,318.2,9586748,,0.0,0.0
24-10-2025,318.2,334.12,318.01,331.81,6160241,,0.0,0.0
27-10-2025,335.16,348.32,330.33,345.56,6054815,,0.0,0.0
28-10-2025,314.41,342.99,306.62,333.93,17573666,,0.0,0.0
29-10-2025,323.28,330.18,316.48,318.01,6183664,,0.0,0.0
30-10-2025,318.01,326.24,317.22,319.09,1862037,,0.0,0.0
31-10-2025,319.04,326.24,310.76,312.29,2069955,,0.0,0.0
03-11-2025,312.44,317.27,304.85,305.54,1277758,,0.0,0.0
04-11-2025,305.34,316.38,303.72,312.64,1530232,,0.0,0.0
06-11-2025,313.42,319.19,302.68,306.43,1129376,,0.0,0.0
07-11-2025,303.17,315.4,303.12,314.16,1082131,,0.0,0.0
10-11-2025,314.41,315.15,305.54,308.6,739267,,0.0,0.0
11-11-2025,308.6,312.04,305.93,310.22,649099,,0.0,0.0
12-11-2025,311.35,317.56,307.46,308.5,941764,,0.0,0.0
13-11-2025,307.71,310.47,298.79,299.72,1290145,,0.0,0.0
14-11-2025,299.63,303.57,286.81,287.9,2157324,,0.0,0.0
17-11-2025,288.78,294.99,287.75,293.56,1323036,,0.0,0.0
18-11-2025,292.48,294.3,287.8,288.69,705794,,0.0,0.0
19-11-2025,288.78,291.4,279.67,280.6,827601,,0.0,0.0
20-11-2025,281.49,309.48,281.49,305.84,2971263,,0.0,0.0
21-11-2025,302.58,310.07,297.61,300.76,1349545,,0.0,0.0
24-11-2025,300.12,300.12,290.85,294.9,522786,,0.0,0.0
25-11-2025,293.66,299.43,292.09,297.11,388465,,0.0,0.0
26-11-2025,297.16,299.82,294.7,296.27,611126,,0.0,0.0
27-11-2025,295.19,303.03,295.14,298.25,559786,,0.0,0.0
28-11-2025,296.77,300.37,295.44,299.08,299118,,0.0,0.0
01-12-2025,299.08,303.27,296.77,298.1,454773,,0.0,0.0
02-12-2025,298.1,301.84,288.78,297.46,798854,,0.0,0.0
03-12-2025,295.68,296.77,288.29,288.93,298226,,0.0,0.0
04-12-2025,290.8,291.69,276.07,277.89,950909,,0.0,0.0
05-12-2025,279.91,283.36,274.3,280.26,665663,,0.0,0.0
08-12-2025,280.36,280.9,272.57,277.4,420472,,0.0,0.0
09-12-2025,273.16,276.96,270.35,274.2,501825,,0.0,0.0
10-12-2025,275.72,284.15,273.41,277.5,625108,,0.0,0.0
11-12-2025,279.52,280.06,276.27,277.89,258731,,0.0,0.0
12-12-2025,279.96,294.7,277.45,293.96,1852439,,0.0,0.0
15-12-2025,293.71,293.71,287.06,287.8,285079,,0.0,0.0
16-12-2025,287.06,292.18,285.88,288.49,513037,,0.0,0.0
17-12-2025,288.49,290.11,281.24,282.13,276153,,0.0,0.0
18-12-2025,292.23,309.38,290.36,299.68,5349157,,0.0,0.0
19-12-2025,305.54,313.42,296.37,297.95,1136396,,0.0,0.0
22-12-2025,298.54,304.44,297.65,299.83,591051,,1.5,0.0
23-12-2025,299.83,303.4,299.14,300.62,384568,,0.0,0.0
24-12-2025,300.62,311.37,300.62,302.31,736443,,0.0,0.0
26-12-2025,302.11,308.55,301.22,305.03,813814,,0.0,0.0
29-12-2025,305.08,321.62,304.09,308.0,1658129,,0.0,0.0
30-12-2025,306.87,307.46,303.2,305.28,281475,,0.0,0.0
31-12-2025,305.08,314.0,305.03,311.82,674752,,0.0,0.0
01-01-2026,311.03,311.12,306.37,307.76,225103,,0.0,0.0
02-01-2026,307.06,310.03,303.55,308.1,347048,,0.0,0.0
05-01-2026,308.1,308.9,304.59,307.71,230151,,0.0,0.0
06-01-2026,307.11,310.63,306.52,307.76,324748,,0.0,0.0
07-01-2026,307.71,309.24,305.68,307.76,274609,,0.0,0.0
08-01-2026,307.06,314.1,297.01,302.06,1088161,,0.0,0.0
09-01-2026,301.12,303.84,290.42,292.85,454166,,0.0,0.0
12-01-2026,289.88,291.61,282.3,284.68,586594,,0.0,0.0
13-01-2026,284.08,286.96,276.8,278.29,689747,,0.0,0.0
14-01-2026,280.62,283.19,277.5,279.72,600339,,0.0,0.0
15-01-2026,279.72,279.72,279.72,279.72,0,,0.0,0.0
16-01-2026,280.76,301.37,279.77,292.9,2450984,,0.0,0.0
19-01-2026,293.2,293.2,283.93,285.32,509844,,0.0,0.0
20-01-2026,284.78,287.15,279.38,280.37,705690,,0.0,0.0
21-01-2026,277.35,280.32,253.43,254.52,2818201,,0.0,0.0
22-01-2026,260.21,262.29,256.25,261.35,1042868,,0.0,0.0
23-01-2026,261.3,261.3,247.33,247.98,770992,,0.0,0.0
27-01-2026,248.03,253.92,242.68,250.06,559104,,0.0,0.0
28-01-2026,250.11,251.1,246.64,247.63,846119,,0.0,0.0
29-01-2026,248.62,255.26,247.48,250.6,1185191,,0.0,0.0
30-01-2026,249.61,251.79,246.64,248.18,600874,,0.0,0.0
02-02-2026,244.86,246.84,241.69,243.67,824874,,0.0,0.0
03-02-2026,253.67,257.49,252.58,255.16,869067,,0.0,0.0
04-02-2026,254.17,260.51,252.14,259.02,510836,,0.0,0.0
05-02-2026,259.72,259.72,250.21,252.68,423968,,0.0,0.0
06-02-2026,252.73,255.56,250.65,253.97,298867,,0.0,0.0
09-02-2026,254.52,257.54,253.18,256.45,481377,,0.0,0.0
10-02-2026,257.29,263.28,255.56,261.7,559806,,0.0,0.0
11-02-2026,261.94,264.22,255.85,262.39,773126,,0.0,0.0
12-02-2026,260.51,260.51,254.66,257.59,603934,,0.0,0.0
13-02-2026,255.11,259.17,251.64,252.98,528583,,0.0,0.0
16-02-2026,252.44,253.08,246.94,247.63,383946,,0.0,0.0
17-02-2026,248.62,254.61,247.73,251.89,198715,,0.0,0.0
18-02-2026,252.24,264.12,251.25,262.44,481603,,0.0,0.0
19-02-2026,262.49,263.88,255.61,257.78,375931,,0.0,0.0
20-02-2026,256.55,262.14,253.57,256.65,496675,,0.0,0.0
23-02-2026,256.65,258.53,253.18,255.85,212705,,0.0,0.0
24-02-2026,255.06,256.5,250.9,252.39,259005,,0.0,0.0
