Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,345.0,345.65,338.2,340.4,115381,,0.0,0.0
09-08-2021,340.35,340.35,303.75,325.0,276427,,0.0,0.0
10-08-2021,325.8,334.3,322.3,325.95,239620,,0.0,0.0
11-08-2021,327.0,330.0,315.0,319.15,252349,,0.0,0.0
12-08-2021,321.95,326.1,318.55,320.05,223321,,0.0,0.0
13-08-2021,322.95,328.9,319.0,322.15,295283,,0.0,0.0
16-08-2021,319.6,322.15,314.1,316.0,176305,,0.0,0.0
17-08-2021,316.5,322.1,313.15,316.6,228405,,0.0,0.0
18-08-2021,317.8,320.0,313.1,314.0,120617,,0.0,0.0
20-08-2021,314.0,314.9,306.0,307.25,170514,,0.0,0.0
23-08-2021,313.0,314.0,297.25,300.6,122177,,0.0,0.0
24-08-2021,302.0,302.0,293.0,295.65,364713,,0.0,0.0
25-08-2021,295.5,310.15,295.1,296.95,317833,,0.0,0.0
26-08-2021,299.0,304.0,297.85,299.2,244245,,0.0,0.0
27-08-2021,302.2,302.2,295.2,296.65,130936,,0.0,0.0
30-08-2021,300.0,303.0,299.05,301.4,107920,,0.0,0.0
31-08-2021,304.9,309.0,296.2,297.4,203634,,0.0,0.0
01-09-2021,299.9,309.0,298.8,301.95,469380,,0.0,0.0
02-09-2021,305.0,306.9,299.0,301.9,177381,,0.0,0.0
03-09-2021,303.9,304.95,300.25,301.9,148309,,0.0,0.0
06-09-2021,303.0,303.0,300.0,300.8,79207,,0.0,0.0
07-09-2021,302.9,302.9,297.75,299.1,70874,,0.0,0.0
08-09-2021,301.0,303.1,296.4,299.6,109130,,0.0,0.0
09-09-2021,301.1,301.95,294.4,299.05,115575,,0.0,0.0
13-09-2021,305.0,305.0,296.7,300.05,90159,,0.0,0.0
14-09-2021,300.35,304.8,297.7,303.35,185943,,0.0,0.0
15-09-2021,302.0,304.0,300.1,302.65,98989,,0.0,0.0
16-09-2021,303.95,329.85,302.4,316.85,2048137,,0.0,0.0
17-09-2021,319.0,319.0,302.1,307.2,398440,,0.0,0.0
20-09-2021,307.0,307.0,300.45,303.3,109158,,0.0,0.0
21-09-2021,300.0,311.75,293.65,298.0,322535,,0.0,0.0
22-09-2021,299.5,307.0,299.0,301.8,173752,,0.0,0.0
23-09-2021,302.9,310.75,300.4,302.8,261834,,0.0,0.0
24-09-2021,306.0,309.75,302.0,302.9,288966,,0.0,0.0
27-09-2021,305.0,317.4,300.05,310.7,243997,,0.0,0.0
28-09-2021,314.8,316.95,301.0,305.65,331827,,0.0,0.0
29-09-2021,305.65,321.6,302.95,319.55,475442,,0.0,0.0
30-09-2021,320.7,325.0,312.6,316.8,186076,,0.0,0.0
01-10-2021,321.9,324.2,308.4,310.7,446730,,0.0,0.0
04-10-2021,321.9,321.9,315.75,318.15,502232,,0.0,0.0
05-10-2021,319.7,319.7,311.05,313.55,152908,,0.0,0.0
06-10-2021,315.0,316.15,310.55,312.1,131428,,0.0,0.0
07-10-2021,314.25,317.0,312.5,313.3,91069,,0.0,0.0
08-10-2021,314.0,319.7,311.0,312.0,128078,,0.0,0.0
11-10-2021,314.9,315.25,310.15,311.85,115842,,0.0,0.0
12-10-2021,312.0,325.0,311.0,314.85,226011,,0.0,0.0
13-10-2021,318.0,325.0,317.75,320.85,335985,,0.0,0.0
14-10-2021,322.0,325.0,316.35,319.4,439948,,0.0,0.0
18-10-2021,320.0,321.0,295.0,309.1,340574,,0.0,0.0
19-10-2021,311.0,313.0,305.0,306.6,139001,,0.0,0.0
20-10-2021,303.05,309.1,303.0,304.25,94615,,0.0,0.0
21-10-2021,308.8,309.15,300.0,306.1,112011,,0.0,0.0
22-10-2021,307.0,314.5,302.05,306.0,182335,,0.0,0.0
25-10-2021,309.9,336.9,301.1,306.2,4734682,,0.0,0.0
26-10-2021,302.5,314.05,302.5,303.55,659423,,0.0,0.0
27-10-2021,305.7,308.0,297.35,300.3,317042,,0.0,0.0
28-10-2021,301.0,301.5,294.45,296.3,168401,,0.0,0.0
29-10-2021,295.0,298.0,288.55,294.15,136503,,0.0,0.0
01-11-2021,295.0,297.0,289.0,291.5,169686,,0.0,0.0
02-11-2021,293.75,299.9,293.75,297.45,107672,,0.0,0.0
03-11-2021,299.0,300.45,293.0,297.5,130874,,0.0,0.0
04-11-2021,299.7,301.3,298.25,299.65,27851,,0.0,0.0
08-11-2021,304.0,305.0,295.05,298.4,205195,,0.0,0.0
09-11-2021,299.0,302.9,296.35,298.85,112678,,0.0,0.0
10-11-2021,297.0,300.1,296.0,296.9,208504,,0.0,0.0
11-11-2021,298.0,299.9,295.0,296.0,71893,,0.0,0.0
12-11-2021,296.0,296.95,290.0,290.05,175740,,0.0,0.0
15-11-2021,291.5,294.5,282.0,286.65,118520,,0.0,0.0
16-11-2021,286.3,296.0,285.35,294.45,191618,,0.0,0.0
17-11-2021,295.8,297.8,291.25,295.9,117651,,0.0,0.0
18-11-2021,296.0,297.3,289.5,295.05,128597,,0.0,0.0
22-11-2021,294.0,295.0,277.0,282.25,309083,,0.0,0.0
23-11-2021,282.0,283.0,276.5,281.25,89680,,0.0,0.0
24-11-2021,282.0,286.85,281.0,282.45,57791,,0.0,0.0
25-11-2021,282.0,284.7,280.0,281.05,46459,,0.0,0.0
26-11-2021,281.9,288.0,275.0,280.15,96255,,0.0,0.0
29-11-2021,266.0,277.9,266.0,271.0,133507,,0.0,0.0
30-11-2021,272.0,280.0,272.0,276.65,101779,,0.0,0.0
01-12-2021,279.85,280.55,270.7,274.05,56928,,0.0,0.0
02-12-2021,275.0,275.1,262.9,266.85,138480,,0.0,0.0
03-12-2021,269.0,272.55,267.55,268.3,109662,,0.0,0.0
06-12-2021,271.9,271.9,263.25,266.4,138383,,0.0,0.0
07-12-2021,266.4,273.95,266.0,268.9,60904,,0.0,0.0
08-12-2021,272.5,274.0,270.0,272.0,42061,,0.0,0.0
09-12-2021,273.0,281.55,270.5,273.5,74794,,0.0,0.0
10-12-2021,274.9,279.0,273.0,274.7,62194,,0.0,0.0
13-12-2021,277.0,278.85,273.0,273.7,54355,,0.0,0.0
14-12-2021,275.0,275.0,267.5,270.8,62843,,0.0,0.0
15-12-2021,269.05,270.8,258.1,261.25,95025,,0.0,0.0
16-12-2021,261.25,265.4,258.65,261.65,70893,,0.0,0.0
17-12-2021,262.0,262.95,254.05,256.6,55545,,0.0,0.0
20-12-2021,257.0,257.0,235.0,236.5,199363,,0.0,0.0
21-12-2021,236.5,240.0,230.1,231.55,211335,,0.0,0.0
22-12-2021,230.9,236.3,230.9,232.55,139915,,0.0,0.0
23-12-2021,232.55,239.75,230.75,234.2,211823,,0.0,0.0
24-12-2021,237.0,238.6,228.0,229.25,139737,,0.0,0.0
27-12-2021,225.0,238.35,220.0,233.15,172430,,0.0,0.0
28-12-2021,234.0,236.0,231.7,233.15,84851,,0.0,0.0
29-12-2021,231.0,242.9,231.0,237.65,200950,,0.0,0.0
30-12-2021,236.0,240.4,234.5,236.0,107288,,0.0,0.0
