Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,90.27,92.79,89.65,91.51,1311581,,0.0,0.0
09-08-2021,89.37,89.65,87.47,88.23,2484804,,0.0,0.0
10-08-2021,88.23,89.46,86.56,87.56,1161014,,0.0,0.0
11-08-2021,87.66,88.23,84.95,86.75,1045470,,0.0,0.0
12-08-2021,88.23,88.23,86.61,87.42,884692,,0.0,0.0
13-08-2021,88.37,88.37,86.99,87.42,522545,,0.0,0.0
16-08-2021,87.42,87.42,86.04,86.42,368102,,0.0,0.0
17-08-2021,86.37,86.61,82.9,85.09,1202495,,0.0,0.0
18-08-2021,86.32,86.32,83.14,83.61,774348,,0.0,0.0
20-08-2021,83.42,83.42,81.1,81.52,931842,,0.0,0.0
23-08-2021,81.76,82.43,77.86,79.95,1898952,,0.0,0.0
24-08-2021,79.19,82.66,78.81,82.24,744354,,0.0,0.0
25-08-2021,83.19,84.19,81.62,82.28,630197,,0.0,0.0
26-08-2021,83.09,83.23,79.43,79.81,812032,,0.0,0.0
27-08-2021,79.43,84.9,79.43,83.81,1362935,,0.0,0.0
30-08-2021,84.9,87.89,84.23,87.42,1177657,,0.0,0.0
31-08-2021,88.13,88.42,85.56,87.61,758053,,0.0,0.0
01-09-2021,87.85,90.51,87.61,88.8,1371201,,0.0,0.0
02-09-2021,89.37,89.7,87.75,87.99,524524,,0.0,0.0
03-09-2021,88.42,89.84,87.18,89.27,715869,,0.0,0.0
06-09-2021,89.37,92.93,89.08,92.36,1915058,,0.0,0.0
07-09-2021,92.22,92.79,89.84,91.65,1046184,,0.0,0.0
08-09-2021,91.74,92.27,89.37,90.03,488400,,0.0,0.0
09-09-2021,89.37,90.08,88.99,89.27,490018,,0.0,0.0
13-09-2021,89.27,90.65,87.66,90.17,749375,,0.0,0.0
14-09-2021,90.32,90.41,88.75,89.32,850851,,0.0,0.0
15-09-2021,89.94,90.03,88.94,89.18,1179386,,0.0,0.0
16-09-2021,90.22,90.7,88.99,89.27,2421602,,0.0,0.0
17-09-2021,90.13,90.79,86.89,87.42,2518157,,0.0,0.0
20-09-2021,86.56,88.42,84.61,85.37,941249,,0.0,0.0
21-09-2021,85.37,86.18,84.33,85.04,582294,,0.0,0.0
22-09-2021,86.04,87.04,85.18,86.23,2299039,,0.0,0.0
23-09-2021,88.42,88.89,87.18,87.89,2098830,,0.0,0.0
24-09-2021,88.37,88.8,86.56,86.75,785292,,0.0,0.0
27-09-2021,87.47,87.89,86.18,86.8,750586,,0.0,0.0
