Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,45.38,45.67,42.73,43.42,14828093,,0.0,0.0
09-08-2021,43.83,44.05,39.78,40.43,11351880,,0.0,0.0
10-08-2021,40.75,41.35,38.58,39.45,9159923,,0.0,0.0
11-08-2021,39.74,39.86,37.49,38.96,7658760,,0.0,0.0
12-08-2021,38.79,41.23,38.65,40.8,6505849,,0.0,0.0
13-08-2021,40.99,41.21,40.1,40.63,3622426,,0.0,0.0
16-08-2021,40.97,40.97,38.58,39.35,2770606,,0.0,0.0
17-08-2021,39.45,41.62,39.45,41.11,7476120,,0.0,0.0
18-08-2021,41.45,42.19,39.88,40.12,4547130,,0.0,0.0
20-08-2021,38.63,39.83,38.1,38.67,4565373,,0.0,0.0
23-08-2021,39.3,39.54,37.61,38.02,4268408,,0.0,0.0
24-08-2021,38.26,39.78,37.83,39.25,3355083,,0.0,0.0
25-08-2021,39.3,39.52,37.73,38.22,3137329,,0.0,0.0
26-08-2021,38.44,40.06,38.25,39.64,2825874,,0.55,0.0
27-08-2021,39.28,39.71,38.81,39.01,2006032,,0.0,0.0
30-08-2021,39.32,41.52,39.32,40.98,5596845,,0.0,0.0
31-08-2021,41.03,41.23,39.4,39.71,3140109,,0.0,0.0
01-09-2021,39.89,40.55,38.18,38.84,5617967,,0.0,0.0
02-09-2021,38.98,39.84,38.76,39.25,3021756,,0.0,0.0
03-09-2021,39.54,40.08,38.86,39.2,3566097,,0.0,0.0
06-09-2021,39.42,39.86,38.91,39.06,3073495,,0.0,0.0
07-09-2021,39.49,39.64,38.62,38.79,2607677,,0.0,0.0
08-09-2021,38.86,41.5,38.81,39.71,9694288,,0.0,0.0
09-09-2021,39.81,39.98,39.42,39.71,2578013,,0.0,0.0
13-09-2021,39.71,40.15,39.2,39.47,2269076,,0.0,0.0
14-09-2021,39.84,40.3,39.1,39.54,2908998,,0.0,0.0
15-09-2021,39.84,40.79,39.01,39.59,5622828,,0.0,0.0
16-09-2021,39.62,40.59,39.47,39.71,4201539,,0.0,0.0
