Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,61.09,61.09,59.62,59.82,551207,,0.0,0.0
09-08-2021,60.21,60.35,58.35,58.5,689731,,0.0,0.0
10-08-2021,58.59,59.38,54.44,56.54,951027,,0.0,0.0
11-08-2021,57.47,57.57,54.49,55.86,812467,,0.0,0.0
12-08-2021,55.71,59.47,55.61,58.98,1837899,,0.0,0.0
13-08-2021,59.47,60.26,58.94,59.08,507280,,0.0,0.0
16-08-2021,60.6,61.77,59.13,61.43,1425881,,0.0,0.0
17-08-2021,61.23,61.72,60.01,61.04,543215,,0.0,0.0
18-08-2021,61.77,61.77,58.1,59.42,539676,,0.0,0.0
20-08-2021,59.42,59.62,54.73,57.03,728538,,0.0,0.0
23-08-2021,58.94,58.94,55.17,55.86,739170,,0.0,0.0
24-08-2021,56.1,58.35,55.81,56.74,679607,,0.0,0.0
25-08-2021,57.47,57.47,56.69,56.79,314123,,0.0,0.0
26-08-2021,57.18,57.91,56.79,57.32,302362,,0.0,0.0
27-08-2021,58.06,58.06,57.03,57.57,231010,,0.0,0.0
30-08-2021,58.2,58.64,57.32,57.86,413307,,0.0,0.0
31-08-2021,58.54,58.64,57.91,58.2,339482,,0.0,0.0
01-09-2021,58.4,62.75,57.91,61.23,1989578,,0.0,0.0
02-09-2021,61.87,61.87,58.98,59.62,725828,,0.0,0.0
03-09-2021,59.96,60.21,58.15,58.69,525430,,0.0,0.0
06-09-2021,59.28,59.28,58.1,58.4,374964,,0.0,0.0
07-09-2021,58.64,58.74,58.06,58.2,301158,,0.0,0.0
08-09-2021,57.66,57.66,56.79,57.42,871373,,0.0,0.0
09-09-2021,57.62,59.38,57.47,58.69,386940,,0.0,0.0
13-09-2021,58.69,60.06,58.25,58.59,2658753,,0.0,0.0
14-09-2021,58.89,59.86,58.25,59.47,615626,,0.0,0.0
15-09-2021,59.62,61.57,59.23,60.3,545297,,0.0,0.0
16-09-2021,60.21,60.3,58.4,59.18,1048662,,0.0,0.0
17-09-2021,59.08,59.42,58.01,58.89,745080,,0.0,0.0
20-09-2021,58.84,59.18,57.71,57.91,494215,,0.0,0.0
21-09-2021,57.66,58.74,57.27,58.35,483349,,0.0,0.0
