Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
30-11-2023,138.0,148.25,133.0,140.25,33768075,,0.0,0.0
01-12-2023,141.5,144.8,141.3,142.55,5428331,,0.0,0.0
04-12-2023,144.15,146.3,140.6,141.5,3850479,,0.0,0.0
05-12-2023,141.85,142.5,135.05,136.6,2270739,,0.0,0.0
06-12-2023,137.05,139.4,135.0,137.45,1569037,,0.0,0.0
07-12-2023,136.95,140.2,136.3,139.05,1080402,,0.0,0.0
08-12-2023,139.8,141.1,136.5,136.95,1778418,,0.0,0.0
11-12-2023,138.25,140.0,136.5,137.35,2070721,,0.0,0.0
12-12-2023,140.0,152.8,139.25,146.3,12224375,,0.0,0.0
13-12-2023,147.2,149.85,145.9,147.0,3413491,,0.0,0.0
14-12-2023,148.0,148.85,145.6,147.45,3762961,,0.0,0.0
15-12-2023,147.45,153.6,146.35,147.7,4182407,,0.0,0.0
18-12-2023,147.9,148.65,143.65,146.0,1543605,,0.0,0.0
19-12-2023,146.0,148.35,145.0,145.5,1451007,,0.0,0.0
20-12-2023,146.0,148.05,139.5,140.5,2484641,,0.0,0.0
21-12-2023,135.0,142.45,135.0,141.35,1038729,,0.0,0.0
22-12-2023,142.3,143.05,140.1,141.05,614557,,0.0,0.0
26-12-2023,141.25,142.9,140.0,140.85,624148,,0.0,0.0
27-12-2023,140.85,142.0,140.1,140.6,588694,,0.0,0.0
28-12-2023,140.15,141.45,138.25,138.6,713747,,0.0,0.0
29-12-2023,138.95,138.95,135.5,136.15,1366932,,0.0,0.0
01-01-2024,136.15,138.3,136.15,137.2,415643,,0.0,0.0
02-01-2024,137.95,139.4,136.2,137.8,842877,,0.0,0.0
03-01-2024,137.8,138.05,136.55,137.2,603217,,0.0,0.0
04-01-2024,137.15,138.45,137.15,138.0,695205,,0.0,0.0
05-01-2024,138.05,139.2,137.05,138.55,966911,,0.0,0.0
08-01-2024,139.05,139.05,136.35,136.6,749846,,0.0,0.0
09-01-2024,137.05,138.25,136.5,136.9,578471,,0.0,0.0
10-01-2024,137.0,139.8,136.6,139.5,974155,,0.0,0.0
11-01-2024,139.5,140.5,138.55,139.4,802522,,0.0,0.0
12-01-2024,140.25,140.75,139.0,139.85,649908,,0.0,0.0
15-01-2024,139.85,139.85,139.85,139.85,0,,0.0,0.0
16-01-2024,142.25,142.4,139.0,139.35,1808867,,0.0,0.0
17-01-2024,139.0,139.4,136.05,136.75,997700,,0.0,0.0
18-01-2024,135.9,138.4,133.15,136.85,573895,,0.0,0.0
19-01-2024,138.0,138.0,136.0,136.4,312989,,0.0,0.0
23-01-2024,135.65,136.0,132.0,132.95,494128,,0.0,0.0
24-01-2024,133.5,133.5,130.7,132.1,548141,,0.0,0.0
25-01-2024,132.1,133.5,129.95,131.0,495150,,0.0,0.0
29-01-2024,131.1,132.3,130.7,131.35,326329,,0.0,0.0
30-01-2024,131.6,132.2,130.5,131.0,383713,,0.0,0.0
31-01-2024,131.05,131.8,130.7,131.35,245546,,0.0,0.0
01-02-2024,131.7,135.35,130.3,132.15,645572,,0.0,0.0
02-02-2024,133.15,133.45,131.3,131.55,304375,,0.0,0.0
05-02-2024,131.5,132.5,130.0,130.2,450887,,0.0,0.0
06-02-2024,130.25,130.85,129.7,130.55,230805,,0.0,0.0
07-02-2024,130.6,131.7,130.55,130.95,208065,,0.0,0.0
08-02-2024,131.2,131.35,129.5,129.8,245379,,0.0,0.0
09-02-2024,130.0,130.05,126.4,128.0,352721,,0.0,0.0
12-02-2024,127.9,128.85,124.55,124.9,467626,,0.0,0.0
13-02-2024,124.65,124.75,121.6,122.45,440824,,0.0,0.0
14-02-2024,122.0,124.7,120.0,122.9,393391,,0.0,0.0
15-02-2024,122.95,127.2,122.95,126.3,539315,,0.0,0.0
16-02-2024,127.05,131.2,126.15,129.5,866430,,0.0,0.0
19-02-2024,129.55,131.65,129.2,130.35,305825,,0.0,0.0
20-02-2024,129.0,130.55,128.2,129.2,391996,,0.0,0.0
21-02-2024,130.65,131.15,128.7,129.75,422138,,0.0,0.0
22-02-2024,130.05,130.4,128.4,129.0,166432,,0.0,0.0
23-02-2024,128.75,129.5,128.0,128.25,197707,,0.0,0.0
26-02-2024,128.25,129.05,126.3,126.55,223054,,0.0,0.0
27-02-2024,126.5,126.5,122.4,122.65,619842,,0.0,0.0
28-02-2024,123.2,123.5,120.1,120.9,457381,,0.0,0.0
29-02-2024,121.0,121.05,117.65,119.6,577019,,0.0,0.0
01-03-2024,119.75,123.25,119.75,122.8,367606,,0.0,0.0
