Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,93.72,95.49,92.35,92.79,498581,,0.0,0.0
09-08-2021,93.72,94.6,88.46,90.05,586158,,0.0,0.0
10-08-2021,90.18,93.63,84.39,86.87,832489,,0.0,0.0
11-08-2021,85.9,87.35,79.84,85.59,1017066,,0.0,0.0
12-08-2021,85.59,90.54,85.59,89.83,754574,,0.0,0.0
13-08-2021,91.33,91.47,86.78,88.06,363976,,0.0,0.0
16-08-2021,88.77,88.77,84.97,85.28,315148,,0.0,0.0
17-08-2021,85.76,85.76,83.11,83.6,330751,,0.0,0.0
18-08-2021,83.73,85.76,82.32,83.24,234544,,0.0,0.0
20-08-2021,77.81,83.46,77.81,78.91,505257,,0.0,0.0
23-08-2021,80.46,81.34,71.17,74.53,746770,,0.0,0.0
24-08-2021,75.15,81.96,74.58,81.96,516843,,0.0,0.0
25-08-2021,84.35,89.03,82.67,85.54,1100404,,0.0,0.0
26-08-2021,85.54,88.02,82.62,83.38,354161,,0.0,0.0
27-08-2021,84.39,84.61,81.43,82.71,230791,,0.0,0.0
30-08-2021,83.73,87.53,82.23,83.33,600674,,0.0,0.0
31-08-2021,83.69,84.08,82.32,82.62,248568,,0.0,0.0
01-09-2021,83.11,83.55,78.42,80.59,347283,,0.0,0.0
02-09-2021,80.59,84.0,80.37,83.16,303407,,0.0,0.0
03-09-2021,83.16,86.56,83.11,83.82,338461,,0.0,0.0
06-09-2021,84.0,85.32,82.32,82.58,197700,,0.0,0.0
07-09-2021,83.42,83.42,78.65,80.37,325970,,0.0,0.0
08-09-2021,80.46,84.61,80.06,83.29,412268,,0.0,0.0
09-09-2021,83.55,83.91,82.01,82.76,153687,,0.0,0.0
13-09-2021,82.76,86.78,82.76,84.26,641903,,0.0,0.0
14-09-2021,84.79,86.56,82.93,83.42,308337,,0.0,0.0
15-09-2021,84.0,84.08,81.96,83.07,281491,,0.0,0.0
16-09-2021,83.91,84.88,82.85,83.07,281658,,0.0,0.0
17-09-2021,83.82,85.32,81.34,84.7,604700,,0.0,0.0
