Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
20-12-2023,608.44,618.25,521.1,534.54,21857571,,0.0,0.0
21-12-2023,528.95,562.51,515.75,556.82,2243840,,0.0,0.0
22-12-2023,557.41,561.82,536.11,539.89,972313,,0.0,0.0
26-12-2023,539.94,541.66,515.21,519.38,773753,,0.0,0.0
27-12-2023,519.13,534.74,513.98,519.43,939341,,0.0,0.0
28-12-2023,521.59,526.25,509.47,521.34,723720,,0.0,0.0
29-12-2023,534.84,568.25,525.02,558.04,2660380,,0.0,0.0
01-01-2024,558.04,558.04,538.76,542.0,338263,,0.0,0.0
02-01-2024,541.71,544.16,519.13,525.07,529540,,0.0,0.0
03-01-2024,525.02,537.63,525.02,535.08,252047,,0.0,0.0
04-01-2024,534.84,538.76,521.64,532.58,209856,,0.0,0.0
05-01-2024,534.79,540.43,531.94,533.56,187643,,0.0,0.0
08-01-2024,533.07,536.7,526.25,533.66,220250,,0.0,0.0
09-01-2024,533.66,536.26,527.97,528.6,203873,,0.0,0.0
10-01-2024,527.48,535.47,527.18,531.6,113265,,0.0,0.0
11-01-2024,531.84,540.48,529.93,539.64,258835,,0.0,0.0
12-01-2024,540.87,550.34,535.33,548.87,197013,,0.0,0.0
15-01-2024,548.87,548.87,548.87,548.87,0,,0.0,0.0
16-01-2024,549.61,567.22,544.7,559.66,537591,,0.0,0.0
17-01-2024,556.92,566.73,548.57,564.91,476182,,0.0,0.0
18-01-2024,564.18,572.96,557.46,569.13,364968,,0.0,0.0
19-01-2024,568.2,574.97,560.35,565.01,655357,,0.0,0.0
23-01-2024,556.38,564.28,549.7,559.96,333302,,0.0,0.0
24-01-2024,553.48,569.13,553.48,561.53,158332,,0.0,0.0
25-01-2024,564.23,569.18,546.12,565.21,160764,,0.0,0.0
29-01-2024,565.94,586.26,553.53,561.48,412676,,0.0,0.0
30-01-2024,561.48,584.44,554.61,578.51,281188,,0.0,0.0
31-01-2024,578.51,605.49,569.18,601.13,767336,,0.0,0.0
01-02-2024,610.15,617.51,590.53,610.25,651796,,0.0,0.0
02-02-2024,609.42,711.58,605.25,657.46,759410,,0.0,0.0
05-02-2024,704.31,704.31,661.53,672.22,492531,,0.0,0.0
06-02-2024,677.08,681.79,647.69,653.14,185598,,0.0,0.0
07-02-2024,656.03,664.37,640.04,642.2,157769,,0.0,0.0
08-02-2024,642.78,673.21,584.88,648.18,399789,,0.0,0.0
09-02-2024,603.53,657.46,603.53,630.12,411436,,0.0,0.0
12-02-2024,620.7,638.32,586.85,612.61,161924,,0.0,0.0
13-02-2024,603.53,644.75,567.91,628.55,263609,,0.0,0.0
14-02-2024,614.42,644.75,614.42,640.97,86388,,0.0,0.0
15-02-2024,642.74,654.66,626.35,631.89,87843,,0.0,0.0
16-02-2024,637.83,647.54,610.89,614.42,130252,,0.0,0.0
19-02-2024,616.24,627.48,611.63,618.74,77152,,0.0,0.0
20-02-2024,618.74,625.71,606.03,621.49,112998,,0.0,0.0
21-02-2024,628.06,636.85,614.52,620.21,100264,,0.0,0.0
22-02-2024,628.02,633.85,611.92,628.95,591411,,0.0,0.0
23-02-2024,629.05,646.56,605.44,619.58,152489,,0.0,0.0
26-02-2024,628.06,656.52,619.28,638.76,255374,,0.0,0.0
27-02-2024,637.88,645.53,622.76,635.28,139476,,0.0,0.0
28-02-2024,644.75,644.75,615.9,628.26,130511,,0.0,0.0
29-02-2024,627.08,628.26,606.62,618.25,567423,,0.0,0.0
01-03-2024,606.67,637.88,606.67,628.65,41178,,0.0,0.0
04-03-2024,624.14,631.4,606.77,614.18,42323,,0.0,0.0
05-03-2024,614.18,614.42,598.92,603.43,33755,,0.0,0.0
06-03-2024,598.62,604.51,580.13,595.34,98739,,0.0,0.0
07-03-2024,591.75,596.71,578.95,591.07,180380,,0.0,0.0
11-03-2024,586.85,591.66,574.14,583.17,79530,,0.0,0.0
12-03-2024,589.01,589.01,554.46,569.13,114398,,0.0,0.0
13-03-2024,562.31,566.39,540.87,560.89,121935,,0.0,0.0
14-03-2024,547.59,560.99,533.81,553.68,115632,,0.0,0.0
15-03-2024,554.46,565.16,540.72,556.57,32994,,0.0,0.0
18-03-2024,556.62,556.82,519.38,534.59,267182,,0.0,0.0
19-03-2024,534.64,534.69,513.1,518.94,293908,,0.0,0.0
20-03-2024,525.95,541.36,511.28,536.65,66206,,0.0,0.0
21-03-2024,536.65,545.19,529.93,542.1,95793,,0.0,0.0
22-03-2024,538.71,561.38,535.67,560.11,40690,,0.0,0.0
26-03-2024,559.37,560.99,542.15,546.66,82854,,0.0,0.0
27-03-2024,546.71,581.79,546.71,575.17,123122,,0.0,0.0
28-03-2024,589.5,619.23,589.5,612.17,273767,,0.0,0.0
01-04-2024,614.23,614.33,590.33,593.67,158559,,0.0,0.0
02-04-2024,599.6,599.6,583.9,593.03,77690,,0.0,0.0
03-04-2024,594.89,606.92,593.72,594.8,83817,,0.0,0.0
04-04-2024,594.75,601.47,589.94,590.82,20207,,0.0,0.0
05-04-2024,588.81,603.43,588.81,595.24,62531,,0.0,0.0
08-04-2024,601.86,608.39,595.78,598.82,33756,,0.0,0.0
09-04-2024,604.51,606.43,582.04,586.75,31737,,0.0,0.0
10-04-2024,579.59,597.59,579.29,594.85,25675,,0.0,0.0
12-04-2024,588.86,617.17,581.01,586.95,641013,,0.0,0.0
15-04-2024,561.33,583.9,559.37,568.99,69321,,0.0,0.0
16-04-2024,564.28,587.83,563.25,585.13,36635,,0.0,0.0
18-04-2024,597.49,597.49,566.29,569.53,28651,,0.0,0.0
19-04-2024,560.99,588.07,556.97,575.22,363131,,0.0,0.0
22-04-2024,576.25,582.48,566.24,567.56,24760,,0.0,0.0
23-04-2024,568.69,580.52,563.34,574.38,96717,,0.0,0.0
24-04-2024,570.16,580.91,561.77,569.04,154645,,0.0,0.0
25-04-2024,569.04,570.7,557.41,563.2,309341,,0.0,0.0
26-04-2024,571.59,571.59,548.77,550.59,215501,,0.0,0.0
29-04-2024,556.43,581.94,552.5,577.43,244594,,0.0,0.0
30-04-2024,578.11,585.92,572.13,580.91,69448,,0.0,0.0
02-05-2024,580.76,586.75,569.18,576.25,108162,,0.0,0.0
03-05-2024,583.81,593.13,574.09,578.55,124318,,0.0,0.0
06-05-2024,579.0,583.9,563.34,566.78,27776,,0.0,0.0
07-05-2024,566.83,569.13,545.63,565.55,61549,,0.0,0.0
08-05-2024,559.86,568.89,558.09,565.11,31396,,0.0,0.0
09-05-2024,588.81,616.83,567.86,579.73,525057,,0.0,0.0
10-05-2024,575.07,597.05,565.31,593.08,89224,,0.0,0.0
13-05-2024,585.87,586.26,567.12,571.29,42544,,0.0,0.0
14-05-2024,571.93,579.98,566.73,577.08,38838,,0.0,0.0
15-05-2024,570.21,576.89,562.8,568.89,228563,,0.0,0.0
16-05-2024,573.75,578.02,567.96,570.95,26669,,0.0,0.0
17-05-2024,570.95,573.26,551.72,556.52,225908,,0.0,0.0
