Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
14-02-2024,396.0,409.0,365.0,368.15,5574132,,0.0,0.0
15-02-2024,375.0,438.0,371.0,428.4,6820067,,0.0,0.0
16-02-2024,429.0,448.25,415.45,419.6,3058727,,0.0,0.0
19-02-2024,437.1,455.0,430.0,436.55,3112463,,0.0,0.0
20-02-2024,437.95,449.5,428.1,446.2,1417150,,0.0,0.0
21-02-2024,449.0,482.0,442.5,462.65,4039171,,0.0,0.0
22-02-2024,469.9,473.0,451.55,456.5,1520120,,0.0,0.0
23-02-2024,466.85,475.9,454.3,458.65,1536466,,0.0,0.0
26-02-2024,458.45,458.5,448.0,453.95,389640,,0.0,0.0
27-02-2024,457.0,466.0,452.1,454.35,900216,,0.0,0.0
28-02-2024,451.15,460.0,417.95,453.35,1312899,,0.0,0.0
29-02-2024,450.25,453.85,437.15,448.2,284204,,0.0,0.0
01-03-2024,450.2,465.0,446.0,455.4,380508,,0.0,0.0
04-03-2024,451.3,457.0,430.0,445.8,757387,,0.0,0.0
05-03-2024,444.5,449.4,437.95,445.25,256306,,0.0,0.0
06-03-2024,444.9,444.9,432.0,435.85,340334,,0.0,0.0
07-03-2024,431.75,442.95,431.75,439.7,180884,,0.0,0.0
11-03-2024,437.0,439.45,426.15,434.85,237116,,0.0,0.0
12-03-2024,431.2,437.95,405.75,409.25,365112,,0.0,0.0
13-03-2024,407.0,413.35,368.2,383.1,982895,,0.0,0.0
14-03-2024,388.95,395.9,382.0,392.7,403596,,0.0,0.0
15-03-2024,395.6,399.65,388.05,392.3,244304,,0.0,0.0
18-03-2024,392.5,394.25,386.1,389.25,222071,,0.0,0.0
19-03-2024,386.0,390.7,378.5,381.8,124609,,0.0,0.0
20-03-2024,389.9,389.9,375.0,382.1,157241,,0.0,0.0
21-03-2024,391.0,392.2,384.75,387.15,165339,,0.0,0.0
22-03-2024,380.0,394.0,380.0,390.5,116543,,0.0,0.0
26-03-2024,388.95,406.2,386.0,396.6,228550,,0.0,0.0
27-03-2024,396.65,407.3,396.65,405.15,282228,,0.0,0.0
28-03-2024,409.8,419.0,406.0,409.6,164717,,0.0,0.0
01-04-2024,419.9,420.7,414.1,419.7,118854,,0.0,0.0
02-04-2024,419.7,427.7,413.05,424.4,150867,,0.0,0.0
03-04-2024,423.7,433.9,417.6,432.25,194502,,0.0,0.0
04-04-2024,433.0,470.0,432.95,467.4,1602110,,0.0,0.0
05-04-2024,465.95,473.7,451.1,470.65,663563,,0.0,0.0
08-04-2024,469.1,490.85,457.1,475.0,734245,,0.0,0.0
09-04-2024,479.0,479.0,462.0,467.2,209922,,0.0,0.0
10-04-2024,466.0,467.5,454.15,459.0,152805,,0.0,0.0
12-04-2024,459.0,459.0,440.15,442.55,304008,,0.0,0.0
15-04-2024,437.0,443.95,422.65,435.1,194015,,0.0,0.0
16-04-2024,438.95,451.85,430.55,445.65,165021,,0.0,0.0
18-04-2024,443.25,457.0,443.25,450.4,112737,,0.0,0.0
19-04-2024,448.05,458.6,441.0,452.45,147791,,0.0,0.0
22-04-2024,459.8,475.65,455.4,473.15,286315,,0.0,0.0
23-04-2024,472.5,496.45,472.5,486.35,704963,,0.0,0.0
24-04-2024,482.0,491.65,476.05,478.65,148281,,0.0,0.0
25-04-2024,482.6,497.0,477.0,488.3,239741,,0.0,0.0
26-04-2024,495.6,512.4,490.25,507.85,579470,,0.0,0.0
29-04-2024,517.4,529.8,492.0,500.3,717905,,0.0,0.0
30-04-2024,567.0,600.35,549.1,600.35,8094926,,0.0,0.0
02-05-2024,608.0,698.75,601.45,665.5,8668972,,0.0,0.0
03-05-2024,672.0,697.8,656.0,665.05,3660854,,0.0,0.0
