Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,51.77,52.2,51.39,51.6,937719,,0.0,0.0
09-08-2021,53.06,53.27,51.52,51.77,1813582,,0.0,0.0
10-08-2021,51.77,51.82,49.63,50.53,1163024,,0.0,0.0
11-08-2021,50.75,51.09,49.33,50.02,1114321,,0.0,0.0
12-08-2021,50.4,50.7,50.06,50.28,732866,,0.0,0.0
13-08-2021,50.53,50.66,50.28,50.4,618533,,0.0,0.0
16-08-2021,50.57,50.62,50.06,50.28,465307,,0.0,0.0
17-08-2021,50.45,50.57,49.72,50.1,804368,,0.0,0.0
18-08-2021,51.21,51.25,49.79,50.32,777574,,1.8,0.0
20-08-2021,50.19,50.19,47.37,47.59,1850616,,0.0,0.0
23-08-2021,47.85,48.56,45.56,45.87,1309299,,0.0,0.0
24-08-2021,45.87,46.7,45.56,46.04,1280239,,0.0,0.0
25-08-2021,46.35,47.15,45.65,45.82,1975445,,0.0,0.0
26-08-2021,46.13,46.57,45.82,46.04,627020,,0.0,0.0
27-08-2021,46.18,55.22,45.78,53.72,14865257,,0.0,0.0
30-08-2021,55.09,55.09,52.18,53.81,7470768,,0.0,0.0
31-08-2021,53.86,55.49,53.72,54.47,6006540,,0.0,0.0
01-09-2021,54.39,57.65,54.12,56.81,8761107,,0.0,0.0
02-09-2021,56.77,56.95,55.4,55.75,2547343,,0.0,0.0
03-09-2021,55.75,56.15,53.64,54.12,2388417,,0.0,0.0
06-09-2021,54.43,54.92,52.66,53.15,1369354,,0.0,0.0
07-09-2021,53.77,57.03,52.4,55.36,4980197,,0.0,0.0
08-09-2021,55.45,57.08,54.3,55.89,3594798,,0.0,0.0
09-09-2021,55.89,61.1,55.8,59.2,15477524,,0.0,0.0
13-09-2021,59.33,61.54,58.36,60.3,5704160,,0.0,0.0
14-09-2021,60.39,60.74,58.49,58.89,2543583,,0.0,0.0
15-09-2021,59.15,66.57,59.15,64.41,22377922,,0.0,0.0
16-09-2021,64.89,66.88,64.1,64.85,7293568,,0.0,0.0
17-09-2021,65.33,65.33,60.92,63.57,7139234,,0.0,0.0
20-09-2021,62.55,63.26,59.02,59.59,3707710,,0.0,0.0
21-09-2021,60.12,61.71,56.95,61.36,5607513,,0.0,0.0
22-09-2021,61.01,63.48,60.61,62.16,3382779,,0.0,0.0
23-09-2021,62.24,62.95,61.36,61.85,2602113,,0.0,0.0
24-09-2021,62.16,62.6,60.04,60.35,1245666,,0.0,0.0
27-09-2021,60.92,61.36,59.9,60.04,1206076,,0.0,0.0
28-09-2021,60.48,60.52,58.31,58.8,1529689,,0.0,0.0
29-09-2021,58.67,60.43,58.36,59.55,2072800,,0.0,0.0
30-09-2021,59.99,61.71,59.64,60.17,2110460,,0.0,0.0
01-10-2021,59.99,61.54,59.59,60.88,1441054,,0.0,0.0
04-10-2021,61.27,63.48,61.1,62.11,2068813,,0.0,0.0
05-10-2021,62.16,63.21,61.76,62.51,1730798,,0.0,0.0
06-10-2021,63.21,63.21,59.42,59.95,2022881,,0.0,0.0
07-10-2021,60.52,60.7,59.68,59.77,1385589,,0.0,0.0
08-10-2021,60.35,61.32,59.51,59.95,1701934,,0.0,0.0
11-10-2021,60.35,60.88,59.77,60.04,1331300,,0.0,0.0
12-10-2021,60.43,62.16,60.12,61.27,2845283,,0.0,0.0
13-10-2021,61.8,62.99,61.8,62.64,2980882,,0.0,0.0
14-10-2021,62.82,65.25,62.6,62.99,3985979,,0.0,0.0
18-10-2021,63.79,66.04,63.21,64.98,5855563,,0.0,0.0
19-10-2021,65.86,66.22,62.69,63.26,3178570,,0.0,0.0
20-10-2021,63.26,65.42,61.67,62.73,2794845,,0.0,0.0
21-10-2021,63.52,64.27,61.14,62.2,2683541,,0.0,0.0
22-10-2021,62.69,64.27,60.48,60.7,2846942,,0.0,0.0
25-10-2021,61.27,62.86,59.77,61.4,3178792,,0.0,0.0
26-10-2021,62.02,63.13,61.63,62.51,2678500,,0.0,0.0
27-10-2021,62.86,64.89,62.77,64.27,3880075,,0.0,0.0
28-10-2021,64.27,64.41,61.14,62.16,2171076,,0.0,0.0
29-10-2021,61.36,61.36,58.54,60.12,2896952,,0.0,0.0
01-11-2021,60.48,62.42,60.04,61.63,2015506,,0.0,0.0
02-11-2021,61.85,62.33,61.14,61.54,1375349,,0.0,0.0
03-11-2021,61.8,63.57,61.36,61.49,2012528,,0.0,0.0
04-11-2021,61.98,62.86,61.67,62.16,410492,,0.0,0.0
08-11-2021,62.86,63.97,62.42,63.3,2350034,,0.0,0.0
09-11-2021,63.57,65.95,63.57,65.2,5483407,,0.0,0.0
10-11-2021,65.02,69.66,64.63,67.94,15114405,,0.0,0.0
11-11-2021,69.04,72.26,68.51,69.17,20089691,,0.0,0.0
12-11-2021,69.92,69.97,67.36,68.16,5172650,,0.0,0.0
15-11-2021,68.87,70.37,67.67,68.2,4436114,,0.0,0.0
16-11-2021,68.25,68.51,65.42,65.86,3131902,,0.0,0.0
17-11-2021,65.78,67.54,65.51,65.91,2282402,,0.0,0.0
18-11-2021,65.91,66.44,62.77,63.88,3550161,,0.0,0.0
22-11-2021,64.23,64.23,59.29,60.12,3086568,,0.0,0.0
23-11-2021,60.04,63.08,59.55,62.77,2186147,,0.0,0.0
24-11-2021,63.48,63.61,59.33,61.18,2436722,,0.0,0.0
25-11-2021,61.36,61.54,59.64,60.83,1463468,,0.0,0.0
26-11-2021,60.26,60.74,59.15,59.37,1880968,,0.0,0.0
