Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
20-05-2022,646.33,646.33,537.95,558.58,3203719,,0.0,0.0
23-05-2022,546.8,571.76,511.8,518.71,353766,,0.0,0.0
24-05-2022,507.27,514.08,492.75,500.11,281534,,0.0,0.0
25-05-2022,498.47,512.04,478.78,491.21,177931,,0.0,0.0
26-05-2022,497.08,500.16,467.7,472.82,113670,,0.0,0.0
27-05-2022,479.33,518.76,473.56,509.21,274040,,0.0,0.0
30-05-2022,509.11,608.55,497.18,597.76,695305,,0.0,0.0
31-05-2022,591.64,615.26,568.97,581.8,495039,,0.0,0.0
01-06-2022,586.57,594.92,547.15,573.65,165359,,0.0,0.0
02-06-2022,579.71,593.53,567.78,578.67,590323,,0.0,0.0
03-06-2022,586.67,598.6,557.34,561.81,528647,,0.0,0.0
06-06-2022,563.8,563.8,537.05,541.33,63905,,0.0,0.0
07-06-2022,539.04,552.61,532.93,540.63,86391,,0.0,0.0
08-06-2022,537.95,583.64,535.51,577.03,253045,,0.0,0.0
09-06-2022,581.2,598.85,567.83,592.84,254224,,0.0,0.0
10-06-2022,591.64,594.63,576.63,581.2,80145,,0.0,0.0
13-06-2022,579.21,579.21,548.89,557.09,60196,,0.0,0.0
14-06-2022,551.87,591.94,550.23,554.11,93350,,0.0,0.0
15-06-2022,565.19,579.66,543.12,548.84,116644,,0.0,0.0
16-06-2022,552.91,561.91,517.17,523.83,38770,,0.0,0.0
17-06-2022,523.83,531.98,458.35,497.08,266465,,0.0,0.0
20-06-2022,498.17,504.74,474.66,485.15,36300,,0.0,0.0
21-06-2022,486.24,518.71,483.41,494.1,60426,,0.0,0.0
22-06-2022,489.72,497.28,478.88,482.36,57252,,0.0,0.0
23-06-2022,487.24,493.6,482.41,488.08,21856,,0.0,0.0
24-06-2022,484.8,497.08,482.26,486.44,12134,,0.0,0.0
27-06-2022,492.21,506.63,490.22,503.34,42652,,0.0,0.0
28-06-2022,498.27,510.06,494.25,506.08,40751,,0.0,0.0
29-06-2022,499.22,510.75,498.17,503.54,28017,,0.0,0.0
30-06-2022,499.47,506.63,489.42,494.99,10201,,0.0,0.0
01-07-2022,489.37,494.39,482.26,485.45,8997,,0.0,0.0
04-07-2022,477.49,503.05,474.86,496.28,11340,,0.0,0.0
05-07-2022,497.18,500.91,477.39,486.44,13301,,0.0,0.0
