Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,160.1,161.5,154.1,155.65,1086611,,0.0,0.0
09-08-2021,156.3,158.4,151.8,152.85,816788,,0.0,0.0
10-08-2021,152.3,155.55,139.0,144.35,1824443,,0.0,0.0
11-08-2021,145.5,154.95,138.0,150.65,3127893,,0.0,0.0
12-08-2021,152.4,158.8,151.0,154.55,1369514,,0.0,0.0
13-08-2021,150.0,153.0,146.2,147.65,1367128,,0.0,0.0
16-08-2021,150.75,154.7,145.45,150.2,808101,,0.0,0.0
17-08-2021,150.8,150.8,143.5,145.1,714571,,0.0,0.0
18-08-2021,146.25,148.0,141.55,144.85,794073,,0.0,0.0
20-08-2021,141.5,143.25,135.5,136.7,1251549,,0.0,0.0
23-08-2021,138.6,140.5,130.05,136.1,1015971,,0.0,0.0
24-08-2021,137.2,146.45,137.2,141.95,1005529,,0.0,0.0
25-08-2021,142.0,152.0,141.15,150.4,1138096,,0.0,0.0
26-08-2021,151.0,155.0,145.1,146.15,842611,,0.0,0.0
27-08-2021,147.1,150.1,146.4,148.85,465941,,0.0,0.0
30-08-2021,149.85,157.85,148.2,152.65,1234284,,0.0,0.0
31-08-2021,153.85,157.5,152.0,153.6,898664,,0.0,0.0
01-09-2021,151.5,161.0,151.5,153.45,1133932,,0.0,0.0
02-09-2021,154.65,158.0,149.0,150.0,814994,,0.0,0.0
03-09-2021,151.2,162.0,151.0,156.55,2142591,,0.0,0.0
06-09-2021,157.95,160.0,154.05,154.85,731161,,0.0,0.0
07-09-2021,155.55,156.2,150.55,151.4,603515,,0.0,0.0
08-09-2021,152.4,155.0,149.75,153.85,712134,,0.0,0.0
09-09-2021,152.5,157.3,152.0,153.55,590372,,0.0,0.0
13-09-2021,154.0,154.65,151.6,152.95,527198,,0.0,0.0
14-09-2021,153.4,158.8,152.5,154.6,711434,,0.0,0.0
15-09-2021,154.0,157.45,152.05,153.25,1613226,,0.0,0.0
16-09-2021,155.4,173.3,155.4,171.05,6006704,,0.0,0.0
17-09-2021,171.1,177.75,166.15,174.4,3916859,,0.0,0.0
20-09-2021,171.9,180.05,168.15,169.9,3205065,,0.0,0.0
21-09-2021,168.0,173.45,160.9,170.4,1868243,,0.0,0.0
22-09-2021,171.0,177.0,169.65,174.7,2338635,,0.0,0.0
23-09-2021,175.6,184.0,174.0,179.5,6040756,,0.0,0.0
24-09-2021,180.4,194.8,176.2,187.8,5815949,,0.0,0.0
27-09-2021,187.8,189.05,180.45,181.9,1474696,,0.0,0.0
28-09-2021,183.0,184.4,175.0,180.75,2088693,,0.0,0.0
29-09-2021,179.6,186.0,179.05,183.85,1575211,,0.0,0.0
30-09-2021,185.35,185.95,176.5,177.55,2862310,,0.0,0.0
01-10-2021,175.0,178.6,172.45,177.6,1612649,,0.0,0.0
04-10-2021,178.0,183.8,176.65,182.15,948004,,0.0,0.0
05-10-2021,182.5,185.4,176.0,178.95,1459000,,0.0,0.0
06-10-2021,179.9,182.4,174.5,180.55,1732019,,0.0,0.0
07-10-2021,182.3,185.2,178.8,181.75,1274149,,0.0,0.0
08-10-2021,182.1,182.7,178.0,179.35,1122289,,0.0,0.0
11-10-2021,180.7,182.85,176.05,177.05,1229931,,0.0,0.0
