Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,107.67,107.67,105.61,106.2,144885,,0.25,0.0
09-08-2021,107.72,114.53,107.22,109.09,418760,,0.0,0.0
10-08-2021,110.73,110.73,104.74,106.05,326540,,0.0,0.0
11-08-2021,106.18,106.96,99.13,103.1,343025,,0.0,0.0
12-08-2021,103.69,107.14,102.57,105.01,310539,,0.0,0.0
13-08-2021,105.03,108.46,101.77,102.2,439040,,0.0,0.0
16-08-2021,103.69,106.57,101.1,101.75,617293,,0.0,0.0
17-08-2021,102.71,103.55,97.68,99.02,346428,,0.0,0.0
18-08-2021,99.85,103.42,99.2,101.53,182175,,0.0,0.0
20-08-2021,100.81,102.48,98.16,98.96,112686,,0.0,0.0
23-08-2021,92.36,101.55,92.36,100.7,440613,,0.0,0.0
24-08-2021,98.99,102.56,98.99,100.78,154029,,0.0,0.0
25-08-2021,101.77,102.34,100.15,100.89,183450,,0.0,0.0
26-08-2021,101.34,101.34,99.1,99.33,81486,,0.0,0.0
27-08-2021,99.85,100.62,97.0,97.73,117944,,0.0,0.0
30-08-2021,98.41,99.19,96.79,97.31,94709,,0.0,0.0
31-08-2021,97.54,105.22,97.54,102.34,224995,,0.0,0.0
01-09-2021,102.92,102.92,99.85,100.67,59930,,0.0,0.0
02-09-2021,98.89,102.72,98.89,99.64,73798,,0.0,0.0
03-09-2021,101.75,101.75,99.33,100.06,43410,,0.0,0.0
06-09-2021,101.56,102.6,100.81,101.24,127265,,0.0,0.0
07-09-2021,102.34,102.92,100.33,101.45,87072,,0.0,0.0
08-09-2021,102.2,103.3,100.82,101.15,107700,,0.0,0.0
09-09-2021,100.27,102.26,99.87,101.74,77483,,0.0,0.0
13-09-2021,101.86,105.03,100.97,102.6,208046,,0.0,0.0
14-09-2021,102.74,105.61,100.62,103.12,3939995,,0.0,0.0
15-09-2021,104.65,108.49,103.02,106.15,1614459,,0.0,0.0
16-09-2021,103.69,109.92,103.69,106.63,552892,,0.0,0.0
