Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,9.82,10.2,9.82,9.96,12046067,,0.0,0.0
09-08-2021,10.06,10.2,9.86,9.96,8732880,,0.0,0.0
10-08-2021,9.96,9.96,9.58,9.62,12281303,,0.0,0.0
11-08-2021,9.67,9.67,9.09,9.43,20925886,,0.0,0.0
12-08-2021,9.53,9.77,9.48,9.72,8190895,,0.0,0.0
13-08-2021,9.72,9.82,9.62,9.67,7997438,,0.0,0.0
16-08-2021,9.72,9.72,9.53,9.58,5126482,,0.0,0.0
17-08-2021,9.62,9.62,9.33,9.38,4546543,,0.0,0.0
18-08-2021,9.38,9.43,9.14,9.19,6644595,,0.0,0.0
20-08-2021,9.19,9.19,8.9,9.0,7057471,,0.0,0.0
23-08-2021,9.05,9.09,8.66,8.76,9974231,,0.0,0.0
24-08-2021,8.76,9.14,8.71,9.09,7821178,,0.0,0.0
25-08-2021,9.14,9.29,9.05,9.09,4969215,,0.0,0.0
26-08-2021,9.14,9.72,9.05,9.53,27160250,,0.0,0.0
27-08-2021,9.62,10.01,9.33,9.77,10450602,,0.0,0.0
30-08-2021,9.91,9.91,9.62,9.67,7760546,,0.0,0.0
31-08-2021,9.67,9.67,9.48,9.48,6122637,,0.0,0.0
01-09-2021,9.53,9.72,9.43,9.58,6789912,,0.0,0.0
02-09-2021,9.58,9.67,9.48,9.53,6611020,,0.0,0.0
03-09-2021,9.53,9.67,9.53,9.53,4572517,,0.0,0.0
06-09-2021,9.53,9.62,9.53,9.53,3988898,,0.0,0.0
07-09-2021,9.58,9.62,9.43,9.48,4958470,,0.0,0.0
08-09-2021,9.48,9.62,9.43,9.48,4513492,,0.0,0.0
09-09-2021,9.48,9.91,9.43,9.62,14279125,,0.0,0.0
13-09-2021,9.67,9.67,9.53,9.53,5303261,,0.0,0.0
14-09-2021,9.62,9.72,9.58,9.58,7649675,,0.0,0.0
15-09-2021,9.62,10.3,9.62,9.86,37598901,,0.0,0.0
