Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
30-09-2025,432.0,437.45,406.0,411.45,10374909,,0.0,0.0
01-10-2025,405.0,431.7,400.4,429.25,2986689,,0.0,0.0
03-10-2025,430.0,433.0,419.05,426.1,1229450,,0.0,0.0
06-10-2025,424.0,426.2,407.5,420.7,840877,,0.0,0.0
07-10-2025,417.05,419.6,402.25,408.95,507767,,0.0,0.0
08-10-2025,408.5,413.75,400.1,404.25,362596,,0.0,0.0
09-10-2025,401.1,412.3,400.3,408.55,302230,,0.0,0.0
10-10-2025,409.65,428.2,409.0,426.6,994164,,0.0,0.0
13-10-2025,426.0,434.7,417.0,427.45,1226386,,0.0,0.0
14-10-2025,430.0,432.9,416.2,424.2,614795,,0.0,0.0
15-10-2025,424.2,427.95,417.0,421.95,221913,,0.0,0.0
16-10-2025,425.8,425.8,418.15,420.4,168453,,0.0,0.0
17-10-2025,390.0,399.0,380.0,393.0,1135238,,0.0,0.0
20-10-2025,394.9,397.6,367.95,376.55,677682,,0.0,0.0
21-10-2025,379.95,389.35,378.6,385.05,70662,,0.0,0.0
23-10-2025,389.85,389.85,379.45,381.9,163233,,0.0,0.0
24-10-2025,382.0,388.85,376.2,387.1,132622,,0.0,0.0
27-10-2025,383.0,390.5,382.0,384.6,118201,,0.0,0.0
28-10-2025,387.0,387.0,377.8,382.55,94185,,0.0,0.0
29-10-2025,380.65,382.05,372.0,374.45,84972,,0.0,0.0
30-10-2025,377.6,378.2,362.55,370.3,126867,,0.0,0.0
31-10-2025,367.85,375.95,367.85,373.75,92948,,0.0,0.0
03-11-2025,375.0,377.0,371.8,375.55,84686,,0.0,0.0
04-11-2025,375.0,375.65,367.0,372.4,64454,,0.0,0.0
06-11-2025,370.3,371.15,357.0,364.65,108306,,0.0,0.0
07-11-2025,359.1,377.4,355.15,372.55,99598,,0.0,0.0
10-11-2025,370.7,370.7,357.0,360.0,251025,,0.0,0.0
11-11-2025,360.0,360.5,354.0,355.0,195042,,0.0,0.0
12-11-2025,360.95,364.25,343.2,347.6,222823,,0.0,0.0
13-11-2025,351.4,351.4,335.0,336.65,99726,,0.0,0.0
14-11-2025,335.5,344.4,330.0,331.7,95676,,0.0,0.0
17-11-2025,336.0,336.0,324.05,330.45,349143,,0.0,0.0
18-11-2025,332.0,332.0,320.2,321.0,247524,,0.0,0.0
19-11-2025,319.1,324.05,315.0,320.9,146457,,0.0,0.0
20-11-2025,316.2,323.65,316.2,319.75,88554,,0.0,0.0
21-11-2025,319.75,321.05,315.35,316.0,131297,,0.0,0.0
24-11-2025,321.05,322.45,300.0,303.25,130769,,0.0,0.0
25-11-2025,310.0,311.9,297.5,301.4,372370,,0.0,0.0
26-11-2025,305.0,320.8,298.75,311.0,486071,,0.0,0.0
27-11-2025,311.0,319.0,299.25,302.45,198806,,0.0,0.0
28-11-2025,303.85,311.9,295.0,298.8,339605,,0.0,0.0
01-12-2025,299.65,316.0,298.0,311.6,446377,,0.0,0.0
02-12-2025,312.0,317.0,307.1,315.65,159089,,0.0,0.0
03-12-2025,317.0,318.5,311.5,316.1,131276,,0.0,0.0
04-12-2025,314.7,326.8,308.0,318.25,211972,,0.0,0.0
05-12-2025,317.0,317.5,307.0,310.95,152901,,0.0,0.0
08-12-2025,309.0,309.05,294.35,297.8,253219,,0.0,0.0
09-12-2025,293.2,299.45,290.2,296.75,68285,,0.0,0.0
10-12-2025,295.3,309.0,295.0,306.65,192907,,0.0,0.0
11-12-2025,307.45,307.45,299.9,301.45,62664,,0.0,0.0
12-12-2025,302.0,306.3,292.6,295.6,61456,,0.0,0.0
15-12-2025,295.65,295.9,288.8,291.25,60257,,0.0,0.0
16-12-2025,291.3,298.0,284.0,285.55,79929,,0.0,0.0
17-12-2025,285.0,288.25,277.2,281.95,101809,,0.0,0.0
18-12-2025,281.95,281.95,275.05,276.65,59045,,0.0,0.0
19-12-2025,276.65,279.85,272.9,278.55,68450,,0.0,0.0
22-12-2025,280.0,287.0,277.7,279.75,87492,,0.0,0.0
23-12-2025,277.6,280.95,277.2,279.1,42033,,0.0,0.0
24-12-2025,280.0,281.95,273.15,274.35,57038,,0.0,0.0
26-12-2025,269.0,285.95,269.0,273.75,234504,,0.0,0.0
29-12-2025,273.75,275.95,264.2,269.8,560911,,0.0,0.0
30-12-2025,270.8,275.25,267.75,273.15,79229,,0.0,0.0
31-12-2025,273.15,278.25,268.0,269.35,144459,,0.0,0.0
01-01-2026,269.35,288.5,269.35,278.2,344759,,0.0,0.0
02-01-2026,278.2,286.6,274.1,282.25,114626,,0.0,0.0
05-01-2026,281.1,284.0,275.1,279.1,75449,,0.0,0.0
06-01-2026,280.0,288.6,276.25,285.7,99239,,0.0,0.0
07-01-2026,284.0,305.0,283.95,296.05,245588,,0.0,0.0
08-01-2026,296.1,299.5,280.5,283.25,82156,,0.0,0.0
09-01-2026,284.8,284.85,270.35,274.25,120261,,0.0,0.0
12-01-2026,272.8,275.0,265.0,273.7,59123,,0.0,0.0
13-01-2026,273.7,277.9,269.05,276.1,69208,,0.0,0.0
14-01-2026,277.4,278.2,271.9,275.05,41737,,0.0,0.0
15-01-2026,275.05,275.05,275.05,275.05,0,,0.0,0.0
16-01-2026,273.0,277.6,265.8,268.7,159916,,0.0,0.0
19-01-2026,268.5,271.9,251.0,255.05,148928,,0.0,0.0
20-01-2026,255.0,255.0,242.0,243.0,105322,,0.0,0.0
21-01-2026,243.65,243.65,232.0,234.65,89044,,0.0,0.0
22-01-2026,237.5,245.45,235.0,241.25,170646,,0.0,0.0
23-01-2026,243.0,244.5,237.35,241.6,193085,,0.0,0.0
27-01-2026,245.0,245.0,231.05,236.0,171782,,0.0,0.0
28-01-2026,236.0,245.0,235.25,242.65,99589,,0.0,0.0
29-01-2026,242.65,253.45,242.65,248.55,87385,,0.0,0.0
30-01-2026,252.0,252.0,240.0,249.2,133866,,0.0,0.0
02-02-2026,244.85,257.26,235.0,254.56,105612,,0.0,0.0
03-02-2026,262.01,272.9,256.0,268.22,149510,,0.0,0.0
04-02-2026,269.02,274.0,248.4,255.32,225325,,0.0,0.0
05-02-2026,253.15,261.89,251.56,259.39,334541,,0.0,0.0
06-02-2026,257.1,261.63,257.1,260.08,86748,,0.0,0.0
09-02-2026,261.36,266.0,255.2,263.51,73994,,0.0,0.0
10-02-2026,263.51,272.0,263.51,270.02,103907,,0.0,0.0
11-02-2026,266.9,274.9,266.28,272.58,62676,,0.0,0.0
12-02-2026,268.01,270.6,263.37,265.9,233093,,0.0,0.0
13-02-2026,263.1,265.89,255.32,261.63,89016,,0.0,0.0
16-02-2026,261.0,261.0,248.4,251.21,529740,,0.0,0.0
17-02-2026,248.35,255.69,248.35,251.6,68928,,0.0,0.0
18-02-2026,251.6,258.8,247.8,249.39,139591,,0.0,0.0
19-02-2026,250.0,252.98,246.22,249.44,52861,,0.0,0.0
20-02-2026,247.01,250.0,246.61,247.28,23745,,0.0,0.0
23-02-2026,246.0,248.11,236.21,238.19,275921,,0.0,0.0
24-02-2026,237.0,241.0,227.01,240.1,194829,,0.0,0.0
25-02-2026,240.1,242.98,239.0,239.94,39869,,0.0,0.0
26-02-2026,239.9,253.86,239.9,245.65,116249,,0.0,0.0
27-02-2026,243.6,247.86,241.01,242.75,33446,,0.0,0.0
02-03-2026,229.31,246.99,229.02,241.34,74508,,0.0,0.0
04-03-2026,227.2,242.64,227.2,233.11,120523,,0.0,0.0
05-03-2026,231.1,238.0,228.0,231.49,91085,,0.0,0.0
06-03-2026,230.65,240.18,228.31,238.26,80217,,0.0,0.0
09-03-2026,249.8,262.08,245.0,260.07,617349,,0.0,0.0
10-03-2026,269.99,274.73,255.6,258.34,425835,,0.0,0.0
11-03-2026,258.75,261.73,253.7,259.88,129025,,0.0,0.0
12-03-2026,258.0,258.9,252.1,254.1,102881,,0.0,0.0
13-03-2026,252.25,253.76,249.1,250.08,89608,,0.0,0.0
16-03-2026,254.9,254.9,248.24,249.97,86470,,0.0,0.0
17-03-2026,250.0,253.99,245.6,249.24,123901,,0.0,0.0
18-03-2026,250.9,257.34,248.01,253.48,436838,,0.0,0.0
19-03-2026,253.0,253.7,229.0,231.43,439868,,0.0,0.0
20-03-2026,232.58,235.76,227.59,231.4,364871,,0.0,0.0
23-03-2026,232.28,232.28,218.0,223.3,151096,,0.0,0.0
24-03-2026,229.1,229.1,215.6,221.25,220617,,0.0,0.0
25-03-2026,224.95,229.0,222.08,226.61,138355,,0.0,0.0
27-03-2026,226.0,230.39,216.0,219.96,290413,,0.0,0.0
30-03-2026,215.0,218.8,209.11,213.13,222337,,0.0,0.0
01-04-2026,216.2,227.61,216.2,224.7,91165,,0.0,0.0
