Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
15-09-2022,456.07,474.5,443.17,469.57,2143945,,0.0,0.0
16-09-2022,465.29,465.29,453.86,454.88,215374,,0.0,0.0
19-09-2022,455.84,459.76,450.54,458.05,140252,,0.0,0.0
20-09-2022,458.05,469.8,451.47,454.64,171893,,0.0,0.0
21-09-2022,456.07,465.29,451.47,454.41,201612,,0.0,0.0
22-09-2022,454.41,459.76,453.86,454.88,82122,,0.0,0.0
23-09-2022,456.95,457.32,448.24,451.56,100865,,0.0,0.0
26-09-2022,451.42,451.42,440.64,444.37,101873,,0.0,0.0
27-09-2022,449.62,449.62,442.25,443.13,61227,,0.0,0.0
28-09-2022,443.13,445.29,437.65,438.94,55243,,0.0,0.0
29-09-2022,449.16,451.28,438.66,443.77,64806,,0.0,0.0
30-09-2022,443.77,445.94,437.69,440.82,38768,,0.0,0.0
03-10-2022,444.6,445.43,436.26,437.18,47950,,0.0,0.0
04-10-2022,439.44,444.42,434.42,436.22,47965,,0.0,0.0
06-10-2022,441.42,444.69,437.46,442.48,45865,,0.0,0.0
07-10-2022,444.1,444.1,437.65,439.17,29209,,0.0,0.0
10-10-2022,442.25,442.25,433.04,433.87,47816,,0.0,0.0
11-10-2022,433.96,438.98,432.12,432.76,32487,,0.0,0.0
12-10-2022,431.2,434.01,427.93,430.27,85227,,0.0,0.0
13-10-2022,431.2,432.72,427.1,428.85,65116,,0.0,0.0
14-10-2022,431.06,437.51,428.43,429.49,51978,,0.0,0.0
17-10-2022,431.2,455.7,428.43,438.24,131322,,0.0,0.0
18-10-2022,441.61,451.47,438.89,447.83,63348,,0.0,0.0
19-10-2022,448.24,462.52,445.89,459.21,117064,,0.0,0.0
20-10-2022,460.68,460.68,443.27,447.18,48288,,0.0,0.0
21-10-2022,447.78,455.52,443.17,445.15,29622,,0.0,0.0
24-10-2022,455.15,455.15,445.48,451.6,13949,,0.0,0.0
25-10-2022,453.31,454.6,445.98,448.84,25312,,0.0,0.0
27-10-2022,449.62,495.37,448.84,473.9,593555,,0.0,0.0
28-10-2022,480.95,483.71,458.88,467.82,143964,,0.0,0.0
31-10-2022,470.77,473.53,461.6,463.44,79569,,0.0,0.0
01-11-2022,463.9,470.81,463.77,465.24,35234,,0.0,0.0
02-11-2022,463.44,465.24,454.78,455.75,63561,,0.0,0.0
03-11-2022,455.75,474.13,453.68,462.98,83741,,0.0,0.0
04-11-2022,462.98,471.23,461.6,466.07,53774,,0.0,0.0
07-11-2022,471.23,485.46,466.62,469.8,197647,,0.0,0.0
09-11-2022,471.74,477.82,466.35,468.51,103488,,0.0,0.0
10-11-2022,468.97,471.69,460.82,467.08,55708,,0.0,0.0
11-11-2022,471.74,475.88,452.89,462.48,78811,,0.0,0.0
14-11-2022,464.37,468.23,460.68,464.13,53761,,0.0,0.0
15-11-2022,463.9,467.54,463.26,464.37,23677,,0.0,0.0
16-11-2022,468.05,469.43,460.68,462.66,34580,,0.0,0.0
17-11-2022,460.82,470.35,460.82,469.71,118103,,0.0,0.0
18-11-2022,469.39,473.86,465.29,470.45,57353,,0.0,0.0
21-11-2022,472.43,483.71,468.14,469.89,240335,,0.0,0.0
22-11-2022,468.97,473.21,466.3,468.65,578808,,0.0,0.0
23-11-2022,472.57,472.57,465.29,467.41,41073,,0.0,0.0
24-11-2022,472.1,472.1,465.33,467.31,45300,,0.0,0.0
25-11-2022,468.47,477.36,465.29,469.94,139484,,0.0,0.0
28-11-2022,467.13,472.38,466.67,469.94,45850,,0.0,0.0
29-11-2022,472.93,472.93,466.48,467.41,31723,,0.0,0.0
30-11-2022,469.8,471.23,467.45,469.8,33986,,0.0,0.0
01-12-2022,477.72,505.37,476.62,487.17,778679,,0.0,0.0
02-12-2022,488.32,490.58,479.15,480.12,72437,,0.0,0.0
05-12-2022,482.29,488.32,474.59,481.13,51363,,0.0,0.0
06-12-2022,475.65,482.38,458.84,470.95,88458,,0.0,0.0
07-12-2022,470.95,477.03,470.17,475.1,33507,,0.0,0.0
08-12-2022,483.71,488.14,470.81,472.84,92381,,0.0,0.0
09-12-2022,478.19,478.19,469.89,472.57,49771,,0.0,0.0
12-12-2022,476.11,478.14,469.99,472.29,150892,,0.0,0.0
13-12-2022,472.66,483.35,467.59,480.12,171040,,0.0,0.0
14-12-2022,483.11,487.4,472.06,479.61,123205,,0.0,0.0
15-12-2022,483.71,485.28,472.38,473.12,130363,,0.0,0.0
16-12-2022,473.12,474.09,468.14,468.93,150055,,0.0,0.0
19-12-2022,468.97,473.44,462.25,463.95,116152,,0.0,0.0
20-12-2022,462.8,471.69,462.34,465.38,197361,,0.0,0.0
21-12-2022,467.59,470.08,452.71,454.6,147657,,0.0,0.0
22-12-2022,459.3,460.54,448.24,457.64,111304,,0.0,0.0
23-12-2022,457.92,457.92,443.73,445.39,75194,,0.0,0.0
26-12-2022,445.48,454.46,440.27,444.46,78651,,0.0,0.0
