Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,74.38,81.06,74.38,77.68,1449417,,0.0,0.0
09-08-2021,79.94,79.99,75.07,75.88,486403,,0.0,0.0
10-08-2021,75.96,76.73,70.7,72.15,382164,,0.0,0.0
11-08-2021,71.08,73.48,68.26,71.04,546078,,0.0,0.0
12-08-2021,71.81,74.04,71.26,73.18,295108,,0.0,0.0
13-08-2021,73.95,74.34,71.77,72.33,170519,,0.0,0.0
16-08-2021,74.38,74.38,70.19,70.87,129358,,0.0,0.0
17-08-2021,70.87,71.98,68.56,69.07,287569,,0.0,0.0
18-08-2021,70.49,70.49,67.53,67.96,145133,,0.0,0.0
20-08-2021,67.62,67.79,65.35,65.95,239443,,0.0,0.0
23-08-2021,66.93,67.58,64.92,65.48,153679,,0.0,0.0
24-08-2021,65.74,68.56,65.44,68.0,127624,,0.0,0.0
25-08-2021,69.2,70.7,66.63,67.23,158839,,0.0,0.0
26-08-2021,67.36,68.56,66.29,67.15,151409,,0.0,0.0
27-08-2021,67.28,67.83,66.33,66.85,110508,,0.0,0.0
30-08-2021,67.45,68.13,67.23,67.4,102976,,0.0,0.0
31-08-2021,67.58,68.13,66.68,66.98,80680,,0.0,0.0
01-09-2021,67.19,67.83,66.42,67.23,84617,,0.0,0.0
02-09-2021,67.36,68.05,66.81,67.19,104550,,0.0,0.0
03-09-2021,67.75,67.92,66.85,67.02,127313,,0.0,0.0
06-09-2021,67.02,67.96,66.93,67.7,78119,,0.0,0.0
07-09-2021,67.96,67.96,66.59,66.85,123525,,0.0,0.0
08-09-2021,67.28,67.28,65.48,65.74,119757,,0.0,0.0
09-09-2021,66.21,67.79,65.44,65.91,143226,,0.0,0.0
13-09-2021,65.99,66.55,65.31,65.82,72751,,0.0,0.0
14-09-2021,66.33,67.88,66.12,66.89,84560,,0.0,0.0
15-09-2021,67.02,69.5,67.02,68.65,254237,,0.0,0.0
16-09-2021,69.24,70.74,68.17,68.86,142335,,0.0,0.0
17-09-2021,69.46,69.46,67.23,68.39,87894,,0.0,0.0
20-09-2021,67.7,68.05,66.51,67.15,136816,,0.0,0.0
21-09-2021,66.51,67.49,66.42,67.02,54881,,0.0,0.0
22-09-2021,67.06,67.79,66.72,66.89,51538,,0.0,0.0
23-09-2021,66.93,67.83,66.76,66.89,89689,,0.0,0.0
24-09-2021,67.36,67.62,65.99,66.21,130557,,0.0,0.0
27-09-2021,66.16,67.15,65.14,65.91,137160,,0.0,0.0
28-09-2021,66.55,66.55,64.37,65.22,75119,,0.0,0.0
29-09-2021,65.05,66.51,65.05,65.91,64666,,0.0,0.0
30-09-2021,66.29,66.51,64.02,64.37,287085,,0.0,0.0
01-10-2021,64.02,65.22,64.02,64.88,50443,,0.0,0.0
04-10-2021,65.56,65.86,63.34,63.81,312639,,0.0,0.0
05-10-2021,64.15,64.49,63.68,63.81,122299,,0.0,0.0
06-10-2021,64.19,65.09,63.17,63.42,205763,,0.0,0.0
07-10-2021,63.64,64.19,62.91,63.55,142422,,0.0,0.0
08-10-2021,63.77,64.19,63.55,63.9,81858,,0.0,0.0
11-10-2021,64.19,64.24,63.34,63.98,73720,,0.0,0.0
12-10-2021,64.24,66.68,64.24,65.99,281363,,0.0,0.0
13-10-2021,66.59,67.06,65.39,66.51,192692,,0.0,0.0
14-10-2021,66.76,67.7,65.35,67.36,238874,,0.0,0.0
18-10-2021,70.1,71.04,67.7,69.97,870440,,0.0,0.0
19-10-2021,70.7,71.26,67.83,69.12,233461,,0.0,0.0
20-10-2021,69.16,69.84,66.89,68.82,201089,,0.0,0.0
21-10-2021,69.16,69.46,67.36,69.2,201496,,0.0,0.0
22-10-2021,69.33,71.04,68.65,69.29,190922,,0.0,0.0
25-10-2021,69.67,69.84,67.23,69.33,245233,,0.0,0.0
26-10-2021,68.26,69.76,67.88,69.16,103311,,0.0,0.0
27-10-2021,69.59,69.59,68.22,68.35,60237,,0.0,0.0
28-10-2021,68.22,69.29,66.93,67.49,119599,,0.0,0.0
29-10-2021,68.22,68.22,65.01,66.76,111838,,0.0,0.0
01-11-2021,67.19,67.79,66.59,67.02,54033,,0.0,0.0
02-11-2021,68.86,69.42,66.85,68.39,139404,,0.0,0.0
03-11-2021,68.47,72.54,68.43,71.6,616230,,0.0,0.0
04-11-2021,72.75,73.27,71.3,72.07,90389,,0.0,0.0
08-11-2021,73.52,73.52,70.27,71.68,382774,,0.0,0.0
09-11-2021,71.9,73.52,71.64,72.84,261426,,0.0,0.0
10-11-2021,72.67,73.22,70.91,71.13,105842,,0.0,0.0
11-11-2021,71.38,71.47,69.46,69.67,80867,,0.0,0.0
12-11-2021,70.19,77.03,68.9,76.01,770817,,0.0,0.0
15-11-2021,76.18,76.48,72.97,74.25,210797,,0.0,0.0
16-11-2021,74.98,80.67,74.08,77.5,933744,,0.0,0.0
17-11-2021,77.72,80.03,74.59,75.58,369349,,0.0,0.0
18-11-2021,76.09,77.46,72.75,73.48,254881,,0.0,0.0
